origin,as_of_utc,target,h,family,model,log_forecast,mm_forecast,status,reason,outer_origin,component,mm_actual,log_actual,cumulative_fallback,cumulative_log_forecast,cumulative_pct_forecast,cumulative_log_actual,cumulative_pct_actual
2019-02,2019-03-10T22:59:00+00:00,2019-03,1,own,MONTHLY_OWN_CORE_R17,0.14869465307518223,0.14880525838905015,estimated,,True,core,-0.1,-0.10005003335835334,False,0.14869465307518223,0.14880525838905015,-0.10005003335835334,-0.1
2019-02,2019-03-10T22:59:00+00:00,2019-04,2,own,MONTHLY_OWN_CORE_R17,0.5590368470432766,0.5606023739562346,estimated,,True,core,0.4,0.39920212695374535,False,0.7077315001184589,0.7102418381563854,0.299152093595392,0.29960000000000014
2019-02,2019-03-10T22:59:00+00:00,2019-05,3,own,MONTHLY_OWN_CORE_R17,0.21466723017933986,0.2148978052380824,estimated,,True,core,0.1,0.09995003330835331,False,0.9223987302977987,0.9266659375165487,0.3991021269037453,0.39989960000000013
2019-02,2019-03-10T22:59:00+00:00,2019-06,4,own,MONTHLY_OWN_CORE_R17,0.30822672999425377,0.3087022370007224,estimated,,True,core,0.3,0.2995508979798479,False,1.2306254602920526,1.2382288129959083,0.6986530248835933,0.7010992988
2019-02,2019-03-10T22:59:00+00:00,2019-07,5,own,MONTHLY_OWN_CORE_R17,0.5866811628682731,0.5884055072879422,estimated,,True,core,1.0,0.9950330853168083,False,1.8173066231603257,1.8339201268123444,1.6936861102004015,1.7081102917880002
2019-02,2019-03-10T22:59:00+00:00,2019-08,6,own,MONTHLY_OWN_CORE_R17,0.22376216306514343,0.224012697425426,estimated,,True,core,0.2,0.19980026626730563,False,2.041068786225469,2.0620410381824703,1.8934863764677072,1.911526512371576
2019-02,2019-03-10T22:59:00+00:00,2019-09,7,own,MONTHLY_OWN_CORE_R17,-0.3413976099991788,-0.34081551097108503,estimated,,True,core,-0.9,-0.9040744652149064,False,1.6996711762262902,1.7141977715106707,0.9894119112528008,0.9943227737602317
2019-02,2019-03-10T22:59:00+00:00,2019-10,8,own,MONTHLY_OWN_CORE_R17,0.5194700490757554,0.5208216340814804,estimated,,True,core,0.6,0.5982071677547464,False,2.2191412253020455,2.2439473184371206,1.587619079007547,1.6002887104027932
2019-02,2019-03-10T22:59:00+00:00,2019-11,9,own,MONTHLY_OWN_CORE_R17,0.11462644453201469,0.11469216574984452,estimated,,True,core,0.0,0.0,False,2.33376766983406,2.361213115964766,1.587619079007547,1.6002887104027932
2019-02,2019-03-10T22:59:00+00:00,2019-12,10,own,MONTHLY_OWN_CORE_R17,0.1896689439528204,0.18984892926841582,estimated,,True,core,0.1,0.09995003330835331,False,2.5234366137868807,2.5555447830515874,1.6875691123159005,1.7018889991131965
2019-02,2019-03-10T22:59:00+00:00,2020-01,11,own,MONTHLY_OWN_CORE_R17,0.38509931344350545,0.38584177361331706,estimated,,True,core,0.8,0.7968169649176874,False,2.9085359272303863,2.951246915981313,2.4843860772335877,2.515504111106101
2019-02,2019-03-10T22:59:00+00:00,2020-02,12,own,MONTHLY_OWN_CORE_R17,0.35231087512356934,0.35293221936071306,estimated,,True,core,0.7,0.6975613736425241,False,3.2608468023539556,3.3145950365814136,3.181947450876112,3.2331126398838443
2019-02,2019-03-10T22:59:00+00:00,2019-03,1,ar,MONTHLY_AR_CORE_R17,0.15248807318994298,0.15260439537057213,estimated,,True,core,-0.1,-0.10005003335835334,False,0.15248807318994298,0.15260439537057213,-0.10005003335835334,-0.1
2019-02,2019-03-10T22:59:00+00:00,2019-04,2,ar,MONTHLY_AR_CORE_R17,0.5606777105695038,0.562252449740052,estimated,,True,core,0.4,0.39920212695374535,False,0.7131657837594467,0.715714867062006,0.299152093595392,0.29960000000000014
2019-02,2019-03-10T22:59:00+00:00,2019-05,3,ar,MONTHLY_AR_CORE_R17,0.21803675309337672,0.218274626073965,estimated,,True,core,0.1,0.09995003330835331,False,0.9312025368528235,0.9355517170858066,0.3991021269037453,0.39989960000000013
2019-02,2019-03-10T22:59:00+00:00,2019-06,4,ar,MONTHLY_AR_CORE_R17,0.3159779553602173,0.31647769191540953,estimated,,True,core,0.3,0.2995508979798479,False,1.2471804922130407,1.254990221482124,0.6986530248835933,0.7010992988
