model,sample,n,rmse,mae,material_wins,material_losses
CORE_RF_MEAN_R21,full90,90,0.41365610121483914,0.25887452777048864,11,15
CORE_RF_MEAN_R21,common66,66,0.46244565911456653,0.2846463675733158,10,14
CORE_RF_MEAN_R21,2024+,31,0.22368786315060807,0.1679537068557331,3,3
CORE_RF_MEAN_R21,big,23,0.6948065621624616,0.48561387731228345,7,2
CORE_RF_MEAN_R21,alerts,24,0.6457952001497513,0.3900036075637174,8,10
CORE_RF_MEDIAN_R21,full90,90,0.413786332989146,0.2591311811000437,13,15
CORE_RF_MEDIAN_R21,common66,66,0.4617838409277138,0.28466323323582243,11,14
CORE_RF_MEDIAN_R21,2024+,31,0.2245568187512774,0.16849543229623481,3,3
CORE_RF_MEDIAN_R21,big,23,0.6934525161591816,0.48794684967696905,7,2
CORE_RF_MEDIAN_R21,alerts,20,0.6935649235689402,0.4205137173404488,7,8
HARD_BASE,full90,90,0.41795154739724044,0.2625157341641442,12,15
HARD_BASE,common66,66,0.4639649201156584,0.28661875252670865,11,13
HARD_BASE,2024+,31,0.21897776134072025,0.1690393240182862,4,2
HARD_BASE,big,23,0.6985702092561593,0.48458284194899887,7,3
HARD_BASE,alerts,20,0.6999864621564055,0.4090825368404247,7,8
HARD_FULL,full90,90,0.4139308470027306,0.2696268338876435,13,14
HARD_FULL,common66,66,0.4611944181681749,0.29582264915993006,11,12
HARD_FULL,2024+,31,0.22531658006178432,0.17263970528256048,4,3
HARD_FULL,big,23,0.6710742877935717,0.47606113106941467,9,2
HARD_FULL,alerts,23,0.4184009317085991,0.3213253191257471,9,10
HARD_HALF,full90,90,0.41369643830575464,0.26437319954197214,10,11
HARD_HALF,common66,66,0.460239301029829,0.28916249185383586,8,10
HARD_HALF,2024+,31,0.2195880711904428,0.16785552729960732,3,1
HARD_HALF,big,23,0.6833130723904106,0.479371431160143,7,1
HARD_HALF,alerts,22,0.6693338518992189,0.40368863384598686,8,9
HEADLINE_ENET_R21,full90,90,0.4953858536149466,0.3180428782363833,8,23
HEADLINE_ENET_R21,common66,66,0.5583052796331008,0.36233758535248917,7,21
HEADLINE_ENET_R21,2024+,31,0.24584066722682094,0.18832044359840208,4,8
HEADLINE_ENET_R21,big,23,0.8204238534734855,0.6080314536928906,4,4
HEADLINE_ENET_R21,alerts,31,0.7400061650034191,0.49599617666784246,7,14
HEADLINE_MEAN_R21,full90,90,0.42379076181694647,0.2644053026155799,10,15
HEADLINE_MEAN_R21,common66,66,0.47113254509473074,0.28919543677866644,9,13
HEADLINE_MEAN_R21,2024+,31,0.22364835731251487,0.17213769688066455,4,2
HEADLINE_MEAN_R21,big,23,0.7103181990422975,0.48962250550302366,7,2
HEADLINE_MEAN_R21,alerts,22,0.7100950327410418,0.4321226152667311,7,10
