month,health
2015-01,98.599999999999994
2015-02,98.599999999999994
2015-03,98.799999999999997
2015-04,99.700000000000003
2015-05,100.40000000000001
2015-06,100.59999999999999
2015-07,100.7
2015-08,100.7
2015-09,100.90000000000001
2015-10,100.59999999999999
2015-11,100.3
2015-12,100.09999999999999
2016-01,100.8
2016-02,100.59999999999999
2016-03,101.8
2016-04,102.40000000000001
2016-05,103
2016-06,103.3
2016-07,103.40000000000001
2016-08,103.5
2016-09,103.5
2016-10,103.59999999999999
2016-11,102.8
2016-12,102.90000000000001
2017-01,103.90000000000001
2017-02,104.40000000000001
2017-03,105.09999999999999
2017-04,105.8
2017-05,106.40000000000001
2017-06,106.90000000000001
2017-07,107.3
2017-08,107.5
2017-09,107.90000000000001
2017-10,107.5
2017-11,107.5
2017-12,107.3
2018-01,108.09999999999999
2018-02,108.40000000000001
2018-03,109.09999999999999
2018-04,109.8
2018-05,110.59999999999999
2018-06,110.90000000000001
2018-07,111.2
2018-08,111.59999999999999
2018-09,111.40000000000001
2018-10,111.40000000000001
2018-11,111.2
2018-12,111
2019-01,112
2019-02,112.2
2019-03,113.2
2019-04,113.90000000000001
2019-05,114.40000000000001
2019-06,114.7
2019-07,114.7
2019-08,114.8
2019-09,114.8
2019-10,114.7
2019-11,114
2019-12,113.3
2020-01,113.8
2020-02,114.2
2020-03,114.7
2020-04,115.3
2020-05,116.59999999999999
2020-06,117.3
2020-07,117.7
2020-08,117.7
2020-09,118.40000000000001
2020-10,117.90000000000001
2020-11,117.8
2020-12,116.90000000000001
2021-01,118.3
2021-02,118.5
2021-03,119
2021-04,119.40000000000001
2021-05,120.7
2021-06,121.2
2021-07,121.40000000000001
2021-08,121.40000000000001
2021-09,121.90000000000001
2021-10,121.8
2021-11,122.3
2021-12,122.2
2022-01,125.2
2022-02,126.7
2022-03,128.19999999999999
2022-04,128.90000000000001
2022-05,130.80000000000001
2022-06,132
2022-07,132.59999999999999
2022-08,132.90000000000001
2022-09,132.30000000000001
2022-10,132.69999999999999
2022-11,134.5
2022-12,134.30000000000001
2023-01,137.30000000000001
2023-02,138.69999999999999
2023-03,140.19999999999999
2023-04,141.59999999999999
2023-05,143.40000000000001
2023-06,143.90000000000001
2023-07,144.5
2023-08,144.80000000000001
2023-09,144
2023-10,144.90000000000001
2023-11,142.80000000000001
2023-12,143.09999999999999
2024-01,144.69999999999999
2024-02,145.09999999999999
2024-03,146.80000000000001
2024-04,147.59999999999999
2024-05,149.19999999999999
2024-06,149.40000000000001
2024-07,150.09999999999999
2024-08,150.80000000000001
2024-09,149.5
2024-10,149.5
2024-11,149
2024-12,148.69999999999999
2025-01,150.59999999999999
2025-02,151.69999999999999
2025-03,152
2025-04,152.19999999999999
2025-05,154.69999999999999
2025-06,154.90000000000001
2025-07,154.90000000000001
2025-08,154.90000000000001
2025-09,154.19999999999999
2025-10,154.30000000000001
2025-11,153.30000000000001
2025-12,153.59999999999999
2026-01,157.19999999999999
2026-02,157.69999999999999
2026-03,158.09999999999999
2026-04,158.40000000000001
2026-05,159
2026-06,160.19999999999999
2026-07,160.69999999999999
2026-08,161.19999999999999
