dataset,freq,indic_bt,nace_r2,s_adj,unit,geo,time,value,status
sts_inppd_m,M,PRC_PRR_DOM,B-E36,NSA,I21,CZ,1990-01,25.5,
sts_inppd_m,M,PRC_PRR_DOM,B-E36,NSA,I21,CZ,1990-02,25.5,
sts_inppd_m,M,PRC_PRR_DOM,B-E36,NSA,I21,CZ,1990-03,25.5,
sts_inppd_m,M,PRC_PRR_DOM,B-E36,NSA,I21,CZ,1990-04,25.5,
sts_inppd_m,M,PRC_PRR_DOM,B-E36,NSA,I21,CZ,1990-05,25.5,
sts_inppd_m,M,PRC_PRR_DOM,B-E36,NSA,I21,CZ,1990-06,25.5,
sts_inppd_m,M,PRC_PRR_DOM,B-E36,NSA,I21,CZ,1990-07,25.5,
sts_inppd_m,M,PRC_PRR_DOM,B-E36,NSA,I21,CZ,1990-08,25.5,
sts_inppd_m,M,PRC_PRR_DOM,B-E36,NSA,I21,CZ,1990-09,25.5,
sts_inppd_m,M,PRC_PRR_DOM,B-E36,NSA,I21,CZ,1990-10,25.5,
sts_inppd_m,M,PRC_PRR_DOM,B-E36,NSA,I21,CZ,1990-11,27.6,
sts_inppd_m,M,PRC_PRR_DOM,B-E36,NSA,I21,CZ,1990-12,29.6,
sts_inppd_m,M,PRC_PRR_DOM,B-E36,NSA,I21,CZ,1991-01,35.5,
sts_inppd_m,M,PRC_PRR_DOM,B-E36,NSA,I21,CZ,1991-02,43.0,
sts_inppd_m,M,PRC_PRR_DOM,B-E36,NSA,I21,CZ,1991-03,43.5,
sts_inppd_m,M,PRC_PRR_DOM,B-E36,NSA,I21,CZ,1991-04,44.8,
sts_inppd_m,M,PRC_PRR_DOM,B-E36,NSA,I21,CZ,1991-05,45.3,
sts_inppd_m,M,PRC_PRR_DOM,B-E36,NSA,I21,CZ,1991-06,45.0,
sts_inppd_m,M,PRC_PRR_DOM,B-E36,NSA,I21,CZ,1991-07,44.8,
sts_inppd_m,M,PRC_PRR_DOM,B-E36,NSA,I21,CZ,1991-08,45.0,
