scope,sample,metric,h,model,n,mae,rmse,bias
all_models_common,recent_targets,headline_yy,1,FUEL_ANNUAL_R17,31,0.23390831453642158,0.31710509540797815,0.0032897899379373315
all_models_common,recent_targets,headline_yy,1,MCT_FAST_R18,31,0.244024973718347,0.32843553339927234,0.034194530355890845
all_models_common,recent_targets,headline_yy,1,MCT_SIGNALS_R18,31,0.24748594562139992,0.33429100277387774,0.03085645486075486
all_models_common,recent_targets,headline_yy,1,MCT_SLOW_R18,31,0.2390089764835659,0.32363937962613953,0.042873046803669324
all_models_common,recent_targets,headline_yy,1,FOOD_H0_FAST_R18,31,0.2557331287050641,0.3384440701615561,0.019507066908842487
all_models_common,recent_targets,headline_yy,1,FOOD_H0_SELECT_R18,31,0.2530931865413911,0.3359829447008512,0.01904204067251433
all_models_common,recent_targets,headline_yy,1,FOOD_H0_SLOW_R18,31,0.2530931865413911,0.3359829447008512,0.01904204067251433
all_models_common,full,headline_yy,2,INDEPENDENT_BRIDGE,86,0.8416168863837291,1.294585199790152,-0.1997538878580161
all_models_common,full,headline_yy,2,STATE_FAST_R15,86,0.771946075999089,1.2306147916797074,-0.19551718237744903
all_models_common,full,headline_yy,2,STABLE_LOCAL_CORE_R14B,86,0.7910717235654418,1.2569098112525512,-0.19518882731172787
all_models_common,full,headline_yy,2,DAMPED_P95_Q001_R16,86,0.76627087078501,1.2208942508595748,-0.1918737991270683
all_models_common,full,headline_yy,2,FUEL_ANNUAL_R17,86,0.7656424151768023,1.237593591300784,-0.23407501575550957
all_models_common,full,headline_yy,2,MCT_FAST_R18,86,0.7784728979378853,1.2427694151162032,-0.2140161614782378
all_models_common,full,headline_yy,2,MCT_SIGNALS_R18,86,0.7481753714107574,1.175547572488041,-0.17778436308604242
all_models_common,full,headline_yy,2,MCT_SLOW_R18,86,0.790500012851929,1.2591818892316888,-0.21691283382920215
all_models_common,full,headline_yy,2,FOOD_H0_FAST_R18,86,0.7659194068277324,1.2260776957094364,-0.19349993805924406
all_models_common,full,headline_yy,2,FOOD_H0_SELECT_R18,86,0.7674564683041464,1.2300728948646318,-0.19643181405258242
all_models_common,full,headline_yy,2,FOOD_H0_SLOW_R18,86,0.7671841949107152,1.2277656737998601,-0.1956809053834302
all_models_common,origins_2019_2021,headline_yy,2,INDEPENDENT_BRIDGE,33,0.5547768867029761,0.6672082206488836,-0.29340368754716484
all_models_common,origins_2019_2021,headline_yy,2,STATE_FAST_R15,33,0.5282721634927322,0.6507805134382443,-0.23820879753171667
all_models_common,origins_2019_2021,headline_yy,2,STABLE_LOCAL_CORE_R14B,33,0.5399238234903582,0.6715256253827381,-0.30203878264985334
all_models_common,origins_2019_2021,headline_yy,2,DAMPED_P95_Q001_R16,33,0.5279211971990048,0.6512164855099603,-0.23457576741980615
all_models_common,origins_2019_2021,headline_yy,2,FUEL_ANNUAL_R17,33,0.5386747119755573,0.6593638060555239,-0.2491162083052224
all_models_common,origins_2019_2021,headline_yy,2,MCT_FAST_R18,33,0.5251803142404388,0.6377957095745347,-0.2786842737397504
all_models_common,origins_2019_2021,headline_yy,2,MCT_SIGNALS_R18,33,0.5251803142404388,0.6377957095745347,-0.2786842737397504
all_models_common,origins_2019_2021,headline_yy,2,MCT_SLOW_R18,33,0.5335003920403409,0.6517805185206208,-0.29796661221376536
all_models_common,origins_2019_2021,headline_yy,2,FOOD_H0_FAST_R18,33,0.5291583548314788,0.6525624228159539,-0.2364468384396963
all_models_common,origins_2019_2021,headline_yy,2,FOOD_H0_SELECT_R18,33,0.5282721634927322,0.6507805134382443,-0.23820879753171667
all_models_common,origins_2019_2021,headline_yy,2,FOOD_H0_SLOW_R18,33,0.5295079505359386,0.6530075478628753,-0.23661830427207473
all_models_common,origins_2022_2023,headline_yy,2,INDEPENDENT_BRIDGE,24,1.7512493638363889,2.249551471471174,-0.3456113608130981
all_models_common,origins_2022_2023,headline_yy,2,STATE_FAST_R15,24,1.6097408718252677,2.146741256540869,-0.43800256403830556
all_models_common,origins_2022_2023,headline_yy,2,STABLE_LOCAL_CORE_R14B,24,1.691219244395409,2.200061867195947,-0.3380753803595273
all_models_common,origins_2022_2023,headline_yy,2,DAMPED_P95_Q001_R16,24,1.5959050068704952,2.1271024110151187,-0.3854400257667708
all_models_common,origins_2022_2023,headline_yy,2,FUEL_ANNUAL_R17,24,1.6199830552722776,2.1650754986574454,-0.5102284576650707
all_models_common,origins_2022_2023,headline_yy,2,MCT_FAST_R18,24,1.6297816832236502,2.1761964488280303,-0.4890779901373152
all_models_common,origins_2022_2023,headline_yy,2,MCT_SIGNALS_R18,24,1.510952627800363,2.035772687965562,-0.3576787008498405
all_models_common,origins_2022_2023,headline_yy,2,MCT_SLOW_R18,24,1.668256496298925,2.2064054413263414,-0.49305123469795586
all_models_common,origins_2022_2023,headline_yy,2,FOOD_H0_FAST_R18,24,1.592277649265169,2.1337933859501925,-0.4391085725183966
all_models_common,origins_2022_2023,headline_yy,2,FOOD_H0_SELECT_R18,24,1.5990814224377063,2.142829389391087,-0.4465080280256352
all_models_common,origins_2022_2023,headline_yy,2,FOOD_H0_SLOW_R18,24,1.596406568926836,2.1371488212911935,-0.4460042001931805
all_models_common,origins_2024plus,headline_yy,2,INDEPENDENT_BRIDGE,29,0.41522173226652287,0.5248876310302573,0.02752275837177276
all_models_common,origins_2024plus,headline_yy,2,STATE_FAST_R15,29,0.3558827660984506,0.44176531303019445,0.053740488655357584
all_models_common,origins_2024plus,headline_yy,2,STABLE_LOCAL_CORE_R14B,29,0.33191104089504575,0.4075554669595924,0.04464999335397319
all_models_common,origins_2024plus,headline_yy,2,DAMPED_P95_Q001_R16,29,0.35090259362247717,0.4396640686086057,0.016910835114766508
all_models_common,origins_2024plus,headline_yy,2,FUEL_ANNUAL_R17,29,0.31687547874058436,0.40989958636243,0.011581603553800366
all_models_common,origins_2024plus,headline_yy,2,MCT_FAST_R18,29,0.36217098121917435,0.4449380320024464,0.08720906584754752
all_models_common,origins_2024plus,headline_yy,2,MCT_SIGNALS_R18,29,0.370664431178688,0.45317647396461136,0.0859108492554582
all_models_common,origins_2024plus,headline_yy,2,MCT_SLOW_R18,29,0.3565286985089803,0.4354929199129284,0.10384910781013149
all_models_common,origins_2024plus,headline_yy,2,FOOD_H0_FAST_R18,29,0.3514544722545568,0.45313066614532355,0.058632990891603586
all_models_common,origins_2024plus,headline_yy,2,FOOD_H0_SELECT_R18,29,0.35139037035832604,0.4528679093205634,0.0580671373324071
all_models_common,origins_2024plus,headline_yy,2,FOOD_H0_SLOW_R18,29,0.35139037035832604,0.4528679093205634,0.0580671373324071
all_models_common,recent_targets,headline_yy,2,INDEPENDENT_BRIDGE,31,0.3990374014708941,0.5094420770193966,0.01514292848105979
all_models_common,recent_targets,headline_yy,2,STATE_FAST_R15,31,0.34515682036874784,0.4300071358559845,0.03803912762675011
all_models_common,recent_targets,headline_yy,2,STABLE_LOCAL_CORE_R14B,31,0.3159639151368366,0.3950764234894821,0.03630285883805215
all_models_common,recent_targets,headline_yy,2,DAMPED_P95_Q001_R16,31,0.3423737804505295,0.4289146644714661,0.001709749658504925
all_models_common,recent_targets,headline_yy,2,FUEL_ANNUAL_R17,31,0.31127082221184976,0.4008407311237534,-0.004004519420328581
all_models_common,recent_targets,headline_yy,2,MCT_FAST_R18,31,0.34770969992521045,0.4318775894532181,0.07267808604043269
all_models_common,recent_targets,headline_yy,2,MCT_SIGNALS_R18,31,0.3606386845761072,0.44191072783851487,0.0664801261526102
all_models_common,recent_targets,headline_yy,2,MCT_SLOW_R18,31,0.33806273117773167,0.42171073650652025,0.09261328118530844
all_models_common,recent_targets,headline_yy,2,FOOD_H0_FAST_R18,31,0.343078487992296,0.44218987991044645,0.04055171946701531
all_models_common,recent_targets,headline_yy,2,FOOD_H0_SELECT_R18,31,0.3428069210419628,0.44179758194600466,0.04023397324936819
all_models_common,recent_targets,headline_yy,2,FOOD_H0_SLOW_R18,31,0.3428069210419628,0.44179758194600466,0.04023397324936819
all_models_common,full,headline_yy,3,INDEPENDENT_BRIDGE,84,1.0545270625741106,1.5373220457297827,-0.30066233166206685
all_models_common,full,headline_yy,3,STATE_FAST_R15,84,0.971408578467714,1.4591809877871644,-0.33066172217571593
all_models_common,full,headline_yy,3,STABLE_LOCAL_CORE_R14B,84,1.0295519869798233,1.537322537940186,-0.3310553165293109
all_models_common,full,headline_yy,3,DAMPED_P95_Q001_R16,84,0.9611615217245812,1.4387260776011894,-0.32475893393178135
all_models_common,full,headline_yy,3,FUEL_ANNUAL_R17,84,0.9801247615400506,1.4828887881156376,-0.3924476464357066
all_models_common,full,headline_yy,3,MCT_FAST_R18,84,0.979203536197009,1.4873571792463316,-0.35773931324083225
all_models_common,full,headline_yy,3,MCT_SIGNALS_R18,84,0.9244999749033267,1.3681598561523314,-0.29280543813773413
all_models_common,full,headline_yy,3,MCT_SLOW_R18,84,1.0075561573043852,1.5293984278049029,-0.36242682201527565
all_models_common,full,headline_yy,3,FOOD_H0_FAST_R18,84,0.9653595048298191,1.4509947036733912,-0.32868703880636685
all_models_common,full,headline_yy,3,FOOD_H0_SELECT_R18,84,0.9683620943307398,1.4556651229328366,-0.33306940863466405
all_models_common,full,headline_yy,3,FOOD_H0_SLOW_R18,84,0.9659905344927305,1.4510510663953553,-0.3314123487239229
all_models_common,origins_2019_2021,headline_yy,3,INDEPENDENT_BRIDGE,32,0.8443091643155881,1.1189600722412483,-0.5960068743974738
all_models_common,origins_2019_2021,headline_yy,3,STATE_FAST_R15,32,0.8114943236644183,1.0750436763602103,-0.5014498477844609
all_models_common,origins_2019_2021,headline_yy,3,STABLE_LOCAL_CORE_R14B,32,0.8607205158174454,1.1852573752294795,-0.6021700755367407
all_models_common,origins_2019_2021,headline_yy,3,DAMPED_P95_Q001_R16,32,0.8032704784878069,1.069632347260663,-0.49417368359243957
all_models_common,origins_2019_2021,headline_yy,3,FUEL_ANNUAL_R17,32,0.8511897568501263,1.1150844240922562,-0.5190737922810362
all_models_common,origins_2019_2021,headline_yy,3,MCT_FAST_R18,32,0.8106452637279398,1.0878757544371558,-0.5654840073679221
all_models_common,origins_2019_2021,headline_yy,3,MCT_SIGNALS_R18,32,0.8106452637279398,1.0878757544371558,-0.5654840073679221
all_models_common,origins_2019_2021,headline_yy,3,MCT_SLOW_R18,32,0.8373375362367599,1.1409457293782603,-0.5966907480301263
all_models_common,origins_2019_2021,headline_yy,3,FOOD_H0_FAST_R18,32,0.808440957297199,1.072407022097717,-0.499323414609969
all_models_common,origins_2019_2021,headline_yy,3,FOOD_H0_SELECT_R18,32,0.8114943236644183,1.0750436763602103,-0.5014498477844609
all_models_common,origins_2019_2021,headline_yy,3,FOOD_H0_SLOW_R18,32,0.8077276637264502,1.072098278180813,-0.49909813990817686
all_models_common,origins_2022_2023,headline_yy,3,INDEPENDENT_BRIDGE,24,2.001881647333406,2.4949006456195617,-0.3021340466966384
