scope,metric,origin,target,h,model,benchmark,forecast,baseline,actual,loss_difference,absolute_loss_difference
all_models_common,headline_yy,2019-03,2019-04,1,INDEPENDENT_BRIDGE,STATE_FAST_R15,2.937094221029207,2.9383756042254587,2.769818529130847,-0.00043033046437550987,-0.0012813831962517064
all_models_common,headline_yy,2019-04,2019-05,1,INDEPENDENT_BRIDGE,STATE_FAST_R15,2.8138474735438552,2.824539189608261,2.9467680608364977,0.002727985564492063,0.010691716064405554
all_models_common,headline_yy,2019-05,2019-06,1,INDEPENDENT_BRIDGE,STATE_FAST_R15,2.267058190357526,2.2859173485581037,2.7462121212121224,0.017717211720796378,0.018859158200577486
all_models_common,headline_yy,2019-06,2019-07,1,INDEPENDENT_BRIDGE,STATE_FAST_R15,2.7101741910709922,2.742571930308312,2.9300567107750517,0.013197779564744536,0.03239773923731981
all_models_common,headline_yy,2019-07,2019-08,1,INDEPENDENT_BRIDGE,STATE_FAST_R15,3.03052672447182,2.927660256316292,2.9272898961284195,0.010657705559735964,0.1028664681555278
all_models_common,headline_yy,2019-08,2019-09,1,INDEPENDENT_BRIDGE,STATE_FAST_R15,3.0964867372693905,3.165469266703939,2.6515151515151705,-0.06614912039084456,-0.0689825294345483
all_models_common,headline_yy,2019-09,2019-10,1,INDEPENDENT_BRIDGE,STATE_FAST_R15,2.747268646724521,2.8580404206188597,2.735849056603792,-0.014800322401337352,-0.11077177389433857
all_models_common,headline_yy,2019-10,2019-11,1,INDEPENDENT_BRIDGE,STATE_FAST_R15,2.628293608176836,2.5567300109087925,3.116147308781873,-0.07494647996559006,-0.07156359726804373
all_models_common,headline_yy,2019-11,2019-12,1,INDEPENDENT_BRIDGE,STATE_FAST_R15,2.993817756756524,3.007710093087798,3.207547169811327,0.0057454047713448725,0.013892336331273736
all_models_common,headline_yy,2019-12,2020-01,1,INDEPENDENT_BRIDGE,STATE_FAST_R15,2.7910947728128668,2.801914262667741,3.6414565826330487,0.01828390058792395,0.010819489854874131
all_models_common,headline_yy,2020-01,2020-02,1,INDEPENDENT_BRIDGE,STATE_FAST_R15,3.1634607558976713,3.1240910708667537,3.7278657968313063,-0.04599086948227232,-0.039369685030917534
all_models_common,headline_yy,2020-02,2020-03,1,INDEPENDENT_BRIDGE,STATE_FAST_R15,3.4393495578062536,3.6493698220698354,3.4418604651162905,-0.04305382856775411,-0.204998449643508
all_models_common,headline_yy,2020-03,2020-04,1,INDEPENDENT_BRIDGE,STATE_FAST_R15,3.328207016801641,3.1813087519774,3.159851301115256,0.02788322480677353,0.14689826482424095
all_models_common,headline_yy,2020-04,2020-05,1,INDEPENDENT_BRIDGE,STATE_FAST_R15,2.685983311446939,2.485405569715463,2.862419205909517,-0.1110096570214527,-0.20057774173147624
all_models_common,headline_yy,2020-05,2020-06,1,INDEPENDENT_BRIDGE,STATE_FAST_R15,2.612745022130242,2.631693836354704,3.317972350230406,0.026367385691854317,0.01894881422446204
all_models_common,headline_yy,2020-06,2020-07,1,INDEPENDENT_BRIDGE,STATE_FAST_R15,2.8035760969085994,3.0890897526539023,3.397612488521572,0.2576929560132891,0.28551365574530285
all_models_common,headline_yy,2020-07,2020-08,1,INDEPENDENT_BRIDGE,STATE_FAST_R15,3.4002851817401223,3.4855482339482817,3.302752293577968,-0.023901691542615986,-0.08526305220815944
all_models_common,headline_yy,2020-08,2020-09,1,INDEPENDENT_BRIDGE,STATE_FAST_R15,3.7466267808227705,3.8957523283688413,3.2287822878228734,-0.17668611605556972,-0.14912554754607088
all_models_common,headline_yy,2020-09,2020-10,1,INDEPENDENT_BRIDGE,STATE_FAST_R15,3.280811683054414,3.3448769992440153,2.9384756657483617,-0.047968095122075796,-0.06406531618960143
all_models_common,headline_yy,2020-10,2020-11,1,INDEPENDENT_BRIDGE,STATE_FAST_R15,2.5519901499032724,2.697527042013431,2.655677655677633,0.008999727717025157,0.06183811943856243
all_models_common,headline_yy,2020-11,2020-12,1,INDEPENDENT_BRIDGE,STATE_FAST_R15,2.6948682851387122,2.726804436537213,2.285191956124307,-0.027186888301720114,-0.03193615139850081
all_models_common,headline_yy,2020-12,2021-01,1,INDEPENDENT_BRIDGE,STATE_FAST_R15,2.1106365762753105,2.1043818885944647,2.162162162162171,-0.0006836740125747438,-0.006254687680845805
