database,schema,name,column_names,column_types,temporary
czechia,cnb,mpr_vintages,"['publication_date' 'season' 'vintage_year' 'series_code'
 'series_label_en' 'category' 'period_year' 'value' 'is_forecast'
 'unit_note' 'source_url' 'xlsx_url' 'fetched_at']","['DATE' 'VARCHAR' 'INTEGER' 'VARCHAR' 'VARCHAR' 'VARCHAR' 'INTEGER'
 'DOUBLE' 'BOOLEAN' 'VARCHAR' 'VARCHAR' 'VARCHAR' 'TIMESTAMP']",False
czechia,consensus,inflation_expectations,"['survey_date' 'target' 'horizon_kind' 'horizon_value' 'metric'
 'value_pct' 'n_respondents' 'source' 'source_kind' 'fetched_at']","['DATE' 'VARCHAR' 'VARCHAR' 'VARCHAR' 'VARCHAR' 'DOUBLE' 'INTEGER'
 'VARCHAR' 'VARCHAR' 'TIMESTAMP']",False
czechia,cpi,cpi_momentum,"['year' 'month' 'code' 'date' 'label' 'idx_nsa' 'idx_sa' 'mom_sa_pct'
 'saar_1m' 'saar_3m' 'saar_6m' 'inst_ann' 'yoy_pct']","['INTEGER' 'INTEGER' 'VARCHAR' 'DATE' 'VARCHAR' 'DOUBLE' 'DOUBLE' 'DOUBLE'
 'DOUBLE' 'DOUBLE' 'DOUBLE' 'DOUBLE' 'DOUBLE']",False
czechia,cpi,hicp_index,['year' 'month' 'code' 'label' 'idx_nsa'],['INTEGER' 'INTEGER' 'VARCHAR' 'VARCHAR' 'DOUBLE'],False
czechia,cpi_czso,cpi_analytical,"['date' 'year' 'month' 'series_code' 'series_label_en' 'base'
 'weight_permille' 'idx_value']","['DATE' 'INTEGER' 'INTEGER' 'VARCHAR' 'VARCHAR' 'VARCHAR' 'DOUBLE'
 'DOUBLE']",False
czechia,cpi_czso,cpi_decomposition,['data_month' 'component' 'component_en' 'value_pp'],['DATE' 'VARCHAR' 'VARCHAR' 'DOUBLE'],False
czechia,cpi_czso,cpi_divisions,"['data_month' 'release_date' 'coicop_code' 'coicop_label_cs'
 'coicop_label_en' 'weight_basis_year' 'weight_per_mille' 'mom_idx'
 'yoy_idx_m2' 'yoy_idx_m1' 'yoy_idx_m0' 'base2025_idx'
 'inflation_rate_pct']","['DATE' 'DATE' 'VARCHAR' 'VARCHAR' 'VARCHAR' 'INTEGER' 'DOUBLE' 'DOUBLE'
 'DOUBLE' 'DOUBLE' 'DOUBLE' 'DOUBLE' 'DOUBLE']",False
czechia,cpi_czso,cpi_goods,['date' 'hh_group_code' 'base' 'weight_sum' 'value'],['DATE' 'VARCHAR' 'VARCHAR' 'DOUBLE' 'DOUBLE'],False
czechia,cpi_czso,cpi_long,"['date' 'year' 'month' 'coicop_code' 'coicop_label_cs' 'subgroup_code'
 'subgroup_label_cs' 'base' 'hh_group_code' 'hh_group_label' 'value'
 'period_type']","['DATE' 'INTEGER' 'INTEGER' 'VARCHAR' 'VARCHAR' 'VARCHAR' 'VARCHAR'
 'VARCHAR' 'VARCHAR' 'VARCHAR' 'DOUBLE' 'VARCHAR']",False
czechia,cpi_czso,cpi_momentum,"['year' 'month' 'code' 'date' 'label' 'weight' 'idx_nsa' 'idx_sa'
 'mom_sa_pct' 'saar_1m' 'saar_3m' 'saar_6m' 'inst_ann' 'yoy_pct']","['INTEGER' 'INTEGER' 'VARCHAR' 'DATE' 'VARCHAR' 'DOUBLE' 'DOUBLE' 'DOUBLE'
 'DOUBLE' 'DOUBLE' 'DOUBLE' 'DOUBLE' 'DOUBLE' 'DOUBLE']",False
czechia,cpi_czso,cpi_services,['date' 'hh_group_code' 'base' 'weight_sum' 'value'],['DATE' 'VARCHAR' 'VARCHAR' 'DOUBLE' 'DOUBLE'],False
czechia,cpi_czso,cpi_weights,"['country' 'basis_year' 'coicop_code' 'coicop_label_cs' 'coicop_label_en'
 'weight_per_mille' 'first_seen_in_release' 'last_seen_in_release'
 'source_url']","['VARCHAR' 'INTEGER' 'VARCHAR' 'VARCHAR' 'VARCHAR' 'DOUBLE' 'DATE' 'DATE'
 'VARCHAR']",False
czechia,cpi_czso,releases,"['data_month' 'release_date' 'release_code' 'title' 'source_url'
 'file_urls_json' 'fetched_at']",['DATE' 'DATE' 'VARCHAR' 'VARCHAR' 'VARCHAR' 'VARCHAR' 'TIMESTAMP'],False
czechia,czso,cen0201a,"['Ukazatel' 'IndicatorType' 'Typ údaje' 'TYPUDAJE5' 'Odvětví' 'HPS'
 'Měsíce, jejich kumulace, čtvrtletí, roky' 'CASMKMQR' 'Území' 'Uz0'
 'Hodnota' 'period' 'period_freq' 'Hodnota_num']","['VARCHAR' 'VARCHAR' 'VARCHAR' 'VARCHAR' 'VARCHAR' 'VARCHAR' 'VARCHAR'
 'VARCHAR' 'VARCHAR' 'VARCHAR' 'VARCHAR' 'DATE' 'VARCHAR' 'DOUBLE']",False
czechia,czso,cen0202a,"['Ukazatel' 'IndicatorType' 'Typ indexu' 'TYPUDAJESTAV'
 'Klasifikace stavebních děl' 'STAVDILA' 'Čtvrtletí, kumulace čtvrtletí'
 'CASQKQ' 'Území' 'Uz0' 'Hodnota' 'period' 'period_freq' 'Hodnota_num']","['VARCHAR' 'VARCHAR' 'VARCHAR' 'VARCHAR' 'VARCHAR' 'VARCHAR' 'VARCHAR'
 'VARCHAR' 'VARCHAR' 'VARCHAR' 'VARCHAR' 'DATE' 'VARCHAR' 'DOUBLE']",False
czechia,czso,confidence_ri,"['data_month' 'indicator' 'base_index' 'release_date' 'source_url'
 'xlsx_url' 'fetched_at']",['DATE' 'VARCHAR' 'DOUBLE' 'DATE' 'VARCHAR' 'VARCHAR' 'TIMESTAMP'],False
czechia,czso,construction_ri,"['release_date' 'data_month' 'code' 'label_cs' 'label_en' 'yoy_index'
 'source_url' 'xlsx_url' 'fetched_at']","['DATE' 'DATE' 'VARCHAR' 'VARCHAR' 'VARCHAR' 'DOUBLE' 'VARCHAR' 'VARCHAR'
 'TIMESTAMP']",False
