model,h,sample,scope,benchmark,n,block,draws,seed,eligible_blocks,n_origins_in_blocks,mean_loss_difference,ci_low,ci_high,bootstrap_probability_improvement,status
COMBO_ALL_R17,1,full,original_R16_calendar,STATE_FAST_R15,88,12,2000,1509,77,88,0.008509248710625101,-0.010925072453914282,0.037248521409973444,0.1685,ok
COMBO_ALL_R17,1,origins_2019_2021,original_R16_calendar,STATE_FAST_R15,34,12,2000,1509,23,34,0.0067975462856023905,-0.011659404201576587,0.023858170723500827,0.501,ok
COMBO_ALL_R17,1,origins_2022_2023,original_R16_calendar,STATE_FAST_R15,24,12,2000,1509,13,24,0.021257581618148124,-0.056720250471699755,0.04113785325323959,0.683,ok
COMBO_ALL_R17,1,origins_2024plus,original_R16_calendar,STATE_FAST_R15,30,12,2000,1509,19,30,0.00025051179963242763,-0.012215415218205709,0.012303202013798501,0.479,ok
COMBO_ALL_R17,1,recent_targets,original_R16_calendar,STATE_FAST_R15,31,12,2000,1509,20,31,0.0008307121207510067,-0.011511326688867618,0.014241825944648076,0.4185,ok
COMBO_ALL_R17,2,full,original_R16_calendar,STATE_FAST_R15,86,12,2000,1509,75,86,0.06856037510247698,-0.009580720645095015,0.21812141469963867,0.049,ok
COMBO_ALL_R17,2,origins_2019_2021,original_R16_calendar,STATE_FAST_R15,33,12,2000,1509,22,33,0.01998486460688084,-0.0406028450688536,0.05441202885667918,0.5225,ok
COMBO_ALL_R17,2,origins_2022_2023,original_R16_calendar,STATE_FAST_R15,24,12,2000,1509,13,24,0.21558721904528588,-0.08826794392010405,0.454673912493297,0.1235,ok
COMBO_ALL_R17,2,origins_2024plus,original_R16_calendar,STATE_FAST_R15,29,12,2000,1509,18,29,0.0021585679206583314,-0.04212990824527083,0.04430987534091811,0.5125,ok
COMBO_ALL_R17,2,recent_targets,original_R16_calendar,STATE_FAST_R15,31,12,2000,1509,20,31,0.0051686843359188,-0.037678633645730285,0.053554409077779704,0.389,ok
COMBO_ALL_R17,3,full,original_R16_calendar,STATE_FAST_R15,84,12,2000,1509,73,84,0.20606801820069653,-0.013166614866988946,0.6132573634487184,0.0415,ok
COMBO_ALL_R17,3,origins_2019_2021,original_R16_calendar,STATE_FAST_R15,32,12,2000,1509,21,32,0.10227447632496153,-0.05451011805411661,0.15499404704697886,0.4005,ok
COMBO_ALL_R17,3,origins_2022_2023,original_R16_calendar,STATE_FAST_R15,24,12,2000,1509,13,24,0.5786817230457318,-0.1856769081884383,1.220714374168095,0.1235,ok
COMBO_ALL_R17,3,origins_2024plus,original_R16_calendar,STATE_FAST_R15,28,12,2000,1509,17,28,0.005306033334363335,-0.062199543279322055,0.057118757652475136,0.612,ok
