origin,model,feature,band,monthly_log_core_correction,coefficient
2019-02,GAP_CALIBRATION_R23,intercept,1,0.014782197997874618,0.014782197997874618
2019-02,GAP_CALIBRATION_R23,intercept,2,0.019270642558804958,0.019270642558804958
2019-02,GAP_CALIBRATION_R23,intercept,3,0.023743668378966104,0.023743668378966104
2019-02,GAP_CALIBRATION_R23,intercept,4,0.026493556773003194,0.026493556773003194
2019-02,GAP_DOMESTIC_R23,intercept,1,0.026876723632499305,0.026876723632499305
2019-02,GAP_DOMESTIC_R23,intercept,2,0.03503753192509993,0.03503753192509993
2019-02,GAP_DOMESTIC_R23,intercept,3,0.04317030614357474,0.04317030614357474
2019-02,GAP_DOMESTIC_R23,intercept,4,0.048170103223642166,0.048170103223642166
2019-02,GAP_DOMESTIC_R23,ulc_gap,1,-2.934813535207588e-24,1.0360750338758613e-23
2019-02,GAP_DOMESTIC_R23,ulc_gap,2,-0.0045679164209171475,0.016126081278308807
2019-02,GAP_DOMESTIC_R23,ulc_gap,3,-0.006745591245017904,0.02381391047114784
2019-02,GAP_DOMESTIC_R23,ulc_gap,4,-4.6211130126241396e-23,1.6313880809330815e-22
2019-02,GAP_DOMESTIC_R23,tightening,1,-4.724547575426237e-13,7.461860825713511e-12
2019-02,GAP_DOMESTIC_R23,tightening,2,-0.00038119302392669466,0.006020490315450491
2019-02,GAP_DOMESTIC_R23,tightening,3,-0.0010749781058974213,0.016978000303387808
2019-02,GAP_DOMESTIC_R23,tightening,4,-0.00041458280244547106,0.006547842144024321
2019-02,GAP_IMPORTED_R23,intercept,1,0.02687672363249931,0.02687672363249931
2019-02,GAP_IMPORTED_R23,intercept,2,0.03503753192509993,0.03503753192509993
2019-02,GAP_IMPORTED_R23,intercept,3,0.043170306143574734,0.043170306143574734
2019-02,GAP_IMPORTED_R23,intercept,4,0.04817010322364217,0.04817010322364217
2019-02,GAP_IMPORTED_R23,import_gap,1,-8.795208197979768e-25,1.1752971084463886e-24
