month,housing_maintenance
2015-01,100.2
2015-02,100.3
2015-03,100.2
2015-04,100.5
2015-05,100.59999999999999
2015-06,100.59999999999999
2015-07,100.2
2015-08,100.3
2015-09,99.299999999999997
2015-10,99.200000000000003
2015-11,99.299999999999997
2015-12,99.299999999999997
2016-01,99.599999999999994
2016-02,99.900000000000006
2016-03,99.799999999999997
2016-04,100
2016-05,100.2
2016-06,99.900000000000006
2016-07,100
2016-08,99.900000000000006
2016-09,99.900000000000006
2016-10,100.09999999999999
2016-11,100.2
2016-12,100.3
2017-01,101.2
2017-02,101.40000000000001
2017-03,101.8
2017-04,102.09999999999999
2017-05,102.09999999999999
2017-06,102.3
2017-07,102.2
2017-08,102.09999999999999
2017-09,102.3
2017-10,102.7
2017-11,102.8
2017-12,103
2018-01,104
2018-02,104.09999999999999
2018-03,104.2
2018-04,104.8
2018-05,105.2
2018-06,105.40000000000001
2018-07,105.2
2018-08,105.2
2018-09,105.5
2018-10,105.8
2018-11,106.3
2018-12,106.5
2019-01,108.09999999999999
2019-02,108.40000000000001
2019-03,108.7
2019-04,109.3
2019-05,109.40000000000001
2019-06,109.7
2019-07,110.09999999999999
2019-08,110
2019-09,110.5
2019-10,110.7
2019-11,110.7
2019-12,110.8
2020-01,111.90000000000001
2020-02,111.90000000000001
2020-03,112
2020-04,112.3
2020-05,112.7
2020-06,113
2020-07,112.90000000000001
2020-08,113.09999999999999
2020-09,113.3
2020-10,113.5
2020-11,113.59999999999999
2020-12,113.7
2021-01,114.40000000000001
2021-02,114.59999999999999
2021-03,114.90000000000001
2021-04,115.3
2021-05,115.8
2021-06,117.2
2021-07,118.59999999999999
2021-08,119.90000000000001
2021-09,121.5
2021-10,122.5
2021-11,124
2021-12,124.59999999999999
2022-01,128.80000000000001
2022-02,130.30000000000001
2022-03,132.90000000000001
2022-04,135.90000000000001
2022-05,138.19999999999999
2022-06,141.69999999999999
2022-07,143.19999999999999
2022-08,144.5
2022-09,146
2022-10,147.30000000000001
2022-11,148.30000000000001
2022-12,149.30000000000001
2023-01,151.69999999999999
2023-02,152.90000000000001
2023-03,153.69999999999999
2023-04,154.19999999999999
2023-05,154.40000000000001
2023-06,154.90000000000001
2023-07,155.40000000000001
2023-08,155.59999999999999
2023-09,156.5
2023-10,156.90000000000001
2023-11,157
2023-12,157.19999999999999
2024-01,159.40000000000001
2024-02,160
2024-03,160.30000000000001
2024-04,160.80000000000001
2024-05,161.09999999999999
2024-06,161.59999999999999
2024-07,161.69999999999999
2024-08,162.30000000000001
2024-09,162.19999999999999
2024-10,162.80000000000001
2024-11,162.80000000000001
2024-12,163.09999999999999
2025-01,164.30000000000001
2025-02,165.19999999999999
2025-03,165.69999999999999
2025-04,166
2025-05,166.40000000000001
2025-06,166.5
2025-07,166.69999999999999
2025-08,166.90000000000001
2025-09,167.59999999999999
2025-10,168.19999999999999
2025-11,168.40000000000001
2025-12,168.59999999999999
2026-01,170.19999999999999
2026-02,170.80000000000001
2026-03,171.69999999999999
2026-04,172.59999999999999
2026-05,173.69999999999999
2026-06,175.09999999999999
2026-07,175.5
2026-08,175.80000000000001
