period,a6_11,a6_12
2002-05,0.0,1.0
2002-06,0.8414709848078965,0.5403023058681398
2002-07,0.9092974268256817,-0.4161468365471424
2002-08,0.1411200080598672,-0.9899924966004454
2002-09,-0.7568024953079282,-0.6536436208636119
2002-10,-0.9589242746631385,0.28366218546322625
2002-11,-0.27941549819892586,0.960170286650366
2002-12,0.6569865987187891,0.7539022543433046
2003-01,0.9893582466233818,-0.14550003380861354
2003-02,0.4121184852417566,-0.9111302618846769
2003-03,-0.5440211108893698,-0.8390715290764524
2003-04,-0.9999902065507035,0.004425697988050785
2003-05,-0.5365729180004349,0.8438539587324921
2003-06,0.4201670368266409,0.9074467814501962
2003-07,0.9906073556948704,0.1367372182078336
2003-08,0.6502878401571168,-0.7596879128588213
2003-09,-0.2879033166650653,-0.9576594803233847
2003-10,-0.9613974918795568,-0.27516333805159693
2003-11,-0.7509872467716762,0.6603167082440802
2003-12,0.14987720966295234,0.9887046181866692
2004-01,0.9129452507276277,0.40808206181339196
2004-02,0.8366556385360561,-0.5477292602242684
2004-03,-0.008851309290403876,-0.9999608263946371
2004-04,-0.8462204041751706,-0.5328330203333975
2004-05,-0.9055783620066238,0.424179007336997
2004-06,-0.13235175009777303,0.9912028118634736
2004-07,0.7625584504796027,0.6469193223286404
2004-08,0.956375928404503,-0.2921388087338362
2004-09,0.27090578830786904,-0.9626058663135666
2004-10,-0.6636338842129675,-0.7480575296890004
2004-11,-0.9880316240928618,0.15425144988758405
2004-12,-0.404037645323065,0.9147423578045313
2005-01,0.5514266812416906,0.8342233605065102
2005-02,0.9999118601072672,-0.013276747223059479
2005-03,0.5290826861200238,-0.8485702747846052
2005-04,-0.428182669496151,-0.9036922050915067
2005-05,-0.9917788534431158,-0.12796368962740468
2005-06,-0.6435381333569995,0.7654140519453434
2005-07,0.2963685787093853,0.9550736440472949
2005-08,0.9637953862840878,0.26664293235993725
2005-09,0.7451131604793488,-0.6669380616522619
2005-10,-0.158622668804709,-0.9873392775238264
2005-11,-0.9165215479156338,-0.39998531498835127
2005-12,-0.8317747426285983,0.5551133015206257
2006-01,0.017701925105413577,0.9998433086476912
2006-02,0.8509035245341184,0.5253219888177297
2006-03,0.9017883476488092,-0.4321779448847783
2006-04,0.123573122745224,-0.9923354691509287
2006-05,-0.7682546613236668,-0.6401443394691997
2006-06,-0.9537526527594719,0.3005925437436371
2006-07,-0.26237485370392877,0.9649660284921133
2006-08,0.6702291758433747,0.7421541968137826
2006-09,0.9866275920404853,-0.16299078079570548
2006-10,0.39592515018183416,-0.9182827862121189
2006-11,-0.5587890488516163,-0.8293098328631502
2006-12,-0.9997551733586199,0.022126756261955736
2007-01,-0.5215510020869119,0.853220107722584
2007-02,0.43616475524782494,0.8998668269691937
2007-03,0.9928726480845371,0.11918013544881928
2007-04,0.6367380071391379,-0.7710802229758452
2007-05,-0.3048106211022167,-0.9524129804151563
2007-06,-0.9661177700083929,-0.25810163593826746
2007-07,-0.7391806966492228,0.6735071623235862
2007-08,0.16735570030280691,0.9858965815825497
2007-09,0.9200260381967907,0.39185723042955
2007-10,0.8268286794901034,-0.562453851238172
2007-11,-0.026551154023966794,-0.99964745596635
2007-12,-0.8555199789753223,-0.5177697997895051
2008-01,-0.8979276806892913,0.4401430224960407
2008-02,-0.11478481378318722,0.9933903797222716
2008-03,0.7738906815578891,0.6333192030862999
2008-04,0.9510546532543747,-0.3090227281660707
2008-05,0.25382336276203626,-0.9672505882738824
2008-06,-0.6767719568873076,-0.7361927182273159
2008-07,-0.9851462604682474,0.17171734183077755
2008-08,-0.38778163540943045,0.9217512697247493
2008-09,0.5661076368981803,0.8243313311075577
2008-10,0.9995201585807313,-0.03097503173121646
2008-11,0.5139784559875352,-0.8578030932449878
2008-12,-0.4441126687075084,-0.8959709467909631
2009-01,-0.9938886539233752,-0.11038724383904756
2009-02,-0.6298879942744539,0.7766859820216312
2009-03,0.31322878243308516,0.9496776978825432
2009-04,0.9683644611001854,0.24954011797333814
2009-05,0.7331903200732922,-0.6800234955873388
2009-06,-0.1760756199485871,-0.9843766433940419
2009-07,-0.9234584470040598,-0.38369844494974187
2009-08,-0.8218178366308225,0.569750334265312
2009-09,0.03539830273366068,0.9993732836951247
2009-10,0.8600694058124532,0.5101770449416689
2009-11,0.8939966636005579,-0.4480736161291701
2009-12,0.10598751175115685,-0.9943674609282015
2010-01,-0.7794660696158047,-0.626444447910339
2010-02,-0.9482821412699473,0.31742870151970165
2010-03,-0.24525198546765434,0.9694593666699876
2010-04,0.683261714736121,0.7301735609948197
2010-05,0.9835877454343449,-0.18043044929108396
2010-06,0.3796077390275217,-0.9251475365964139
2010-07,-0.5733818719904229,-0.8192882452914593
2010-08,-0.9992068341863537,0.0398208803931389
2010-09,-0.5063656411097588,0.8623188722876839
2010-10,0.45202578717835057,0.8920048697881602
2010-11,0.9948267913584063,0.10158570369662134
2010-12,0.6229886314423488,-0.7822308898871159
