period,cpi_mm
2002-05,0.2
2002-06,0.2841470984807897
2002-07,0.2909297426825682
2002-08,0.21411200080598675
2002-09,0.1243197504692072
2002-10,0.10410757253368616
2002-11,0.17205845018010743
2002-12,0.2656986598718789
2003-01,0.2989358246623382
2003-02,0.24121184852417565
2003-03,0.14559788891106304
2003-04,0.10000097934492966
2003-05,0.1463427081999565
2003-06,0.2420167036826641
2003-07,0.29906073556948704
2003-08,0.2650287840157117
2003-09,0.1712096683334935
2003-10,0.10386025081204434
2003-11,0.12490127532283239
2003-12,0.21498772096629526
2004-01,0.29129452507276277
2004-02,0.28366556385360564
2004-03,0.19911486907095963
2004-04,0.11537795958248295
2004-05,0.10944216379933763
2004-06,0.1867648249902227
2004-07,0.2762558450479603
2004-08,0.2956375928404503
2004-09,0.22709057883078693
2004-10,0.13363661157870327
2004-11,0.10119683759071382
2004-12,0.15959623546769353
2005-01,0.2551426681241691
2005-02,0.2999911860107267
2005-03,0.2529082686120024
2005-04,0.1571817330503849
2005-05,0.10082211465568844
2005-06,0.13564618666430006
2005-07,0.22963685787093854
2005-08,0.2963795386284088
2005-09,0.2745113160479349
2005-10,0.1841377331195291
2005-11,0.10834784520843663
2005-12,0.11682252573714018
2006-01,0.20177019251054137
2006-02,0.28509035245341185
2006-03,0.29017883476488093
2006-04,0.21235731227452243
2006-05,0.12317453386763333
2006-06,0.10462473472405283
2006-07,0.17376251462960712
2006-08,0.2670229175843375
2006-09,0.29866275920404856
2006-10,0.23959251501818343
2006-11,0.1441210951148384
2006-12,0.10002448266413802
2007-01,0.14784489979130883
2007-02,0.2436164755247825
2007-03,0.2992872648084537
2007-04,0.2636738007139138
2007-05,0.16951893788977834
2007-06,0.10338822299916071
2007-07,0.12608193033507772
2007-08,0.2167355700302807
2007-09,0.2920026038196791
2007-10,0.2826828679490103
2007-11,0.19734488459760333
2007-12,0.11444800210246778
2008-01,0.11020723193107088
2008-02,0.1885215186216813
2008-03,0.2773890681557889
2008-04,0.29510546532543747
2008-05,0.22538233627620363
2008-06,0.13232280431126925
2008-07,0.10148537395317528
2008-08,0.16122183645905697
2008-09,0.25661076368981806
2008-10,0.29995201585807313
2008-11,0.25139784559875356
2008-12,0.15558873312924917
2009-01,0.1006111346076625
2009-02,0.13701120057255461
2009-03,0.23132287824330852
2009-04,0.2968364461100186
2009-05,0.2733190320073292
2009-06,0.1823924380051413
2009-07,0.10765415529959403
2009-08,0.11781821633691776
2009-09,0.20353983027336608
2009-10,0.2860069405812453
2009-11,0.28939966636005576
2009-12,0.2105987511751157
2010-01,0.12205339303841954
2010-02,0.10517178587300528
2010-03,0.17547480145323457
2010-04,0.2683261714736121
2010-05,0.2983587745434345
2010-06,0.23796077390275217
2010-07,0.14266181280095772
2010-08,0.10007931658136464
2010-09,0.14936343588902412
2010-10,0.24520257871783507
2010-11,0.29948267913584065
2010-12,0.2622988631442349
2011-01,0.16783775968374692
2011-02,0.10294647164625154
2011-03,0.12728574999191475
