origin,h,target,n_models_present,n_models_finite,original_all15_support
2019-02,1,2019-03,15,14,False
2019-02,2,2019-04,15,14,False
2019-02,3,2019-05,15,14,False
2019-02,4,2019-06,15,14,False
2019-02,5,2019-07,15,14,False
2019-02,6,2019-08,15,14,False
2019-02,7,2019-09,15,14,False
2019-02,8,2019-10,15,14,False
2019-02,9,2019-11,15,14,False
2019-02,10,2019-12,15,14,False
2019-02,11,2020-01,15,14,False
2019-02,12,2020-02,15,14,False
2019-03,1,2019-04,15,15,True
2019-03,2,2019-05,15,14,False
2019-03,3,2019-06,15,14,False
2019-03,4,2019-07,15,14,False
2019-03,5,2019-08,15,14,False
2019-03,6,2019-09,15,14,False
2019-03,7,2019-10,15,14,False
2019-03,8,2019-11,15,14,False
2019-03,9,2019-12,15,14,False
2019-03,10,2020-01,15,14,False
2019-03,11,2020-02,15,14,False
2019-03,12,2020-03,15,14,False
2019-04,1,2019-05,15,15,True
2019-04,2,2019-06,15,15,True
2019-04,3,2019-07,15,14,False
2019-04,4,2019-08,15,14,False
2019-04,5,2019-09,15,14,False
2019-04,6,2019-10,15,14,False
2019-04,7,2019-11,15,14,False
2019-04,8,2019-12,15,14,False
2019-04,9,2020-01,15,14,False
2019-04,10,2020-02,15,14,False
2019-04,11,2020-03,15,14,False
2019-04,12,2020-04,15,14,False
2019-05,1,2019-06,15,15,True
2019-05,2,2019-07,15,15,True
2019-05,3,2019-08,15,15,True
2019-05,4,2019-09,15,15,True
2019-05,5,2019-10,15,15,True
2019-05,6,2019-11,15,15,True
2019-05,7,2019-12,15,15,True
2019-05,8,2020-01,15,15,True
2019-05,9,2020-02,15,15,True
2019-05,10,2020-03,15,15,True
2019-05,11,2020-04,15,15,True
2019-05,12,2020-05,15,15,True
2019-06,1,2019-07,15,15,True
2019-06,2,2019-08,15,15,True
2019-06,3,2019-09,15,15,True
2019-06,4,2019-10,15,15,True
2019-06,5,2019-11,15,15,True
2019-06,6,2019-12,15,15,True
2019-06,7,2020-01,15,15,True
2019-06,8,2020-02,15,15,True
2019-06,9,2020-03,15,15,True
2019-06,10,2020-04,15,15,True
2019-06,11,2020-05,15,15,True
2019-06,12,2020-06,15,15,True
2019-07,1,2019-08,15,15,True
2019-07,2,2019-09,15,15,True
2019-07,3,2019-10,15,15,True
2019-07,4,2019-11,15,15,True
2019-07,5,2019-12,15,15,True
2019-07,6,2020-01,15,15,True
2019-07,7,2020-02,15,15,True
2019-07,8,2020-03,15,15,True
2019-07,9,2020-04,15,15,True
2019-07,10,2020-05,15,15,True
2019-07,11,2020-06,15,15,True
2019-07,12,2020-07,15,15,True
2019-08,1,2019-09,15,15,True
2019-08,2,2019-10,15,15,True
2019-08,3,2019-11,15,15,True
2019-08,4,2019-12,15,15,True
2019-08,5,2020-01,15,15,True
2019-08,6,2020-02,15,15,True
2019-08,7,2020-03,15,15,True
2019-08,8,2020-04,15,15,True
2019-08,9,2020-05,15,15,True
2019-08,10,2020-06,15,15,True
2019-08,11,2020-07,15,15,True
2019-08,12,2020-08,15,15,True
2019-09,1,2019-10,15,15,True
2019-09,2,2019-11,15,15,True
2019-09,3,2019-12,15,15,True
2019-09,4,2020-01,15,15,True
2019-09,5,2020-02,15,15,True
2019-09,6,2020-03,15,15,True
2019-09,7,2020-04,15,15,True
2019-09,8,2020-05,15,15,True
2019-09,9,2020-06,15,15,True
2019-09,10,2020-07,15,15,True
2019-09,11,2020-08,15,15,True
2019-09,12,2020-09,15,15,True
2019-10,1,2019-11,15,15,True
2019-10,2,2019-12,15,15,True
2019-10,3,2020-01,15,15,True
2019-10,4,2020-02,15,15,True
2019-10,5,2020-03,15,15,True
2019-10,6,2020-04,15,15,True
2019-10,7,2020-05,15,15,True
2019-10,8,2020-06,15,15,True
2019-10,9,2020-07,15,15,True
2019-10,10,2020-08,15,15,True
2019-10,11,2020-09,15,15,True
2019-10,12,2020-10,15,15,True
2019-11,1,2019-12,15,15,True
2019-11,2,2020-01,15,15,True
2019-11,3,2020-02,15,15,True
2019-11,4,2020-03,15,15,True
2019-11,5,2020-04,15,15,True
2019-11,6,2020-05,15,15,True
2019-11,7,2020-06,15,15,True
2019-11,8,2020-07,15,15,True
2019-11,9,2020-08,15,15,True
2019-11,10,2020-09,15,15,True
2019-11,11,2020-10,15,15,True
2019-11,12,2020-11,15,15,True
2019-12,1,2020-01,15,15,True
2019-12,2,2020-02,15,15,True
2019-12,3,2020-03,15,15,True
2019-12,4,2020-04,15,15,True
2019-12,5,2020-05,15,15,True
2019-12,6,2020-06,15,15,True
2019-12,7,2020-07,15,15,True
2019-12,8,2020-08,15,15,True
2019-12,9,2020-09,15,15,True
2019-12,10,2020-10,15,15,True
2019-12,11,2020-11,15,15,True
2019-12,12,2020-12,15,15,True
2020-01,1,2020-02,15,15,True
2020-01,2,2020-03,15,15,True
2020-01,3,2020-04,15,15,True
2020-01,4,2020-05,15,15,True
2020-01,5,2020-06,15,15,True
2020-01,6,2020-07,15,15,True
2020-01,7,2020-08,15,15,True
2020-01,8,2020-09,15,15,True
2020-01,9,2020-10,15,15,True
2020-01,10,2020-11,15,15,True
2020-01,11,2020-12,15,15,True
2020-01,12,2021-01,15,15,True
2020-02,1,2020-03,15,15,True
2020-02,2,2020-04,15,15,True
2020-02,3,2020-05,15,15,True
2020-02,4,2020-06,15,15,True
2020-02,5,2020-07,15,15,True
2020-02,6,2020-08,15,15,True
2020-02,7,2020-09,15,15,True
2020-02,8,2020-10,15,15,True
2020-02,9,2020-11,15,15,True
2020-02,10,2020-12,15,15,True
2020-02,11,2021-01,15,15,True
2020-02,12,2021-02,15,15,True
2020-03,1,2020-04,15,15,True
2020-03,2,2020-05,15,15,True
2020-03,3,2020-06,15,15,True
2020-03,4,2020-07,15,15,True
2020-03,5,2020-08,15,15,True
2020-03,6,2020-09,15,15,True
2020-03,7,2020-10,15,15,True
2020-03,8,2020-11,15,15,True
2020-03,9,2020-12,15,15,True
2020-03,10,2021-01,15,15,True
2020-03,11,2021-02,15,15,True
2020-03,12,2021-03,15,15,True
2020-04,1,2020-05,15,15,True
2020-04,2,2020-06,15,15,True
2020-04,3,2020-07,15,15,True
2020-04,4,2020-08,15,15,True
2020-04,5,2020-09,15,15,True
2020-04,6,2020-10,15,15,True
2020-04,7,2020-11,15,15,True
2020-04,8,2020-12,15,15,True
2020-04,9,2021-01,15,15,True
2020-04,10,2021-02,15,15,True
2020-04,11,2021-03,15,15,True
2020-04,12,2021-04,15,15,True
2020-05,1,2020-06,15,15,True
2020-05,2,2020-07,15,15,True
2020-05,3,2020-08,15,15,True
2020-05,4,2020-09,15,15,True
2020-05,5,2020-10,15,15,True
2020-05,6,2020-11,15,15,True
2020-05,7,2020-12,15,15,True
2020-05,8,2021-01,15,15,True
2020-05,9,2021-02,15,15,True
2020-05,10,2021-03,15,15,True
2020-05,11,2021-04,15,15,True
2020-05,12,2021-05,15,15,True
2020-06,1,2020-07,15,15,True
2020-06,2,2020-08,15,15,True
2020-06,3,2020-09,15,15,True
2020-06,4,2020-10,15,15,True
2020-06,5,2020-11,15,15,True
2020-06,6,2020-12,15,15,True
2020-06,7,2021-01,15,15,True
2020-06,8,2021-02,15,15,True
2020-06,9,2021-03,15,15,True
2020-06,10,2021-04,15,15,True
2020-06,11,2021-05,15,15,True
2020-06,12,2021-06,15,15,True
2020-07,1,2020-08,15,15,True
2020-07,2,2020-09,15,15,True
2020-07,3,2020-10,15,15,True
2020-07,4,2020-11,15,15,True
2020-07,5,2020-12,15,15,True
2020-07,6,2021-01,15,15,True
2020-07,7,2021-02,15,15,True
2020-07,8,2021-03,15,15,True
2020-07,9,2021-04,15,15,True
2020-07,10,2021-05,15,15,True
2020-07,11,2021-06,15,15,True
2020-07,12,2021-07,15,15,True
2020-08,1,2020-09,15,15,True
2020-08,2,2020-10,15,15,True
2020-08,3,2020-11,15,15,True
2020-08,4,2020-12,15,15,True
2020-08,5,2021-01,15,15,True
2020-08,6,2021-02,15,15,True
2020-08,7,2021-03,15,15,True
2020-08,8,2021-04,15,15,True
2020-08,9,2021-05,15,15,True
2020-08,10,2021-06,15,15,True
2020-08,11,2021-07,15,15,True
2020-08,12,2021-08,15,15,True
2020-09,1,2020-10,15,15,True
2020-09,2,2020-11,15,15,True
2020-09,3,2020-12,15,15,True
2020-09,4,2021-01,15,15,True
2020-09,5,2021-02,15,15,True
2020-09,6,2021-03,15,15,True
2020-09,7,2021-04,15,15,True
2020-09,8,2021-05,15,15,True
2020-09,9,2021-06,15,15,True
2020-09,10,2021-07,15,15,True
2020-09,11,2021-08,15,15,True
2020-09,12,2021-09,15,15,True
2020-10,1,2020-11,15,15,True
2020-10,2,2020-12,15,15,True
2020-10,3,2021-01,15,15,True
2020-10,4,2021-02,15,15,True
2020-10,5,2021-03,15,15,True
2020-10,6,2021-04,15,15,True
2020-10,7,2021-05,15,15,True
2020-10,8,2021-06,15,15,True
2020-10,9,2021-07,15,15,True
2020-10,10,2021-08,15,15,True
2020-10,11,2021-09,15,15,True
2020-10,12,2021-10,15,15,True
2020-11,1,2020-12,15,15,True
2020-11,2,2021-01,15,15,True
2020-11,3,2021-02,15,15,True
2020-11,4,2021-03,15,15,True
2020-11,5,2021-04,15,15,True
2020-11,6,2021-05,15,15,True
2020-11,7,2021-06,15,15,True
2020-11,8,2021-07,15,15,True
2020-11,9,2021-08,15,15,True
2020-11,10,2021-09,15,15,True
2020-11,11,2021-10,15,15,True
2020-11,12,2021-11,15,15,True
2020-12,1,2021-01,15,15,True
2020-12,2,2021-02,15,15,True
2020-12,3,2021-03,15,15,True
2020-12,4,2021-04,15,15,True
2020-12,5,2021-05,15,15,True
2020-12,6,2021-06,15,15,True
2020-12,7,2021-07,15,15,True
2020-12,8,2021-08,15,15,True
2020-12,9,2021-09,15,15,True
2020-12,10,2021-10,15,15,True
2020-12,11,2021-11,15,15,True
2020-12,12,2021-12,15,15,True
2021-01,1,2021-02,15,15,True
2021-01,2,2021-03,15,15,True
2021-01,3,2021-04,15,15,True
2021-01,4,2021-05,15,15,True
2021-01,5,2021-06,15,15,True
2021-01,6,2021-07,15,15,True
2021-01,7,2021-08,15,15,True
2021-01,8,2021-09,15,15,True
2021-01,9,2021-10,15,15,True
2021-01,10,2021-11,15,15,True
2021-01,11,2021-12,15,15,True
2021-01,12,2022-01,15,15,True
2021-02,1,2021-03,15,15,True
2021-02,2,2021-04,15,15,True
2021-02,3,2021-05,15,15,True
2021-02,4,2021-06,15,15,True
2021-02,5,2021-07,15,15,True
2021-02,6,2021-08,15,15,True
2021-02,7,2021-09,15,15,True
2021-02,8,2021-10,15,15,True
2021-02,9,2021-11,15,15,True
2021-02,10,2021-12,15,15,True
2021-02,11,2022-01,15,15,True
2021-02,12,2022-02,15,15,True
2021-03,1,2021-04,15,15,True
2021-03,2,2021-05,15,15,True
2021-03,3,2021-06,15,15,True
2021-03,4,2021-07,15,15,True
2021-03,5,2021-08,15,15,True
2021-03,6,2021-09,15,15,True
2021-03,7,2021-10,15,15,True
2021-03,8,2021-11,15,15,True
2021-03,9,2021-12,15,15,True
2021-03,10,2022-01,15,15,True
2021-03,11,2022-02,15,15,True
2021-03,12,2022-03,15,15,True
2021-04,1,2021-05,15,15,True
2021-04,2,2021-06,15,15,True
2021-04,3,2021-07,15,15,True
2021-04,4,2021-08,15,15,True
2021-04,5,2021-09,15,15,True
2021-04,6,2021-10,15,15,True
2021-04,7,2021-11,15,15,True
2021-04,8,2021-12,15,15,True
2021-04,9,2022-01,15,15,True
2021-04,10,2022-02,15,15,True
2021-04,11,2022-03,15,15,True
2021-04,12,2022-04,15,15,True
2021-05,1,2021-06,15,15,True
2021-05,2,2021-07,15,15,True
2021-05,3,2021-08,15,15,True
2021-05,4,2021-09,15,15,True
2021-05,5,2021-10,15,15,True
2021-05,6,2021-11,15,15,True
2021-05,7,2021-12,15,15,True
2021-05,8,2022-01,15,15,True
2021-05,9,2022-02,15,15,True
2021-05,10,2022-03,15,15,True
2021-05,11,2022-04,15,15,True
2021-05,12,2022-05,15,15,True
2021-06,1,2021-07,15,15,True
2021-06,2,2021-08,15,15,True
