sample,model,benchmark,h,n,unit,mean_total_squared_loss_difference,mean_core_effect_squared_loss_difference,mean_retained_squared_loss_difference,mean_cross_moment_difference,mean_core_cumulative_squared_loss_difference,mean_identity_residual,total_rmse_log,total_fast_rmse_log,core_cumulative_rmse_log,core_cumulative_fast_rmse_log
full,BLEND_DAMPED_TRANSMISSION_R16,STATE_FAST_R15,1,88,annual_log_pp_squared,0.010252685711791382,0.0035910690713738024,1.0521658463604427e-16,0.006661616640417482,0.011434830693516971,-8.588991088153811e-18,0.7720285861882252,0.7653596881074928,0.3351723856639381,0.31765657150158044
full,BLEND_DAMPED_TRANSMISSION_R16,STATE_FAST_R15,2,86,annual_log_pp_squared,0.03130719999600192,0.01740540014810074,2.8542252540781187e-18,0.013901799847901134,0.056344520181207655,3.630643231348298e-17,1.1077417639156304,1.0935193713542115,0.6185041773924719,0.5711417488423787
full,BLEND_DAMPED_TRANSMISSION_R16,STATE_FAST_R15,3,84,annual_log_pp_squared,0.10290417892863887,0.04373933561600188,1.840459002131584e-16,0.05916484331263675,0.14058243845997792,3.76011639152949e-17,1.3477876400741031,1.3090558978927835,0.9029129498700368,0.8213825884343018
full,BLEND_DAMPED_TRANSMISSION_R16,STATE_FAST_R15,4,83,annual_log_pp_squared,0.20199650363820223,0.07849789038766976,-1.8532666554145074e-16,0.12349861325053262,0.2521924361986451,6.833478102317373e-17,1.6039224993257761,1.5396658339410023,1.2030204572094751,1.09319064406253
full,BLEND_DAMPED_TRANSMISSION_R16,STATE_FAST_R15,5,82,annual_log_pp_squared,0.3672673643680213,0.13622383838080512,-1.5514139769604775e-16,0.2310435259872165,0.4375094807040061,-1.7309155463953946e-16,1.8974385023029217,1.7980560351817554,1.5514506778842865,1.4033850951195135
full,BLEND_DAMPED_TRANSMISSION_R16,STATE_FAST_R15,6,81,annual_log_pp_squared,0.6166614880489969,0.21544155482402055,-2.878355989768924e-17,0.40121993322497623,0.6898273724810271,1.0449567308839303e-16,2.2197619449373454,2.0762181012945216,1.9441540990568522,1.7578133542553755
full,BLEND_DAMPED_TRANSMISSION_R16,STATE_FAST_R15,7,80,annual_log_pp_squared,0.9752558641626962,0.3059493452790475,-4.9179410543942484e-17,0.6693065188836489,0.9748353147696914,-3.10775710721245e-16,2.6034476686212327,2.408876065530694,2.3602136135500693,2.1437754049380695
full,BLEND_DAMPED_TRANSMISSION_R16,STATE_FAST_R15,8,79,annual_log_pp_squared,1.334972221363979,0.4071536533061022,1.2087962158134746e-16,0.927818568057877,1.2946946218032427,-5.871435106743652e-17,3.022317921587301,2.7927465688429023,2.7874527295293436,2.5446410547574967
full,BLEND_DAMPED_TRANSMISSION_R16,STATE_FAST_R15,9,78,annual_log_pp_squared,1.675781074319343,0.5146820357928369,-1.9790755406007277e-16,1.1610990385265068,1.6372155493956617,-5.756001533669839e-16,3.481676411963302,3.232072023223231,3.223283253632732,2.958435293149666
full,BLEND_DAMPED_TRANSMISSION_R16,STATE_FAST_R15,10,77,annual_log_pp_squared,1.855485658678663,0.5060970531770177,1.0368915322315915e-16,1.3493886055016453,1.61180845891846,-7.348919452774474e-17,3.921257731520659,3.6770608559462117,3.6052640486342553,3.374332586076275
full,BLEND_DAMPED_TRANSMISSION_R16,STATE_FAST_R15,11,76,annual_log_pp_squared,2.1269583973767956,0.46265164076191523,-1.4866195012033644e-16,1.6643067566148797,1.4776400249254023,6.6469582031474475e-16,4.354152137558509,4.102643347846426,3.9908647345168937,3.801231550995703
