report_date,cutoff_date,season,vintage_year,quarter,value,is_forecast,row_label,xlsx_url
2022-02-10,2022-01-21,winter,2022,2018Q1,1.9,False,"Consumer Price Index  (%, y-o-y, average)",https://www.cnb.cz/export/sites/cnb/cs/menova-politika/.galleries/zpravy_o_menove_politice/2022/zima_2022/download/zomp_2022_zima_makroindikatory.xlsx
2022-02-10,2022-01-21,winter,2022,2018Q2,2.23333333333333,False,"Consumer Price Index  (%, y-o-y, average)",https://www.cnb.cz/export/sites/cnb/cs/menova-politika/.galleries/zpravy_o_menove_politice/2022/zima_2022/download/zomp_2022_zima_makroindikatory.xlsx
2022-02-10,2022-01-21,winter,2022,2018Q3,2.36666666666667,False,"Consumer Price Index  (%, y-o-y, average)",https://www.cnb.cz/export/sites/cnb/cs/menova-politika/.galleries/zpravy_o_menove_politice/2022/zima_2022/download/zomp_2022_zima_makroindikatory.xlsx
2022-02-10,2022-01-21,winter,2022,2018Q4,2.06666666666667,False,"Consumer Price Index  (%, y-o-y, average)",https://www.cnb.cz/export/sites/cnb/cs/menova-politika/.galleries/zpravy_o_menove_politice/2022/zima_2022/download/zomp_2022_zima_makroindikatory.xlsx
2022-02-10,2022-01-21,winter,2022,2019Q1,2.73333333333333,False,"Consumer Price Index  (%, y-o-y, average)",https://www.cnb.cz/export/sites/cnb/cs/menova-politika/.galleries/zpravy_o_menove_politice/2022/zima_2022/download/zomp_2022_zima_makroindikatory.xlsx
2022-02-10,2022-01-21,winter,2022,2019Q2,2.8,False,"Consumer Price Index  (%, y-o-y, average)",https://www.cnb.cz/export/sites/cnb/cs/menova-politika/.galleries/zpravy_o_menove_politice/2022/zima_2022/download/zomp_2022_zima_makroindikatory.xlsx
2022-02-10,2022-01-21,winter,2022,2019Q3,2.83333333333333,False,"Consumer Price Index  (%, y-o-y, average)",https://www.cnb.cz/export/sites/cnb/cs/menova-politika/.galleries/zpravy_o_menove_politice/2022/zima_2022/download/zomp_2022_zima_makroindikatory.xlsx
2022-02-10,2022-01-21,winter,2022,2019Q4,3.0,False,"Consumer Price Index  (%, y-o-y, average)",https://www.cnb.cz/export/sites/cnb/cs/menova-politika/.galleries/zpravy_o_menove_politice/2022/zima_2022/download/zomp_2022_zima_makroindikatory.xlsx
2022-02-10,2022-01-21,winter,2022,2020Q1,3.56666666666667,False,"Consumer Price Index  (%, y-o-y, average)",https://www.cnb.cz/export/sites/cnb/cs/menova-politika/.galleries/zpravy_o_menove_politice/2022/zima_2022/download/zomp_2022_zima_makroindikatory.xlsx
2022-02-10,2022-01-21,winter,2022,2020Q2,3.13333333333333,False,"Consumer Price Index  (%, y-o-y, average)",https://www.cnb.cz/export/sites/cnb/cs/menova-politika/.galleries/zpravy_o_menove_politice/2022/zima_2022/download/zomp_2022_zima_makroindikatory.xlsx
