obs_date,ACTUAL_RELEASE,BN_SURVEY_MEDIAN,BN_SURVEY_AVERAGE,ECO_RELEASE_DT
2010-01-31,1.2,1.5,1.5,20100209.0
2010-02-28,0.0,0.2,0.2,20100309.0
2010-03-31,0.3,0.2,0.2,20100409.0
2010-04-30,0.3,0.3,0.3,20100510.0
2010-05-31,0.1,0.1,0.1,20100609.0
2010-06-30,0.0,0.2,0.2,20100712.0
2010-07-31,0.3,0.3,0.2,20100809.0
2010-08-31,-0.3,-0.2,-0.1,20100909.0
2010-09-30,-0.3,-0.3,-0.3,20101011.0
2010-10-31,-0.2,0.0,0.0,20101109.0
2010-11-30,0.2,0.2,0.2,20101209.0
2010-12-31,0.5,0.4,0.4,20110110.0
2011-01-31,0.7,1.2,1.2,20110209.0
2011-02-28,0.1,0.2,0.2,20110309.0
2011-03-31,0.1,0.2,0.2,20110411.0
2011-04-30,0.3,0.3,0.3,20110510.0
2011-05-31,0.5,0.3,0.2,20110609.0
2011-06-30,-0.2,0.1,0.1,20110712.0
2011-07-31,0.3,0.2,0.2,20110809.0
2011-08-31,-0.3,-0.1,-0.1,20110909.0
2011-09-30,-0.2,-0.3,-0.3,20111010.0
2011-10-31,0.3,0.1,0.1,20111109.0
2011-11-30,0.4,0.2,0.2,20111209.0
2011-12-31,0.4,0.5,0.5,20120109.0
2012-01-31,1.8,1.4,1.4,20120216.0
2012-02-29,0.2,0.2,0.3,20120309.0
2012-03-31,0.2,0.3,0.3,20120410.0
2012-04-30,0.0,0.1,0.1,20120510.0
2012-05-31,0.2,0.1,0.1,20120611.0
2012-06-30,0.2,0.0,0.0,20120711.0
2012-07-31,-0.1,0.2,0.2,20120809.0
2012-08-31,-0.1,-0.1,-0.1,20120910.0
2012-09-30,-0.1,-0.1,-0.2,20121009.0
2012-10-31,0.2,0.2,0.2,20121109.0
2012-11-30,-0.2,0.1,0.1,20121210.0
2012-12-31,0.1,0.1,0.1,20130109.0
2013-01-31,1.3,1.5,1.4,20130211.0
2013-02-28,0.1,0.2,0.2,20130311.0
2013-03-31,0.1,0.1,0.1,20130409.0
2013-04-30,0.1,0.0,0.0,20130510.0
2013-05-31,-0.2,0.0,0.0,20130610.0
2013-06-30,0.4,0.2,0.1,20130709.0
2013-07-31,-0.2,0.0,0.0,20130809.0
2013-08-31,-0.2,-0.1,-0.1,20130909.0
2013-09-30,-0.4,-0.2,-0.2,20131009.0
2013-10-31,0.2,0.1,0.1,20131111.0
2013-11-30,-0.1,0.0,0.0,20131209.0
2013-12-31,0.4,0.3,0.3,20140109.0
2014-01-31,0.1,0.4,0.4,20140212.0
2014-02-28,0.2,0.1,0.1,20140310.0
2014-03-31,0.0,0.1,0.1,20140409.0
2014-04-30,0.0,0.2,0.2,20140512.0
2014-05-31,0.1,0.1,0.1,20140609.0
