folder,commodity,iso_year,iso_week,week_end,published,lag_days,url
01,dairy,2005,13,2005-04-03,2005-04-06,3,https://szif.gov.cz/cs/CmDocument?rid=%2Fapa_anon%2Fcs%2Fzpravy%2Ftis%2Fcenovy_servis%2F01%2F1246723204265.pdf
05,cattle,2005,13,2005-04-03,2005-04-07,4,https://szif.gov.cz/cs/CmDocument?rid=%2Fapa_anon%2Fcs%2Fzpravy%2Ftis%2Fcenovy_servis%2F05%2F1246723244953.pdf
04,pigs,2005,13,2005-04-03,2005-04-07,4,https://szif.gov.cz/cs/CmDocument?rid=%2Fapa_anon%2Fcs%2Fzpravy%2Ftis%2Fcenovy_servis%2F04%2F1246723235093.pdf
01,dairy,2005,14,2005-04-10,2005-04-14,4,https://szif.gov.cz/cs/CmDocument?rid=%2Fapa_anon%2Fcs%2Fzpravy%2Ftis%2Fcenovy_servis%2F01%2F1246723204203.pdf
05,cattle,2005,14,2005-04-10,2005-04-14,4,https://szif.gov.cz/cs/CmDocument?rid=%2Fapa_anon%2Fcs%2Fzpravy%2Ftis%2Fcenovy_servis%2F05%2F1246723244921.pdf
04,pigs,2005,14,2005-04-10,2005-04-14,4,https://szif.gov.cz/cs/CmDocument?rid=%2Fapa_anon%2Fcs%2Fzpravy%2Ftis%2Fcenovy_servis%2F04%2F1246723235046.pdf
04,pigs,2005,15,2005-04-17,2005-04-20,3,https://szif.gov.cz/cs/CmDocument?rid=%2Fapa_anon%2Fcs%2Fzpravy%2Ftis%2Fcenovy_servis%2F04%2F1246723235015.pdf
05,cattle,2005,15,2005-04-17,2005-04-20,3,https://szif.gov.cz/cs/CmDocument?rid=%2Fapa_anon%2Fcs%2Fzpravy%2Ftis%2Fcenovy_servis%2F05%2F1246723244890.pdf
01,dairy,2005,15,2005-04-17,2005-04-20,3,https://szif.gov.cz/cs/CmDocument?rid=%2Fapa_anon%2Fcs%2Fzpravy%2Ftis%2Fcenovy_servis%2F01%2F1246723204140.pdf
01,dairy,2005,16,2005-04-24,2005-04-28,4,https://szif.gov.cz/cs/CmDocument?rid=%2Fapa_anon%2Fcs%2Fzpravy%2Ftis%2Fcenovy_servis%2F01%2F1246723204093.pdf
05,cattle,2005,17,2005-05-01,2005-05-04,3,https://szif.gov.cz/cs/CmDocument?rid=%2Fapa_anon%2Fcs%2Fzpravy%2Ftis%2Fcenovy_servis%2F05%2F1246723244812.pdf
04,pigs,2005,17,2005-05-01,2005-05-04,3,https://szif.gov.cz/cs/CmDocument?rid=%2Fapa_anon%2Fcs%2Fzpravy%2Ftis%2Fcenovy_servis%2F04%2F1246723234953.pdf
01,dairy,2005,17,2005-05-01,2005-05-05,4,https://szif.gov.cz/cs/CmDocument?rid=%2Fapa_anon%2Fcs%2Fzpravy%2Ftis%2Fcenovy_servis%2F01%2F1246723204062.pdf
01,dairy,2005,18,2005-05-08,2005-05-11,3,https://szif.gov.cz/cs/CmDocument?rid=%2Fapa_anon%2Fcs%2Fzpravy%2Ftis%2Fcenovy_servis%2F01%2F1246723204015.pdf
05,cattle,2005,18,2005-05-08,2005-05-11,3,https://szif.gov.cz/cs/CmDocument?rid=%2Fapa_anon%2Fcs%2Fzpravy%2Ftis%2Fcenovy_servis%2F05%2F1246723244781.pdf
