target_month,release_dt,actual,survey_median,survey_mean,era
2013-07,2013-08-09 00:00:00,-0.2,0.0,0.0,regular
2013-08,2013-09-09 00:00:00,-0.2,-0.1,-0.1,regular
2013-09,2013-10-09 00:00:00,-0.4,-0.2,-0.2,regular
2013-10,2013-11-11 00:00:00,0.2,0.1,0.1,regular
2013-11,2013-12-09 00:00:00,-0.1,0.0,0.0,regular
2013-12,2014-01-09 00:00:00,0.4,0.3,0.3,regular
2014-01,2014-02-12 00:00:00,0.1,0.4,0.4,regular
2014-02,2014-03-10 00:00:00,0.2,0.1,0.1,regular
2014-03,2014-04-09 00:00:00,0.0,0.1,0.1,regular
2014-04,2014-05-12 00:00:00,0.0,0.2,0.2,regular
2014-05,2014-06-09 00:00:00,0.1,0.1,0.1,regular
2014-06,2014-07-09 00:00:00,0.0,0.2,0.2,regular
2014-07,2014-08-11 00:00:00,0.2,0.1,0.1,regular
2014-08,2014-09-09 00:00:00,-0.1,-0.2,-0.2,regular
2014-09,2014-10-09 00:00:00,-0.2,-0.2,-0.2,regular
2014-10,2014-11-10 00:00:00,0.2,0.1,0.1,regular
2014-11,2014-12-09 00:00:00,-0.2,-0.1,-0.1,regular
2014-12,2015-01-09 00:00:00,-0.1,0.0,0.0,regular
2015-01,2015-02-09 00:00:00,0.1,-0.2,-0.2,regular
2015-02,2015-03-09 00:00:00,0.2,0.0,0.0,regular
2015-03,2015-04-09 00:00:00,0.1,0.2,0.2,regular
2015-04,2015-05-12 00:00:00,0.3,0.2,0.2,regular
2015-05,2015-06-09 00:00:00,0.3,0.1,0.1,regular
2015-06,2015-07-09 00:00:00,0.1,0.2,0.2,regular
2015-07,2015-08-10 00:00:00,-0.1,0.0,0.0,regular
2015-08,2015-09-09 00:00:00,-0.2,-0.2,-0.2,regular
2015-09,2015-10-09 00:00:00,-0.2,-0.3,-0.3,regular
2015-10,2015-11-09 00:00:00,0.0,0.2,0.2,regular
2015-11,2015-12-09 00:00:00,-0.4,-0.1,-0.1,regular
2015-12,2016-01-12 00:00:00,-0.1,-0.1,0.0,regular
2016-01,2016-02-12 00:00:00,0.6,0.5,0.4,regular
2016-02,2016-03-09 00:00:00,0.1,0.1,0.1,regular
2016-03,2016-04-11 00:00:00,-0.1,0.0,0.0,regular
2016-04,2016-05-10 00:00:00,0.6,0.3,0.4,regular
2016-05,2016-06-09 00:00:00,-0.2,0.1,0.1,regular
2016-06,2016-07-12 00:00:00,0.1,0.1,0.1,regular
2016-07,2016-08-09 00:00:00,0.3,0.1,0.2,regular
2016-08,2016-09-09 00:00:00,-0.2,-0.1,-0.1,regular
2016-09,2016-10-10 00:00:00,-0.2,-0.2,-0.1,regular
2016-10,2016-11-09 00:00:00,0.3,0.2,0.1,regular
2016-11,2016-12-09 00:00:00,0.3,0.2,0.2,regular
2016-12,2017-01-10 00:00:00,0.3,0.3,0.3,regular
2017-01,2017-02-10 00:00:00,0.8,0.7,0.7,regular
2017-02,2017-03-09 00:00:00,0.4,0.3,0.3,regular
2017-03,2017-04-10 00:00:00,0.0,0.0,0.0,regular
2017-04,2017-05-10 00:00:00,0.0,0.3,0.3,regular
2017-05,2017-06-09 00:00:00,0.2,-0.1,-0.1,regular
2017-06,2017-07-12 00:00:00,0.0,0.0,0.0,regular
2017-07,2017-08-09 00:00:00,0.5,0.3,0.3,regular
2017-08,2017-09-11 00:00:00,-0.1,-0.1,-0.1,regular
2017-09,2017-10-09 00:00:00,-0.1,-0.1,-0.1,regular
2017-10,2017-11-09 00:00:00,0.5,0.3,0.3,regular
2017-11,2017-12-11 00:00:00,0.1,0.1,0.1,regular
2017-12,2018-01-10 00:00:00,0.1,0.1,0.1,regular
2018-01,2018-02-14 00:00:00,0.6,0.7,0.6,regular
2018-02,2018-03-09 00:00:00,0.0,0.2,0.1,regular
2018-03,2018-04-10 00:00:00,-0.1,0.0,0.0,regular
2018-04,2018-05-10 00:00:00,0.3,0.1,0.1,regular
2018-05,2018-06-11 00:00:00,0.5,0.3,0.3,regular
2018-06,2018-07-11 00:00:00,0.4,0.3,0.3,regular
2018-07,2018-08-09 00:00:00,0.2,0.1,0.2,regular
2018-08,2018-09-10 00:00:00,0.1,0.0,0.0,regular
2018-09,2018-10-09 00:00:00,-0.3,-0.1,-0.1,regular
2018-10,2018-11-09 00:00:00,0.4,0.4,0.4,regular
2018-11,2018-12-10 00:00:00,-0.1,-0.1,-0.1,regular
2018-12,2019-01-10 00:00:00,0.1,0.1,0.2,regular
2019-01,2019-02-13 00:00:00,1.0,0.7,0.7,regular
2019-02,2019-03-11 00:00:00,0.2,0.1,0.1,regular
2019-03,2019-04-10 00:00:00,0.2,0.1,0.1,regular
2019-04,2019-05-13 00:00:00,0.1,0.3,0.3,regular
2019-05,2019-06-11 00:00:00,0.7,0.4,0.4,regular
2019-06,2019-07-11 00:00:00,0.2,0.1,0.1,regular
2019-07,2019-08-12 00:00:00,0.4,0.2,0.2,regular
2019-08,2019-09-10 00:00:00,0.1,0.0,0.0,regular
2019-09,2019-10-10 00:00:00,-0.6,-0.4,-0.4,regular
2019-10,2019-11-11 00:00:00,0.5,0.4,0.4,regular
2019-11,2019-12-10 00:00:00,0.3,0.2,0.2,regular
2019-12,2020-01-13 00:00:00,0.2,0.1,0.1,regular
