KEY,FREQ,REF_AREA,ADJUSTMENT,ICP_ITEM,STS_INSTITUTION,ICP_SUFFIX,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DATA_COMP,DISS_ORG,DOM_SER_IDS,PUBL_ECB,PUBL_MU,PUBL_PUBLIC,UNIT_INDEX_BASE,COMPILATION,COVERAGE,DECIMALS,SOURCE_AGENCY,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
ICP.M.AT.N.000000.4.INX,M,AT,N,000000,4,INX,2014-01,98.01,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.AT.00.M,,,,2015 = 100,,,2,,"HICP - Overall index""","Austria - HICP - Overall index, Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.AT.N.000000.4.INX,M,AT,N,000000,4,INX,2014-02,98.3,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.AT.00.M,,,,2015 = 100,,,2,,"HICP - Overall index""","Austria - HICP - Overall index, Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.AT.N.000000.4.INX,M,AT,N,000000,4,INX,2014-03,99.22,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.AT.00.M,,,,2015 = 100,,,2,,"HICP - Overall index""","Austria - HICP - Overall index, Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.AT.N.000000.4.INX,M,AT,N,000000,4,INX,2014-04,99.35,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.AT.00.M,,,,2015 = 100,,,2,,"HICP - Overall index""","Austria - HICP - Overall index, Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.AT.N.000000.4.INX,M,AT,N,000000,4,INX,2014-05,99.44,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.AT.00.M,,,,2015 = 100,,,2,,"HICP - Overall index""","Austria - HICP - Overall index, Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.AT.N.000000.4.INX,M,AT,N,000000,4,INX,2014-06,99.43,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.AT.00.M,,,,2015 = 100,,,2,,"HICP - Overall index""","Austria - HICP - Overall index, Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.AT.N.000000.4.INX,M,AT,N,000000,4,INX,2014-07,98.77,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.AT.00.M,,,,2015 = 100,,,2,,"HICP - Overall index""","Austria - HICP - Overall index, Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.AT.N.000000.4.INX,M,AT,N,000000,4,INX,2014-08,98.79,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.AT.00.M,,,,2015 = 100,,,2,,"HICP - Overall index""","Austria - HICP - Overall index, Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.AT.N.000000.4.INX,M,AT,N,000000,4,INX,2014-09,99.69,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.AT.00.M,,,,2015 = 100,,,2,,"HICP - Overall index""","Austria - HICP - Overall index, Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.AT.N.000000.4.INX,M,AT,N,000000,4,INX,2014-10,99.7,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.AT.00.M,,,,2015 = 100,,,2,,"HICP - Overall index""","Austria - HICP - Overall index, Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.AT.N.000000.4.INX,M,AT,N,000000,4,INX,2014-11,99.84,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.AT.00.M,,,,2015 = 100,,,2,,"HICP - Overall index""","Austria - HICP - Overall index, Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.AT.N.000000.4.INX,M,AT,N,000000,4,INX,2014-12,99.88,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.AT.00.M,,,,2015 = 100,,,2,,"HICP - Overall index""","Austria - HICP - Overall index, Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.AT.N.000000.4.INX,M,AT,N,000000,4,INX,2015-01,98.48,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.AT.00.M,,,,2015 = 100,,,2,,"HICP - Overall index""","Austria - HICP - Overall index, Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.AT.N.000000.4.INX,M,AT,N,000000,4,INX,2015-02,98.75,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.AT.00.M,,,,2015 = 100,,,2,,"HICP - Overall index""","Austria - HICP - Overall index, Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.AT.N.000000.4.INX,M,AT,N,000000,4,INX,2015-03,100.15,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.AT.00.M,,,,2015 = 100,,,2,,"HICP - Overall index""","Austria - HICP - Overall index, Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.AT.N.000000.4.INX,M,AT,N,000000,4,INX,2015-04,100.28,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.AT.00.M,,,,2015 = 100,,,2,,"HICP - Overall index""","Austria - HICP - Overall index, Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.AT.N.000000.4.INX,M,AT,N,000000,4,INX,2015-05,100.45,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.AT.00.M,,,,2015 = 100,,,2,,"HICP - Overall index""","Austria - HICP - Overall index, Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.AT.N.000000.4.INX,M,AT,N,000000,4,INX,2015-06,100.4,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.AT.00.M,,,,2015 = 100,,,2,,"HICP - Overall index""","Austria - HICP - Overall index, Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.AT.N.000000.4.INX,M,AT,N,000000,4,INX,2015-07,99.89,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.AT.00.M,,,,2015 = 100,,,2,,"HICP - Overall index""","Austria - HICP - Overall index, Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.AT.N.000000.4.INX,M,AT,N,000000,4,INX,2015-08,99.73,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.AT.00.M,,,,2015 = 100,,,2,,"HICP - Overall index""","Austria - HICP - Overall index, Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.AT.N.000000.4.INX,M,AT,N,000000,4,INX,2015-09,100.25,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.AT.00.M,,,,2015 = 100,,,2,,"HICP - Overall index""","Austria - HICP - Overall index, Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.AT.N.000000.4.INX,M,AT,N,000000,4,INX,2015-10,100.35,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.AT.00.M,,,,2015 = 100,,,2,,"HICP - Overall index""","Austria - HICP - Overall index, Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.AT.N.000000.4.INX,M,AT,N,000000,4,INX,2015-11,100.32,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.AT.00.M,,,,2015 = 100,,,2,,"HICP - Overall index""","Austria - HICP - Overall index, Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
