observation_date,PX_LAST
1997-01-31,3.062
1997-02-28,2.937
1997-03-31,2.815
1997-04-30,3.728
1997-05-31,3.373
1997-06-30,3.845
1997-07-31,5.473
1997-08-31,6.045
1997-09-30,6.161
1997-10-31,6.589
1997-11-30,6.575
1997-12-31,6.692
1998-01-31,7.555
1998-02-28,7.97
1998-03-31,7.855
1998-04-30,6.526
1998-05-31,6.526
1998-06-30,6.042
1998-07-31,4.315
1998-08-31,3.295
1998-09-30,2.73
1998-10-31,1.298
1998-11-30,0.549
1998-12-31,0.0
1999-01-31,-1.705
1999-02-28,-2.108
1999-03-31,-1.585
1999-04-30,-1.264
1999-05-31,-1.157
1999-06-30,-1.264
1999-07-31,-0.537
1999-08-31,0.216
1999-09-30,0.324
1999-10-31,1.824
1999-11-30,2.686
1999-12-31,3.684
2000-01-31,10.099
2000-02-29,9.968
2000-03-31,9.966
2000-04-30,10.998
2000-05-31,11.11
2000-06-30,11.346
2000-07-31,10.762
2000-08-31,10.86
2000-09-30,11.669
2000-10-31,10.723
2000-11-30,10.154
2000-12-31,9.12
2001-01-31,2.662
2001-02-28,2.335
2001-03-31,2.22
2001-04-30,1.461
2001-05-31,1.458
2001-06-30,1.353
2001-07-31,1.458
2001-08-31,0.622
2001-09-30,0.0
2001-10-31,-0.823
2001-11-30,-1.34
2001-12-31,-1.967
2002-01-31,-2.178
2002-02-28,-2.593
2002-03-31,-3.413
2002-04-30,-4.733
2002-05-31,-5.031
2002-06-30,-5.749
2002-07-31,-6.571
2002-08-31,-5.664
2002-09-30,-6.076
2002-10-31,-5.083
2002-11-30,-4.389
2002-12-31,-3.168
2003-01-31,-2.651
2003-02-28,-1.917
2003-03-31,-0.964
2003-04-30,-0.324
2003-05-31,-0.757
2003-06-30,-0.327
2003-07-31,0.769
2003-08-31,0.764
2003-09-30,1.645
2003-10-31,0.874
2003-11-30,1.093
2003-12-31,1.2
2004-01-31,1.634
2004-02-29,1.737
2004-03-31,2.162
2004-04-30,3.359
2004-05-31,4.248
2004-06-30,5.027
2004-07-31,5.344
2004-08-31,5.092
2004-09-30,4.854
2004-10-31,5.742
2004-11-30,5.189
2004-12-31,3.987
2005-01-31,3.644
2005-02-28,3.095
2005-03-31,2.222
2005-04-30,1.677
2005-05-31,1.463
2005-06-30,0.728
2005-07-31,0.311
2005-08-31,-0.825
2005-09-30,-1.44
2005-10-31,-1.23
2005-11-30,-1.439
2005-12-31,-1.14
2006-01-31,-1.965
2006-02-28,-2.07
2006-03-31,-1.656
2006-04-30,-2.165
2006-05-31,-2.163
2006-06-30,-1.55
2006-07-31,-1.445
2006-08-31,-0.728
2006-09-30,0.104
2006-10-31,-0.415
2006-11-30,-0.209
2006-12-31,-0.21
2007-01-31,1.055
2007-02-28,2.22
2007-03-31,1.789
2007-04-30,1.897
2007-05-31,2.526
2007-06-30,2.833
2007-07-31,2.723
2007-08-31,2.094
2007-09-30,1.251
2007-10-31,0.729
2007-11-30,-0.104
2007-12-31,-0.315
2008-01-31,-0.313
2008-02-29,-1.861
2008-03-31,-2.172
2008-04-30,-2.275
2008-05-31,-2.669
2008-06-30,-4.286
2008-07-31,-4.995
2008-08-31,-2.564
2008-09-30,-1.648
2008-10-31,-0.724
2008-11-30,0.523
2008-12-31,2.107
2009-01-31,1.257
2009-02-28,4.215
2009-03-31,1.691
2009-04-30,0.635
2009-05-31,-0.633
2009-06-30,-0.107
2009-07-31,-1.073
2009-08-31,-3.368
2009-09-30,-4.503
2009-10-31,-4.375
2009-11-30,-4.37
2009-12-31,-4.644
2010-01-31,-4.033
2010-02-28,-6.168
2010-03-31,-4.054
2010-04-30,-2.839
2010-05-31,-0.425
2010-06-30,0.854
2010-07-31,1.518
2010-08-31,0.871
2010-09-30,1.316
2010-10-31,0.218
2010-11-30,0.653
2010-12-31,1.515
2011-01-31,1.401
2011-02-28,1.509
2011-03-31,2.492
2011-04-30,2.706
2011-05-31,1.706
2011-06-30,0.847
2011-07-31,2.03
2011-08-31,3.024
2011-09-30,4.004
2011-10-31,5.109
2011-11-30,5.73
2011-12-31,4.478
2012-01-31,5.313
2012-02-29,4.246
2012-03-31,3.277
2012-04-30,3.372
2012-05-31,3.878
2012-06-30,4.617
2012-07-31,3.979
2012-08-31,3.354
2012-09-30,1.873
2012-10-31,1.655
2012-11-30,1.125
2012-12-31,0.51
2013-01-31,0.101
2013-02-28,0.916
2013-03-31,1.842
2013-04-30,1.427
2013-05-31,0.404
2013-06-30,-0.702
2013-07-31,0.101
2013-08-31,0.304
2013-09-30,1.021
2013-10-31,-0.102
2013-11-30,2.123
2013-12-31,4.365
2014-01-31,3.427
2014-02-28,3.532
2014-03-31,2.613
2014-04-30,2.814
2014-05-31,2.915
2014-06-30,3.434
2014-07-31,3.32
2014-08-31,4.348
2014-09-30,3.842
2014-10-31,4.277
2014-11-30,1.287
2014-12-31,-1.362
2015-01-31,-1.559
2015-02-28,-1.949
2015-03-31,-1.371
2015-04-30,-1.173
2015-05-31,-1.074
2015-06-30,-1.563
2015-07-31,-2.337
2015-08-31,-3.585
2015-09-30,-3.7
2015-10-31,-3.516
2015-11-30,-3.715
2015-12-31,-3.254
2016-01-31,-3.663
2016-02-29,-3.777
2016-03-31,-3.972
2016-04-30,-4.55
2016-05-31,-4.442
2016-06-30,-3.77
2016-07-31,-3.29
2016-08-31,-2.714
2016-09-30,-2.022
2016-10-31,-1.721
2016-11-30,-1.117
2016-12-31,-0.204
2017-01-31,1.336
2017-02-28,2.273
2017-03-31,2.378
2017-04-30,2.591
2017-05-31,1.343
2017-06-30,0.0
2017-07-31,-0.412
2017-08-31,-0.207
2017-09-30,-0.103
2017-10-31,-0.721
2017-11-30,-1.437
2017-12-31,-1.634
2018-01-31,-2.231
2018-02-28,-3.131
2018-03-31,-2.727
2018-04-30,-2.626
2018-05-31,-0.51
2018-06-30,1.34
2018-07-31,2.07
2018-08-31,1.863
2018-09-30,1.653
2018-10-31,3.008
2018-11-30,3.646
2018-12-31,2.492
2019-01-31,1.971
2019-02-28,3.024
2019-03-31,2.804
2019-04-30,3.112
2019-05-31,2.152
2019-06-30,0.61
2019-07-31,0.101
2019-08-31,0.711
2019-09-30,1.016
2019-10-31,-0.403
2019-11-30,-1.106
2019-12-31,-0.304
2020-01-31,-0.407
2020-02-29,-1.619
2020-03-31,0.303
2020-04-30,1.107
2020-05-31,0.903
2020-06-30,0.506
2020-07-31,0.304
2020-08-31,-1.11
2020-09-30,-0.302
2020-10-31,1.517
2020-11-30,0.61
2020-12-31,0.61
2021-01-31,1.839
2021-02-28,2.881
2021-03-31,2.618
2021-04-30,2.189
2021-05-31,2.286
2021-06-30,4.225
2021-07-31,7.273
2021-08-31,8.878
2021-09-30,8.174
2021-10-31,8.068
2021-11-30,10.303
2021-12-31,10.303
2022-01-31,9.829
2022-02-28,10.6
2022-03-31,12.954
2022-04-30,13.632
2022-05-31,16.812
2022-06-30,17.375
2022-07-31,14.689
2022-08-31,13.59
2022-09-30,13.06
2022-10-31,12.35
2022-11-30,10.623
