sample,h,model,n,mse_difference,lower,upper,block,draws,seed
full,1,TVWQRF_QRF_MEAN_FULLM,88,0.25512925788951385,0.023998304780123422,0.5303841813932652,12,2000,1409
full,1,TVWQRF_QRF_MEAN_FULLM_OWNH0,88,0.9627078840624073,0.09336771171421436,2.028328329801089,12,2000,1409
full,1,TVWQRF_QRF_MEAN_INDEPM,88,0.23954827914118126,0.02591615990239209,0.5214996433824456,12,2000,1409
full,1,TVWQRF_QRF_MEAN_INDEPM_OWNH0,88,0.892074715636637,0.10187527907678397,1.8760164331295013,12,2000,1409
full,1,TVWQRF_QRF_MEDIAN_FULLM,88,0.3473994699219697,0.03421117270375513,0.8058276447827151,12,2000,1409
full,1,TVWQRF_QRF_MEDIAN_FULLM_OWNH0,88,1.19540919972558,0.10895984467197496,2.6332376625518954,12,2000,1409
full,1,TVWQRF_QRF_MEDIAN_INDEPM,88,0.3255719091022154,0.02589704903961519,0.7783731228285059,12,2000,1409
full,1,TVWQRF_QRF_MEDIAN_INDEPM_OWNH0,88,1.0659193419078716,0.10033473193385864,2.43242071408374,12,2000,1409
full,1,TVWQRF_TVW3_FULLM,88,0.28413916179134696,0.02038914174302094,0.6472767746220516,12,2000,1409
full,1,TVWQRF_TVW3_FULLM_OWNH0,88,0.953673952547146,0.0896069824658508,2.0552655097171058,12,2000,1409
full,1,TVWQRF_TVW3_INDEPM,88,0.24299434456220315,0.01748711388448471,0.5576689122294309,12,2000,1409
full,1,TVWQRF_TVW3_INDEPM_OWNH0,88,0.8452854514533882,0.09166939430624971,1.7804908839628524,12,2000,1409
full,2,TVWQRF_QRF_MEAN_FULLM,86,0.7966035390059898,0.014732645069995503,1.8237253353245273,12,2000,1409
full,2,TVWQRF_QRF_MEAN_FULLM_OWNH0,86,1.6641060595609318,0.043014677405497005,3.775029994547351,12,2000,1409
full,2,TVWQRF_QRF_MEAN_INDEPM,86,0.7641358552568221,0.03755147089924643,1.6724830703979725,12,2000,1409
full,2,TVWQRF_QRF_MEAN_INDEPM_OWNH0,86,1.5456158560074729,0.09105992519169159,3.54047924486941,12,2000,1409
full,2,TVWQRF_QRF_MEDIAN_FULLM,86,1.1388119588550565,0.021991500270380493,2.48963707248868,12,2000,1409
full,2,TVWQRF_QRF_MEDIAN_FULLM_OWNH0,86,2.2744835514895843,0.04902941822732517,5.190109241907007,12,2000,1409
full,2,TVWQRF_QRF_MEDIAN_INDEPM,86,1.084267468613353,0.026024422602693522,2.5619289630372784,12,2000,1409
full,2,TVWQRF_QRF_MEDIAN_INDEPM_OWNH0,86,2.091374234221619,0.06039585655704186,4.835054185202882,12,2000,1409
full,2,TVWQRF_TVW3_FULLM,86,0.8662994333625974,-0.00584062454653989,2.123548495530665,12,2000,1409
full,2,TVWQRF_TVW3_FULLM_OWNH0,86,1.6796150020327265,0.014469424737763201,3.944538938378677,12,2000,1409
full,2,TVWQRF_TVW3_INDEPM,86,0.7717459795610152,-0.0030115962243500057,1.7469190712625158,12,2000,1409
full,2,TVWQRF_TVW3_INDEPM_OWNH0,86,1.488246384237651,0.047044943286932546,3.5117641682030425,12,2000,1409
full,3,TVWQRF_QRF_MEAN_FULLM,84,1.166556426229123,0.033299240447477646,2.5768058440225,12,2000,1409
full,3,TVWQRF_QRF_MEAN_FULLM_OWNH0,84,2.20661585429781,0.11321679593761062,4.915874939600942,12,2000,1409
full,3,TVWQRF_QRF_MEAN_INDEPM,84,1.259542134946841,0.11011973791960777,2.6849192855362496,12,2000,1409
full,3,TVWQRF_QRF_MEAN_INDEPM_OWNH0,84,2.2381331411196217,0.20988594498933455,5.210832018205388,12,2000,1409
full,3,TVWQRF_QRF_MEDIAN_FULLM,84,1.83622589414301,0.060341655857224515,4.4105659927575225,12,2000,1409
full,3,TVWQRF_QRF_MEDIAN_FULLM_OWNH0,84,3.1969537325289417,0.14429992626162583,7.181084484885289,12,2000,1409
full,3,TVWQRF_QRF_MEDIAN_INDEPM,84,1.739989419474841,0.05864256064559841,4.123879154627646,12,2000,1409
full,3,TVWQRF_QRF_MEDIAN_INDEPM_OWNH0,84,2.9305282288446226,0.1528366180762759,7.220886859639708,12,2000,1409
full,3,TVWQRF_TVW3_FULLM,84,1.2334359501564083,-0.007425537357669373,2.89313004083971,12,2000,1409
full,3,TVWQRF_TVW3_FULLM_OWNH0,84,2.2082928465990643,0.0819662836923369,5.198223588614866,12,2000,1409
full,3,TVWQRF_TVW3_INDEPM,84,1.184215151386485,0.044507849692620685,2.711336216087979,12,2000,1409
full,3,TVWQRF_TVW3_INDEPM_OWNH0,84,2.0617517597857065,0.1512378332842017,4.783673658334828,12,2000,1409
full,4,TVWQRF_QRF_MEAN_FULLM,83,1.7025009223580654,0.09910917647649185,3.7293729448269284,12,2000,1409
full,4,TVWQRF_QRF_MEAN_FULLM_OWNH0,83,2.7027591400533346,0.08707972806820022,6.102750163127937,12,2000,1409
full,4,TVWQRF_QRF_MEAN_INDEPM,83,1.8596473123804345,0.09128132198065328,4.13607576053602,12,2000,1409
