report_date,report_clock_utc,origin,as_of_utc,quarter,quarters_ahead,realised,cnb,known_months,forecast_months,model,forecast,complete
2022-02-10,2022-02-09T23:00:00+00:00,2021-12,2022-01-11T22:59:00+00:00,2022Q2,2,15.772308516091229,9.50510416,0,3,TVWQRF_QRF_MEDIAN_INDEPM_OWNH0,5.42443333149604,True
2022-02-10,2022-02-09T23:00:00+00:00,2021-12,2022-01-11T22:59:00+00:00,2022Q2,2,15.772308516091229,9.50510416,0,3,TVWQRF_TVW3_FULLM,7.551828036310642,True
2022-02-10,2022-02-09T23:00:00+00:00,2021-12,2022-01-11T22:59:00+00:00,2022Q2,2,15.772308516091229,9.50510416,0,3,TVWQRF_TVW3_FULLM_OWNH0,7.151430083240015,True
2022-02-10,2022-02-09T23:00:00+00:00,2021-12,2022-01-11T22:59:00+00:00,2022Q2,2,15.772308516091229,9.50510416,0,3,TVWQRF_TVW3_INDEPM,7.450117535146003,True
2022-02-10,2022-02-09T23:00:00+00:00,2021-12,2022-01-11T22:59:00+00:00,2022Q2,2,15.772308516091229,9.50510416,0,3,TVWQRF_TVW3_INDEPM_OWNH0,6.957786565275498,True
2022-02-10,2022-02-09T23:00:00+00:00,2021-12,2022-01-11T22:59:00+00:00,2022Q2,2,15.772308516091229,9.50510416,0,3,CNB,9.50510416,True
2022-02-10,2022-02-09T23:00:00+00:00,2021-12,2022-01-11T22:59:00+00:00,2022Q3,3,17.578003612072624,8.17038043,0,3,INDEPENDENT_BRIDGE,11.082037364712363,True
2022-02-10,2022-02-09T23:00:00+00:00,2021-12,2022-01-11T22:59:00+00:00,2022Q3,3,17.578003612072624,8.17038043,0,3,STABLE_PIPELINE_R14B,10.800060753416803,True
2022-02-10,2022-02-09T23:00:00+00:00,2021-12,2022-01-11T22:59:00+00:00,2022Q3,3,17.578003612072624,8.17038043,0,3,STABLE_LOCAL_CORE_R14B,9.738990276594148,True
2022-02-10,2022-02-09T23:00:00+00:00,2021-12,2022-01-11T22:59:00+00:00,2022Q3,3,17.578003612072624,8.17038043,0,3,STABLE_LONG_CORE_R14B,9.498111726026346,True
