scope,sample,quarters_ahead,model,n_report_quarter_pairs,n_unique_quarters,n_reports,rmse,mae,bias
all_common,all_reports,2,TVWQRF_QRF_MEDIAN_INDEPM_OWNH0,17,17,17,3.1250871118298407,1.7290336978543317,-1.016875859274105
all_common,all_reports,2,TVWQRF_TVW3_FULLM,17,17,17,2.780282444933123,1.6739032243229321,-0.24426605192192294
all_common,all_reports,2,TVWQRF_TVW3_FULLM_OWNH0,17,17,17,2.7839034262271274,1.6683534122708,-0.26840661925263803
all_common,all_reports,2,TVWQRF_TVW3_INDEPM,17,17,17,2.7503885751460104,1.680737189019564,-0.3183835566521303
all_common,all_reports,2,TVWQRF_TVW3_INDEPM_OWNH0,17,17,17,2.751303379067362,1.680532499512565,-0.344076452783116
all_common,all_reports,2,CNB,17,17,17,2.0747355620744687,1.1758911766503248,-0.3511216184204253
all_common,all_reports,3,INDEPENDENT_BRIDGE,16,16,16,2.2360733185967483,1.5953936967099105,-0.07658255902275357
all_common,all_reports,3,STABLE_PIPELINE_R14B,16,16,16,2.2716612742565543,1.5500904424676238,-0.2818872148459796
all_common,all_reports,3,STABLE_LOCAL_CORE_R14B,16,16,16,2.5285803192213274,1.576853302870056,-0.16836062584700795
all_common,all_reports,3,STABLE_LONG_CORE_R14B,16,16,16,2.3378411720518124,1.3479582858622505,-0.11765012251981682
all_common,all_reports,3,STABLE_LONG_GAP_R14B,16,16,16,2.389030924554614,1.4116917065139947,0.21224619919788296
all_common,all_reports,3,TVWQRF_QRF_MEAN_FULLM,16,16,16,3.2853990247286364,1.7844208132307668,-0.037777001301833646
all_common,all_reports,3,TVWQRF_QRF_MEAN_FULLM_OWNH0,16,16,16,3.3743091926798434,1.7962874881030597,-0.08779063946472082
all_common,all_reports,3,TVWQRF_QRF_MEAN_INDEPM,16,16,16,3.3407026823309427,1.8756661031803596,-0.0948735998835446
all_common,all_reports,3,TVWQRF_QRF_MEAN_INDEPM_OWNH0,16,16,16,3.4430433737288353,1.8651528947845188,-0.11547515582745294
all_common,all_reports,3,TVWQRF_QRF_MEDIAN_FULLM,16,16,16,3.504070792399669,1.8196147984784043,-1.2113215475862167
all_common,all_reports,3,TVWQRF_QRF_MEDIAN_FULLM_OWNH0,16,16,16,3.627560935544168,1.9397212296924806,-1.3717493517804358
all_common,all_reports,3,TVWQRF_QRF_MEDIAN_INDEPM,16,16,16,3.5719431267602513,1.878474657497237,-1.2175034367203332
all_common,all_reports,3,TVWQRF_QRF_MEDIAN_INDEPM_OWNH0,16,16,16,3.7280816538852246,1.9971988436136319,-1.3588486745567478
all_common,all_reports,3,TVWQRF_TVW3_FULLM,16,16,16,3.2283013242306344,1.8585722046241222,-0.05331790753557841
all_common,all_reports,3,TVWQRF_TVW3_FULLM_OWNH0,16,16,16,3.3029048260229534,1.8841126114105116,-0.07189862929312202
all_common,all_reports,3,TVWQRF_TVW3_INDEPM,16,16,16,3.2515738511595087,1.83919126965286,-0.14917629129083682
all_common,all_reports,3,TVWQRF_TVW3_INDEPM_OWNH0,16,16,16,3.354606386856653,1.8916197195904132,-0.16495261320569976
all_common,all_reports,3,CNB,16,16,16,2.5063104397716818,1.1088691841257812,-0.7537429704129559
all_common,all_reports,4,INDEPENDENT_BRIDGE,15,15,15,3.4693003878793705,2.4930300050087437,0.30592586937280025
all_common,all_reports,4,STABLE_PIPELINE_R14B,15,15,15,3.4245866994070364,2.40881167897182,0.0016688328391920285
all_common,all_reports,4,STABLE_LOCAL_CORE_R14B,15,15,15,3.1502610456809212,2.060481415907969,0.150199319185365
all_common,all_reports,4,STABLE_LONG_CORE_R14B,15,15,15,3.140974671571947,2.2635490913256886,0.4273124570242487
all_common,all_reports,4,STABLE_LONG_GAP_R14B,15,15,15,3.395627714268948,2.563941013682633,0.9226440313075807
all_common,all_reports,4,TVWQRF_QRF_MEAN_FULLM,15,15,15,3.737149238054813,2.452714184477482,0.1823807592928216
all_common,all_reports,4,TVWQRF_QRF_MEAN_FULLM_OWNH0,15,15,15,3.770171542100323,2.4107583801531316,0.12657673079207477
all_common,all_reports,4,TVWQRF_QRF_MEAN_INDEPM,15,15,15,3.9825511779045306,2.606432968863927,0.1935450985577205
all_common,all_reports,4,TVWQRF_QRF_MEAN_INDEPM_OWNH0,15,15,15,4.017776564343514,2.6293695664138728,0.16562491902699986
all_common,all_reports,4,TVWQRF_QRF_MEDIAN_FULLM,15,15,15,4.168732929866349,2.3281544984980846,-1.5652349174365041
all_common,all_reports,4,TVWQRF_QRF_MEDIAN_FULLM_OWNH0,15,15,15,4.260546508154912,2.3901450227182246,-1.7246980143295063
all_common,all_reports,4,TVWQRF_QRF_MEDIAN_INDEPM,15,15,15,4.244390528868465,2.264812173497043,-1.4943436482693713
all_common,all_reports,4,TVWQRF_QRF_MEDIAN_INDEPM_OWNH0,15,15,15,4.352683087224026,2.3170272614984087,-1.6412223600332188
all_common,all_reports,4,TVWQRF_TVW3_FULLM,15,15,15,3.8166620541410006,2.7002646243660475,0.1362036377638339
all_common,all_reports,4,TVWQRF_TVW3_FULLM_OWNH0,15,15,15,3.8554062140502543,2.7334689816132323,0.11338369784530013
all_common,all_reports,4,TVWQRF_TVW3_INDEPM,15,15,15,4.010339521441893,2.868519387157636,0.0975299935426088
all_common,all_reports,4,TVWQRF_TVW3_INDEPM_OWNH0,15,15,15,4.056600206335532,2.914695835914948,0.07246877484224873
all_common,all_reports,4,CNB,15,15,15,3.2446896054586505,1.4843928442432337,-1.1917068596356442
all_common,all_reports,5,INDEPENDENT_BRIDGE,0,0,0,,,
all_common,all_reports,5,STABLE_PIPELINE_R14B,0,0,0,,,
all_common,all_reports,5,STABLE_LOCAL_CORE_R14B,0,0,0,,,
all_common,all_reports,5,STABLE_LONG_CORE_R14B,0,0,0,,,
all_common,all_reports,5,STABLE_LONG_GAP_R14B,0,0,0,,,
all_common,all_reports,5,TVWQRF_QRF_MEAN_FULLM,0,0,0,,,
all_common,all_reports,5,TVWQRF_QRF_MEAN_FULLM_OWNH0,0,0,0,,,
all_common,all_reports,5,TVWQRF_QRF_MEAN_INDEPM,0,0,0,,,
all_common,all_reports,5,TVWQRF_QRF_MEAN_INDEPM_OWNH0,0,0,0,,,
all_common,all_reports,5,TVWQRF_QRF_MEDIAN_FULLM,0,0,0,,,
all_common,all_reports,5,TVWQRF_QRF_MEDIAN_FULLM_OWNH0,0,0,0,,,
all_common,all_reports,5,TVWQRF_QRF_MEDIAN_INDEPM,0,0,0,,,
all_common,all_reports,5,TVWQRF_QRF_MEDIAN_INDEPM_OWNH0,0,0,0,,,
all_common,all_reports,5,TVWQRF_TVW3_FULLM,0,0,0,,,
all_common,all_reports,5,TVWQRF_TVW3_FULLM_OWNH0,0,0,0,,,
all_common,all_reports,5,TVWQRF_TVW3_INDEPM,0,0,0,,,
all_common,all_reports,5,TVWQRF_TVW3_INDEPM_OWNH0,0,0,0,,,
all_common,all_reports,5,CNB,0,0,0,,,
all_common,all_reports,6,INDEPENDENT_BRIDGE,0,0,0,,,
all_common,all_reports,6,STABLE_PIPELINE_R14B,0,0,0,,,
all_common,all_reports,6,STABLE_LOCAL_CORE_R14B,0,0,0,,,
all_common,all_reports,6,STABLE_LONG_CORE_R14B,0,0,0,,,
all_common,all_reports,6,STABLE_LONG_GAP_R14B,0,0,0,,,
all_common,all_reports,6,TVWQRF_QRF_MEAN_FULLM,0,0,0,,,
all_common,all_reports,6,TVWQRF_QRF_MEAN_FULLM_OWNH0,0,0,0,,,
all_common,all_reports,6,TVWQRF_QRF_MEAN_INDEPM,0,0,0,,,
