sample,h,model,n,yy_rmse,yy_bias
all,1,F1b,88,0.7719127355685579,-0.11286314731321867
all,1,F2_D1_fixed,88,0.8184068750216974,-0.22743908873376045
all,1,NAIVE_C,88,0.9368098432246982,-0.08227808389369687
all,1,RW_C,88,1.5709723518952163,0.026985369066679053
all,1,TVWQRF_QRF_MEAN_FULLM,88,0.9377420165506749,-0.0817411208413053
all,1,TVWQRF_QRF_MEAN_INDEPM,88,0.9358739122821403,-0.05465320551703535
all,1,TVWQRF_QRF_MEDIAN_FULLM,88,0.9760020703778036,-0.17017732152588663
all,1,TVWQRF_QRF_MEDIAN_INDEPM,88,0.970772163097811,-0.14156468522396704
all,1,TVWQRF_TVW3_FULLM,88,0.9497051028060343,-0.040051805144933776
all,1,TVWQRF_TVW3_INDEPM,88,0.938063004655315,-0.04619386269552279
all,2,F1b,86,1.135179581572184,-0.2100985126266255
all,2,F2_D1_fixed,86,1.311971146719822,-0.4659618186344312
all,2,NAIVE_C,86,1.5045474371937522,-0.16719284153957212
all,2,RW_C,86,2.192540598023902,0.038172569447093206
all,2,TVWQRF_QRF_MEAN_FULLM,86,1.446328706492105,-0.15178040445109792
all,2,TVWQRF_QRF_MEAN_INDEPM,86,1.439015050866383,-0.10552218706208628
all,2,TVWQRF_QRF_MEDIAN_FULLM,86,1.5471866578135538,-0.36145818211823466
all,2,TVWQRF_QRF_MEDIAN_INDEPM,86,1.5342176596748294,-0.3205293940163365
all,2,TVWQRF_TVW3_FULLM,86,1.4679183608202164,-0.09952862473623061
all,2,TVWQRF_TVW3_INDEPM,86,1.4377184600301325,-0.10835724537565387
all,3,F1b,84,1.5564864775582956,-0.3369584376813826
all,3,F2_D1_fixed,84,1.83051518360742,-0.7164469208180193
all,3,NAIVE_C,84,2.0945116103044437,-0.2534787494436707
all,3,RW_C,84,2.697010642247087,0.0419693941561535
all,3,TVWQRF_QRF_MEAN_FULLM,84,1.8697725986713873,-0.2698776083204825
all,3,TVWQRF_QRF_MEAN_INDEPM,84,1.8934360404131434,-0.21046118727153862
all,3,TVWQRF_QRF_MEDIAN_FULLM,84,2.026167566127232,-0.5990622265219345
all,3,TVWQRF_QRF_MEDIAN_INDEPM,84,2.0002054128261606,-0.5437391662665251
all,3,TVWQRF_TVW3_FULLM,84,1.8895959973054184,-0.18499976356720543
all,3,TVWQRF_TVW3_INDEPM,84,1.8725938187922988,-0.20707573626885664
all,4,F1b,82,1.861567151384158,-0.4855769199026693
all,4,F2_D1_fixed,82,2.2764475965114794,-0.9816285509612315
all,4,NAIVE_C,82,2.5944388002512024,-0.35142737056033513
all,4,RW_C,82,3.232792403033034,0.054343625434886744
all,4,TVWQRF_QRF_MEAN_FULLM,82,2.222819168537268,-0.41905861885049106
all,4,TVWQRF_QRF_MEAN_INDEPM,82,2.2593902307200913,-0.3493398361978435
all,4,TVWQRF_QRF_MEDIAN_FULLM,82,2.403360898450101,-0.8712909991150684
all,4,TVWQRF_QRF_MEDIAN_INDEPM,82,2.3723787961161142,-0.7938330515061823
all,4,TVWQRF_TVW3_FULLM,82,2.2204189172421844,-0.31514056949069147
all,4,TVWQRF_TVW3_INDEPM,82,2.2376109626317153,-0.3212010774503768
all,5,F1b,80,2.219535272727144,-0.656964093065929
all,5,F2_D1_fixed,80,2.7561679966432537,-1.243884312464271
all,5,NAIVE_C,80,3.1166768961553317,-0.449623826599342
all,5,RW_C,80,3.766365784539154,0.07500525620296375
all,5,TVWQRF_QRF_MEAN_FULLM,80,2.554418687850692,-0.5304217657164638
all,5,TVWQRF_QRF_MEAN_INDEPM,80,2.626390074611233,-0.4897880676646185
all,5,TVWQRF_QRF_MEDIAN_FULLM,80,2.7274882991172222,-1.1460541964830273
all,5,TVWQRF_QRF_MEDIAN_INDEPM,80,2.709682014090389,-1.0821866691600612
all,5,TVWQRF_TVW3_FULLM,80,2.5263946279569423,-0.42953366631015194
all,5,TVWQRF_TVW3_INDEPM,80,2.576569705213586,-0.46080231226481344
all,6,F1b,78,2.5721594600213993,-0.8332803042876396
all,6,F2_D1_fixed,78,3.2537184893830706,-1.5018573546656433
all,6,NAIVE_C,78,3.65237982726404,-0.5325990451179239
all,6,RW_C,78,4.305620003577593,0.10871583979606059
all,6,TVWQRF_QRF_MEAN_FULLM,78,2.9095561558694025,-0.6790826724343071
all,6,TVWQRF_QRF_MEAN_INDEPM,78,2.9620111351333613,-0.6497555986408974
all,6,TVWQRF_QRF_MEDIAN_FULLM,78,3.098863407941718,-1.4464958415396068
all,6,TVWQRF_QRF_MEDIAN_INDEPM,78,3.097005590705113,-1.3687669309071562
all,6,TVWQRF_TVW3_FULLM,78,2.8736360604739435,-0.558397948959389
all,6,TVWQRF_TVW3_INDEPM,78,2.902703961942964,-0.5878905406456448
all,7,F1b,76,3.0837649281922284,-1.015206197313926
all,7,F2_D1_fixed,76,3.7747623450083942,-1.7704533302223895
all,7,NAIVE_C,76,4.196305198347722,-0.6154689600289757
all,7,RW_C,76,4.83924608012842,0.13966107759698088
all,7,TVWQRF_QRF_MEAN_FULLM,76,3.3242087614506928,-0.828650406173956
all,7,TVWQRF_QRF_MEAN_INDEPM,76,3.418277379938006,-0.7979879743718995
all,7,TVWQRF_QRF_MEDIAN_FULLM,76,3.5684317109361876,-1.7515285876500697
all,7,TVWQRF_QRF_MEDIAN_INDEPM,76,3.602589150876167,-1.6590304965488698
all,7,TVWQRF_TVW3_FULLM,76,3.275750297218799,-0.697137660362708
all,7,TVWQRF_TVW3_INDEPM,76,3.3299470307292434,-0.7163572209817409
all,8,F1b,74,3.44897442869117,-1.2188883431626187
all,8,F2_D1_fixed,74,4.323278100169058,-2.0665566243697966
all,8,NAIVE_C,74,4.734522989489886,-0.738208338551989
all,8,RW_C,74,5.375424357442972,0.15688493210079077
all,8,TVWQRF_QRF_MEAN_FULLM,74,3.8293230607762774,-0.9438885885556785
all,8,TVWQRF_QRF_MEAN_INDEPM,74,3.9466062745336963,-0.9018302059983345
all,8,TVWQRF_QRF_MEDIAN_FULLM,74,4.088977609554638,-2.0274115857961057
