model,frame,n,rmse,mae,bias,consensus_rmse,consensus_mae,mean_gain,total_gain,closer,material_win,material_loss,direction,alerts,alerted_big,false_alarm,missed_big,big_precision,big_recall
CONSENSUS,all,90,0.3815174380753198,0.2533333333333334,-0.024444444444444435,0.3815174380753198,0.2533333333333334,0.0,0.0,0,0,0,0,0,0,0,23,,0.0
CONSENSUS,2019-21,35,0.2472708174105006,0.19999999999999998,-0.09714285714285713,0.2472708174105006,0.19999999999999998,0.0,0.0,0,0,0,0,0,0,0,6,,0.0
CONSENSUS,2022-23,24,0.6177917664283545,0.4166666666666667,-0.008333333333333392,0.6177917664283545,0.4166666666666667,0.0,0.0,0,0,0,0,0,0,0,12,,0.0
CONSENSUS,2024+,31,0.24096579867074971,0.1870967741935484,0.04516129032258066,0.24096579867074971,0.1870967741935484,0.0,0.0,0,0,0,0,0,0,0,5,,0.0
CONSENSUS,flash2025+,19,0.19466570535691508,0.15789473684210525,0.042105263157894736,0.19466570535691508,0.15789473684210525,0.0,0.0,0,0,0,0,0,0,0,1,,0.0
CONSENSUS,big,23,0.6950132935857195,0.5782608695652175,-0.02173913043478262,0.6950132935857195,0.5782608695652175,0.0,0.0,0,0,0,0,0,0,0,23,,0.0
CONSENSUS,big2024+,5,0.4626013402488151,0.45999999999999996,0.26,0.4626013402488151,0.45999999999999996,0.0,0.0,0,0,0,0,0,0,0,5,,0.0
CONSENSUS,big2025+,1,0.4,0.4,0.4,0.4,0.4,0.0,0.0,0,0,0,0,0,0,0,1,,0.0
CONSENSUS,ex_jan,83,0.3800760862318242,0.2445783132530121,-0.00843373493975906,0.3800760862318242,0.2445783132530121,0.0,0.0,0,0,0,0,0,0,0,19,,0.0
CONSENSUS,big_ex_jan,19,0.7287335806582179,0.5947368421052632,0.02631578947368421,0.7287335806582179,0.5947368421052632,0.0,0.0,0,0,0,0,0,0,0,19,,0.0
CONSENSUS,alerts,0,,,,,,,0.0,0,0,0,0,0,0,0,0,,
HARD_BASE,all,90,0.4179515473972404,0.2625157341641442,-0.02522563676857155,0.3815174380753198,0.2533333333333334,-0.009182400830810854,-0.8264160747729765,45,12,15,50,20,7,13,16,0.35,0.30434782608695654
HARD_BASE,2019-21,35,0.2775792553793887,0.23009396007565397,-0.05702965273482851,0.2472708174105006,0.19999999999999998,-0.030093960075654038,-1.0532886026478914,14,1,5,16,6,0,6,6,0.0,0.0
HARD_BASE,2022-23,24,0.6933694022984052,0.430537851148259,-0.003835481149562827,0.6177917664283545,0.4166666666666667,-0.013871184481592226,-0.3329084275582134,12,7,8,14,10,5,5,7,0.5,0.4166666666666667
HARD_BASE,2024+,31,0.2189777613407202,0.1690393240182862,-0.005877997285901065,0.24096579867074971,0.1870967741935484,0.01805745017526221,0.5597809554331286,19,4,2,20,4,2,2,3,0.5,0.4
