period,model,actual,consensus,forecast,error,surprise,deviation,gain,big,alert,capture_ratio
2019-05,LEGACY_BASE,0.7,0.4,0.2348046582023983,-0.4651953417976017,0.29999999999999993,-0.16519534179760173,-0.16519534179760176,False,False,
2019-07,LEGACY_BASE,0.4,0.2,0.3904523718716352,-0.009547628128364849,0.2,0.19045237187163516,0.19045237187163516,False,False,
2020-01,LEGACY_BASE,1.5,1.0,0.8780719418354076,-0.6219280581645924,0.5,-0.1219280581645924,-0.1219280581645924,True,False,-0.2438561163291848
2020-03,LEGACY_BASE,-0.1,0.1,-0.3165938046256471,-0.21659380462564712,-0.2,-0.4165938046256471,-0.016593804625647107,False,True,
2020-04,LEGACY_BASE,-0.2,-0.2,-0.4407139221465571,-0.24071392214655707,0.0,-0.24071392214655707,-0.24071392214655707,False,True,
2020-06,LEGACY_BASE,0.6,0.2,0.2507384390118719,-0.34926156098812805,0.39999999999999997,0.050738439011871916,0.050738439011871916,True,False,0.1268460975296798
2020-07,LEGACY_BASE,0.4,0.2,0.395328459237208,-0.004671540762792026,0.2,0.19532845923720799,0.19532845923720799,False,False,
2021-01,LEGACY_BASE,1.3,0.9,0.8134405209147586,-0.48655947908524144,0.4,-0.08655947908524142,-0.08655947908524142,True,False,-0.2163986977131035
2021-05,LEGACY_BASE,0.2,0.4,0.5712988080034986,0.3712988080034986,-0.2,0.17129880800349861,-0.17129880800349861,False,False,
2021-07,LEGACY_BASE,1.0,0.5,0.5987636914772603,-0.4012363085227397,0.5,0.09876369147726027,0.09876369147726027,True,False,0.1975273829545205
2021-08,LEGACY_BASE,0.7,0.2,0.1646984018899113,-0.5353015981100886,0.49999999999999994,-0.035301598110088706,-0.03530159811008865,True,False,-0.0706031962201774
2021-09,LEGACY_BASE,0.2,-0.2,-0.1544539103005314,-0.3544539103005314,0.4,0.045546089699468606,0.045546089699468606,True,False,0.1138652242486715
2021-11,LEGACY_BASE,0.2,0.3,0.6883656072042946,0.4883656072042946,-0.09999999999999998,0.38836560720429464,-0.38836560720429464,False,True,
2021-12,LEGACY_BASE,0.4,0.3,0.7925304539524585,0.39253045395245845,0.10000000000000003,0.4925304539524585,-0.2925304539524584,False,True,
2022-01,LEGACY_BASE,4.4,3.8,4.346586348732619,-0.05341365126738129,0.6000000000000005,0.5465863487326192,0.5465863487326192,True,True,0.910977247887698
2022-02,LEGACY_BASE,1.3,0.6,0.8630383692151836,-0.4369616307848164,0.7000000000000001,0.26303836921518364,0.26303836921518364,True,True,0.3757690988788337
2022-03,LEGACY_BASE,1.7,1.4,0.98208695430893,-0.71791304569107,0.30000000000000004,-0.4179130456910699,-0.4179130456910699,False,True,
2022-04,LEGACY_BASE,1.8,0.9,0.8213126444004937,-0.9786873555995064,0.9,-0.07868735559950635,-0.07868735559950635,True,False,-0.0874303951105626
2022-05,LEGACY_BASE,1.8,1.4,1.984974314785807,0.18497431478580695,0.40000000000000013,0.5849743147858071,0.21502568521419319,True,True,1.4624357869645173
2022-07,LEGACY_BASE,1.3,1.6,1.4472712435231796,0.14727124352317955,-0.30000000000000004,-0.1527287564768205,0.1527287564768205,False,False,
2022-08,LEGACY_BASE,0.4,0.8,0.6229589155390018,0.22295891553900182,-0.4,-0.1770410844609982,0.1770410844609982,True,False,0.4426027111524955
2022-09,LEGACY_BASE,0.8,0.2,0.0861133188358758,-0.7138866811641242,0.6000000000000001,-0.11388668116412422,-0.11388668116412415,True,False,-0.1898111352735403
2022-10,LEGACY_BASE,-1.4,0.9,1.1406198658324782,2.540619865832478,-2.3,0.24061986583247819,-0.2406198658324783,True,True,-0.1046173329706427
2022-11,LEGACY_BASE,1.2,0.7,0.6614814750980381,-0.5385185249019618,0.5,-0.03851852490196184,-0.03851852490196184,True,False,-0.0770370498039236
2022-12,LEGACY_BASE,0.0,0.4,-0.0862449163700214,-0.0862449163700214,-0.4,-0.48624491637002143,0.3137550836299786,True,True,1.2156122909250535
2023-01,LEGACY_BASE,6.0,5.8,4.845410831191518,-1.1545891688084824,0.20000000000000018,-0.9545891688084822,-0.9545891688084822,False,True,
2023-03,LEGACY_BASE,0.1,0.1,0.2707529964641877,0.1707529964641877,0.0,0.1707529964641877,-0.1707529964641877,False,False,
2023-04,LEGACY_BASE,-0.2,0.4,0.5470608628042315,0.7470608628042315,-0.6000000000000001,0.14706086280423147,-0.14706086280423136,True,False,-0.2451014380070524
2023-06,LEGACY_BASE,0.3,0.3,0.0469873236102673,-0.2530126763897327,0.0,-0.2530126763897327,-0.2530126763897327,False,True,
2023-08,LEGACY_BASE,0.2,0.1,0.4443825333867927,0.24438253338679267,0.1,0.3443825333867927,-0.14438253338679266,False,True,
