month,passenger_transport
2015-01,99.299999999999997
2015-02,99.599999999999994
2015-03,99.900000000000006
2015-04,99.900000000000006
2015-05,100.09999999999999
2015-06,100.09999999999999
2015-07,100.3
2015-08,100.8
2015-09,99.700000000000003
2015-10,100
2015-11,99.799999999999997
2015-12,100.5
2016-01,99.900000000000006
2016-02,99.900000000000006
2016-03,99.900000000000006
2016-04,100
2016-05,100.09999999999999
2016-06,99.799999999999997
2016-07,100.5
2016-08,100
2016-09,99.799999999999997
2016-10,99.700000000000003
2016-11,99.299999999999997
2016-12,100.09999999999999
2017-01,99.5
2017-02,99.799999999999997
2017-03,99.900000000000006
2017-04,100.5
2017-05,100
2017-06,100.5
2017-07,101.2
2017-08,100.7
2017-09,100.3
2017-10,99.900000000000006
2017-11,99.599999999999994
2017-12,100.40000000000001
2018-01,99.700000000000003
2018-02,100.40000000000001
2018-03,100.90000000000001
2018-04,101
2018-05,100.5
2018-06,101.90000000000001
2018-07,101.90000000000001
2018-08,101.59999999999999
2018-09,92.799999999999997
2018-10,92
2018-11,91.700000000000003
2018-12,92.400000000000006
2019-01,91.700000000000003
2019-02,92.5
2019-03,92.400000000000006
2019-04,93.099999999999994
2019-05,92.400000000000006
2019-06,92.700000000000003
2019-07,93.799999999999997
2019-08,94.200000000000003
2019-09,93.599999999999994
2019-10,94.099999999999994
2019-11,93.900000000000006
2019-12,94.200000000000003
2020-01,93.900000000000006
2020-02,97
2020-03,94.400000000000006
2020-04,93.799999999999997
2020-05,94.599999999999994
2020-06,94.900000000000006
2020-07,96.099999999999994
2020-08,96.200000000000003
2020-09,94.5
2020-10,94.400000000000006
2020-11,94.400000000000006
2020-12,94.400000000000006
2021-01,95.400000000000006
2021-02,95.400000000000006
2021-03,95.400000000000006
2021-04,95.400000000000006
2021-05,95.900000000000006
2021-06,96.099999999999994
2021-07,96.700000000000003
2021-08,98.700000000000003
2021-09,98.299999999999997
2021-10,99.799999999999997
2021-11,98
2021-12,100.09999999999999
2022-01,99.900000000000006
2022-02,100.40000000000001
2022-03,100.90000000000001
2022-04,111.09999999999999
2022-05,112.2
2022-06,112
2022-07,115.7
2022-08,116
2022-09,113.5
2022-10,115.8
2022-11,112.40000000000001
2022-12,118
2023-01,118.40000000000001
2023-02,120
2023-03,122.7
2023-04,124.40000000000001
2023-05,123.09999999999999
2023-06,125.09999999999999
2023-07,127.8
2023-08,125.09999999999999
2023-09,125.90000000000001
2023-10,124.5
2023-11,122
2023-12,127.5
2024-01,126.7
2024-02,128.09999999999999
2024-03,131.90000000000001
2024-04,129.30000000000001
2024-05,129.19999999999999
2024-06,131.69999999999999
2024-07,132.5
2024-08,132.80000000000001
2024-09,130.09999999999999
2024-10,133.80000000000001
2024-11,133.40000000000001
2024-12,135.09999999999999
2025-01,132.19999999999999
2025-02,133.69999999999999
2025-03,134.40000000000001
2025-04,136.19999999999999
2025-05,134.59999999999999
2025-06,135.19999999999999
2025-07,137.30000000000001
2025-08,136.69999999999999
2025-09,133.80000000000001
2025-10,134.80000000000001
2025-11,133.09999999999999
2025-12,135.69999999999999
2026-01,135.80000000000001
2026-02,135.59999999999999
2026-03,136.59999999999999
2026-04,136.90000000000001
2026-05,137.5
2026-06,137.90000000000001
2026-07,141
