origin,band,family,source,log_core_pp
2026-07,0,own,core_intercept,0.009563403520134933
2026-07,0,own,core_acceleration,-0.00686325792540954
2026-07,0,services,core_intercept,0.0009563403520134934
2026-07,0,services,core_acceleration,-0.0006908473232421421
2026-07,0,services,services_centering,7.850026849716372e-05
2026-07,0,services,services.intercept,-0.00016779127310325462
2026-07,0,services,services.level,-0.00010753183632104097
2026-07,0,services,services.change3,0.00011556473762471925
2026-07,0,services,services.change12,-2.0924606580938552e-05
2026-07,0,services,services.unemployment_change3,1.1235098650547997e-05
2026-07,0,services,services.ulc_growth12,5.75702127549435e-05
2026-07,0,services,services.ip_growth3,-3.268982704772395e-06
2026-07,0,goods,core_intercept,0.0009563403520134934
2026-07,0,goods,core_acceleration,-0.0006699647889681767
2026-07,0,goods,goods_centering,-9.90009946626974e-05
2026-07,0,goods,goods.intercept,-1.1685443605199165e-05
2026-07,0,goods,goods.level,0.0007584272659892428
2026-07,0,goods,goods.change3,-0.0003048934577449713
2026-07,0,goods,goods.change12,6.569363454729469e-06
2026-07,0,goods,goods.cost_26_mean3,0.0011844214545314506
2026-07,0,goods,goods.cost_45_mean3,-3.75836479381067e-05
2026-07,0,goods,goods.cost_47_mean3,0.000155791084179714
2026-07,0,goods,goods.fx3,-7.466754828636474e-05
2026-07,0,goods,goods.cost_62_mean3,-0.0001343018767735606
2026-07,0,both,core_intercept,0.0009563403520134937
2026-07,0,both,core_acceleration,-0.0006746465615145887
2026-07,0,both,services_centering,9.21069740695626e-05
2026-07,0,both,services.intercept,-0.00019687507745758554
2026-07,0,both,services.level,-0.00012617067749306395
2026-07,0,both,services.change3,0.0001355959475748852
2026-07,0,both,services.change12,-2.4551536353483192e-05
2026-07,0,both,services.unemployment_change3,1.3182514657416637e-05
2026-07,0,both,services.ulc_growth12,6.754904403403884e-05
2026-07,0,both,services.ip_growth3,-3.8356060557066565e-06
2026-07,0,both,goods_centering,-0.00010277375227580004
2026-07,0,both,goods.intercept,-1.213075576063964e-05
2026-07,0,both,goods.level,0.0007873296245109363
2026-07,0,both,goods.change3,-0.00031651242296659997
2026-07,0,both,goods.change12,6.8197105959022575e-06
2026-07,0,both,goods.cost_26_mean3,0.0012295577188177868
2026-07,0,both,goods.cost_45_mean3,-3.9015896112680735e-05
2026-07,0,both,goods.cost_47_mean3,0.00016172801441859767
2026-07,0,both,goods.fx3,-7.7513000114489e-05
2026-07,0,both,goods.cost_62_mean3,-0.00013941989028218993
2026-07,1,own,core_intercept,0.0011892936280307612
2026-07,1,own,core_acceleration,-0.000804208847473418
2026-07,1,services,core_intercept,0.0011892936280307597
2026-07,1,services,core_acceleration,-0.0007857445790165903
2026-07,1,services,services_centering,-0.0015417681857765753
2026-07,1,services,services.intercept,-0.0022706870822688397
2026-07,1,services,services.level,-0.0016331161696279822
2026-07,1,services,services.change3,0.0015251864217054214
2026-07,1,services,services.change12,-0.0004518965184225986
2026-07,1,services,services.unemployment_change3,0.00032756939711262896
2026-07,1,services,services.ulc_growth12,-0.001391159362794079
2026-07,1,services,services.ip_growth3,9.152956397086272e-05
2026-07,1,goods,core_intercept,0.0011892936280307597
2026-07,1,goods,core_acceleration,-0.0008308732251776377
2026-07,1,goods,goods_centering,0.0024956496078742587
2026-07,1,goods,goods.intercept,9.64434831596717e-05
2026-07,1,goods,goods.level,-0.004537032061902759
2026-07,1,goods,goods.change3,0.0012109607636806158
2026-07,1,goods,goods.change12,-9.57631975928075e-05
2026-07,1,goods,goods.cost_26_mean3,-0.006166465203263789
2026-07,1,goods,goods.cost_45_mean3,0.00011407662290038088
2026-07,1,goods,goods.cost_47_mean3,-0.0010526033856111405
2026-07,1,goods,goods.fx3,5.618113183252468e-05
2026-07,1,goods,goods.cost_62_mean3,0.0005604762947339933
2026-07,1,both,core_intercept,0.0011892936280307601
2026-07,1,both,core_acceleration,-0.0008124694282404678
2026-07,1,both,services_centering,-0.0015224026898354867
2026-07,1,both,services.intercept,-0.0022421659453814476
2026-07,1,both,services.level,-0.0016126032904247268
2026-07,1,both,services.change3,0.0015060292022664543
2026-07,1,both,services.change12,-0.0004462204380143776
2026-07,1,both,services.unemployment_change3,0.00032345493691768453
2026-07,1,both,services.ulc_growth12,-0.0013736856003684868
2026-07,1,both,services.ip_growth3,9.03798999578681e-05
2026-07,1,both,goods_centering,0.002479602733213458
2026-07,1,both,goods.intercept,9.58233574492229e-05
2026-07,1,both,goods.level,-0.0045078592226549434
2026-07,1,both,goods.change3,0.0012031743598791293
2026-07,1,both,goods.change12,-9.514744607703354e-05
2026-07,1,both,goods.cost_26_mean3,-0.00612681520836677
2026-07,1,both,goods.cost_45_mean3,0.00011334311717760874
2026-07,1,both,goods.cost_47_mean3,-0.0010458352100855613
2026-07,1,both,goods.fx3,5.581989058376366e-05
2026-07,1,both,goods.cost_62_mean3,0.0005568724663665938
2026-07,2,own,core_intercept,0.0013401977504754225
2026-07,2,own,core_acceleration,-0.0004170007548708266
2026-07,2,services,core_intercept,0.0013401977504754225
2026-07,2,services,core_acceleration,-0.0004572705569869859
2026-07,2,services,services_centering,0.0027520479988419745
2026-07,2,services,services.intercept,0.001559819048573094
2026-07,2,services,services.level,0.0010400672178419279
2026-07,2,services,services.change3,-0.0008880661278371105
2026-07,2,services,services.change12,0.00039371669105862776
2026-07,2,services,services.unemployment_change3,-0.00025236991214433577
2026-07,2,services,services.ulc_growth12,0.001451204034801257
2026-07,2,services,services.ip_growth3,-8.634726350677647e-06
2026-07,2,goods,core_intercept,0.0013401977504754227
2026-07,2,goods,core_acceleration,-0.00039390507652175546
2026-07,2,goods,goods_centering,0.004447161859771675
2026-07,2,goods,goods.intercept,3.8441556212726e-05
2026-07,2,goods,goods.level,-0.0016296781358599995
2026-07,2,goods,goods.change3,0.0004133956433784977
2026-07,2,goods,goods.change12,9.277818592428705e-06
2026-07,2,goods,goods.cost_26_mean3,-0.004053159516291204
2026-07,2,goods,goods.cost_45_mean3,6.57590928089858e-05
2026-07,2,goods,goods.cost_47_mean3,-0.0006459150624983559
2026-07,2,goods,goods.fx3,-2.5131575662661688e-05
2026-07,2,goods,goods.cost_62_mean3,0.0003101493480390007
2026-07,2,both,core_intercept,0.0013401977504754218
2026-07,2,both,core_acceleration,-0.0004327991967057302
2026-07,2,both,services_centering,0.002633960577820081
2026-07,2,both,services.intercept,0.0014928888900931812
2026-07,2,both,services.level,0.000995439051655855
2026-07,2,both,services.change3,-0.0008499601650133115
2026-07,2,both,services.change12,0.0003768227311131797
2026-07,2,both,services.unemployment_change3,-0.00024154099052625845
2026-07,2,both,services.ulc_growth12,0.001388934429794965
2026-07,2,both,services.ip_growth3,-8.26421952579292e-06
2026-07,2,both,goods_centering,0.00437933438287859
2026-07,2,both,goods.intercept,3.78552510931982e-05
2026-07,2,both,goods.level,-0.001604822517920138
2026-07,2,both,goods.change3,0.0004070905921271371
2026-07,2,both,goods.change12,9.13631462966795e-06
2026-07,2,both,goods.cost_26_mean3,-0.003991341306812015
2026-07,2,both,goods.cost_45_mean3,6.475614452676595e-05
2026-07,2,both,goods.cost_47_mean3,-0.0006360636583089093
2026-07,2,both,goods.fx3,-2.4748272463611156e-05
2026-07,2,both,goods.cost_62_mean3,0.0003054189945234665
2026-07,3,own,core_intercept,0.0016585122783918287
2026-07,3,own,core_acceleration,-0.00022344504902229532
2026-07,3,services,core_intercept,0.0016585122783918293
2026-07,3,services,core_acceleration,-0.0002945487371859795
2026-07,3,services,services_centering,0.005437335600724306
2026-07,3,services,services.intercept,0.0012086872980402658
