origin,band,family,source,log_core_pp
2019-02,0,own,core_intercept,0.021816113836411136
2019-02,0,own,core_acceleration,-0.008037495921072104
2019-03,0,own,core_intercept,0.02210316577830188
2019-03,0,own,core_acceleration,0.0020460710886851413
2019-04,0,own,core_intercept,0.021945743377688717
2019-04,0,own,core_acceleration,0.0023206976785127495
2019-05,0,own,core_intercept,0.021268945863101473
2019-05,0,own,core_acceleration,0.05574973017941405
2019-06,0,own,core_intercept,0.010706822569032657
2019-06,0,own,core_acceleration,0.03151647430023909
2019-07,0,own,core_intercept,0.010355103838631557
2019-07,0,own,core_acceleration,0.013045135858944939
2019-08,0,own,core_intercept,0.02030752568951604
2019-08,0,own,core_acceleration,-0.06547533813983933
2019-09,0,own,core_intercept,0.021981847442004834
2019-09,0,own,core_acceleration,-0.08237559805403658
2019-10,0,own,core_intercept,0.021992524651246893
2019-10,0,own,core_acceleration,0.0117404674232454
2019-11,0,own,core_intercept,0.02089753226125596
2019-11,0,own,core_acceleration,0.062369055285104835
2019-12,0,own,core_intercept,0.018330167448802177
2019-12,0,own,core_acceleration,0.0744945701346252
2020-01,0,own,core_intercept,0.017496161629748857
2020-01,0,own,core_acceleration,0.0012922807376880444
2020-02,0,own,core_intercept,0.01924952992279125
2020-02,0,own,core_acceleration,-0.03491990076593929
2020-03,0,own,core_intercept,0.02102205023970312
2020-03,0,own,core_acceleration,-0.09080024841699257
2020-04,0,own,core_intercept,0.022205800832246242
2020-04,0,own,core_acceleration,-0.0608532223406369
2020-05,0,own,core_intercept,0.0232612697437036
2020-05,0,own,core_acceleration,0.05333518996148267
2020-06,0,own,core_intercept,0.02067341999417048
2020-06,0,own,core_acceleration,0.04537433996026991
2020-07,0,own,core_intercept,0.0187693521277614
2020-07,0,own,core_acceleration,-0.04977975716566065
2020-08,0,own,core_intercept,0.021495813208904528
2020-08,0,own,core_acceleration,-0.17735974020568282
2020-09,0,own,core_intercept,0.023769629342295266
2020-09,0,own,core_acceleration,-0.07931292380200763
2020-10,0,own,core_intercept,0.022636097802059215
2020-10,0,own,core_acceleration,0.03444400084452051
2020-11,0,own,core_intercept,0.019473434288329053
2020-11,0,own,core_acceleration,0.133644074140209
2020-12,0,own,core_intercept,0.015178615704490438
2020-12,0,own,core_acceleration,0.13289935728003727
2021-01,0,own,core_intercept,0.013057431474289132
2021-01,0,own,core_acceleration,0.09585374300360122
2021-02,0,own,core_intercept,0.013551684791932497
2021-02,0,own,core_acceleration,0.042103355923382
2021-03,0,own,core_intercept,0.014453176334681787
2021-03,0,own,core_acceleration,0.03053466114658411
2021-04,0,own,core_intercept,0.015320982079636055
2021-04,0,own,core_acceleration,0.030945984726143207
2021-05,0,own,core_intercept,0.015126906472092364
2021-05,0,own,core_acceleration,0.10291445292521205
2021-06,0,own,core_intercept,0.014176000186557541
2021-06,0,own,core_acceleration,0.03428719835929207
