origin,h,target,released,error,baseline_log,actual_log
2019-02,1,2019-03,2019-04-10 09:00:00,-0.12598611316086153,0.025936079802508196,-0.10005003335835334
2019-02,2,2019-04,2019-05-13 09:00:00,-0.04804360146612713,0.4472457284198725,0.39920212695374535
2019-02,3,2019-05,2019-06-11 09:00:00,-0.09655601122745205,0.19650604453580536,0.09995003330835331
2019-02,4,2019-06,2019-07-11 09:00:00,0.103979113542229,0.1955717844376189,0.2995508979798479
2019-02,5,2019-07,2019-08-12 09:00:00,0.37694792134534116,0.6180851639714672,0.9950330853168083
2019-02,6,2019-08,2019-09-10 09:00:00,0.05557099481739716,0.14422927144990846,0.19980026626730563
2019-02,7,2019-09,2019-10-10 09:00:00,-0.5216231930042958,-0.3824512722106106,-0.9040744652149064
2019-02,8,2019-10,2019-11-11 09:00:00,0.10604354472717398,0.4921636230275724,0.5982071677547464
2019-02,9,2019-11,2019-12-10 09:00:00,-0.04251120918357414,0.04251120918357414,0.0
2019-02,10,2019-12,2020-01-13 09:00:00,-0.1916406752185105,0.2915907085268638,0.09995003330835331
2019-02,11,2020-01,2020-02-14 09:00:00,0.3811077183824359,0.4157092465352515,0.7968169649176874
2019-02,12,2020-02,2020-03-10 09:00:00,0.3319996229200841,0.36556175072244,0.6975613736425241
2019-03,1,2019-04,2019-05-13 09:00:00,-0.015797784492111777,0.41499991144585713,0.39920212695374535
2019-03,2,2019-05,2019-06-11 09:00:00,-0.0668102929440422,0.1667603262523955,0.09995003330835331
2019-03,3,2019-06,2019-07-11 09:00:00,0.1328752867728701,0.1666756112069778,0.2995508979798479
2019-03,4,2019-07,2019-08-12 09:00:00,0.4054946913868438,0.5895383939299645,0.9950330853168083
2019-03,5,2019-08,2019-09-10 09:00:00,0.08392313121251611,0.11587713505478951,0.19980026626730563
2019-03,6,2019-09,2019-10-10 09:00:00,-0.4934147687582522,-0.41065969645665423,-0.9040744652149064
2019-03,7,2019-10,2019-11-11 09:00:00,0.13412779937609282,0.46407936837865355,0.5982071677547464
2019-03,8,2019-11,2019-12-10 09:00:00,-0.01454120856857491,0.01454120856857491,0.0
2019-03,9,2019-12,2020-01-13 09:00:00,-0.16377810381073007,0.2637281371190834,0.09995003330835331
2019-03,10,2020-01,2020-02-14 09:00:00,0.40886856568085983,0.38794839923682756,0.7968169649176874
2019-03,11,2020-02,2020-03-10 09:00:00,0.3596539921320053,0.33790738151051886,0.6975613736425241
2019-03,12,2020-03,2020-04-14 09:00:00,-0.28841652086347336,-0.012034381166398822,-0.3004509020298722
2019-04,1,2019-05,2019-06-11 09:00:00,-0.047327195709916,0.1472772290182693,0.09995003330835331
2019-04,2,2019-06,2019-07-11 09:00:00,0.15108708287923556,0.14846381510061235,0.2995508979798479
2019-04,3,2019-07,2019-08-12 09:00:00,0.4230899203622931,0.5719431649545152,0.9950330853168083
2019-04,4,2019-08,2019-09-10 09:00:00,0.10110997209573211,0.09869029417157352,0.19980026626730563
2019-04,5,2019-09,2019-10-10 09:00:00,-0.4765626913580169,-0.42751177385688954,-0.9040744652149064
2019-04,6,2019-10,2019-11-11 09:00:00,0.15067781302888889,0.4475293547258575,0.5982071677547464
2019-04,7,2019-11,2019-12-10 09:00:00,0.00172663299257167,-0.00172663299257167,0.0
2019-04,8,2019-12,2020-01-13 09:00:00,-0.14777688919612528,0.24772692250447859,0.09995003330835331
2019-04,9,2020-01,2020-02-14 09:00:00,0.4246169156584075,0.3722000492592799,0.7968169649176874
2019-04,10,2020-02,2020-03-10 09:00:00,0.3751622499929959,0.3223991236495282,0.6975613736425241
2019-04,11,2020-03,2020-04-14 09:00:00,-0.2631413184108123,-0.037309583619059894,-0.3004509020298722
2019-04,12,2020-04,2020-05-13 09:00:00,-0.19707872516449604,0.39687899143180166,0.19980026626730563
