model,n,rmse_yoy,paper_rmse_yoy
TVW3,167,2.2441141765371215,1.973
TVW1,167,2.270352741146846,2.089
TVW2,167,2.278368571081026,2.173
QRF_MEAN,167,2.2968691666386833,2.224
QRF_MEDIAN,167,2.3261777517344364,2.304
AR3_DIRECT,167,2.513725588244924,
AR3,167,2.5157638711267403,2.449
ARIMA313,167,2.6179212258739817,2.944
LQR_ENSEMBLE,167,2.625654524695835,2.567
RW,167,2.6751522057202437,2.653
