month,household_goods_services
2015-01,101.90000000000001
2015-02,100.90000000000001
2015-03,100.2
2015-04,100.59999999999999
2015-05,100.40000000000001
2015-06,100
2015-07,100.90000000000001
2015-08,99.900000000000006
2015-09,99.5
2015-10,97.799999999999997
2015-11,97.900000000000006
2015-12,99.900000000000006
2016-01,99.5
2016-02,99.400000000000006
2016-03,96.900000000000006
2016-04,97.700000000000003
2016-05,96.5
2016-06,96.900000000000006
2016-07,97.200000000000003
2016-08,97.400000000000006
2016-09,96.900000000000006
2016-10,96.400000000000006
2016-11,94.599999999999994
2016-12,94.900000000000006
2017-01,95.700000000000003
2017-02,93.599999999999994
2017-03,95.599999999999994
2017-04,96.799999999999997
2017-05,95.5
2017-06,94.799999999999997
2017-07,95
2017-08,94.900000000000006
2017-09,95.700000000000003
2017-10,94.599999999999994
2017-11,94.900000000000006
2017-12,95.400000000000006
2018-01,95.700000000000003
2018-02,95.400000000000006
2018-03,96.200000000000003
2018-04,96.200000000000003
2018-05,98.099999999999994
2018-06,97.099999999999994
2018-07,98.799999999999997
2018-08,99.200000000000003
2018-09,98.900000000000006
2018-10,99.400000000000006
2018-11,97.599999999999994
2018-12,98
2019-01,97.799999999999997
2019-02,97
2019-03,97.400000000000006
2019-04,96.5
2019-05,98
2019-06,98.599999999999994
2019-07,100
2019-08,98.599999999999994
2019-09,98.599999999999994
2019-10,97.900000000000006
2019-11,100.40000000000001
2019-12,101.09999999999999
2020-01,100.59999999999999
2020-02,102.09999999999999
2020-03,100
2020-04,102.59999999999999
2020-05,101.8
2020-06,101.5
2020-07,100.8
2020-08,100.90000000000001
2020-09,101.7
2020-10,102.5
2020-11,102.3
2020-12,100.3
2021-01,103.59999999999999
2021-02,101.2
2021-03,99.400000000000006
2021-04,101
2021-05,99.900000000000006
2021-06,100.09999999999999
2021-07,100.2
2021-08,101.59999999999999
2021-09,101.90000000000001
2021-10,100.7
2021-11,101.40000000000001
2021-12,102.2
2022-01,105.5
2022-02,105.3
2022-03,106.59999999999999
2022-04,107.5
2022-05,110.09999999999999
2022-06,112.7
2022-07,115.2
2022-08,116.09999999999999
2022-09,120.2
2022-10,118.5
2022-11,121.09999999999999
2022-12,120.59999999999999
2023-01,125.59999999999999
2023-02,127.40000000000001
2023-03,130.19999999999999
2023-04,135
2023-05,134
2023-06,132.09999999999999
2023-07,129.09999999999999
2023-08,127.7
2023-09,128.19999999999999
2023-10,127.40000000000001
2023-11,127
2023-12,123.59999999999999
2024-01,125.3
2024-02,125.09999999999999
2024-03,122.40000000000001
2024-04,126
2024-05,124.59999999999999
2024-06,122.7
2024-07,123.90000000000001
2024-08,124.40000000000001
2024-09,126.09999999999999
2024-10,124.40000000000001
2024-11,123.09999999999999
2024-12,122.59999999999999
2025-01,123.5
2025-02,124
2025-03,122.5
2025-04,123.59999999999999
2025-05,123
2025-06,122.2
2025-07,122.5
2025-08,121.5
2025-09,120.8
2025-10,120.90000000000001
2025-11,119.90000000000001
2025-12,120.90000000000001
2026-01,121.7
2026-02,121.90000000000001
2026-03,120.59999999999999
2026-04,121.59999999999999
2026-05,120.5
2026-06,120.7
2026-07,121.09999999999999
2026-08,121
