origin,as_of_utc,target,model,log_rate_forecast,mm_forecast,status,reason,outer_origin,h,mm_actual,cumulative_log_forecast,cumulative_pct_forecast,cumulative_log_actual,cumulative_pct_actual
2019-02,2019-03-10T22:59:00+00:00,2019-03,FOOD_SEASONAL_R17,-0.1898594610520753,-0.18967934198638242,control,,True,1,0.0,-0.1898594610520753,-0.18967934198638242,0.0,0.0
2019-02,2019-03-10T22:59:00+00:00,2019-04,FOOD_SEASONAL_R17,-0.1136139913557197,-0.11354947509603984,control,,True,2,-0.6505576208178376,-0.303473452407795,-0.3030134371852311,-0.6526829696684437,-0.6505576208178376
2019-02,2019-03-10T22:59:00+00:00,2019-05,FOOD_SEASONAL_R17,0.30654610156280804,0.3070164345977901,control,,True,3,1.9644527595883865,0.003072649155013041,0.003072696361360684,1.2927234501459584,1.30111524163568
2019-02,2019-03-10T22:59:00+00:00,2019-06,FOOD_SEASONAL_R17,0.01393368727721106,0.013934658060504871,control,,True,4,0.3669724770642314,0.0170063364322241,0.017007782591596746,1.6590242260196826,1.6728624535316021
2019-02,2019-03-10T22:59:00+00:00,2019-07,FOOD_SEASONAL_R17,-0.603616916752603,-0.6017988098146859,control,,True,5,-0.5484460694698434,-0.5866105803203789,-0.5848933798563014,1.1090686694158167,1.115241635687728
2019-02,2019-03-10T22:59:00+00:00,2019-08,FOOD_SEASONAL_R17,-0.5696187041909403,-0.5679994528285276,control,,True,6,-0.2757352941176406,-1.1562292845113191,-1.1495706414876148,0.8329525252830221,0.8364312267658013
2019-02,2019-03-10T22:59:00+00:00,2019-09,FOOD_SEASONAL_R17,0.41516776188774707,0.4160307771473638,control,,True,7,-0.5529953917050688,-0.741061522623572,-0.73832243201389,0.2784224536404958,0.2788104089219355
2019-02,2019-03-10T22:59:00+00:00,2019-10,FOOD_SEASONAL_R17,0.3722598773744925,0.3729536250369571,control,,True,8,0.8341056533827549,-0.3688016452490796,-0.3681224072515896,1.1090686694158167,1.115241635687728
2019-02,2019-03-10T22:59:00+00:00,2019-11,FOOD_SEASONAL_R17,0.09123604176309019,0.09127767450006424,control,,True,9,1.1948529411764712,-0.2775656034859894,-0.27718074632417833,2.29683960009502,2.3234200743494386
2019-02,2019-03-10T22:59:00+00:00,2019-12,FOOD_SEASONAL_R17,0.39520300149438337,0.39598495832261277,control,,True,10,0.7266121707538703,0.11763739800839396,0.11770661793562429,3.0208246628637374,3.0669144981412706
