origin,as_of,h,target,family,penalty,log_rate_forecast,mm_forecast,status,reason,all_path_estimated
2016-02,2016-03-08T23:59:00+01:00,1,2016-03,symmetric,0.1,0.0,0.0,fallback_persistence,insufficient_training_rows,False
2016-02,2016-03-08T23:59:00+01:00,2,2016-04,symmetric,0.1,0.297177038915748,0.2976190476190466,fallback_persistence,insufficient_training_rows,False
2016-02,2016-03-08T23:59:00+01:00,3,2016-05,symmetric,0.1,0.3948672455416279,0.39564787339267926,fallback_persistence,insufficient_training_rows,False
2016-02,2016-03-08T23:59:00+01:00,4,2016-06,symmetric,0.1,0.0,0.0,fallback_persistence,insufficient_training_rows,False
2016-02,2016-03-08T23:59:00+01:00,5,2016-07,symmetric,0.1,-1.8896633891289496,-1.871921182266012,fallback_persistence,insufficient_training_rows,False
2016-02,2016-03-08T23:59:00+01:00,6,2016-08,symmetric,0.1,-0.8064559836730409,-0.8032128514056216,fallback_persistence,insufficient_training_rows,False
2016-02,2016-03-08T23:59:00+01:00,7,2016-09,symmetric,0.1,0.7060039410724883,0.7085020242914908,fallback_persistence,insufficient_training_rows,False
2016-02,2016-03-08T23:59:00+01:00,8,2016-10,symmetric,0.1,-0.30196298737199445,-0.30150753768843896,fallback_persistence,insufficient_training_rows,False
2016-02,2016-03-08T23:59:00+01:00,9,2016-11,symmetric,0.1,-0.7081466112783934,-0.7056451612903247,fallback_persistence,insufficient_training_rows,False
2016-02,2016-03-08T23:59:00+01:00,10,2016-12,symmetric,0.1,-0.9179054758996466,-0.9137055837563521,fallback_persistence,insufficient_training_rows,False
2016-02,2016-03-08T23:59:00+01:00,11,2017-01,symmetric,0.1,1.3231745209619792,1.3319672131147706,fallback_persistence,insufficient_training_rows,False
2016-02,2016-03-08T23:59:00+01:00,12,2017-02,symmetric,0.1,-0.09915717222951628,-0.09910802775026092,fallback_persistence,insufficient_training_rows,False
2016-02,2016-03-08T23:59:00+01:00,1,2016-03,symmetric,1.0,0.0,0.0,fallback_persistence,insufficient_training_rows,False
2016-02,2016-03-08T23:59:00+01:00,2,2016-04,symmetric,1.0,0.297177038915748,0.2976190476190466,fallback_persistence,insufficient_training_rows,False
2016-02,2016-03-08T23:59:00+01:00,3,2016-05,symmetric,1.0,0.3948672455416279,0.39564787339267926,fallback_persistence,insufficient_training_rows,False
2016-02,2016-03-08T23:59:00+01:00,4,2016-06,symmetric,1.0,0.0,0.0,fallback_persistence,insufficient_training_rows,False
2016-02,2016-03-08T23:59:00+01:00,5,2016-07,symmetric,1.0,-1.8896633891289496,-1.871921182266012,fallback_persistence,insufficient_training_rows,False
2016-02,2016-03-08T23:59:00+01:00,6,2016-08,symmetric,1.0,-0.8064559836730409,-0.8032128514056216,fallback_persistence,insufficient_training_rows,False
2016-02,2016-03-08T23:59:00+01:00,7,2016-09,symmetric,1.0,0.7060039410724883,0.7085020242914908,fallback_persistence,insufficient_training_rows,False
2016-02,2016-03-08T23:59:00+01:00,8,2016-10,symmetric,1.0,-0.30196298737199445,-0.30150753768843896,fallback_persistence,insufficient_training_rows,False
2016-02,2016-03-08T23:59:00+01:00,9,2016-11,symmetric,1.0,-0.7081466112783934,-0.7056451612903247,fallback_persistence,insufficient_training_rows,False
2016-02,2016-03-08T23:59:00+01:00,10,2016-12,symmetric,1.0,-0.9179054758996466,-0.9137055837563521,fallback_persistence,insufficient_training_rows,False
