scope,sample,h,horizon_label,metric,model,n_intended,n_scored,n_missing_forecast,n_fallback,rmse,mae,bias
primary_control_calendar,full,0,pooled_h1_12,mm,FOOD_ASYMMETRIC_R17,24,24,0,0,0.8318336027073306,0.6610704095063953,-0.33903350139180977
primary_control_calendar,full,0,pooled_h1_12,mm,FOOD_HALF_CORRECTION_R17,24,24,0,0,0.8112572658556811,0.6504391495949035,-0.31166822352294143
primary_control_calendar,full,0,pooled_h1_12,mm,FOOD_OWN_R17,24,24,0,0,0.8029946223916666,0.6324255058836958,-0.3573875448068582
primary_control_calendar,full,0,pooled_h1_12,mm,FOOD_PERSISTENCE_R17,24,24,0,0,0.8225554287373407,0.6568055045409876,-0.28404178624260107
primary_control_calendar,full,0,pooled_h1_12,mm,FOOD_SEASONAL_R17,24,24,0,0,0.8124372637524324,0.6569404076262757,-0.3630201919435641
primary_control_calendar,full,0,pooled_h1_12,mm,FOOD_SYMMETRIC_R17,24,24,0,0,0.9090213911186888,0.7248020172309982,-0.506957292616665
primary_control_calendar,full,0,pooled_h1_12,mm,STATE_FAST_R15,24,24,0,0,0.8180355399803932,0.6847774539338407,-0.3190131875561997
common,full,0,pooled_h1_12,mm,FOOD_ASYMMETRIC_R17,24,24,0,0,0.8318336027073306,0.6610704095063953,-0.33903350139180977
common,full,0,pooled_h1_12,mm,FOOD_HALF_CORRECTION_R17,24,24,0,0,0.8112572658556811,0.6504391495949035,-0.31166822352294143
common,full,0,pooled_h1_12,mm,FOOD_OWN_R17,24,24,0,0,0.8029946223916666,0.6324255058836958,-0.3573875448068582
common,full,0,pooled_h1_12,mm,FOOD_PERSISTENCE_R17,24,24,0,0,0.8225554287373407,0.6568055045409876,-0.28404178624260107
common,full,0,pooled_h1_12,mm,FOOD_SEASONAL_R17,24,24,0,0,0.8124372637524324,0.6569404076262757,-0.3630201919435641
common,full,0,pooled_h1_12,mm,FOOD_SYMMETRIC_R17,24,24,0,0,0.9090213911186888,0.7248020172309982,-0.506957292616665
common,full,0,pooled_h1_12,mm,STATE_FAST_R15,24,24,0,0,0.8180355399803932,0.6847774539338407,-0.3190131875561997
primary_control_calendar,full,0,pooled_h1_12,cumulative_log,FOOD_ASYMMETRIC_R17,24,24,0,0,2.3291837729120934,1.8596603757128787,-1.7690838223911118
primary_control_calendar,full,0,pooled_h1_12,cumulative_log,FOOD_HALF_CORRECTION_R17,24,24,0,0,2.426991375520018,1.7896180965069377,-1.6138706428955703
primary_control_calendar,full,0,pooled_h1_12,cumulative_log,FOOD_OWN_R17,24,24,0,0,2.319160226607905,1.9479433864507294,-1.885353810092715
primary_control_calendar,full,0,pooled_h1_12,cumulative_log,FOOD_PERSISTENCE_R17,24,24,0,0,2.7493459693221625,1.908281029837975,-1.4586574634000284
primary_control_calendar,full,0,pooled_h1_12,cumulative_log,FOOD_SEASONAL_R17,24,24,0,0,2.388920535652131,2.0423118754197653,-1.968288667455318
primary_control_calendar,full,0,pooled_h1_12,cumulative_log,FOOD_SYMMETRIC_R17,24,24,0,0,3.5016061632526823,2.821374394577312,-2.769868638765026
primary_control_calendar,full,0,pooled_h1_12,cumulative_log,STATE_FAST_R15,24,24,0,0,2.0437877230267905,1.7093278061921169,-1.6479867167893387
common,full,0,pooled_h1_12,cumulative_log,FOOD_ASYMMETRIC_R17,24,24,0,0,2.3291837729120934,1.8596603757128787,-1.7690838223911118
common,full,0,pooled_h1_12,cumulative_log,FOOD_HALF_CORRECTION_R17,24,24,0,0,2.426991375520018,1.7896180965069377,-1.6138706428955703
common,full,0,pooled_h1_12,cumulative_log,FOOD_OWN_R17,24,24,0,0,2.319160226607905,1.9479433864507294,-1.885353810092715
common,full,0,pooled_h1_12,cumulative_log,FOOD_PERSISTENCE_R17,24,24,0,0,2.7493459693221625,1.908281029837975,-1.4586574634000284
common,full,0,pooled_h1_12,cumulative_log,FOOD_SEASONAL_R17,24,24,0,0,2.388920535652131,2.0423118754197653,-1.968288667455318
common,full,0,pooled_h1_12,cumulative_log,FOOD_SYMMETRIC_R17,24,24,0,0,3.5016061632526823,2.821374394577312,-2.769868638765026
common,full,0,pooled_h1_12,cumulative_log,STATE_FAST_R15,24,24,0,0,2.0437877230267905,1.7093278061921169,-1.6479867167893387
primary_control_calendar,full,0,pooled_h1_12,cumulative_pct,FOOD_ASYMMETRIC_R17,24,24,0,0,2.3808554553601273,1.8939023425187234,-1.8036245389763337
primary_control_calendar,full,0,pooled_h1_12,cumulative_pct,FOOD_HALF_CORRECTION_R17,24,24,0,0,2.464202426216969,1.8143958942457028,-1.6379612207986582
primary_control_calendar,full,0,pooled_h1_12,cumulative_pct,FOOD_OWN_R17,24,24,0,0,2.375196379974371,1.9843754948838626,-1.9220461807190479
primary_control_calendar,full,0,pooled_h1_12,cumulative_pct,FOOD_PERSISTENCE_R17,24,24,0,0,2.777537878744362,1.9241321239040208,-1.4661396173527077
