month,recreation_durables
2015-01,103.59999999999999
2015-02,102.2
2015-03,100.59999999999999
2015-04,100.40000000000001
2015-05,100.09999999999999
2015-06,99
2015-07,99.700000000000003
2015-08,99.299999999999997
2015-09,99.099999999999994
2015-10,99.200000000000003
2015-11,97.900000000000006
2015-12,98.799999999999997
2016-01,97.200000000000003
2016-02,97.599999999999994
2016-03,96.900000000000006
2016-04,97.200000000000003
2016-05,97.400000000000006
2016-06,97.400000000000006
2016-07,97.200000000000003
2016-08,98.700000000000003
2016-09,99.700000000000003
2016-10,99.799999999999997
2016-11,100.3
2016-12,99.200000000000003
2017-01,100.40000000000001
2017-02,101.5
2017-03,101.40000000000001
2017-04,99.400000000000006
2017-05,100.7
2017-06,101.5
2017-07,101.90000000000001
2017-08,102.2
2017-09,102.5
2017-10,102.8
2017-11,102.7
2017-12,100.09999999999999
2018-01,96.599999999999994
2018-02,96.900000000000006
2018-03,95.299999999999997
2018-04,94.400000000000006
2018-05,93.799999999999997
2018-06,93.599999999999994
2018-07,91.799999999999997
2018-08,91.5
2018-09,90.299999999999997
2018-10,89.700000000000003
2018-11,86.5
2018-12,85.700000000000003
2019-01,85.5
2019-02,84.5
2019-03,83.799999999999997
2019-04,83.400000000000006
2019-05,82.799999999999997
2019-06,82.200000000000003
2019-07,82
2019-08,82.799999999999997
2019-09,82.700000000000003
2019-10,83.299999999999997
2019-11,82.299999999999997
2019-12,81.900000000000006
2020-01,84.799999999999997
2020-02,86
2020-03,85.900000000000006
2020-04,86.200000000000003
2020-05,87.099999999999994
2020-06,86.400000000000006
2020-07,88.299999999999997
2020-08,87.5
2020-09,87.900000000000006
2020-10,88.200000000000003
2020-11,88.299999999999997
2020-12,87.400000000000006
2021-01,87.900000000000006
2021-02,88
2021-03,88
2021-04,89.099999999999994
2021-05,89.900000000000006
2021-06,90.299999999999997
2021-07,90.599999999999994
2021-08,90.700000000000003
2021-09,91.099999999999994
2021-10,91.299999999999997
2021-11,91.900000000000006
2021-12,94.799999999999997
2022-01,96.099999999999994
2022-02,96.799999999999997
2022-03,98.200000000000003
2022-04,100.8
2022-05,104.5
2022-06,105
2022-07,105.59999999999999
2022-08,105.7
2022-09,105.90000000000001
2022-10,107.8
2022-11,106.2
2022-12,109.2
2023-01,108.2
2023-02,111.5
2023-03,112.7
2023-04,114.09999999999999
2023-05,114.59999999999999
2023-06,113.90000000000001
2023-07,112.90000000000001
2023-08,114.09999999999999
2023-09,115.90000000000001
2023-10,115.8
2023-11,110.90000000000001
2023-12,116
2024-01,117.90000000000001
2024-02,118.2
2024-03,118.8
2024-04,124.2
2024-05,124.40000000000001
2024-06,122.90000000000001
2024-07,121.8
2024-08,126
2024-09,129.30000000000001
2024-10,128.69999999999999
2024-11,124.3
2024-12,129.5
2025-01,131.80000000000001
2025-02,134.30000000000001
2025-03,132.19999999999999
2025-04,129.90000000000001
2025-05,131.5
2025-06,133.5
2025-07,132.80000000000001
2025-08,137.19999999999999
2025-09,139.30000000000001
2025-10,141.19999999999999
2025-11,136.69999999999999
2025-12,140.19999999999999
2026-01,140.80000000000001
2026-02,145.69999999999999
2026-03,142.90000000000001
2026-04,146.19999999999999
2026-05,145.40000000000001
2026-06,143.19999999999999
2026-07,141.69999999999999
2026-08,143.59999999999999
