period,gross_petrol95,gross_diesel,net_petrol95,net_diesel,vat_petrol95,vat_diesel,excise_petrol95,excise_diesel
2005-01-03,25.13799716999998,25.236974029999978,9.284090189999993,11.257555189999993,0.19,0.19,11.84,9.95
2005-01-10,24.75402025000003,24.972086700000027,8.96189595000001,11.034888250000012,0.19,0.19,11.84,9.95
2005-01-17,24.519003749999985,24.707024999999984,8.764098749999993,10.811981249999992,0.19,0.19,11.84,9.95
2005-01-24,24.351081499999967,24.590883259999963,8.622871619999989,10.715081419999985,0.19,0.19,11.84,9.95
2005-01-31,24.394110400000002,24.526123600000002,8.658920600000002,10.659915200000002,0.19,0.19,11.84,9.95
2005-02-07,24.518867000000004,24.5449235,8.763969000000001,10.675977000000001,0.19,0.19,11.84,9.95
2005-02-14,24.443090099999996,24.44098527,8.700465149999998,10.588798349999998,0.19,0.19,11.84,9.95
2005-02-21,24.70001256000002,24.531850920000018,8.915858340000009,10.665098460000008,0.19,0.19,11.84,9.95
2005-02-28,24.74706828999997,24.548087619999972,8.95591472999999,10.678629289999986,0.19,0.19,11.84,9.95
2005-03-07,24.975068999999998,25.2129465,9.147497999999999,11.237274,0.19,0.19,11.84,9.95
2005-03-14,25.050143899999984,25.26307574999998,9.210561149999995,11.278872749999993,0.19,0.19,11.84,9.95
2005-03-21,25.105128960000016,25.302873600000016,9.256619520000006,11.313043200000008,0.19,0.19,11.84,9.95
2005-04-04,26.31793359999997,26.021936399999973,10.276146199999989,11.91703939999999,0.19,0.19,11.84,9.95
2005-04-11,27.306125979999972,26.96500120999997,11.106137559999988,12.709513669999987,0.19,0.19,11.84,9.95
2005-04-18,27.53388380000004,27.17884940000004,11.298003700000017,12.889620500000019,0.19,0.19,11.84,9.95
2005-04-25,27.575999749999966,27.192008999999963,11.333039249999985,12.900571449999983,0.19,0.19,11.84,9.95
2005-05-02,27.726008649999986,27.128943399999986,11.459095049999993,12.847385699999991,0.19,0.19,11.84,9.95
2005-05-09,27.80796150000002,27.17514150000002,11.528070000000007,12.88594650000001,0.19,0.19,11.84,9.95
2005-05-16,27.75194805,27.141912400000002,11.480913150000001,12.858092,0.19,0.19,11.84,9.95
2005-05-23,27.729896700000022,27.127066260000024,11.46258102000001,12.84611634000001,0.19,0.19,11.84,9.95
2005-05-30,27.70389777000003,27.106853340000026,11.440761030000012,12.828988380000013,0.19,0.19,11.84,9.95
2005-06-06,27.854927240000006,27.423897970000006,11.567510500000003,13.094964820000003,0.19,0.19,11.84,9.95
2005-06-13,28.325911479999984,28.252116399999984,11.962902419999995,13.790980539999993,0.19,0.19,11.84,9.95
2005-06-20,28.343135040000025,28.31106928000003,11.977610240000013,13.841020480000013,0.19,0.19,11.84,9.95
2005-06-27,28.614079620000037,28.537945660000037,12.205412800000017,14.03142888000002,0.19,0.19,11.84,9.95
2005-07-04,28.614094069999982,28.537861049999986,12.205386709999994,14.031377629999993,0.19,0.19,11.84,9.95
2005-07-11,28.739148199999992,28.613959299999987,12.310442939999996,14.095063499999995,0.19,0.19,11.84,9.95
2005-07-18,29.65496455999997,29.45501701999997,13.080127759999987,14.802149559999986,0.19,0.19,11.84,9.95
2005-07-25,29.64907155000003,29.431998260000032,13.075118280000014,14.783023150000016,0.19,0.19,11.84,9.95
2005-08-01,29.633934200000002,29.392147280000003,13.062508280000003,14.749002120000004,0.19,0.19,11.84,9.95
2005-08-08,29.667079819999962,29.374998449999964,13.089911589999984,14.734899689999981,0.19,0.19,11.84,9.95
2005-08-15,29.643930240000014,29.317096260000014,13.071005760000006,14.686053960000006,0.19,0.19,11.84,9.95
2005-08-22,29.65593116999997,29.339016889999975,13.080960889999988,14.704999309999987,0.19,0.19,11.84,9.95
2005-08-29,29.672087620000035,29.343931260000033,13.094564210000016,14.708986880000017,0.19,0.19,11.84,9.95
2005-09-05,32.184931380000016,30.705879180000014,15.206051400000005,15.852882480000005,0.19,0.19,11.84,9.95
2005-09-12,33.623961,30.888858000000003,16.415580300000002,16.0069203,0.19,0.19,11.84,9.95
2005-09-19,33.33885600000002,30.758910750000016,16.176078750000013,15.898041000000008,0.19,0.19,11.84,9.95
2005-09-26,32.81811240000001,30.456082040000016,15.738112060000006,15.643064100000009,0.19,0.19,11.84,9.95
2005-10-03,32.636907869999995,30.29193755999999,15.586076169999995,15.505572329999996,0.19,0.19,11.84,9.95
2005-10-10,32.620952940000045,30.297855180000038,15.572975730000021,15.51058092000002,0.19,0.19,11.84,9.95
2005-10-17,32.47593675000002,30.228916100000017,15.450902400000007,15.452387150000007,0.19,0.19,11.84,9.95
2005-10-24,32.00389089,30.051973009999998,15.054121989999997,15.30391746,0.19,0.19,11.84,9.95
2005-11-07,31.26292556000001,29.866135720000013,14.431344000000006,15.147338120000006,0.19,0.19,11.84,9.95
2005-11-14,30.60904528000004,29.62903628000004,13.88190062000002,14.94791638000002,0.19,0.19,11.84,9.95
2005-11-21,29.87097749999999,29.300017499999992,13.261949999999995,14.672092499999994,0.19,0.19,11.84,9.95
2005-11-28,29.371957560000016,28.991094110000017,12.842483830000008,14.411988800000008,0.19,0.19,11.84,9.95
2005-12-05,29.024937300000023,28.71310272000002,12.55097992000001,14.17848426000001,0.19,0.19,11.84,9.95
2005-12-12,28.573943399999987,28.306897199999987,12.171837799999995,13.836949399999995,0.19,0.19,11.84,9.95
2005-12-19,28.386921119999986,28.140999119999982,12.014880959999994,13.697855399999991,0.19,0.19,11.84,9.95
2006-01-09,27.980927549999983,27.777120659999984,11.673493649999994,13.391871119999992,0.19,0.19,11.84,9.95
2006-01-16,28.13685956000001,27.85091528000001,11.804632240000002,13.454067120000005,0.19,0.19,11.84,9.95
2006-01-23,28.232090880000012,27.93313728000001,11.884049280000005,13.523001600000004,0.19,0.19,11.84,9.95
2006-01-30,28.53098997999998,28.232011689999982,12.136019989999992,13.77401215999999,0.19,0.19,11.84,9.95
2006-02-06,28.505010000000034,28.253111850000035,12.114062550000014,13.792061250000017,0.19,0.19,11.84,9.95
2006-02-13,28.427093760000027,28.165932340000023,12.048095280000009,13.71907368000001,0.19,0.19,11.84,9.95
2006-02-20,28.24096050000004,27.984134100000038,11.892141900000015,13.566059100000018,0.19,0.19,11.84,9.95
2006-02-27,28.054049399999972,27.82109459999997,11.735027199999987,13.428908999999987,0.19,0.19,11.84,9.95
2006-03-06,27.929977319999995,27.68505264,11.631067699999997,13.31499624,0.19,0.19,11.84,9.95
2006-03-13,27.990950399999996,27.851076399999997,11.681930399999997,13.454148399999998,0.19,0.19,11.84,9.95
2006-03-20,28.049934899999975,27.90498359999997,11.731334699999989,13.499626199999987,0.19,0.19,11.84,9.95
2006-03-27,28.79987510000001,28.65308470000001,12.361930600000004,14.128289300000006,0.19,0.19,11.84,9.95
2006-04-03,28.769010839999975,28.612082759999975,12.335911679999988,14.093676749999986,0.19,0.19,11.84,9.95
2006-04-10,29.510026770000014,28.985080950000015,12.957918330000005,14.407100820000005,0.19,0.19,11.84,9.95
2006-04-24,30.786087149999986,30.102860199999984,14.030989349999995,15.346634099999992,0.19,0.19,11.84,9.95
2006-05-01,31.00394640000003,30.253090000000025,14.213978800000012,15.472984800000015,0.19,0.19,11.84,9.95
2006-05-08,30.986122160000022,30.20392956000002,14.19863116000001,15.431502240000011,0.19,0.19,11.84,9.95
2006-05-15,30.965863600000027,30.137989000000026,14.181864200000012,15.376072600000013,0.19,0.19,11.84,9.95
2006-05-22,30.900035400000007,30.07311870000001,14.126045700000004,15.321298200000006,0.19,0.19,11.84,9.95
2006-05-29,30.82587899999996,29.98909598999996,14.063990009999983,15.251054279999982,0.19,0.19,11.84,9.95
2006-06-05,30.75211422000002,29.888088600000017,14.002089180000008,15.165930840000009,0.19,0.19,11.84,9.95
2006-06-12,30.99206803,29.89702496,14.20357752,15.17380436,0.19,0.19,11.84,9.95
2006-06-19,31.089904499999978,29.87687639999998,14.28601499999999,15.15686309999999,0.19,0.19,11.84,9.95
2006-06-26,31.05501023999999,29.84199967999999,14.256582719999997,15.126971999999997,0.19,0.19,11.84,9.95
2006-07-03,31.015992600000036,29.814980600000034,14.224023400000018,15.104575800000019,0.19,0.19,11.84,9.95
2006-07-10,31.736019839999955,30.12387167999996,14.829088959999979,15.36391135999998,0.19,0.19,11.84,9.95
2006-07-17,31.682040999999973,30.051858049999975,14.783435399999988,15.303978899999988,0.19,0.19,11.84,9.95
