origin,model,family,field,old,verified,difference,n
2021-04,HARD_BASE,POOLED,median,0.30411639431690074,0.2839061970475511,-0.02021019726934964,26
2021-06,HARD_BASE,POOLED,median,0.3777578435096254,0.3575476462402758,-0.020210197269349583,28
2021-08,HARD_BASE,POOLED,median,0.3004000538958081,0.272593277939081,-0.027806775956727092,30
2021-08,HARD_BASE,POOLED,hi80,0.6959243000890946,0.5799513844723406,-0.11597291561675394,30
2022-10,HARD_BASE,POOLED,median,1.2734873717855661,1.2488443128643771,-0.02464305892118901,44
2022-12,HARD_BASE,POOLED,median,0.1480148261810745,0.12337176725988541,-0.024643058921189093,46
2023-02,HARD_BASE,POOLED,median,0.6318549666077733,0.6072119076865842,-0.02464305892118912,48
2023-06,HARD_BASE,POOLED,median,0.10606139862397079,0.10372887289131419,-0.002332525732656604,52
2023-10,HARD_BASE,POOLED,median,0.3616147469668046,0.359282221234148,-0.0023325257326566318,56
2023-12,HARD_BASE,POOLED,median,-0.06438544725026271,-0.08498031552040558,-0.02059486827014287,58
2024-02,HARD_BASE,POOLED,lo80,-0.0973938311367531,-0.10031896616329905,-0.0029251350265459553,60
2024-02,HARD_BASE,POOLED,median,0.33930479510430067,0.3187099268341578,-0.020594868270142896,60
2024-03,HARD_BASE,POOLED,lo80,-0.189733610758979,-0.19265874578552494,-0.0029251350265459553,60
2024-03,HARD_BASE,POOLED,median,0.24696501548207478,0.2263701472119319,-0.02059486827014287,60
2024-04,HARD_BASE,POOLED,lo80,0.16750004220696485,0.1645749071804189,-0.0029251350265459553,60
2024-04,HARD_BASE,POOLED,median,0.5836038001778757,0.5770213816650019,-0.006582418512873778,60
2024-05,HARD_BASE,POOLED,lo80,-0.16003278891781028,-0.16295792394435624,-0.0029251350265459553,60
2024-05,HARD_BASE,POOLED,median,0.27666583732324346,0.2560709690531006,-0.02059486827014284,60
2024-06,HARD_BASE,POOLED,lo80,-0.3184474202857206,-0.32137255531226655,-0.0029251350265459553,60
2024-06,HARD_BASE,POOLED,median,0.0976563376851903,0.0910739191723165,-0.0065824185128738055,60
2024-07,HARD_BASE,POOLED,lo80,-0.1580293833792657,-0.16095451840581165,-0.0029251350265459553,60
2024-07,HARD_BASE,POOLED,median,0.2514919560787714,0.2393644477574874,-0.012127508321284008,60
2024-08,HARD_BASE,POOLED,lo80,-0.29519835803754135,-0.29812349306408736,-0.0029251350265460108,60
2024-08,HARD_BASE,POOLED,median,0.12090539993336952,0.11432298142049571,-0.0065824185128738055,60
2024-09,HARD_BASE,POOLED,lo80,-0.8331878244629196,-0.8361129594894656,-0.0029251350265460108,60
2024-09,HARD_BASE,POOLED,median,-0.3964891982218659,-0.4170840664920088,-0.020594868270142896,60
2024-10,HARD_BASE,POOLED,lo80,-0.14617335128260478,-0.14909848630915074,-0.0029251350265459553,60
2024-10,HARD_BASE,POOLED,median,0.290525274958449,0.28701447318031487,-0.0035108017781341205,60
2024-11,HARD_BASE,POOLED,lo80,-0.2369744897675645,-0.23989962479411045,-0.0029251350265459553,60
2024-11,HARD_BASE,POOLED,median,0.19972413647348927,0.19621333469535515,-0.0035108017781341205,60
2024-12,HARD_BASE,POOLED,lo80,-0.36377557985588216,-0.3667007148824281,-0.0029251350265459553,60
2024-12,HARD_BASE,POOLED,median,0.06941224460703746,0.05232817811502871,-0.017084066492008748,60
2025-01,HARD_BASE,POOLED,lo80,0.7560993466156463,0.7531742115891004,-0.0029251350265458997,60
2025-01,HARD_BASE,POOLED,median,1.1722031045865573,1.1656206860736833,-0.006582418512874,60
2025-02,HARD_BASE,POOLED,lo80,-0.040678575840184084,-0.04360371086673004,-0.0029251350265459553,60
2025-02,HARD_BASE,POOLED,median,0.37542518213072684,0.368842763617853,-0.006582418512873833,60
2025-03,HARD_BASE,POOLED,lo80,-0.3420526230540066,-0.34497775808055253,-0.0029251350265459553,60
2025-03,HARD_BASE,POOLED,median,0.07405113491690432,0.06746871640403052,-0.0065824185128738055,60
2025-04,HARD_BASE,POOLED,lo80,-0.1792407027567729,-0.18216583778331885,-0.0029251350265459553,60
2025-04,HARD_BASE,POOLED,median,0.236863055214138,0.2302806367012642,-0.0065824185128738055,60
2025-05,HARD_BASE,POOLED,lo80,-0.1064133481138349,-0.10933848314038086,-0.0029251350265459553,60
2025-05,HARD_BASE,POOLED,median,0.3031079913442022,0.2909804830229182,-0.012127508321284008,60
2025-06,HARD_BASE,POOLED,lo80,-0.1539748629547724,-0.15689999798131835,-0.0029251350265459553,60
2025-06,HARD_BASE,POOLED,median,0.2555464765032647,0.2434189681819807,-0.01212750832128398,60
2025-07,HARD_BASE,POOLED,lo80,0.11468584558464484,0.11176071055809889,-0.0029251350265459553,60
2025-07,HARD_BASE,POOLED,median,0.5242071850426819,0.512079676721398,-0.012127508321283953,60
2025-08,HARD_BASE,POOLED,lo80,-0.2455525576194415,-0.24847769264598746,-0.0029251350265459553,60
2025-08,HARD_BASE,POOLED,median,0.1639687818385956,0.15184127351731158,-0.012127508321284008,60
2025-09,HARD_BASE,POOLED,lo80,-0.8477062200686407,-0.8506313550951867,-0.0029251350265460108,60
