model,family,frame,field,old,verified,difference
CATEGORY_RAW,POOLED,all,coverage80,0.7424242424242424,0.7727272727272727,0.030303030303030276
CATEGORY_RAW,POOLED,all,width80,0.7525288244764887,0.7663713673078103,0.01384254283132158
CATEGORY_RAW,POOLED,2024+,coverage80,0.8387096774193549,0.9032258064516129,0.06451612903225801
CATEGORY_RAW,POOLED,2024+,width80,0.7758334991047083,0.8057507340806934,0.029917234975985085
CATEGORY_RAW,POOLED,flash,width80,0.7812383437860263,0.8085663252723007,0.027327981486274355
CATEGORY_RAW,POOLED,january,width80,0.7783711146271215,0.789098362516059,0.01072724788893753
CATEGORY_RAW,POOLED,ex_january,coverage80,0.7377049180327869,0.7704918032786885,0.032786885245901565
CATEGORY_RAW,POOLED,ex_january,width80,0.7504106039723385,0.7645084988481179,0.014097894875779393
CATEGORY_RAW,POOLED,big,coverage80,0.45,0.5,0.04999999999999999
CATEGORY_RAW,POOLED,big,width80,0.7439052921961884,0.7493605301679185,0.005455237971730087
HARD_BASE,POOLED,all,width80,0.8268520520848315,0.8285922047185965,0.0017401526337650353
HARD_BASE,POOLED,2024+,width80,0.8399491519900562,0.8473950548753876,0.0074459028853314235
HARD_BASE,POOLED,flash,width80,0.8337251736603185,0.8441802528262797,0.010455079165961223
HARD_BASE,POOLED,january,width80,0.842494663667301,0.8467691747297541,0.004274511062453135
HARD_BASE,POOLED,ex_january,width80,0.8255698708075797,0.8271022891439116,0.0015324183363318866
HARD_BASE,POOLED,big,width80,0.8194308868081437,0.8142172680326152,-0.005213618775528506
HARD_FULL,POOLED,all,width80,0.8669468602072019,0.8699663185173561,0.003019458310154155
HARD_FULL,POOLED,2024+,width80,0.8826811991672805,0.890429862966502,0.007748663799221456
HARD_FULL,POOLED,flash,width80,0.8330577871988399,0.8429342049598745,0.00987641776103454
HARD_FULL,POOLED,january,width80,0.8944724144456131,0.8969293342226872,0.0024569197770740736
HARD_FULL,POOLED,ex_january,width80,0.8646906672368403,0.8677562352628209,0.0030655680259805695
HARD_FULL,POOLED,big,width80,0.8815438607074478,0.8805044452779338,-0.0010394154295140234
HARD_HALF,POOLED,all,width80,0.851402174500787,0.8530545294263172,0.001652354925530175
HARD_HALF,POOLED,2024+,width80,0.8699557641577774,0.8760042818205582,0.006048517662780806
HARD_HALF,POOLED,flash,width80,0.8372804900508266,0.8459425373650888,0.008662047314262233
HARD_HALF,POOLED,january,width80,0.8795444548671114,0.8812975365812141,0.001753081714102711
HARD_HALF,POOLED,ex_january,width80,0.8490954302084653,0.8507395288398502,0.001644098631384816
HARD_HALF,POOLED,big,width80,0.8576129770983967,0.8541073668585213,-0.0035056102398753897
