ticker,name,long_comp_name,security_des,indx_source,des_notes,px_last,last_update_dt,last_update,quote_units
CZRUSHIN Index,Czech Republic Rushin Weekly E,Czech Republic Rushin Weekly Economic Activity Index,Czech Republic Rushin Weekly E,Czech National Bank,"This concept provides an estimate of overall economic activity in an economy. It is typically a monthly measure of value added by industry (sometimes referred to as monthly GDP) that is released in advance of quarterly GDP estimates. The Rushin Index tracks the real-time dynamics of the Czech GDP on a weekly basis. It combines alternative high-frequency indicators with standard low-frequency macroeconomic data. The index, capturing q-o-q GDP growth in per cent, is developed and maintained by the Czech National Bank.",0.64,2026-08-10,2026-08-10,
EUB1CZ Index,EC Consumer Construction Czech,EC Consumer Construction Czech Rep Trend of Activity Compared with Past Month,EC Consumer Construction Czech,European Commission,This concept tracks business sentiment within the construction industry. The results are based on a survey conducted among a representative sample of businesses in the construction sector.,30.5,2026-08-31,2026-08-31,
EUB5F4CZ Index,EC Construction Main Factors S,EC Construction Main Factors Shortage of Labour Czechia,EC Construction Main Factors S,European Commission,This concept tracks business sentiment within the construction industry. The results are based on a survey conducted among a representative sample of businesses in the construction sector.,37.9,2026-08-31,2026-08-31,
EUB5F5CZ Index,EC Construction Main Factors S,EC Construction Main Factors Shortage of Materials Czechia,EC Construction Main Factors S,European Commission,This concept tracks business sentiment within the construction industry. The results are based on a survey conducted among a representative sample of businesses in the construction sector.,4.2,2026-08-31,2026-08-31,
EUB5F6CZ Index,EC Construction Main Factors O,EC Construction Main Factors Other Factors Czechia,EC Construction Main Factors O,European Commission,This concept tracks business sentiment within the construction industry. The results are based on a survey conducted among a representative sample of businesses in the construction sector.,19.3,2026-08-31,2026-08-31,
EUB5F7CZ Index,EC Construction Main Factors F,EC Construction Main Factors Financial Constraints Czechia,EC Construction Main Factors F,European Commission,This concept tracks business sentiment within the construction industry. The results are based on a survey conducted among a representative sample of businesses in the construction sector.,2.4,2026-08-31,2026-08-31,
EUCCCZ Index,European Commission Consumer C,European Commission Consumer Confidence Indicator Czech Republic,European Commission Consumer C,European Commission,Consumer confidence tracks sentiment among households or consumers. The results are based on surveys conducted among a random sample of households.,-8.1,2026-08-31,2026-08-31,
EUI1CZ Index,European Commission Manufactur,European Commission Manufacturing Confidence Czech Production Expectations,European Commission Manufactur,European Commission,This concept tracks business sentiment within the industry sector. The results are based on a survey conducted among a representative sample of businesses in industry.,3.0,2026-08-31,2026-08-31,
EUI6CZ Index,European Commission Manufactur,European Commission Manufacturing Confidence Czech Rep Recent Production Trend,European Commission Manufactur,European Commission,This concept tracks business sentiment within the industry sector. The results are based on a survey conducted among a representative sample of businesses in industry.,15.6,2026-08-31,2026-08-31,
EUR1CZ Index,European Commission Retail Con,European Commission Retail Confidence Czech Republic Present Business Situation,European Commission Retail Con,European Commission,This concept tracks business sentiment within the retail trade industry. The results are based on a survey conducted among a representative sample of businesses in the retail sector.,27.8,2026-08-31,2026-08-31,
EUS1CZ Index,EU Services Assessment of Busi,EU Services Assessment of Business Climate Czech Rep,EU Services Assessment of Busi,European Commission,This concept tracks business sentiment within the services industries. The results are based on a survey conducted among a representative sample of businesses in the services sector.,57.6,2026-08-31,2026-08-31,
EUS2CZ Index,EU Services Evolution of Deman,EU Services Evolution of Demand In Recent Month Czech Rep,EU Services Evolution of Deman,European Commission,This concept tracks business sentiment within the services industries. The results are based on a survey conducted among a representative sample of businesses in the services sector.,18.8,2026-08-31,2026-08-31,
UMRTCZ Index,Eurostat Unemployment Czech Re,Eurostat Unemployment Czech Republic SA,Eurostat Unemployment Czech Re,Eurostat,The unemployment rate tracks the number of unemployed persons as a percentage of the labor force (the total number of employed plus unemployed). These figures generally come from a household labor force survey.,3.3,2026-07-31,2026-07-31,%
