month,personal_social_misc
2015-01,100.40000000000001
2015-02,100.7
2015-03,100
2015-04,100.40000000000001
2015-05,100.09999999999999
2015-06,100.2
2015-07,99.900000000000006
2015-08,99.5
2015-09,99.799999999999997
2015-10,100
2015-11,99.799999999999997
2015-12,99
2016-01,100.2
2016-02,100.5
2016-03,100.5
2016-04,100.7
2016-05,101
2016-06,100.8
2016-07,101.2
2016-08,100.5
2016-09,100.09999999999999
2016-10,100.5
2016-11,101.2
2016-12,100.7
2017-01,102
2017-02,102.59999999999999
2017-03,102.09999999999999
2017-04,103
2017-05,102.59999999999999
2017-06,102.7
2017-07,103.3
2017-08,102.7
2017-09,102.2
2017-10,103.5
2017-11,103.3
2017-12,102.90000000000001
2018-01,103.8
2018-02,104.40000000000001
2018-03,104.90000000000001
2018-04,105.5
2018-05,105.7
2018-06,105.90000000000001
2018-07,106
2018-08,106.5
2018-09,106.40000000000001
2018-10,107.40000000000001
2018-11,107.09999999999999
2018-12,106.59999999999999
2019-01,108.5
2019-02,108.59999999999999
2019-03,108.8
2019-04,109.5
2019-05,109.59999999999999
2019-06,109.40000000000001
2019-07,109.5
2019-08,109.59999999999999
2019-09,109.59999999999999
2019-10,110.5
2019-11,110.40000000000001
2019-12,109.5
2020-01,111.90000000000001
2020-02,112.2
2020-03,113
2020-04,113.2
2020-05,113.09999999999999
2020-06,113.90000000000001
2020-07,113.90000000000001
2020-08,114.2
2020-09,114
2020-10,114.8
2020-11,114.59999999999999
2020-12,113.90000000000001
2021-01,115.3
2021-02,114.8
2021-03,114.8
2021-04,114.5
2021-05,115.5
2021-06,115.8
2021-07,116.3
2021-08,117
2021-09,117.7
2021-10,117.8
2021-11,119
2021-12,119.59999999999999
2022-01,122
2022-02,122.90000000000001
2022-03,124.5
2022-04,127.09999999999999
2022-05,128.69999999999999
2022-06,130
2022-07,131.30000000000001
2022-08,132.80000000000001
2022-09,134.80000000000001
2022-10,137.09999999999999
2022-11,136.90000000000001
2022-12,137.80000000000001
2023-01,142.09999999999999
2023-02,144.19999999999999
2023-03,145.59999999999999
2023-04,147
2023-05,146.30000000000001
2023-06,146.80000000000001
2023-07,146.09999999999999
2023-08,146.5
2023-09,146.19999999999999
2023-10,146.09999999999999
2023-11,147.09999999999999
2023-12,145.80000000000001
2024-01,148.09999999999999
2024-02,148.90000000000001
2024-03,149.09999999999999
2024-04,150.40000000000001
2024-05,150.09999999999999
2024-06,150.09999999999999
2024-07,151
2024-08,150.59999999999999
2024-09,150.69999999999999
2024-10,151.30000000000001
2024-11,151.09999999999999
2024-12,150.30000000000001
2025-01,152.30000000000001
2025-02,153.19999999999999
2025-03,153.09999999999999
2025-04,153.80000000000001
2025-05,154.09999999999999
2025-06,154.19999999999999
2025-07,154.40000000000001
2025-08,154.19999999999999
2025-09,154.19999999999999
2025-10,155.19999999999999
2025-11,154.69999999999999
2025-12,154.40000000000001
2026-01,157.5
2026-02,158.90000000000001
2026-03,158.69999999999999
2026-04,159.09999999999999
2026-05,159.19999999999999
2026-06,159.80000000000001
2026-07,160
