scope,model,h,sample,n,rmse,bias
primary_support,CURRENT_CORE,3,full,84,1.537322537940186,-0.3310553165293109
primary_support,CURRENT_CORE,3,origins_2019_2021,32,1.1852573752294795,-0.6021700755367407
primary_support,CURRENT_CORE,3,origins_2022_2023,24,2.4777373211549114,-0.426461808214835
primary_support,CURRENT_CORE,3,origins_2024plus,28,0.47159282356793614,0.0605671152096295
primary_support,CURRENT_CORE,6,full,81,2.624251525066841,-0.7498792446195656
primary_support,CURRENT_CORE,6,origins_2019_2021,32,3.1774283576302267,-1.8196756523037985
primary_support,CURRENT_CORE,6,origins_2022_2023,24,3.0909998356194217,-0.29858624381196835
primary_support,CURRENT_CORE,6,origins_2024plus,25,0.46673464962254085,0.1862188764409593
primary_support,CURRENT_CORE,12,full,75,5.397208838300782,-1.6354642795914578
primary_support,CURRENT_CORE,12,origins_2019_2021,32,7.134051371949326,-4.674208056614677
primary_support,CURRENT_CORE,12,origins_2022_2023,24,4.772290441752432,0.7307343105794705
primary_support,CURRENT_CORE,12,origins_2024plus,19,0.7076852773291331,0.4935375467580544
primary_support,FAST,3,full,84,1.4591809877871644,-0.33066172217571593
primary_support,FAST,3,origins_2019_2021,32,1.0750436763602103,-0.5014498477844609
primary_support,FAST,3,origins_2022_2023,24,2.366114520586023,-0.5732818758347794
primary_support,FAST,3,origins_2024plus,28,0.517777318612281,0.07248483879918985
primary_support,FAST,6,full,81,2.290294341334928,-0.7517105337783887
primary_support,FAST,6,origins_2019_2021,32,2.780483836236152,-1.6273227800870507
primary_support,FAST,6,origins_2022_2023,24,2.6638770891698886,-0.5815423123450832
primary_support,FAST,6,origins_2024plus,25,0.5357843828577382,0.20571164892072513
primary_support,FAST,12,full,75,4.869472205001029,-1.6393559194623943
primary_support,FAST,12,origins_2019_2021,32,6.6752744804081505,-4.316089595242051
primary_support,FAST,12,origins_2022_2023,24,3.755544610659127,0.1805907823699354
primary_support,FAST,12,origins_2024plus,19,0.8579638828422467,0.5699470690098746
primary_support,FAST_ADMINISTERED_SA_AR,3,full,84,1.6113464320037214,-0.29948627045213144
primary_support,FAST_ADMINISTERED_SA_AR,3,origins_2019_2021,32,1.5117295818383327,-0.7375354684194947
primary_support,FAST_ADMINISTERED_SA_AR,3,origins_2022_2023,24,2.294369057494417,-0.43995062661742074
primary_support,FAST_ADMINISTERED_SA_AR,3,origins_2024plus,28,0.8157202725887531,0.3215394039379603
primary_support,FAST_ADMINISTERED_SA_AR,6,full,81,2.5853676080927714,-0.6115872172573746
