origin,block,status,n,window_start,window_end,mean_log,level_log,phi,last_deviation,last_month,gap_months
2019-02,core,estimated,96,2011-02,2019-01,0.08499429926767925,0.08499429926767925,0.40671462189413804,0.3237305324726058,2019-01,0
2019-02,food,estimated,48,2015-02,2019-01,0.11839166493027298,0.11839166493027298,0.0,-0.15952846066086301,2019-01,0
2019-02,fuel,estimated,48,2015-02,2019-01,-0.0041708388972355,-0.0041708388972355,0.5669810304182729,-2.8604015035511314,2019-01,0
2019-02,administered,estimated,96,2011-02,2019-01,0.1389768653933737,0.1389768653933737,0.19435684526381078,1.3262875753747556,2019-01,0
2019-02,alcohol_tobacco,estimated,48,2015-02,2019-01,0.29727450421497204,0.29727450421497204,0.0,0.5806317104204715,2019-01,0
2019-03,core,estimated,96,2011-03,2019-02,0.08915680896911886,0.08915680896911886,0.4192979429696845,0.04991261669673355,2019-02,0
2019-03,food,estimated,49,2015-02,2019-02,0.13120555177167476,0.13120555177167476,0.0,0.4310270595397694,2019-02,0
2019-03,fuel,estimated,49,2015-02,2019-02,-0.03499216088769474,-0.03499216088769474,0.535650345737052,0.3014275394640926,2019-02,0
2019-03,administered,estimated,96,2011-03,2019-02,0.14520198352185465,0.14520198352185465,0.2073449097167613,0.6105413530016687,2019-02,0
2019-03,alcohol_tobacco,estimated,49,2015-02,2019-02,0.2675510486926562,0.2675510486926562,0.0,-0.9853916739083857,2019-02,0
2019-04,core,estimated,96,2011-04,2019-03,0.08915680896911886,0.08915680896911886,0.4178279348104807,-0.012456179032068776,2019-03,0
2019-04,food,estimated,50,2015-02,2019-03,0.12858144073624125,0.12858144073624125,0.0,0.15392009588413488,2019-03,0
2019-04,fuel,estimated,50,2015-02,2019-03,-0.01203614465112587,-0.01203614465112587,0.5358053268761077,0.43788695436861047,2019-03,0
2019-04,administered,estimated,96,2011-04,2019-03,0.1534939012701759,0.1534939012701759,0.2169124862707142,0.7340023533496149,2019-03,0
2019-04,alcohol_tobacco,estimated,50,2015-02,2019-03,0.2764985694072513,0.2764985694072513,0.0,0.17095807769602694,2019-03,0
2019-05,core,estimated,96,2011-05,2019-04,0.0912339116846026,0.0912339116846026,0.413751648763307,0.04986286577457688,2019-04,0
2019-05,food,estimated,51,2015-02,2019-04,0.11326253072830625,0.11326253072830625,0.0,-0.4228882285716485,2019-04,0
2019-05,fuel,estimated,51,2015-02,2019-04,0.06366115713235598,0.06366115713235598,0.5376277717537229,1.8530273134945268,2019-04,0
2019-05,administered,estimated,96,2011-05,2019-04,0.1534939012701759,0.1534939012701759,0.21414118682715652,-0.012456353920392703,2019-04,0
2019-05,alcohol_tobacco,estimated,51,2015-02,2019-04,0.2393940076804622,0.2393940076804622,0.0,-1.805568098818719,2019-04,0
2019-06,core,estimated,96,2011-06,2019-05,0.09331724571238077,0.09331724571238077,0.4125407662280742,0.07506260029429165,2019-05,0
2019-06,food,estimated,52,2015-02,2019-05,0.148496067056885,0.148496067056885,0.0,1.3115360109887537,2019-05,0
2019-06,fuel,estimated,52,2015-02,2019-05,0.11205559254610761,0.11205559254610761,0.5324032311108017,0.3657566789673994,2019-05,0
2019-06,administered,estimated,96,2011-06,2019-05,0.15453297035051486,0.15453297035051486,0.20750887199014378,0.4256693562620478,2019-05,0
2019-06,alcohol_tobacco,estimated,52,2015-02,2019-05,0.26415080009196945,0.26415080009196945,0.0,1.1281367284637864,2019-05,0
2019-07,core,estimated,96,2011-07,2019-06,0.09643756756633753,0.09643756756633753,0.41542358916681504,0.17472560692430952,2019-06,0
2019-07,food,estimated,53,2015-02,2019-06,0.1526055898647499,0.1526055898647499,0.0,0.28410468926676613,2019-06,0
2019-07,fuel,estimated,53,2015-02,2019-06,0.10816050305522575,0.10816050305522575,0.5270110912988649,-1.3832127871040876,2019-06,0
2019-07,administered,estimated,96,2011-07,2019-06,0.14418862847280575,0.14418862847280575,0.2033061457375418,0.07513630711503273,2019-06,0
2019-07,alcohol_tobacco,estimated,53,2015-02,2019-06,0.24735851671585216,0.24735851671585216,0.0,-0.4563859502511748,2019-06,0
2019-08,core,estimated,96,2011-08,2019-07,0.10368217368443089,0.10368217368443089,0.4508784012536492,0.5341425962525481,2019-07,0
2019-08,food,estimated,54,2015-02,2019-07,0.13959519826347921,0.13959519826347921,0.0,0.0590448541122951,2019-07,0
2019-08,fuel,estimated,54,2015-02,2019-07,0.08151275077180466,0.08151275077180466,0.526438226232499,-0.5833893985674735,2019-07,0
2019-08,administered,estimated,96,2011-08,2019-07,0.14003027298370424,0.14003027298370424,0.20323181917596725,-0.037156283540642265,2019-07,0
2019-08,alcohol_tobacco,estimated,54,2015-02,2019-07,0.2344548597621524,0.2344548597621524,0.0,-0.7529063388466145,2019-07,0
2019-09,core,estimated,96,2011-09,2019-08,0.10576342645804863,0.10576342645804863,0.4359244479576045,0.14987519971297925,2019-08,0
2019-09,food,estimated,55,2015-02,2019-08,0.13203681021991062,0.13203681021991062,0.0,0.2633679114176929,2019-08,0
2019-09,fuel,estimated,55,2015-02,2019-08,0.07131038755142083,0.07131038755142083,0.5244433424174875,0.26029258863478333,2019-08,0
2019-09,administered,estimated,96,2011-09,2019-08,0.13898912680340889,0.13898912680340889,0.20300771455096386,-0.03746878744695738,2019-08,0
2019-09,alcohol_tobacco,estimated,55,2015-02,2019-08,0.24162205278978752,0.24162205278978752,0.0,0.7846714778615267,2019-08,0
2019-10,core,estimated,96,2011-10,2019-09,0.10156738184491866,0.10156738184491866,0.4057042346876959,-0.3649611230006382,2019-09,0
2019-10,food,estimated,56,2015-02,2019-09,0.11977668732950995,0.11977668732950995,0.0,-0.7510939111214798,2019-09,0
2019-10,fuel,estimated,56,2015-02,2019-09,0.0614311191380939,0.0614311191380939,0.5237689399141705,-0.2265661837713192,2019-09,0
2019-10,administered,estimated,96,2011-10,2019-09,0.13898912680340889,0.13898912680340889,0.20251125816117221,0.18768286975835832,2019-09,0
2019-10,alcohol_tobacco,estimated,56,2015-02,2019-09,0.24528288579968566,0.24528288579968566,0.0,0.14600861424818323,2019-09,0
2019-11,core,estimated,96,2011-11,2019-10,0.10571745373541282,0.10571745373541282,0.34668675997431475,0.23648595619828872,2019-10,0
2019-11,food,estimated,57,2015-02,2019-10,0.13224808256540138,0.13224808256540138,0.0,0.38654180349419115,2019-10,0
2019-11,fuel,estimated,57,2015-02,2019-10,0.06204762076717785,0.06204762076717785,0.5236186438567182,0.00031425488569232496,2019-10,0
2019-11,administered,estimated,96,2011-11,2019-10,0.13794798062311353,0.13794798062311353,0.19992982806327972,0.025012508339588346,2019-10,0
2019-11,alcohol_tobacco,estimated,57,2015-02,2019-10,0.24097967727688416,0.24097967727688416,0.0,-0.07661748897267315,2019-10,0
2019-12,core,estimated,96,2011-12,2019-11,0.10675964158289568,0.10675964158289568,0.3472130702110281,0.08760640448298583,2019-11,0
2019-12,food,estimated,58,2015-02,2019-11,0.15044675236046692,0.15044675236046692,0.0,0.8971375555932887,2019-11,0
2019-12,fuel,estimated,58,2015-02,2019-11,0.05096345214059392,0.05096345214059392,0.5234946434248808,-0.31506840475004533,2019-11,0
2019-12,administered,estimated,96,2011-12,2019-11,0.13174140814016497,0.13174140814016497,0.18316162187344975,0.34932686109702715,2019-11,0
2019-12,alcohol_tobacco,estimated,58,2015-02,2019-11,0.2368248552548689,0.2368248552548689,0.0,0.08873007365495755,2019-11,0
2020-01,core,estimated,96,2012-01,2019-12,0.10884297561067387,0.10884297561067387,0.3374174365265801,-0.024775606054204164,2019-12,0
2020-01,food,estimated,59,2015-02,2019-12,0.16016774067247116,0.16016774067247116,0.0,0.27869400618910006,2019-12,0
2020-01,fuel,estimated,59,2015-02,2019-12,0.04185188574639249,0.04185188574639249,0.5225101351536378,0.36180862195215424,2019-12,0
2020-01,administered,estimated,96,2012-01,2019-12,0.12242689004051777,0.12242689004051777,0.0924551749967416,0.1498876249062056,2019-12,0
2020-01,alcohol_tobacco,estimated,59,2015-02,2019-12,0.22524089666844574,0.22524089666844574,0.0,0.09136593538168081,2019-12,0
2020-02,core,estimated,96,2012-02,2020-01,0.11610200614827111,0.11610200614827111,0.31869236513742266,0.4352319631843799,2020-01,0
2020-02,food,estimated,60,2015-02,2020-01,0.19612151593649005,0.19612151593649005,0.0,0.973700068530549,2020-01,0
2020-02,fuel,estimated,60,2015-02,2020-01,0.054111983562502616,0.054111983562502616,0.5202836364560675,1.4003595543745646,2020-01,0
2020-02,administered,estimated,96,2012-02,2020-01,0.08909879274353887,0.08909879274353887,0.11875801350140149,0.941137295364626,2020-01,0
2020-02,alcohol_tobacco,estimated,60,2015-02,2020-01,0.2944699370862303,0.2944699370862303,0.0,1.6653748617213275,2020-01,0
2020-03,core,estimated,96,2012-03,2020-02,0.12232712427675203,0.12232712427675203,0.35785458576279794,0.37322167481763846,2020-02,0
2020-03,food,estimated,61,2015-02,2020-02,0.19290640911785906,0.19290640911785906,0.0,-0.2606854249702184,2020-02,0
2020-03,fuel,estimated,61,2015-02,2020-02,0.02924576742349366,0.02924576742349366,0.5176241179923156,0.29324254230971225,2020-02,0
2020-03,administered,estimated,96,2012-03,2020-02,0.08805972366319986,0.08805972366319986,0.12041227417917953,0.12524907459051798,2020-02,0
2020-03,alcohol_tobacco,estimated,61,2015-02,2020-02,0.26558614970898026,0.26558614970898026,0.0,-1.0747627544520113,2020-02,0
2020-04,core,estimated,96,2012-04,2020-03,0.12128284682922534,0.12128284682922534,0.31367496649578175,-0.20032571833326707,2020-03,0
2020-04,food,estimated,62,2015-02,2020-03,0.20394338005601784,0.20394338005601784,0.0,0.859716574649526,2020-03,0
2020-04,fuel,estimated,62,2015-02,2020-03,-0.064162693567491,-0.064162693567491,0.492936563781942,-5.3495777936624185,2020-03,0
2020-04,administered,estimated,96,2012-04,2020-03,0.09325507940386556,0.09325507940386556,0.12193490164324955,0.2744380984183435,2020-03,0
2020-04,alcohol_tobacco,estimated,62,2015-02,2020-03,0.2835882207671288,0.2835882207671288,0.0,0.6995406730229832,2020-03,0
2020-05,core,estimated,96,2012-05,2020-04,0.12024377774888635,0.12024377774888635,0.31915535995842115,-0.1370701659477951,2020-04,0
2020-05,food,estimated,63,2015-02,2020-04,0.210380668098774,0.210380668098774,0.0,0.6996816278890099,2020-04,0
2020-05,fuel,estimated,63,2015-02,2020-04,-0.23940141227711656,-0.23940141227711656,0.6744650316078357,-10.877670383663938,2020-04,0
2020-05,administered,estimated,96,2012-05,2020-04,0.09117174537608737,0.09117174537608737,0.11918330928277351,-0.18745641225376097,2020-04,0
2020-05,alcohol_tobacco,estimated,63,2015-02,2020-04,0.2612902384670495,0.2612902384670495,0.0,-1.0864855506195656,2020-04,0
2020-06,core,estimated,96,2012-06,2020-05,0.12751004205766267,0.12751004205766267,0.27766594998871924,0.5854787689231469,2020-05,0
2020-06,food,estimated,64,2015-02,2020-05,0.21655909841584806,0.21655909841584806,0.0,-0.023091443986311355,2020-05,0
2020-06,fuel,estimated,64,2015-02,2020-05,-0.2911399659242081,-0.2911399659242081,0.6174366590783316,-4.760031709752305,2020-05,0
2020-06,administered,estimated,96,2012-06,2020-05,0.09117174537608737,0.09117174537608737,0.11747939839873764,0.32591872454950555,2020-05,0
2020-06,alcohol_tobacco,estimated,64,2015-02,2020-05,0.30261675714820346,0.30261675714820346,0.0,2.0901458856697186,2020-05,0
2020-07,core,estimated,96,2012-07,2020-06,0.13270539779832835,0.13270539779832835,0.2944442193971667,0.31158459116038056,2020-06,0
2020-07,food,estimated,65,2015-02,2020-06,0.2052423075622308,0.2052423075622308,0.0,-0.49925696878152853,2020-06,0
2020-07,fuel,estimated,65,2015-02,2020-06,-0.23920754283137666,-0.23920754283137666,0.55792253856732,1.5340761647910888,2020-06,0
2020-07,administered,estimated,96,2012-07,2020-06,0.09117174537608737,0.09117174537608737,0.11685331712362636,-0.02471392584391957,2020-06,0
2020-07,alcohol_tobacco,estimated,65,2015-02,2020-06,0.34266841491803496,0.34266841491803496,0.0,2.55997867994118,2020-06,0
2020-08,core,estimated,96,2012-08,2020-07,0.14408984626935992,0.14408984626935992,0.33950510083982266,0.5953532158107417,2020-07,0
2020-08,food,estimated,66,2015-02,2020-07,0.17962663473861767,0.17962663473861767,0.006507290352264959,-0.7269272678263725,2020-07,0
