block,H,sample,name,kind,n,rmse,bias,constant_log_per_month,constant_annual_pct,ratio_to_fast
administered,3,full,FAST,model,84,6.255380990482664,-0.9756879241584457,,,1.0
administered,3,full,CURRENT_CORE,model,84,6.255380990482664,-0.9756879241584457,,,1.0
administered,3,full,GENTLE_SLOPE,model,84,6.255380990482664,-0.9756879241584457,,,1.0
administered,3,full,FAST_FOODNORM_R24,model,84,6.255380990482664,-0.9756879241584457,,,1.0
administered,3,full,ZERO,benchmark,84,7.1187803424657305,-1.8602358335449287,,,1.1380250624696877
administered,3,full,SEASONAL_NAIVE,benchmark,84,7.5634469612180375,0.27424092654047083,,,1.209110519842924
administered,3,full,SA_AR,benchmark,84,6.846507886514014,-0.8217277969145158,,,1.09449894369835
administered,3,full,SA_AR_TARGET,benchmark,84,6.846507886514014,-0.8217277969145158,,,1.09449894369835
administered,3,origins_2019_2021,FAST,model,32,2.0854347920108616,0.07741666677714176,,,1.0
administered,3,origins_2019_2021,CURRENT_CORE,model,32,2.0854347920108616,0.07741666677714176,,,1.0
administered,3,origins_2019_2021,GENTLE_SLOPE,model,32,2.0854347920108616,0.07741666677714176,,,1.0
administered,3,origins_2019_2021,FAST_FOODNORM_R24,model,32,2.0854347920108616,0.07741666677714176,,,1.0
administered,3,origins_2019_2021,ZERO,benchmark,32,5.296838939474632,-1.6303942824475788,,,2.539920672545797
administered,3,origins_2019_2021,SEASONAL_NAIVE,benchmark,32,4.720622175218779,-0.9850780484592436,,,2.2636153349426773
administered,3,origins_2019_2021,SA_AR,benchmark,32,5.112875614955366,-1.3215626364208317,,,2.451707257662716
administered,3,origins_2019_2021,SA_AR_TARGET,benchmark,32,5.112875614955366,-1.3215626364208317,,,2.451707257662716
administered,3,origins_2022_2023,FAST,model,24,11.426019953050956,-3.9167950683877257,,,1.0
administered,3,origins_2022_2023,CURRENT_CORE,model,24,11.426019953050956,-3.9167950683877257,,,1.0
administered,3,origins_2022_2023,GENTLE_SLOPE,model,24,11.426019953050956,-3.9167950683877257,,,1.0
administered,3,origins_2022_2023,FAST_FOODNORM_R24,model,24,11.426019953050956,-3.9167950683877257,,,1.0
administered,3,origins_2022_2023,ZERO,benchmark,24,11.814496254092338,-4.296962093775671,,,1.0339992668171083
administered,3,origins_2022_2023,SEASONAL_NAIVE,benchmark,24,10.147869828471311,-1.5469136595334059,,,0.88813689020048
administered,3,origins_2022_2023,SA_AR,benchmark,24,10.623281479753103,-3.098242008237834,,,0.9297446988018337
administered,3,origins_2022_2023,SA_AR_TARGET,benchmark,24,10.623281479753103,-3.098242008237834,,,0.9297446988018337
administered,3,origins_2024plus,FAST,model,28,0.7181046560199613,0.3417129526831226,,,1.0
administered,3,origins_2024plus,CURRENT_CORE,model,28,0.7181046560199613,0.3417129526831226,,,1.0
administered,3,origins_2024plus,GENTLE_SLOPE,model,28,0.7181046560199613,0.3417129526831226,,,1.0
administered,3,origins_2024plus,FAST_FOODNORM_R24,model,28,0.7181046560199613,0.3417129526831226,,,1.0
administered,3,origins_2024plus,ZERO,benchmark,28,0.5696806644524802,-0.034289383172691666,,,0.7933114758089588
administered,3,origins_2024plus,SEASONAL_NAIVE,benchmark,28,7.60798984654007,3.2744522574606107,,,10.59454187180286
administered,3,origins_2024plus,SA_AR,benchmark,28,3.7437842242010513,1.700809915084118,,,5.213424245082439
administered,3,origins_2024plus,SA_AR_TARGET,benchmark,28,3.7437842242010513,1.700809915084118,,,5.213424245082439
administered,6,full,FAST,model,81,7.794423686729902,-2.504845734420768,,,1.0
administered,6,full,CURRENT_CORE,model,81,7.794423686729902,-2.504845734420768,,,1.0
administered,6,full,GENTLE_SLOPE,model,81,7.794423686729902,-2.504845734420768,,,1.0
administered,6,full,FAST_FOODNORM_R24,model,81,7.794423686729902,-2.504845734420768,,,1.0
administered,6,full,ZERO,benchmark,81,9.115189479203384,-3.8385310901816148,,,1.1694500896483342
administered,6,full,SEASONAL_NAIVE,benchmark,81,9.511285761473818,0.5692262245002806,,,1.2202679946263242
administered,6,full,SA_AR,benchmark,81,8.65501760754023,-1.7383758669868814,,,1.1104114884433982
administered,6,full,SA_AR_TARGET,benchmark,81,8.65501760754023,-1.7383758669868814,,,1.1104114884433982
administered,6,origins_2019_2021,FAST,model,32,5.2034351637934355,-1.6629730480075566,,,1.0
administered,6,origins_2019_2021,CURRENT_CORE,model,32,5.2034351637934355,-1.6629730480075566,,,1.0
administered,6,origins_2019_2021,GENTLE_SLOPE,model,32,5.2034351637934355,-1.6629730480075566,,,1.0
administered,6,origins_2019_2021,FAST_FOODNORM_R24,model,32,5.2034351637934355,-1.6629730480075566,,,1.0
administered,6,origins_2019_2021,ZERO,benchmark,32,8.405995510361377,-3.8715075644468424,,,1.6154704047918211
administered,6,origins_2019_2021,SEASONAL_NAIVE,benchmark,32,7.526867342544508,-2.522633100471187,,,1.446518906378999
administered,6,origins_2019_2021,SA_AR,benchmark,32,8.101654551653022,-3.2465268456261454,,,1.5569819353234164
