block,origin,H,actual,FAST,CURRENT_CORE,GENTLE_SLOPE,FAST_FOODNORM_R24,ZERO,SEASONAL_NAIVE,SA_AR,SA_AR_TARGET
core,2019-05,3,1.494384249563962,0.8030148332854868,0.9870080631581777,0.8343229942961441,0.8030148332854868,0.0,0.7979306932836112,0.49981581504362843,0.7211797623943136
core,2019-05,6,1.188516952103802,0.7797134684226128,1.135637116371709,0.8404974468452024,0.7797134684226128,0.0,0.7957528917919088,0.223820971548638,0.6665488662500081
core,2019-05,12,3.3797560618523237,2.103266796385894,2.7875367674728797,2.2130998798972112,2.103266796385894,0.0,2.3595880605966832,1.1093670330649847,1.9948228224677251
core,2019-06,3,0.29075888636920744,0.21420202369372998,0.3805829596544723,0.2345708746253276,0.21420202369372998,0.0,0.23022170486415305,-0.06963633972019101,0.1454776055471595
core,2019-06,6,0.9889160874323071,0.7453861270615005,1.0676716449965085,0.7830139580941857,0.7453861270615005,0.0,0.8956031247508612,0.2433165781973443,0.6735444687320454
core,2019-06,12,3.5789593149763843,2.0670659524519706,2.6876865345139267,2.1258483165281516,2.0670659524519706,0.0,2.3595880605966832,1.1415524315714018,2.0020082126408036
core,2019-07,3,-0.10606703119285443,0.2369072494595894,0.2986419944621266,0.23826137468628766,0.2369072494595894,0.0,0.06446665282434966,-0.10400653100601431,0.10174644869946575
core,2019-07,6,0.7906999670331862,0.8069063426891117,0.9316405582142846,0.8142571278086068,0.8069063426891117,0.0,0.6966640670971044,0.17351599061440393,0.5850219500253642
core,2019-07,12,3.7767833161869557,2.5350773905167023,2.7874371662264688,2.5619870444831134,2.5350773905167023,0.0,2.459438293555636,1.2088313770213523,2.031843295843273
core,2019-08,3,-0.30586729746016006,0.6079580962850046,0.13701565450341324,0.5679533200798484,0.6079580962850046,0.0,-0.0021778014917023802,-0.09733251515225802,0.08668664619894212
core,2019-08,6,1.2884610744084046,1.9400540871384528,1.0399462843583553,1.899032687746692,1.9400540871384528,0.0,0.996015695929761,0.5429719976944307,0.9110103203968314
core,2019-08,12,3.57698304991965,4.492144349216899,2.7874371662264696,4.54865078635761,4.492144349216899,0.0,2.6579823693659392,1.4419180545185872,2.1779946999233886
core,2019-09,3,0.6981572010630996,0.9596772952185407,0.701687224844592,0.9739695619870558,0.9596772952185407,0.0,0.6653814198867081,0.357841812838896,0.5356172158692429
core,2019-09,6,1.8920846375934386,1.9525225617887305,1.4549715606694413,2.0054690805963347,1.9525225617887305,0.0,1.463774651040866,0.7981990138880305,1.1537498199487244
core,2019-09,12,3.6778403454081303,3.7404075014779434,2.7874371662264696,3.9337924843569914,3.7404075014779434,0.0,2.724582438427749,1.3196498535396275,2.030751465661015
core,2019-10,3,0.8967669982260407,0.15626805153715934,0.5877124706010022,0.24155103030098413,0.15626805153715934,0.0,0.6321974142727547,0.17975992767309606,0.37012346454283296
core,2019-10,6,1.4936777361059983,0.619776860280407,1.4412526063929703,0.7657422387238563,0.619776860280407,0.0,1.4305906454269124,0.6848445378460284,1.0655716115855023
core,2019-10,12,3.5783873287572914,1.0375489943147032,2.5858241947080094,1.2379171660512784,1.0375489943147032,0.0,2.5569939963213235,1.1177311001296213,1.8791852476085689
core,2019-11,3,1.5943283718685648,0.8347361946720626,0.8868026808489928,0.8428392767485005,0.8347361946720626,0.0,0.9981934974214633,0.6655345897965856,0.8434479109948402
core,2019-11,6,2.1912391097485227,1.4833403859858096,1.5839787074501857,1.501262826526916,1.4833403859858096,0.0,1.5638351688047742,0.9539047734694744,1.3097314158659836
core,2019-11,12,3.5783873287572914,2.491989843593184,2.685277211358848,2.5293195919876803,2.491989843593184,0.0,2.5901669938058287,1.3121162405352933,2.0237695253283112
core,2019-12,3,1.1939274365303394,0.6557894360922438,0.7109082353070043,0.6648381071828962,0.6557894360922438,0.0,0.7983932311541577,0.4520230000176484,0.6268097576734539
core,2019-12,6,2.590043227544077,1.4650327631121596,1.5703174335266323,1.4822700590508002,1.4650327631121596,0.0,1.5638351688047747,0.9517238799030099,1.3012973952146214
core,2019-12,12,3.478437295448938,2.3860809438855837,2.5853271780504956,2.41344020163855,2.3860809438855837,0.0,2.590166993805829,1.2972948304238294,1.9964418610470525
core,2020-01,3,0.5969107378799576,0.6858705132909412,0.8481749745197789,0.7012012721676597,0.6858705132909412,0.0,0.7983932311541577,0.5072900736729824,0.6758268292454537
core,2020-01,6,2.9860833491537693,1.4952178275964219,1.8074286749386137,1.5173845381849194,1.4952178275964219,0.0,1.9613183022688347,1.117736029981785,1.4548095411267274
core,2020-01,12,3.3791817041737753,1.9892492684029215,2.5853271780504943,1.999181948124433,1.9892492684029215,0.0,2.457011181854575,1.3018585629273858,1.976005585217271
core,2020-02,3,0.5969107378799576,1.029453789354466,0.700560885924861,0.9920314886024597,1.029453789354466,0.0,0.565641671383311,0.3494142544456566,0.49617391840533626
