model,origin,h,target,yy_exante,yy_actual
SELL_SIDE_PATH,2019-02,0,2019-02,2.8136990211578414,2.6794258373205744
SELL_SIDE_PATH,2019-02,1,2019-03,2.8696880107074536,2.969348659003822
SELL_SIDE_PATH,2019-02,2,2019-04,2.837781583271863,2.769818529130847
SELL_SIDE_PATH,2019-02,3,2019-05,2.482866281752499,2.9467680608364977
SELL_SIDE_PATH,2019-02,4,2019-06,2.22591353214679,2.7462121212121224
SELL_SIDE_PATH,2019-02,5,2019-07,2.170837339033592,2.9300567107750517
SELL_SIDE_PATH,2019-02,6,2019-08,1.9731038804963907,2.9272898961284195
SELL_SIDE_PATH,2019-02,7,2019-09,2.035788145110712,2.6515151515151705
SELL_SIDE_PATH,2019-02,8,2019-10,1.8946225680079576,2.735849056603792
SELL_SIDE_PATH,2019-02,9,2019-11,1.9697157519427193,3.116147308781873
SELL_SIDE_PATH,2019-02,10,2019-12,1.930560395280236,3.207547169811327
SELL_SIDE_PATH,2019-02,11,2020-01,1.577207977117745,3.6414565826330487
SELL_SIDE_PATH,2019-02,12,2020-02,1.4096046369926387,3.7278657968313063
SELL_SIDE_TARGET_PATH,2019-02,0,2019-02,2.8136990211578414,2.6794258373205744
SELL_SIDE_TARGET_PATH,2019-02,1,2019-03,2.9147692999248487,2.969348659003822
SELL_SIDE_TARGET_PATH,2019-02,2,2019-04,2.9279733919184014,2.769818529130847
SELL_SIDE_TARGET_PATH,2019-02,3,2019-05,2.617639934484842,2.9467680608364977
SELL_SIDE_TARGET_PATH,2019-02,4,2019-06,2.4051872857420578,2.7462121212121224
SELL_SIDE_TARGET_PATH,2019-02,5,2019-07,2.3949726145180166,2.9300567107750517
SELL_SIDE_TARGET_PATH,2019-02,6,2019-08,2.241644461355835,2.9272898961284195
SELL_SIDE_TARGET_PATH,2019-02,7,2019-09,2.3492049328894775,2.6515151515151705
SELL_SIDE_TARGET_PATH,2019-02,8,2019-10,2.2524260721127174,2.735849056603792
SELL_SIDE_TARGET_PATH,2019-02,9,2019-11,2.3725879290913476,3.116147308781873
SELL_SIDE_TARGET_PATH,2019-02,10,2019-12,2.378140464330982,3.207547169811327
SELL_SIDE_TARGET_PATH,2019-02,11,2020-01,2.0677603549355776,3.6414565826330487
SELL_SIDE_TARGET_PATH,2019-02,12,2020-02,1.9440216592407842,3.7278657968313063
FAST_CORE_SA_AR,2019-02,0,2019-02,2.8136990211578414,2.6794258373205744
FAST_CORE_SA_AR,2019-02,1,2019-03,2.881043558797803,2.969348659003822
