model,h,sample,n,headline_mse,other_mse,core_difference_mse,cross_term
CORE_FEEDBACK_R21,1,full,88,0.7353540627396867,0.6663334683705837,0.03492532415692377,0.03409527021217917
CORE_FEEDBACK_R21,1,origins_2024plus,30,0.11434700646483256,0.0972913728246651,0.009885434129460274,0.007170199510707184
CORE_FEEDBACK_R21,2,full,86,1.487171314983176,1.3043223100143864,0.11661331949799515,0.0662356854707945
CORE_FEEDBACK_R21,2,origins_2024plus,29,0.20596479924175923,0.14542230689889626,0.02322282552588115,0.03731966681698188
CORE_FEEDBACK_R21,3,full,84,2.055296492599838,1.7116709337051728,0.2423497402852402,0.10127581860942494
CORE_FEEDBACK_R21,3,origins_2024plus,28,0.2830948838000784,0.206818146919102,0.030755236923769965,0.045521499957206515
CORE_FEEDBACK_R21,4,full,83,2.7957325528865993,2.288044617343408,0.4304577420482129,0.07723019349497862
CORE_FEEDBACK_R21,4,origins_2024plus,27,0.23169840645799175,0.17639477603403578,0.03652110177911496,0.018782528644841062
CORE_FEEDBACK_R21,5,full,82,3.7579069613335516,3.0241847892541065,0.7137327581586674,0.01998941392077726
CORE_FEEDBACK_R21,5,origins_2024plus,26,0.2459061828557987,0.18968917022361848,0.05302755356171003,0.0031894590704702463
CORE_FEEDBACK_R21,6,full,81,4.943394276784087,3.8001048496731658,1.1196196259419011,0.023669801169021325
CORE_FEEDBACK_R21,6,origins_2024plus,25,0.30127115261983445,0.25097239693153606,0.06664336936903975,-0.016344613680741374
CORE_FEEDBACK_R21,7,full,80,6.633942197515944,4.741002600519488,1.6603456637588798,0.23259393323757677
CORE_FEEDBACK_R21,7,origins_2024plus,24,0.3997511853536775,0.3402781871372927,0.08633941584563382,-0.02686641762924899
CORE_FEEDBACK_R21,8,full,79,8.967212332637208,5.7974149231078265,2.3356395022123877,0.834157907316991
CORE_FEEDBACK_R21,8,origins_2024plus,23,0.4671142866075451,0.39844070854299696,0.10378299980510464,-0.035109421740556625
CORE_FEEDBACK_R21,9,full,78,12.097107932901405,7.247752929794166,3.1490928741252993,1.7002621289819415
CORE_FEEDBACK_R21,9,origins_2024plus,22,0.5014572058316534,0.4199963300216789,0.11737504964231724,-0.03591417383234275
CORE_FEEDBACK_R21,10,full,77,15.740594228896908,8.88921970399636,4.0890744834942145,2.7623000414063332
CORE_FEEDBACK_R21,10,origins_2024plus,21,0.5959331150846244,0.5459937876813551,0.1222297949411056,-0.07229046753783634
CORE_FEEDBACK_R21,11,full,76,19.65059711216421,10.723635412469603,5.185946871649019,3.7410148280455853
CORE_FEEDBACK_R21,11,origins_2024plus,20,0.6292904921480765,0.6347589290898179,0.12932843636982488,-0.13479687331156623
CORE_FEEDBACK_R21,12,full,75,23.140716169735523,11.939747162765151,6.5432280124077655,4.657740994562612
CORE_FEEDBACK_R21,12,origins_2024plus,19,0.6405800212579156,0.6869694577779185,0.16637404648568885,-0.21276348300569162
DAMPED_P95_Q001_R16,1,full,88,0.7363390338531257,0.6663334683705837,0.03559026122934649,0.034415304253195556
DAMPED_P95_Q001_R16,1,origins_2024plus,30,0.11042643629441555,0.0972913728246651,0.00866191031667037,0.004473153153080106
