month,other_recreation_goods
2015-01,98.900000000000006
2015-02,98.5
2015-03,98.5
2015-04,100.3
2015-05,99.900000000000006
2015-06,100.09999999999999
2015-07,100.09999999999999
2015-08,99.799999999999997
2015-09,99.599999999999994
2015-10,101.2
2015-11,100.90000000000001
2015-12,102.3
2016-01,101.90000000000001
2016-02,101.3
2016-03,100.5
2016-04,102.2
2016-05,102.3
2016-06,103
2016-07,102.40000000000001
2016-08,102.7
2016-09,102.40000000000001
2016-10,104.40000000000001
2016-11,103.3
2016-12,103
2017-01,101.8
2017-02,101.5
2017-03,101.5
2017-04,102.40000000000001
2017-05,102.7
2017-06,102
2017-07,102.09999999999999
2017-08,101.90000000000001
2017-09,102
2017-10,102.2
2017-11,102.59999999999999
2017-12,101.3
2018-01,101
2018-02,100.5
2018-03,99.900000000000006
2018-04,101
2018-05,100.7
2018-06,100.2
2018-07,99.900000000000006
2018-08,100.2
2018-09,100.09999999999999
2018-10,99.799999999999997
2018-11,99.799999999999997
2018-12,98.900000000000006
2019-01,98.400000000000006
2019-02,97.299999999999997
2019-03,97.200000000000003
2019-04,98.799999999999997
2019-05,99
2019-06,98.299999999999997
2019-07,97.900000000000006
2019-08,97.700000000000003
2019-09,97.799999999999997
2019-10,98.200000000000003
2019-11,98.400000000000006
2019-12,97.599999999999994
2020-01,96.5
2020-02,96.5
2020-03,95.200000000000003
2020-04,94
2020-05,94.5
2020-06,95.200000000000003
2020-07,95.599999999999994
2020-08,95.599999999999994
2020-09,95.200000000000003
2020-10,97.700000000000003
2020-11,97.900000000000006
2020-12,97.599999999999994
2021-01,98.200000000000003
2021-02,97.299999999999997
2021-03,96.700000000000003
2021-04,98.799999999999997
2021-05,99.599999999999994
2021-06,100.5
2021-07,101.09999999999999
2021-08,102.09999999999999
2021-09,104.5
2021-10,106.90000000000001
2021-11,107.5
2021-12,108.5
2022-01,109.40000000000001
2022-02,111.40000000000001
2022-03,111.90000000000001
2022-04,112.40000000000001
2022-05,114
2022-06,116.40000000000001
2022-07,117.59999999999999
2022-08,117.7
2022-09,119.8
2022-10,122.3
2022-11,122.40000000000001
2022-12,122.3
2023-01,124.59999999999999
2023-02,124.2
2023-03,125.90000000000001
2023-04,125.7
2023-05,126.2
2023-06,126.2
2023-07,127.3
2023-08,127.3
2023-09,129.19999999999999
2023-10,131.59999999999999
2023-11,131.40000000000001
2023-12,130.90000000000001
2024-01,131.59999999999999
2024-02,131.80000000000001
2024-03,132.30000000000001
2024-04,133.90000000000001
2024-05,133.90000000000001
2024-06,133.19999999999999
2024-07,133.19999999999999
2024-08,133.19999999999999
2024-09,133.69999999999999
2024-10,135.19999999999999
2024-11,135.30000000000001
2024-12,134.69999999999999
2025-01,135.5
2025-02,135.5
2025-03,135.30000000000001
2025-04,135.69999999999999
2025-05,137.30000000000001
2025-06,136.40000000000001
2025-07,137.30000000000001
2025-08,138.30000000000001
2025-09,138.69999999999999
2025-10,139.40000000000001
2025-11,138.5
2025-12,137.40000000000001
2026-01,136.90000000000001
2026-02,136.90000000000001
2026-03,137.30000000000001
2026-04,139.59999999999999
2026-05,138.30000000000001
2026-06,138.09999999999999
2026-07,137.80000000000001
