origin,as_of,feature,reference,last_publication,units,value
2010-01,2010-02-08 23:59:00,ulc_gap,2009Q3,2009-12-14T00:00:00,"quarterly real-cost gap, log points",
2010-01,2010-02-08 23:59:00,tightening,2009-12,2010-02-01T00:00:00,"negative unemployment change12, pp",-2.6000000000000005
2010-01,2010-02-08 23:59:00,import_gap,2009-11,2010-01-14T00:00:00,"relative price gap, log points",
2010-01,2010-02-08 23:59:00,ppi_gap,2009-12,2010-01-26T00:00:00,"relative price gap, log points",
2010-01,2010-02-08 23:59:00,fx_news,2010-01,2010-02-01T00:00:00,FX log change since import reference,1.189321795484162
2010-02,2010-03-08 23:59:00,ulc_gap,2009Q3,2009-12-14T00:00:00,"quarterly real-cost gap, log points",
2010-02,2010-03-08 23:59:00,tightening,2010-01,2010-03-04T00:00:00,"negative unemployment change12, pp",-2.5
2010-02,2010-03-08 23:59:00,import_gap,2009-12,2010-02-14T00:00:00,"relative price gap, log points",
2010-02,2010-03-08 23:59:00,ppi_gap,2010-01,2010-02-26T00:00:00,"relative price gap, log points",-3.356017919246142
2010-02,2010-03-08 23:59:00,fx_news,2010-02,2010-03-01T00:00:00,FX log change since import reference,-0.3842316261748153
2010-03,2010-04-08 23:59:00,ulc_gap,2009Q4,2010-03-16T00:00:00,"quarterly real-cost gap, log points",
2010-03,2010-04-08 23:59:00,tightening,2010-02,2010-04-01T00:00:00,"negative unemployment change12, pp",-2.3000000000000007
2010-03,2010-04-08 23:59:00,import_gap,2010-01,2010-03-17T00:00:00,"relative price gap, log points",
2010-03,2010-04-08 23:59:00,ppi_gap,2010-02,2010-03-26T00:00:00,"relative price gap, log points",-3.349056165898503
2010-03,2010-04-08 23:59:00,fx_news,2010-03,2010-04-01T00:00:00,FX log change since import reference,-2.3067823694375806
2010-04,2010-05-09 23:59:00,ulc_gap,2009Q4,2010-03-16T00:00:00,"quarterly real-cost gap, log points",
2010-04,2010-05-09 23:59:00,tightening,2010-03,2010-05-02T00:00:00,"negative unemployment change12, pp",-1.6999999999999993
2010-04,2010-05-09 23:59:00,import_gap,2010-02,2010-04-14T00:00:00,"relative price gap, log points",
2010-04,2010-05-09 23:59:00,ppi_gap,2010-03,2010-04-26T00:00:00,"relative price gap, log points",-3.114779498249618
2010-04,2010-05-09 23:59:00,fx_news,2010-04,2010-05-01T00:00:00,FX log change since import reference,-2.585493704245688
2010-05,2010-06-08 23:59:00,ulc_gap,2009Q4,2010-03-16T00:00:00,"quarterly real-cost gap, log points",
2010-05,2010-06-08 23:59:00,tightening,2010-04,2010-06-01T00:00:00,"negative unemployment change12, pp",-1.1000000000000005
2010-05,2010-06-08 23:59:00,import_gap,2010-03,2010-05-15T00:00:00,"relative price gap, log points",
2010-05,2010-06-08 23:59:00,ppi_gap,2010-04,2010-05-26T00:00:00,"relative price gap, log points",-2.388134840898772
2010-05,2010-06-08 23:59:00,fx_news,2010-05,2010-06-01T00:00:00,FX log change since import reference,0.49213082178762013
2010-06,2010-07-11 23:59:00,ulc_gap,2010Q1,2010-06-14T00:00:00,"quarterly real-cost gap, log points",5.896761219193536
2010-06,2010-07-11 23:59:00,tightening,2010-05,2010-07-02T00:00:00,"negative unemployment change12, pp",-0.8000000000000007
2010-06,2010-07-11 23:59:00,import_gap,2010-04,2010-06-14T00:00:00,"relative price gap, log points",
2010-06,2010-07-11 23:59:00,ppi_gap,2010-05,2010-06-26T00:00:00,"relative price gap, log points",-1.4389842255748704
2010-06,2010-07-11 23:59:00,fx_news,2010-06,2010-07-01T00:00:00,FX log change since import reference,1.828089975295347
2010-07,2010-08-08 23:59:00,ulc_gap,2010Q1,2010-06-14T00:00:00,"quarterly real-cost gap, log points",5.895085016352937
2010-07,2010-08-08 23:59:00,tightening,2010-06,2010-08-01T00:00:00,"negative unemployment change12, pp",-0.6000000000000005
2010-07,2010-08-08 23:59:00,import_gap,2010-05,2010-07-15T00:00:00,"relative price gap, log points",
2010-07,2010-08-08 23:59:00,ppi_gap,2010-06,2010-07-26T00:00:00,"relative price gap, log points",0.019910674584309618
2010-07,2010-08-08 23:59:00,fx_news,2010-07,2010-08-01T00:00:00,FX log change since import reference,-1.4165154156227984
2010-08,2010-09-08 23:59:00,ulc_gap,2010Q1,2010-06-14T00:00:00,"quarterly real-cost gap, log points",5.895621527515061
2010-08,2010-09-08 23:59:00,tightening,2010-07,2010-09-01T00:00:00,"negative unemployment change12, pp",-0.2999999999999998
2010-08,2010-09-08 23:59:00,import_gap,2010-06,2010-08-14T00:00:00,"relative price gap, log points",
2010-08,2010-09-08 23:59:00,ppi_gap,2010-07,2010-08-26T00:00:00,"relative price gap, log points",0.5485912374897453
2010-08,2010-09-08 23:59:00,fx_news,2010-08,2010-09-01T00:00:00,FX log change since import reference,-3.8473126102902038
2010-09,2010-10-10 23:59:00,ulc_gap,2010Q2,2010-09-13T00:00:00,"quarterly real-cost gap, log points",0.25610455339580085
2010-09,2010-10-10 23:59:00,tightening,2010-08,2010-10-02T00:00:00,"negative unemployment change12, pp",0.3000000000000007
2010-09,2010-10-10 23:59:00,import_gap,2010-07,2010-09-14T00:00:00,"relative price gap, log points",
2010-09,2010-10-10 23:59:00,ppi_gap,2010-08,2010-09-26T00:00:00,"relative price gap, log points",0.0983657638834643
2010-09,2010-10-10 23:59:00,fx_news,2010-09,2010-10-01T00:00:00,FX log change since import reference,-2.6184537048880845
2010-10,2010-11-08 23:59:00,ulc_gap,2010Q2,2010-09-13T00:00:00,"quarterly real-cost gap, log points",0.24188102174991855
2010-10,2010-11-08 23:59:00,tightening,2010-09,2010-11-01T00:00:00,"negative unemployment change12, pp",0.5
2010-10,2010-11-08 23:59:00,import_gap,2010-08,2010-10-15T00:00:00,"relative price gap, log points",
2010-10,2010-11-08 23:59:00,ppi_gap,2010-09,2010-10-26T00:00:00,"relative price gap, log points",0.5623683780860347
2010-10,2010-11-08 23:59:00,fx_news,2010-10,2010-11-01T00:00:00,FX log change since import reference,-1.1392092068304986
2010-11,2010-12-08 23:59:00,ulc_gap,2010Q2,2010-09-13T00:00:00,"quarterly real-cost gap, log points",0.223475164325464
2010-11,2010-12-08 23:59:00,tightening,2010-10,2010-12-02T00:00:00,"negative unemployment change12, pp",0.3000000000000007
2010-11,2010-12-08 23:59:00,import_gap,2010-09,2010-11-14T00:00:00,"relative price gap, log points",
2010-11,2010-12-08 23:59:00,ppi_gap,2010-10,2010-11-26T00:00:00,"relative price gap, log points",0.4207376582443203
2010-11,2010-12-08 23:59:00,fx_news,2010-11,2010-12-01T00:00:00,FX log change since import reference,-0.0568089611122888
2010-12,2011-01-09 23:59:00,ulc_gap,2010Q3,2010-12-14T00:00:00,"quarterly real-cost gap, log points",-0.04738526584003466
2010-12,2011-01-09 23:59:00,tightening,2010-11,2011-01-01T00:00:00,"negative unemployment change12, pp",0.40000000000000036
2010-12,2011-01-09 23:59:00,import_gap,2010-10,2010-12-15T00:00:00,"relative price gap, log points",
2010-12,2011-01-09 23:59:00,ppi_gap,2010-11,2010-12-26T00:00:00,"relative price gap, log points",1.0383964681630573
2010-12,2011-01-09 23:59:00,fx_news,2010-12,2011-01-01T00:00:00,FX log change since import reference,2.5720360888489067
2011-01,2011-02-08 23:59:00,ulc_gap,2010Q3,2010-12-14T00:00:00,"quarterly real-cost gap, log points",-0.0506245386336559
2011-01,2011-02-08 23:59:00,tightening,2010-12,2011-02-01T00:00:00,"negative unemployment change12, pp",0.6000000000000005
2011-01,2011-02-08 23:59:00,import_gap,2010-11,2011-01-14T00:00:00,"relative price gap, log points",
2011-01,2011-02-08 23:59:00,ppi_gap,2010-12,2011-01-26T00:00:00,"relative price gap, log points",2.3596490282126865
2011-01,2011-02-08 23:59:00,fx_news,2011-01,2011-02-01T00:00:00,FX log change since import reference,-0.7660062717076935
2011-02,2011-03-08 23:59:00,ulc_gap,2010Q3,2010-12-14T00:00:00,"quarterly real-cost gap, log points",-0.0506245386336559
2011-02,2011-03-08 23:59:00,tightening,2011-01,2011-03-04T00:00:00,"negative unemployment change12, pp",0.7999999999999998
2011-02,2011-03-08 23:59:00,import_gap,2010-12,2011-02-14T00:00:00,"relative price gap, log points",
2011-02,2011-03-08 23:59:00,ppi_gap,2011-01,2011-02-26T00:00:00,"relative price gap, log points",3.3416421609313147
2011-02,2011-03-08 23:59:00,fx_news,2011-02,2011-03-01T00:00:00,FX log change since import reference,-3.596593225471454
2011-03,2011-04-10 23:59:00,ulc_gap,2010Q4,2011-03-16T00:00:00,"quarterly real-cost gap, log points",5.879263777642166
2011-03,2011-04-10 23:59:00,tightening,2011-02,2011-04-01T00:00:00,"negative unemployment change12, pp",0.8000000000000007
2011-03,2011-04-10 23:59:00,import_gap,2011-01,2011-03-17T00:00:00,"relative price gap, log points",3.45998815677477
2011-03,2011-04-10 23:59:00,ppi_gap,2011-02,2011-03-26T00:00:00,"relative price gap, log points",4.171503891397094
2011-03,2011-04-10 23:59:00,fx_news,2011-03,2011-04-01T00:00:00,FX log change since import reference,-0.23341056030070487
2011-04,2011-05-09 23:59:00,ulc_gap,2010Q4,2011-03-16T00:00:00,"quarterly real-cost gap, log points",5.879104287835787
2011-04,2011-05-09 23:59:00,tightening,2011-03,2011-05-02T00:00:00,"negative unemployment change12, pp",0.8999999999999995
2011-04,2011-05-09 23:59:00,import_gap,2011-02,2011-04-14T00:00:00,"relative price gap, log points",3.7059066679535695
2011-04,2011-05-09 23:59:00,ppi_gap,2011-03,2011-04-26T00:00:00,"relative price gap, log points",5.484874706434425
2011-04,2011-05-09 23:59:00,fx_news,2011-04,2011-05-01T00:00:00,FX log change since import reference,0.061770339847838966
2011-05,2011-06-08 23:59:00,ulc_gap,2010Q4,2011-03-16T00:00:00,"quarterly real-cost gap, log points",5.869053381202207
