origin,as_of,feature,reference,last_publication,units,value
2011-05,2011-06-08 23:59:00,tightening,2011-04,2011-06-01T00:00:00,"negative unemployment change12, pp",0.40000000000000036
2011-05,2011-06-08 23:59:00,import_gap,2011-03,2011-05-15T00:00:00,"relative price gap, log points",4.583253116698421
2011-05,2011-06-08 23:59:00,ppi_gap,2011-04,2011-05-26T00:00:00,"relative price gap, log points",6.299307636317451
2011-05,2011-06-08 23:59:00,fx_news,2011-05,2011-06-01T00:00:00,FX log change since import reference,-0.03690415213590214
2011-06,2011-07-11 23:59:00,ulc_gap,2011Q1,2011-06-14T00:00:00,"quarterly real-cost gap, log points",4.2347967235516535
2011-06,2011-07-11 23:59:00,tightening,2011-05,2011-07-02T00:00:00,"negative unemployment change12, pp",0.5
2011-06,2011-07-11 23:59:00,import_gap,2011-04,2011-06-14T00:00:00,"relative price gap, log points",4.45793330720544
2011-06,2011-07-11 23:59:00,ppi_gap,2011-05,2011-06-26T00:00:00,"relative price gap, log points",6.755263357081162
2011-06,2011-07-11 23:59:00,fx_news,2011-06,2011-07-01T00:00:00,FX log change since import reference,-0.02470355743789038
2011-07,2011-08-08 23:59:00,ulc_gap,2011Q1,2011-06-14T00:00:00,"quarterly real-cost gap, log points",4.234133018035493
2011-07,2011-08-08 23:59:00,tightening,2011-06,2011-08-01T00:00:00,"negative unemployment change12, pp",0.5
2011-07,2011-08-08 23:59:00,import_gap,2011-05,2011-07-15T00:00:00,"relative price gap, log points",4.453645215146954
2011-07,2011-08-08 23:59:00,ppi_gap,2011-06,2011-07-26T00:00:00,"relative price gap, log points",6.689892563811327
2011-07,2011-08-08 23:59:00,fx_news,2011-07,2011-08-01T00:00:00,FX log change since import reference,-0.17239968148171372
2011-08,2011-09-08 23:59:00,ulc_gap,2011Q1,2011-06-14T00:00:00,"quarterly real-cost gap, log points",4.236735525875076
2011-08,2011-09-08 23:59:00,tightening,2011-07,2011-09-01T00:00:00,"negative unemployment change12, pp",0.7000000000000002
2011-08,2011-09-08 23:59:00,import_gap,2011-06,2011-08-14T00:00:00,"relative price gap, log points",3.9876322774855093
2011-08,2011-09-08 23:59:00,ppi_gap,2011-07,2011-08-26T00:00:00,"relative price gap, log points",6.704750372711771
2011-08,2011-09-08 23:59:00,fx_news,2011-08,2011-09-01T00:00:00,FX log change since import reference,-0.049425430389592295
2011-09,2011-10-09 23:59:00,ulc_gap,2011Q2,2011-09-13T00:00:00,"quarterly real-cost gap, log points",-0.058578634715843236
2011-09,2011-10-09 23:59:00,tightening,2011-08,2011-10-02T00:00:00,"negative unemployment change12, pp",0.6999999999999993
2011-09,2011-10-09 23:59:00,import_gap,2011-07,2011-09-14T00:00:00,"relative price gap, log points",4.514445311655059
2011-09,2011-10-09 23:59:00,ppi_gap,2011-08,2011-09-26T00:00:00,"relative price gap, log points",6.809293868037173
2011-09,2011-10-09 23:59:00,fx_news,2011-09,2011-10-01T00:00:00,FX log change since import reference,0.8834774631131815
2011-10,2011-11-08 23:59:00,ulc_gap,2011Q2,2011-09-13T00:00:00,"quarterly real-cost gap, log points",-0.0693647693180992
2011-10,2011-11-08 23:59:00,tightening,2011-09,2011-11-01T00:00:00,"negative unemployment change12, pp",0.3000000000000007
2011-10,2011-11-08 23:59:00,import_gap,2011-08,2011-10-15T00:00:00,"relative price gap, log points",3.809078084246506
2011-10,2011-11-08 23:59:00,ppi_gap,2011-09,2011-10-26T00:00:00,"relative price gap, log points",6.858278147428052
2011-10,2011-11-08 23:59:00,fx_news,2011-10,2011-11-01T00:00:00,FX log change since import reference,2.3412644912518985
2011-11,2011-12-08 23:59:00,ulc_gap,2011Q2,2011-09-13T00:00:00,"quarterly real-cost gap, log points",-0.09261533066427319
2011-11,2011-12-08 23:59:00,tightening,2011-10,2011-12-02T00:00:00,"negative unemployment change12, pp",0.5999999999999996
2011-11,2011-12-08 23:59:00,import_gap,2011-09,2011-11-14T00:00:00,"relative price gap, log points",5.193484109922508
2011-11,2011-12-08 23:59:00,ppi_gap,2011-10,2011-11-26T00:00:00,"relative price gap, log points",6.710851557817193
2011-11,2011-12-08 23:59:00,fx_news,2011-11,2011-12-01T00:00:00,FX log change since import reference,3.583666826106869
2011-12,2012-01-08 23:59:00,ulc_gap,2011Q3,2011-12-14T00:00:00,"quarterly real-cost gap, log points",-0.5570773244727434
2011-12,2012-01-08 23:59:00,tightening,2011-11,2012-01-01T00:00:00,"negative unemployment change12, pp",0.40000000000000036
2011-12,2012-01-08 23:59:00,import_gap,2011-10,2011-12-15T00:00:00,"relative price gap, log points",5.84060616280976
2011-12,2012-01-08 23:59:00,ppi_gap,2011-11,2011-12-26T00:00:00,"relative price gap, log points",7.208049338222224
2011-12,2012-01-08 23:59:00,fx_news,2011-12,2012-01-01T00:00:00,FX log change since import reference,2.648924810960362
2012-01,2012-02-15 23:59:00,ulc_gap,2011Q3,2011-12-14T00:00:00,"quarterly real-cost gap, log points",-0.5559615587122266
2012-01,2012-02-15 23:59:00,tightening,2011-12,2012-02-01T00:00:00,"negative unemployment change12, pp",0.2999999999999998
2012-01,2012-02-15 23:59:00,import_gap,2011-12,2012-02-14T00:00:00,"relative price gap, log points",8.445513824908591
2012-01,2012-02-15 23:59:00,ppi_gap,2011-12,2012-01-26T00:00:00,"relative price gap, log points",7.377897670006121
2012-01,2012-02-15 23:59:00,fx_news,2012-01,2012-02-01T00:00:00,FX log change since import reference,0.06660528778760402
2012-02,2012-03-08 23:59:00,ulc_gap,2011Q3,2011-12-14T00:00:00,"quarterly real-cost gap, log points",-0.5559615587121698
2012-02,2012-03-08 23:59:00,tightening,2012-01,2012-03-03T00:00:00,"negative unemployment change12, pp",0.40000000000000036
2012-02,2012-03-08 23:59:00,import_gap,2011-12,2012-02-14T00:00:00,"relative price gap, log points",8.443318762019766
2012-02,2012-03-08 23:59:00,ppi_gap,2012-01,2012-02-26T00:00:00,"relative price gap, log points",7.694052292534934
2012-02,2012-03-08 23:59:00,fx_news,2012-02,2012-03-01T00:00:00,FX log change since import reference,-1.875203297922547
2012-03,2012-04-09 23:59:00,ulc_gap,2011Q4,2012-03-15T00:00:00,"quarterly real-cost gap, log points",4.714687596363547
2012-03,2012-04-09 23:59:00,tightening,2012-02,2012-04-01T00:00:00,"negative unemployment change12, pp",0.0
2012-03,2012-04-09 23:59:00,import_gap,2012-01,2012-03-16T00:00:00,"relative price gap, log points",9.494409709581326
2012-03,2012-04-09 23:59:00,ppi_gap,2012-02,2012-03-26T00:00:00,"relative price gap, log points",7.662689689210822
2012-03,2012-04-09 23:59:00,fx_news,2012-03,2012-04-01T00:00:00,FX log change since import reference,-3.410145604641875
2012-04,2012-05-09 23:59:00,ulc_gap,2011Q4,2012-03-15T00:00:00,"quarterly real-cost gap, log points",4.718809972516738
2012-04,2012-05-09 23:59:00,tightening,2012-03,2012-05-02T00:00:00,"negative unemployment change12, pp",-0.20000000000000018
2012-04,2012-05-09 23:59:00,import_gap,2012-02,2012-04-14T00:00:00,"relative price gap, log points",8.067002771397167
2012-04,2012-05-09 23:59:00,ppi_gap,2012-03,2012-04-26T00:00:00,"relative price gap, log points",8.084314725339937
2012-04,2012-05-09 23:59:00,fx_news,2012-04,2012-05-01T00:00:00,FX log change since import reference,-0.9711151759395106
2012-05,2012-06-10 23:59:00,ulc_gap,2011Q4,2012-03-15T00:00:00,"quarterly real-cost gap, log points",4.71496719448362
2012-05,2012-06-10 23:59:00,tightening,2012-04,2012-06-01T00:00:00,"negative unemployment change12, pp",0.20000000000000018
2012-05,2012-06-10 23:59:00,import_gap,2012-03,2012-05-15T00:00:00,"relative price gap, log points",7.495665172579117
2012-05,2012-06-10 23:59:00,ppi_gap,2012-04,2012-05-26T00:00:00,"relative price gap, log points",8.0894085153339
2012-05,2012-06-10 23:59:00,fx_news,2012-05,2012-06-01T00:00:00,FX log change since import reference,2.5842471750669267
2012-06,2012-07-10 23:59:00,ulc_gap,2012Q1,2012-06-14T00:00:00,"quarterly real-cost gap, log points",5.028846144351519
2012-06,2012-07-10 23:59:00,tightening,2012-05,2012-07-02T00:00:00,"negative unemployment change12, pp",-0.09999999999999964
2012-06,2012-07-10 23:59:00,import_gap,2012-04,2012-06-14T00:00:00,"relative price gap, log points",7.136833982566031
2012-06,2012-07-10 23:59:00,ppi_gap,2012-05,2012-06-26T00:00:00,"relative price gap, log points",7.804824268012112
2012-06,2012-07-10 23:59:00,fx_news,2012-06,2012-07-01T00:00:00,FX log change since import reference,3.338930307467644
2012-07,2012-08-08 23:59:00,ulc_gap,2012Q1,2012-06-14T00:00:00,"quarterly real-cost gap, log points",5.030623074270977
2012-07,2012-08-08 23:59:00,tightening,2012-06,2012-08-01T00:00:00,"negative unemployment change12, pp",-0.09999999999999964
2012-07,2012-08-08 23:59:00,import_gap,2012-05,2012-07-15T00:00:00,"relative price gap, log points",8.182789712462755
2012-07,2012-08-08 23:59:00,ppi_gap,2012-06,2012-07-26T00:00:00,"relative price gap, log points",6.409711736208351
2012-07,2012-08-08 23:59:00,fx_news,2012-07,2012-08-01T00:00:00,FX log change since import reference,0.44132785004937175
2012-08,2012-09-09 23:59:00,ulc_gap,2012Q1,2012-06-14T00:00:00,"quarterly real-cost gap, log points",5.040399079972929
2012-08,2012-09-09 23:59:00,tightening,2012-07,2012-09-01T00:00:00,"negative unemployment change12, pp",-0.20000000000000018
2012-08,2012-09-09 23:59:00,import_gap,2012-06,2012-08-14T00:00:00,"relative price gap, log points",7.342850024781907
2012-08,2012-09-09 23:59:00,ppi_gap,2012-07,2012-08-26T00:00:00,"relative price gap, log points",5.138606586963988
2012-08,2012-09-09 23:59:00,fx_news,2012-08,2012-09-01T00:00:00,FX log change since import reference,-2.4517127813225548
2012-09,2012-10-08 23:59:00,ulc_gap,2012Q2,2012-09-13T00:00:00,"quarterly real-cost gap, log points",1.7211130318643768
2012-09,2012-10-08 23:59:00,tightening,2012-08,2012-10-02T00:00:00,"negative unemployment change12, pp",-0.7999999999999998
2012-09,2012-10-08 23:59:00,import_gap,2012-07,2012-09-14T00:00:00,"relative price gap, log points",6.711891138072185
2012-09,2012-10-08 23:59:00,ppi_gap,2012-08,2012-09-26T00:00:00,"relative price gap, log points",5.285745380013111
2012-09,2012-10-08 23:59:00,fx_news,2012-09,2012-10-01T00:00:00,FX log change since import reference,-2.802934416623362
2012-10,2012-11-08 23:59:00,ulc_gap,2012Q2,2012-09-13T00:00:00,"quarterly real-cost gap, log points",1.7181873284863514
2012-10,2012-11-08 23:59:00,tightening,2012-09,2012-11-01T00:00:00,"negative unemployment change12, pp",-0.3000000000000007
2012-10,2012-11-08 23:59:00,import_gap,2012-08,2012-10-15T00:00:00,"relative price gap, log points",6.307508122493956
2012-10,2012-11-08 23:59:00,ppi_gap,2012-09,2012-10-26T00:00:00,"relative price gap, log points",4.1021222198754685
2012-10,2012-11-08 23:59:00,fx_news,2012-10,2012-11-01T00:00:00,FX log change since import reference,-0.32827604643707164
2012-11,2012-12-09 23:59:00,ulc_gap,2012Q2,2012-09-13T00:00:00,"quarterly real-cost gap, log points",1.7181873284863514
2012-11,2012-12-09 23:59:00,tightening,2012-10,2012-12-02T00:00:00,"negative unemployment change12, pp",-0.5999999999999996
2012-11,2012-12-09 23:59:00,import_gap,2012-09,2012-11-14T00:00:00,"relative price gap, log points",4.634870777169029
2012-11,2012-12-09 23:59:00,ppi_gap,2012-10,2012-11-26T00:00:00,"relative price gap, log points",3.025259429952655
2012-11,2012-12-09 23:59:00,fx_news,2012-11,2012-12-01T00:00:00,FX log change since import reference,2.5312753586331698
2012-12,2013-01-08 23:59:00,ulc_gap,2012Q3,2012-12-14T00:00:00,"quarterly real-cost gap, log points",-0.2510430168636617
2012-12,2013-01-08 23:59:00,tightening,2012-11,2013-01-01T00:00:00,"negative unemployment change12, pp",-1.0
2012-12,2013-01-08 23:59:00,import_gap,2012-10,2012-12-15T00:00:00,"relative price gap, log points",4.5480692636837174
2012-12,2013-01-08 23:59:00,ppi_gap,2012-11,2012-12-26T00:00:00,"relative price gap, log points",2.795740273685226
2012-12,2013-01-08 23:59:00,fx_news,2012-12,2013-01-01T00:00:00,FX log change since import reference,1.1085969101074329
2013-01,2013-02-10 23:59:00,ulc_gap,2012Q3,2012-12-14T00:00:00,"quarterly real-cost gap, log points",-0.24608998359366296
2013-01,2013-02-10 23:59:00,tightening,2012-12,2013-02-01T00:00:00,"negative unemployment change12, pp",-0.5999999999999996
2013-01,2013-02-10 23:59:00,import_gap,2012-11,2013-01-14T00:00:00,"relative price gap, log points",5.480750491092907
2013-01,2013-02-10 23:59:00,ppi_gap,2012-12,2013-01-26T00:00:00,"relative price gap, log points",2.5581424646672417
2013-01,2013-02-10 23:59:00,fx_news,2013-01,2013-02-01T00:00:00,FX log change since import reference,0.7775722495275235
2013-02,2013-03-10 23:59:00,ulc_gap,2012Q3,2012-12-14T00:00:00,"quarterly real-cost gap, log points",-0.2495700127386158
2013-02,2013-03-10 23:59:00,tightening,2013-01,2013-03-04T00:00:00,"negative unemployment change12, pp",-0.20000000000000018
2013-02,2013-03-10 23:59:00,import_gap,2012-12,2013-02-14T00:00:00,"relative price gap, log points",4.375087907266895
2013-02,2013-03-10 23:59:00,ppi_gap,2013-01,2013-02-26T00:00:00,"relative price gap, log points",2.760588153490346
2013-02,2013-03-10 23:59:00,fx_news,2013-02,2013-03-01T00:00:00,FX log change since import reference,1.0258118833650658
2013-03,2013-04-08 23:59:00,ulc_gap,2012Q4,2013-03-16T00:00:00,"quarterly real-cost gap, log points",6.203355397450366
2013-03,2013-04-08 23:59:00,tightening,2013-02,2013-04-01T00:00:00,"negative unemployment change12, pp",-0.3000000000000007
2013-03,2013-04-08 23:59:00,import_gap,2013-01,2013-03-17T00:00:00,"relative price gap, log points",4.6249571688214965
2013-03,2013-04-08 23:59:00,ppi_gap,2013-02,2013-03-26T00:00:00,"relative price gap, log points",2.681768449388926
2013-03,2013-04-08 23:59:00,fx_news,2013-03,2013-04-01T00:00:00,FX log change since import reference,0.3865304958898079
2013-04,2013-05-09 23:59:00,ulc_gap,2012Q4,2013-03-16T00:00:00,"quarterly real-cost gap, log points",6.20409755100377
2013-04,2013-05-09 23:59:00,tightening,2013-03,2013-05-02T00:00:00,"negative unemployment change12, pp",-0.39999999999999947
2013-04,2013-05-09 23:59:00,import_gap,2013-02,2013-04-14T00:00:00,"relative price gap, log points",4.277416574244723
2013-04,2013-05-09 23:59:00,ppi_gap,2013-03,2013-04-26T00:00:00,"relative price gap, log points",2.68201579485509
2013-04,2013-05-09 23:59:00,fx_news,2013-04,2013-05-01T00:00:00,FX log change since import reference,1.4186846405281803
2013-05,2013-06-09 23:59:00,ulc_gap,2012Q4,2013-03-16T00:00:00,"quarterly real-cost gap, log points",6.205449411333632
2013-05,2013-06-09 23:59:00,tightening,2013-04,2013-06-01T00:00:00,"negative unemployment change12, pp",-0.10000000000000053
2013-05,2013-06-09 23:59:00,import_gap,2013-03,2013-05-15T00:00:00,"relative price gap, log points",4.846379856935888
2013-05,2013-06-09 23:59:00,ppi_gap,2013-04,2013-05-26T00:00:00,"relative price gap, log points",2.107824972098797
2013-05,2013-06-09 23:59:00,fx_news,2013-05,2013-06-01T00:00:00,FX log change since import reference,0.880686959293824
2013-06,2013-07-08 23:59:00,ulc_gap,2013Q1,2013-06-14T00:00:00,"quarterly real-cost gap, log points",5.466374498739071
2013-06,2013-07-08 23:59:00,tightening,2013-05,2013-07-02T00:00:00,"negative unemployment change12, pp",-0.2999999999999998
2013-06,2013-07-08 23:59:00,import_gap,2013-04,2013-06-14T00:00:00,"relative price gap, log points",4.166775738619247
2013-06,2013-07-08 23:59:00,ppi_gap,2013-05,2013-06-26T00:00:00,"relative price gap, log points",1.9820385047284503
2013-06,2013-07-08 23:59:00,fx_news,2013-06,2013-07-01T00:00:00,FX log change since import reference,-0.30619585559437396
2013-07,2013-08-08 23:59:00,ulc_gap,2013Q1,2013-06-14T00:00:00,"quarterly real-cost gap, log points",5.46668767443947
2013-07,2013-08-08 23:59:00,tightening,2013-06,2013-08-01T00:00:00,"negative unemployment change12, pp",0.09999999999999964
2013-07,2013-08-08 23:59:00,import_gap,2013-05,2013-07-15T00:00:00,"relative price gap, log points",3.0299679605960828
2013-07,2013-08-08 23:59:00,ppi_gap,2013-06,2013-07-26T00:00:00,"relative price gap, log points",1.8357244077502628
2013-07,2013-08-08 23:59:00,fx_news,2013-07,2013-08-01T00:00:00,FX log change since import reference,0.23149051581437757
2013-08,2013-09-08 23:59:00,ulc_gap,2013Q1,2013-06-14T00:00:00,"quarterly real-cost gap, log points",5.466726497247862
2013-08,2013-09-08 23:59:00,tightening,2013-07,2013-09-01T00:00:00,"negative unemployment change12, pp",0.20000000000000018
2013-08,2013-09-08 23:59:00,import_gap,2013-06,2013-08-14T00:00:00,"relative price gap, log points",1.033250801037731
2013-08,2013-09-08 23:59:00,ppi_gap,2013-07,2013-08-26T00:00:00,"relative price gap, log points",1.9328848278780129
2013-08,2013-09-08 23:59:00,fx_news,2013-08,2013-09-01T00:00:00,FX log change since import reference,0.22102027260601959
2013-09,2013-10-08 23:59:00,ulc_gap,2013Q2,2013-09-13T00:00:00,"quarterly real-cost gap, log points",1.5700516483648244
2013-09,2013-10-08 23:59:00,tightening,2013-08,2013-10-02T00:00:00,"negative unemployment change12, pp",0.0
2013-09,2013-10-08 23:59:00,import_gap,2013-07,2013-09-14T00:00:00,"relative price gap, log points",1.354960541707018
2013-09,2013-10-08 23:59:00,ppi_gap,2013-08,2013-09-26T00:00:00,"relative price gap, log points",1.5170769754366802
2013-09,2013-10-08 23:59:00,fx_news,2013-09,2013-10-01T00:00:00,FX log change since import reference,-0.626258425348451
2013-10,2013-11-10 23:59:00,ulc_gap,2013Q2,2013-09-13T00:00:00,"quarterly real-cost gap, log points",1.5694655004061815
2013-10,2013-11-10 23:59:00,tightening,2013-09,2013-11-01T00:00:00,"negative unemployment change12, pp",-0.09999999999999964
