sample,h,model,n,yy_rmse,yy_bias
origins_2024_on,1,NAIVE_C,30,0.6314777539838675,0.3688836550331576
origins_2024_on,1,RW_C,30,1.0475555833081103,0.19758051628457488
origins_2024_on,1,TVWQRF_QRF_MEAN_INDEP,30,0.4194407641196301,0.07642287726916891
origins_2024_on,1,TVWQRF_QRF_MEDIAN_INDEP,30,0.41278951975043776,-0.02450775662791652
origins_2024_on,1,TVWQRF_TVW3_INDEP,30,0.42989332876885944,-0.02056012499536064
origins_2024_on,2,F1b,29,0.4755975245774476,-0.011424882922396
origins_2024_on,2,F2_D1_fixed,29,0.4514779700960308,0.038716866556953514
origins_2024_on,2,NAIVE_C,29,1.0381681984466247,0.7504120188122626
origins_2024_on,2,RW_C,29,1.0613303469891653,0.19886739467861325
origins_2024_on,2,TVWQRF_QRF_MEAN_INDEP,29,0.5431384464366807,0.19130032802881797
origins_2024_on,2,TVWQRF_QRF_MEDIAN_INDEP,29,0.4994479135670734,-0.022798682309093085
origins_2024_on,2,TVWQRF_TVW3_INDEP,29,0.535275039318516,-0.028742988428562873
origins_2024_on,3,F1b,28,0.5028805262649965,-0.009113802807356733
origins_2024_on,3,F2_D1_fixed,28,0.503061462520941,0.04503507713709298
origins_2024_on,3,NAIVE_C,28,1.4100513807677255,1.1211896995389214
origins_2024_on,3,RW_C,28,0.9157496146631232,0.1881758608670923
origins_2024_on,3,TVWQRF_QRF_MEAN_INDEP,28,0.5693816323231553,0.23128661254334903
origins_2024_on,3,TVWQRF_QRF_MEDIAN_INDEP,28,0.4995947363546694,-0.06393742282690576
origins_2024_on,3,TVWQRF_TVW3_INDEP,28,0.5488587153000039,-0.0865769014615786
origins_2024_on,4,F1b,27,0.4898111635985325,0.06700578000955505
origins_2024_on,4,F2_D1_fixed,27,0.5013731293539537,0.07047776652684277
origins_2024_on,4,NAIVE_C,27,1.7513797441257202,1.5162939160961078
origins_2024_on,4,RW_C,27,0.9753224536052869,0.2312572826620336
origins_2024_on,4,TVWQRF_QRF_MEAN_INDEP,27,0.6485761137723302,0.24171388104609012
origins_2024_on,4,TVWQRF_QRF_MEDIAN_INDEP,27,0.5887312252723743,-0.10223247763898069
origins_2024_on,4,TVWQRF_TVW3_INDEP,27,0.6355510335279484,-0.13268822767293975
origins_2024_on,5,F1b,26,0.5359331399568042,0.1401843489442692
origins_2024_on,5,F2_D1_fixed,26,0.5064150725087192,0.10176685494382803
origins_2024_on,5,NAIVE_C,26,2.103648788122787,1.9141644598630163
origins_2024_on,5,RW_C,26,1.1086213200098565,0.28682643396767643
origins_2024_on,5,TVWQRF_QRF_MEAN_INDEP,26,0.6772636675341733,0.28903749617763064
origins_2024_on,5,TVWQRF_QRF_MEDIAN_INDEP,26,0.6050651515573398,-0.14890300148366586
origins_2024_on,5,TVWQRF_TVW3_INDEP,26,0.6680270794083989,-0.13978951140357673
origins_2024_on,6,F1b,25,0.6175924528188314,0.192983916133797
origins_2024_on,6,F2_D1_fixed,25,0.5140507442100228,0.1369565496508823
origins_2024_on,6,NAIVE_C,25,2.482818095317517,2.3135137041570193
origins_2024_on,6,RW_C,25,1.1062083784832788,0.3116898821644445
origins_2024_on,6,TVWQRF_QRF_MEAN_INDEP,25,0.6904997862222167,0.3719270334558751
origins_2024_on,6,TVWQRF_QRF_MEDIAN_INDEP,25,0.5643089002973323,-0.15443387497406733
origins_2024_on,6,TVWQRF_TVW3_INDEP,25,0.6904770846425498,-0.10235213584643933
origins_2024_on,7,F1b,24,0.7016968201078164,0.2686569697072784
origins_2024_on,7,F2_D1_fixed,24,0.517812315830471,0.17845911695644587
origins_2024_on,7,NAIVE_C,24,2.8631629343723373,2.7195837582177647
origins_2024_on,7,RW_C,24,1.11981458189668,0.32656339710937343
origins_2024_on,7,TVWQRF_QRF_MEAN_INDEP,24,0.8472450737385966,0.43164715388999797
origins_2024_on,7,TVWQRF_QRF_MEDIAN_INDEP,24,0.6597836680567691,-0.1702335037760017
origins_2024_on,7,TVWQRF_TVW3_INDEP,24,0.8268858337002043,-0.13077178358252972
origins_2024_on,8,F1b,23,0.8088020430426202,0.3705616863636938
origins_2024_on,8,F2_D1_fixed,23,0.5427660533917081,0.20839452537688294
origins_2024_on,8,NAIVE_C,23,3.197734808466234,3.068365020213731
origins_2024_on,8,RW_C,23,1.0691021731313315,0.34569842069065115
origins_2024_on,8,TVWQRF_QRF_MEAN_INDEP,23,0.8819835048891574,0.6309474945180371
origins_2024_on,8,TVWQRF_QRF_MEDIAN_INDEP,23,0.5583912676007294,-0.09981219466553391
origins_2024_on,8,TVWQRF_TVW3_INDEP,23,0.7228122438246397,-0.11392731874755051
origins_2024_on,9,F1b,22,0.8820116871204483,0.49425603640081284
origins_2024_on,9,F2_D1_fixed,22,0.5067779832385249,0.22289096265473904
origins_2024_on,9,NAIVE_C,22,3.5435919187583957,3.4313956717645198
origins_2024_on,9,RW_C,22,1.0393692774231098,0.36470707884493037
origins_2024_on,9,TVWQRF_QRF_MEAN_INDEP,22,0.9665508443639438,0.742886825643188
origins_2024_on,9,TVWQRF_QRF_MEDIAN_INDEP,22,0.47523204647634804,-0.1021397044197731
origins_2024_on,9,TVWQRF_TVW3_INDEP,22,0.7612288982454659,-0.15456458844310636
origins_2024_on,10,F1b,21,1.0070410871740403,0.5836161630438345
origins_2024_on,10,F2_D1_fixed,21,0.4649264242460467,0.23620798273106297
origins_2024_on,10,NAIVE_C,21,3.8799680472918228,3.8118657414576727
origins_2024_on,10,RW_C,21,1.1285576040494334,0.4073243838090042
origins_2024_on,10,TVWQRF_QRF_MEAN_INDEP,21,1.228320939797225,0.9612860434022193
