origin,model,status,n_train
2020-09,GAP_DOMESTIC_R23,estimated,34
2020-09,GAP_IMPORTED_R23,estimated,34
2020-09,GAP_JOINT_R23,estimated,34
2020-09,GAP_FREE_R23,estimated,34
2020-09,GAP_ENET_R23,estimated,34
2020-09,GAP_HALF_R23,estimated,34
2020-10,GAP_CALIBRATION_R23,estimated,35
2020-10,GAP_DOMESTIC_R23,estimated,35
2020-10,GAP_IMPORTED_R23,estimated,35
2020-10,GAP_JOINT_R23,estimated,35
2020-10,GAP_FREE_R23,estimated,35
2020-10,GAP_ENET_R23,estimated,35
2020-10,GAP_HALF_R23,estimated,35
2020-11,GAP_CALIBRATION_R23,estimated,35
2020-11,GAP_DOMESTIC_R23,estimated,35
2020-11,GAP_IMPORTED_R23,estimated,35
2020-11,GAP_JOINT_R23,estimated,35
2020-11,GAP_FREE_R23,estimated,35
2020-11,GAP_ENET_R23,estimated,35
2020-11,GAP_HALF_R23,estimated,35
2020-12,GAP_CALIBRATION_R23,estimated,35
2020-12,GAP_DOMESTIC_R23,estimated,35
2020-12,GAP_IMPORTED_R23,estimated,35
2020-12,GAP_JOINT_R23,estimated,35
2020-12,GAP_FREE_R23,estimated,35
2020-12,GAP_ENET_R23,estimated,35
2020-12,GAP_HALF_R23,estimated,35
2021-01,GAP_CALIBRATION_R23,estimated,36
2021-01,GAP_DOMESTIC_R23,estimated,36
2021-01,GAP_IMPORTED_R23,estimated,36
2021-01,GAP_JOINT_R23,estimated,36
2021-01,GAP_FREE_R23,estimated,36
2021-01,GAP_ENET_R23,estimated,36
2021-01,GAP_HALF_R23,estimated,36
2021-02,GAP_CALIBRATION_R23,estimated,36
2021-02,GAP_DOMESTIC_R23,estimated,36
2021-02,GAP_IMPORTED_R23,estimated,36
2021-02,GAP_JOINT_R23,estimated,36
2021-02,GAP_FREE_R23,estimated,36
2021-02,GAP_ENET_R23,estimated,36
2021-02,GAP_HALF_R23,estimated,36
2021-03,GAP_CALIBRATION_R23,estimated,36
2021-03,GAP_DOMESTIC_R23,estimated,36
2021-03,GAP_IMPORTED_R23,estimated,36
2021-03,GAP_JOINT_R23,estimated,36
2021-03,GAP_FREE_R23,estimated,36
2021-03,GAP_ENET_R23,estimated,36
2021-03,GAP_HALF_R23,estimated,36
2021-04,GAP_CALIBRATION_R23,estimated,37
2021-04,GAP_DOMESTIC_R23,estimated,37
2021-04,GAP_IMPORTED_R23,estimated,37
2021-04,GAP_JOINT_R23,estimated,37
2021-04,GAP_FREE_R23,estimated,37
2021-04,GAP_ENET_R23,estimated,37
2021-04,GAP_HALF_R23,estimated,37
2021-05,GAP_CALIBRATION_R23,estimated,37
2021-05,GAP_DOMESTIC_R23,estimated,37
2021-05,GAP_IMPORTED_R23,estimated,37
2021-05,GAP_JOINT_R23,estimated,37
2021-05,GAP_FREE_R23,estimated,37
2021-05,GAP_ENET_R23,estimated,37
2021-05,GAP_HALF_R23,estimated,37
2021-06,GAP_CALIBRATION_R23,estimated,37
2021-06,GAP_DOMESTIC_R23,estimated,37
2021-06,GAP_IMPORTED_R23,estimated,37
2021-06,GAP_JOINT_R23,estimated,37
2021-06,GAP_FREE_R23,estimated,37
2021-06,GAP_ENET_R23,estimated,37
2021-06,GAP_HALF_R23,estimated,37
2021-07,GAP_CALIBRATION_R23,estimated,38
2021-07,GAP_DOMESTIC_R23,estimated,38
2021-07,GAP_IMPORTED_R23,estimated,38
2021-07,GAP_JOINT_R23,estimated,38
2021-07,GAP_FREE_R23,estimated,38
2021-07,GAP_ENET_R23,estimated,38
2021-07,GAP_HALF_R23,estimated,38
2021-08,GAP_CALIBRATION_R23,estimated,38
2021-08,GAP_DOMESTIC_R23,estimated,38
2021-08,GAP_IMPORTED_R23,estimated,38
2021-08,GAP_JOINT_R23,estimated,38
2021-08,GAP_FREE_R23,estimated,38
2021-08,GAP_ENET_R23,estimated,38
2021-08,GAP_HALF_R23,estimated,38
2021-09,GAP_CALIBRATION_R23,estimated,38
2021-09,GAP_DOMESTIC_R23,estimated,38
2021-09,GAP_IMPORTED_R23,estimated,38
2021-09,GAP_JOINT_R23,estimated,38
2021-09,GAP_FREE_R23,estimated,38
2021-09,GAP_ENET_R23,estimated,38
2021-09,GAP_HALF_R23,estimated,38
2021-10,GAP_CALIBRATION_R23,estimated,39
2021-10,GAP_DOMESTIC_R23,estimated,39
2021-10,GAP_IMPORTED_R23,estimated,39
2021-10,GAP_JOINT_R23,estimated,39
2021-10,GAP_FREE_R23,estimated,39
2021-10,GAP_ENET_R23,estimated,39
2021-10,GAP_HALF_R23,estimated,39
2021-11,GAP_CALIBRATION_R23,estimated,39
2021-11,GAP_DOMESTIC_R23,estimated,39
2021-11,GAP_IMPORTED_R23,estimated,39
2021-11,GAP_JOINT_R23,estimated,39
2021-11,GAP_FREE_R23,estimated,39
2021-11,GAP_ENET_R23,estimated,39
2021-11,GAP_HALF_R23,estimated,39
2021-12,GAP_CALIBRATION_R23,estimated,39
2021-12,GAP_DOMESTIC_R23,estimated,39
2021-12,GAP_IMPORTED_R23,estimated,39
2021-12,GAP_JOINT_R23,estimated,39
2021-12,GAP_FREE_R23,estimated,39
2021-12,GAP_ENET_R23,estimated,39
2021-12,GAP_HALF_R23,estimated,39
2022-01,GAP_CALIBRATION_R23,estimated,40
2022-01,GAP_DOMESTIC_R23,estimated,40
2022-01,GAP_IMPORTED_R23,estimated,40
2022-01,GAP_JOINT_R23,estimated,40
2022-01,GAP_FREE_R23,estimated,40
2022-01,GAP_ENET_R23,estimated,40
2022-01,GAP_HALF_R23,estimated,40
2022-02,GAP_CALIBRATION_R23,estimated,40
2022-02,GAP_DOMESTIC_R23,estimated,40
2022-02,GAP_IMPORTED_R23,estimated,40
2022-02,GAP_JOINT_R23,estimated,40
2022-02,GAP_FREE_R23,estimated,40
2022-02,GAP_ENET_R23,estimated,40
2022-02,GAP_HALF_R23,estimated,40
2022-03,GAP_CALIBRATION_R23,estimated,40
2022-03,GAP_DOMESTIC_R23,estimated,40
2022-03,GAP_IMPORTED_R23,estimated,40
2022-03,GAP_JOINT_R23,estimated,40
2022-03,GAP_FREE_R23,estimated,40
2022-03,GAP_ENET_R23,estimated,40
2022-03,GAP_HALF_R23,estimated,40
2022-04,GAP_CALIBRATION_R23,estimated,40
2022-04,GAP_DOMESTIC_R23,estimated,40
2022-04,GAP_IMPORTED_R23,estimated,40
2022-04,GAP_JOINT_R23,estimated,40
2022-04,GAP_FREE_R23,estimated,40
2022-04,GAP_ENET_R23,estimated,40
2022-04,GAP_HALF_R23,estimated,40
2022-05,GAP_CALIBRATION_R23,estimated,40
2022-05,GAP_DOMESTIC_R23,estimated,40
2022-05,GAP_IMPORTED_R23,estimated,40
2022-05,GAP_JOINT_R23,estimated,40
2022-05,GAP_FREE_R23,estimated,40
2022-05,GAP_ENET_R23,estimated,40
2022-05,GAP_HALF_R23,estimated,40
2022-06,GAP_CALIBRATION_R23,estimated,40
2022-06,GAP_DOMESTIC_R23,estimated,40
2022-06,GAP_IMPORTED_R23,estimated,40
2022-06,GAP_JOINT_R23,estimated,40
2022-06,GAP_FREE_R23,estimated,40
2022-06,GAP_ENET_R23,estimated,40
2022-06,GAP_HALF_R23,estimated,40
2022-07,GAP_CALIBRATION_R23,estimated,40
2022-07,GAP_DOMESTIC_R23,estimated,40
2022-07,GAP_IMPORTED_R23,estimated,40
2022-07,GAP_JOINT_R23,estimated,40
2022-07,GAP_FREE_R23,estimated,40
2022-07,GAP_ENET_R23,estimated,40
2022-07,GAP_HALF_R23,estimated,40
2022-08,GAP_CALIBRATION_R23,estimated,40
2022-08,GAP_DOMESTIC_R23,estimated,40
2022-08,GAP_IMPORTED_R23,estimated,40
2022-08,GAP_JOINT_R23,estimated,40
2022-08,GAP_FREE_R23,estimated,40
2022-08,GAP_ENET_R23,estimated,40
2022-08,GAP_HALF_R23,estimated,40
2022-09,GAP_CALIBRATION_R23,estimated,40
2022-09,GAP_DOMESTIC_R23,estimated,40
2022-09,GAP_IMPORTED_R23,estimated,40
2022-09,GAP_JOINT_R23,estimated,40
2022-09,GAP_FREE_R23,estimated,40
2022-09,GAP_ENET_R23,estimated,40
2022-09,GAP_HALF_R23,estimated,40
2022-10,GAP_CALIBRATION_R23,estimated,40
2022-10,GAP_DOMESTIC_R23,estimated,40
2022-10,GAP_IMPORTED_R23,estimated,40
2022-10,GAP_JOINT_R23,estimated,40
2022-10,GAP_FREE_R23,estimated,40
2022-10,GAP_ENET_R23,estimated,40
2022-10,GAP_HALF_R23,estimated,40
2022-11,GAP_CALIBRATION_R23,estimated,40
2022-11,GAP_DOMESTIC_R23,estimated,40
2022-11,GAP_IMPORTED_R23,estimated,40
2022-11,GAP_JOINT_R23,estimated,40
2022-11,GAP_FREE_R23,estimated,40
2022-11,GAP_ENET_R23,estimated,40
2022-11,GAP_HALF_R23,estimated,40
2022-12,GAP_CALIBRATION_R23,estimated,40
2022-12,GAP_DOMESTIC_R23,estimated,40
2022-12,GAP_IMPORTED_R23,estimated,40
2022-12,GAP_JOINT_R23,estimated,40
2022-12,GAP_FREE_R23,estimated,40
2022-12,GAP_ENET_R23,estimated,40
2022-12,GAP_HALF_R23,estimated,40
2023-01,GAP_CALIBRATION_R23,estimated,40
2023-01,GAP_DOMESTIC_R23,estimated,40
2023-01,GAP_IMPORTED_R23,estimated,40
2023-01,GAP_JOINT_R23,estimated,40
2023-01,GAP_FREE_R23,estimated,40
2023-01,GAP_ENET_R23,estimated,40
2023-01,GAP_HALF_R23,estimated,40
2023-02,GAP_CALIBRATION_R23,estimated,40
2023-02,GAP_DOMESTIC_R23,estimated,40
2023-02,GAP_IMPORTED_R23,estimated,40
2023-02,GAP_JOINT_R23,estimated,40
2023-02,GAP_FREE_R23,estimated,40
2023-02,GAP_ENET_R23,estimated,40
2023-02,GAP_HALF_R23,estimated,40
2023-03,GAP_CALIBRATION_R23,estimated,40
2023-03,GAP_DOMESTIC_R23,estimated,40
2023-03,GAP_IMPORTED_R23,estimated,40
2023-03,GAP_JOINT_R23,estimated,40
2023-03,GAP_FREE_R23,estimated,40
2023-03,GAP_ENET_R23,estimated,40
2023-03,GAP_HALF_R23,estimated,40
2023-04,GAP_CALIBRATION_R23,estimated,40
2023-04,GAP_DOMESTIC_R23,estimated,40
2023-04,GAP_IMPORTED_R23,estimated,40
2023-04,GAP_JOINT_R23,estimated,40
2023-04,GAP_FREE_R23,estimated,40
2023-04,GAP_ENET_R23,estimated,40
2023-04,GAP_HALF_R23,estimated,40
2023-05,GAP_CALIBRATION_R23,estimated,40
2023-05,GAP_DOMESTIC_R23,estimated,40
2023-05,GAP_IMPORTED_R23,estimated,40
2023-05,GAP_JOINT_R23,estimated,40
2023-05,GAP_FREE_R23,estimated,40
2023-05,GAP_ENET_R23,estimated,40
2023-05,GAP_HALF_R23,estimated,40
2023-06,GAP_CALIBRATION_R23,estimated,40
2023-06,GAP_DOMESTIC_R23,estimated,40
2023-06,GAP_IMPORTED_R23,estimated,40
2023-06,GAP_JOINT_R23,estimated,40
2023-06,GAP_FREE_R23,estimated,40
2023-06,GAP_ENET_R23,estimated,40
2023-06,GAP_HALF_R23,estimated,40
2023-07,GAP_CALIBRATION_R23,estimated,40
2023-07,GAP_DOMESTIC_R23,estimated,40
2023-07,GAP_IMPORTED_R23,estimated,40
2023-07,GAP_JOINT_R23,estimated,40
2023-07,GAP_FREE_R23,estimated,40
2023-07,GAP_ENET_R23,estimated,40
2023-07,GAP_HALF_R23,estimated,40
2023-08,GAP_CALIBRATION_R23,estimated,40
2023-08,GAP_DOMESTIC_R23,estimated,40
2023-08,GAP_IMPORTED_R23,estimated,40
2023-08,GAP_JOINT_R23,estimated,40
2023-08,GAP_FREE_R23,estimated,40
2023-08,GAP_ENET_R23,estimated,40
2023-08,GAP_HALF_R23,estimated,40
2023-09,GAP_CALIBRATION_R23,estimated,40
2023-09,GAP_DOMESTIC_R23,estimated,40
2023-09,GAP_IMPORTED_R23,estimated,40
2023-09,GAP_JOINT_R23,estimated,40
2023-09,GAP_FREE_R23,estimated,40
2023-09,GAP_ENET_R23,estimated,40
2023-09,GAP_HALF_R23,estimated,40
2023-10,GAP_CALIBRATION_R23,estimated,40
2023-10,GAP_DOMESTIC_R23,estimated,40
2023-10,GAP_IMPORTED_R23,estimated,40
2023-10,GAP_JOINT_R23,estimated,40
2023-10,GAP_FREE_R23,estimated,40
2023-10,GAP_ENET_R23,estimated,40
2023-10,GAP_HALF_R23,estimated,40
2023-11,GAP_CALIBRATION_R23,estimated,40
2023-11,GAP_DOMESTIC_R23,estimated,40
2023-11,GAP_IMPORTED_R23,estimated,40
2023-11,GAP_JOINT_R23,estimated,40
2023-11,GAP_FREE_R23,estimated,40
2023-11,GAP_ENET_R23,estimated,40
2023-11,GAP_HALF_R23,estimated,40
2023-12,GAP_CALIBRATION_R23,estimated,40
2023-12,GAP_DOMESTIC_R23,estimated,40
2023-12,GAP_IMPORTED_R23,estimated,40
2023-12,GAP_JOINT_R23,estimated,40
2023-12,GAP_FREE_R23,estimated,40
2023-12,GAP_ENET_R23,estimated,40
2023-12,GAP_HALF_R23,estimated,40
2024-01,GAP_CALIBRATION_R23,estimated,40
2024-01,GAP_DOMESTIC_R23,estimated,40
2024-01,GAP_IMPORTED_R23,estimated,40
2024-01,GAP_JOINT_R23,estimated,40
2024-01,GAP_FREE_R23,estimated,40
2024-01,GAP_ENET_R23,estimated,40
2024-01,GAP_HALF_R23,estimated,40
2024-02,GAP_CALIBRATION_R23,estimated,40
2024-02,GAP_DOMESTIC_R23,estimated,40
2024-02,GAP_IMPORTED_R23,estimated,40
2024-02,GAP_JOINT_R23,estimated,40
2024-02,GAP_FREE_R23,estimated,40
2024-02,GAP_ENET_R23,estimated,40
2024-02,GAP_HALF_R23,estimated,40
2024-03,GAP_CALIBRATION_R23,estimated,40
2024-03,GAP_DOMESTIC_R23,estimated,40
2024-03,GAP_IMPORTED_R23,estimated,40
2024-03,GAP_JOINT_R23,estimated,40
2024-03,GAP_FREE_R23,estimated,40
2024-03,GAP_ENET_R23,estimated,40
2024-03,GAP_HALF_R23,estimated,40
2024-04,GAP_CALIBRATION_R23,estimated,40
2024-04,GAP_DOMESTIC_R23,estimated,40
2024-04,GAP_IMPORTED_R23,estimated,40
2024-04,GAP_JOINT_R23,estimated,40
2024-04,GAP_FREE_R23,estimated,40
2024-04,GAP_ENET_R23,estimated,40
2024-04,GAP_HALF_R23,estimated,40
2024-05,GAP_CALIBRATION_R23,estimated,40
2024-05,GAP_DOMESTIC_R23,estimated,40
2024-05,GAP_IMPORTED_R23,estimated,40
2024-05,GAP_JOINT_R23,estimated,40
2024-05,GAP_FREE_R23,estimated,40
2024-05,GAP_ENET_R23,estimated,40
2024-05,GAP_HALF_R23,estimated,40
2024-06,GAP_CALIBRATION_R23,estimated,40
2024-06,GAP_DOMESTIC_R23,estimated,40
2024-06,GAP_IMPORTED_R23,estimated,40
2024-06,GAP_JOINT_R23,estimated,40
2024-06,GAP_FREE_R23,estimated,40
2024-06,GAP_ENET_R23,estimated,40
2024-06,GAP_HALF_R23,estimated,40
2024-07,GAP_CALIBRATION_R23,estimated,40
2024-07,GAP_DOMESTIC_R23,estimated,40
2024-07,GAP_IMPORTED_R23,estimated,40
2024-07,GAP_JOINT_R23,estimated,40
2024-07,GAP_FREE_R23,estimated,40
2024-07,GAP_ENET_R23,estimated,40
2024-07,GAP_HALF_R23,estimated,40
2024-08,GAP_CALIBRATION_R23,estimated,40
2024-08,GAP_DOMESTIC_R23,estimated,40
