origin,model,status,pump_end,oil_end,fx_end,spot_usd,endpoint_usd,fx,petrol_share,fallback
2019-02,FUEL_SPOT_ECM_R17,estimated,2019-02-25 00:00:00,2019-02-22 00:00:00,2019-03-08 00:00:00,66.91,66.91,22.848,0.67084,False
2019-02,FUEL_ANNUAL_R17,estimated,2019-02-25 00:00:00,2019-02-22 00:00:00,2019-03-08 00:00:00,66.91,64.35,22.848,0.67084,False
2019-02,FUEL_ANNUAL_LOW_R17,estimated,2019-02-25 00:00:00,2019-02-22 00:00:00,2019-03-08 00:00:00,66.91,51.48,22.848,0.67084,False
2019-02,FUEL_ANNUAL_HIGH_R17,estimated,2019-02-25 00:00:00,2019-02-22 00:00:00,2019-03-08 00:00:00,66.91,77.21999999999998,22.848,0.67084,False
2019-03,FUEL_SPOT_ECM_R17,estimated,2019-04-01 00:00:00,2019-03-26 00:00:00,2019-04-09 00:00:00,67.51,67.51,22.716,0.67084,False
2019-03,FUEL_ANNUAL_R17,estimated,2019-04-01 00:00:00,2019-03-26 00:00:00,2019-04-09 00:00:00,67.51,66.9,22.716,0.67084,False
2019-03,FUEL_ANNUAL_LOW_R17,estimated,2019-04-01 00:00:00,2019-03-26 00:00:00,2019-04-09 00:00:00,67.51,53.52000000000001,22.716,0.67084,False
2019-03,FUEL_ANNUAL_HIGH_R17,estimated,2019-04-01 00:00:00,2019-03-26 00:00:00,2019-04-09 00:00:00,67.51,80.28,22.716,0.67084,False
2019-04,FUEL_SPOT_ECM_R17,estimated,2019-04-29 00:00:00,2019-04-26 00:00:00,2019-05-10 00:00:00,71.03,71.03,22.915,0.67084,False
2019-04,FUEL_ANNUAL_R17,estimated,2019-04-29 00:00:00,2019-04-26 00:00:00,2019-05-10 00:00:00,71.03,65.63,22.915,0.67084,False
2019-04,FUEL_ANNUAL_LOW_R17,estimated,2019-04-29 00:00:00,2019-04-26 00:00:00,2019-05-10 00:00:00,71.03,52.504,22.915,0.67084,False
2019-04,FUEL_ANNUAL_HIGH_R17,estimated,2019-04-29 00:00:00,2019-04-26 00:00:00,2019-05-10 00:00:00,71.03,78.75599999999999,22.915,0.67084,False
2019-05,FUEL_SPOT_ECM_R17,estimated,2019-06-03 00:00:00,2019-05-24 00:00:00,2019-06-10 00:00:00,67.98,67.98,22.675,0.67084,False
2019-05,FUEL_ANNUAL_R17,estimated,2019-06-03 00:00:00,2019-05-24 00:00:00,2019-06-10 00:00:00,67.98,59.7,22.675,0.67084,False
2019-05,FUEL_ANNUAL_LOW_R17,estimated,2019-06-03 00:00:00,2019-05-24 00:00:00,2019-06-10 00:00:00,67.98,47.760000000000005,22.675,0.67084,False
2019-05,FUEL_ANNUAL_HIGH_R17,estimated,2019-06-03 00:00:00,2019-05-24 00:00:00,2019-06-10 00:00:00,67.98,71.64,22.675,0.67084,False
2019-06,FUEL_SPOT_ECM_R17,estimated,2019-07-01 00:00:00,2019-06-26 00:00:00,2019-07-10 00:00:00,66.85,66.85,22.785,0.67084,False
2019-06,FUEL_ANNUAL_R17,estimated,2019-07-01 00:00:00,2019-06-26 00:00:00,2019-07-10 00:00:00,66.85,62.61,22.785,0.67084,False
2019-06,FUEL_ANNUAL_LOW_R17,estimated,2019-07-01 00:00:00,2019-06-26 00:00:00,2019-07-10 00:00:00,66.85,50.088,22.785,0.67084,False
2019-06,FUEL_ANNUAL_HIGH_R17,estimated,2019-07-01 00:00:00,2019-06-26 00:00:00,2019-07-10 00:00:00,66.85,75.13199999999999,22.785,0.67084,False
2019-07,FUEL_SPOT_ECM_R17,estimated,2019-07-29 00:00:00,2019-07-26 00:00:00,2019-08-09 00:00:00,62.46,62.46,23.068,0.67084,False
2019-07,FUEL_ANNUAL_R17,estimated,2019-07-29 00:00:00,2019-07-26 00:00:00,2019-08-09 00:00:00,62.46,56.53,23.068,0.67084,False
2019-07,FUEL_ANNUAL_LOW_R17,estimated,2019-07-29 00:00:00,2019-07-26 00:00:00,2019-08-09 00:00:00,62.46,45.224000000000004,23.068,0.67084,False
2019-07,FUEL_ANNUAL_HIGH_R17,estimated,2019-07-29 00:00:00,2019-07-26 00:00:00,2019-08-09 00:00:00,62.46,67.836,23.068,0.67084,False
2019-08,FUEL_SPOT_ECM_R17,estimated,2019-09-02 00:00:00,2019-08-26 00:00:00,2019-09-09 00:00:00,58.64,58.64,23.431,0.67084,False
2019-08,FUEL_ANNUAL_R17,estimated,2019-09-02 00:00:00,2019-08-26 00:00:00,2019-09-09 00:00:00,58.64,58.73,23.431,0.67084,False
