as_of_utc,target,model,mm_forecast,native_h0,h0_exante,h0_actual,h0_method,mm_actual,yy_actual,yy_conditional,status,converged,fallback_used,unemployment_end,unemployment_adjustments,fx_end,headline_n,origin,h,origin_status,contribution_core,contribution_food,contribution_administered,contribution_alcohol_tobacco,contribution_fuel,contribution_wedge,value_core,value_food,value_administered,value_alcohol_tobacco,value_fuel,value_wedge,weight_food,weight_fuel,weight_alc,weight_administered,weight_core,legacy_source_fallback_used,legacy_source_origin_status,legacy_source_converged,fuel_fallback_used,energy_scenario_status,yy_exante,cumulative_log_forecast,cumulative_log_actual
2021-01-12T22:59:00+00:00,2021-09,FUEL_ANNUAL_R17,-0.24556206597488517,,0.1743986297500019,-0.1784121320249632,HARD_BASE,0.1706484641638139,4.915102770330665,,research_estimated,True,False,2020-11,sa,2020-12,358,2020-12,9,research_estimated,-0.25043621606260713,-0.0042124219307196255,0.015307903498289597,0.034671640243906884,0.0031415874191123867,-0.044034559142867295,-0.4565657253607559,-0.02377558159293956,0.1,0.39864767266375817,0.0917203330017417,-0.044034559142867295,0.177174296,0.03425181,0.086973141,0.15307903498289596,0.548521718017104,False,estimated,True,False,estimated,2.4624008339942933,2.079754208385299,4.798129207611665
2021-01-12T22:59:00+00:00,2021-10,FUEL_ANNUAL_R17,0.3367555830867086,,0.1743986297500019,-0.1784121320249632,HARD_BASE,1.0221465076660996,5.798394290811807,,research_estimated,True,False,2020-11,sa,2020-12,358,2020-12,10,research_estimated,0.2522488484129767,0.08715821245581627,0.0,-0.006141605437219251,0.0025954122564432434,0.000894715398691665,0.45987030253761263,0.4919348597598845,0.0,-0.07061496648970342,0.07577445561105364,0.000894715398691665,0.177174296,0.03425181,0.086973141,0.15307903498289596,0.548521718017104,False,estimated,True,False,estimated,2.6240277282802804,2.415944039636438,5.815087124574566
2021-01-12T22:59:00+00:00,2021-11,FUEL_ANNUAL_R17,0.07046529657344086,,0.1743986297500019,-0.1784121320249632,HARD_BASE,0.1686340640809414,5.976806422836781,,research_estimated,True,False,2020-11,sa,2020-12,358,2020-12,11,research_estimated,0.009974648649936045,0.04326497292343175,0.0,-7.623385174710076e-05,0.0028002498542323367,0.014501658997587819,0.01818460112389755,0.24419441138025885,0.0,-0.0008765217729356326,0.0817547993589926,0.014501658997587819,0.177174296,0.03425181,0.086973141,0.15307903498289596,0.548521718017104,False,estimated,True,False,estimated,2.6963420537746243,2.48638452107646,5.983579161066511
2021-01-12T22:59:00+00:00,2021-12,FUEL_ANNUAL_R17,0.15081815674373597,,0.1743986297500019,-0.1784121320249632,HARD_BASE,0.4208754208754106,6.613047363717604,,research_estimated,True,False,2020-11,sa,2020-12,358,2020-12,12,research_estimated,0.11980742422750129,0.08184340854416475,0.0,-0.04364607622873131,0.0027323873694778573,-0.009918987168676601,0.2184187431276248,0.4619372583490595,0.0,-0.5018339653701975,0.07977351764703405,-0.009918987168676601,0.177174296,0.03425181,0.086973141,0.15307903498289596,0.548521718017104,False,estimated,True,False,estimated,2.6721679298990044,2.637089061459899,6.4035713785990875
2021-01-12T22:59:00+00:00,2020-12,FUEL_ANNUAL_LOW_R17,0.1743986297500019,,0.1743986297500019,-0.1784121320249632,HARD_BASE,-0.1784121320249632,2.285191956124307,,research_estimated,True,False,2020-11,sa,2020-12,358,2020-12,0,research_estimated,,,,,,,,,,,,,,,,,,False,estimated,True,False,estimated,2.646710113299568,0.0,0.0
2021-01-12T22:59:00+00:00,2021-01,FUEL_ANNUAL_LOW_R17,0.9630677332320634,,0.1743986297500019,-0.1784121320249632,HARD_BASE,1.3404825737265424,2.162162162162171,,research_estimated,True,False,2020-11,sa,2020-12,358,2020-12,1,research_estimated,0.22793069856858347,0.23723143487913811,0.21431064897605434,0.2396730999767704,0.04361142000964005,0.0003104308218769142,0.4155363244185641,1.3389720757188057,1.4,2.7557139735446645,1.2732588441206478,0.0003104308218769142,0.177174296,0.03425181,0.086973141,0.15307903498289596,0.548521718017104,False,estimated,True,False,estimated,2.141425764542143,0.9584597973447788,1.3315775975772155
2021-01-12T22:59:00+00:00,2021-02,FUEL_ANNUAL_LOW_R17,0.2976953576663484,,0.1743986297500019,-0.1784121320249632,HARD_BASE,0.1763668430335041,2.066486972147356,,research_estimated,True,False,2020-11,sa,2020-12,358,2020-12,2,research_estimated,0.2038202576224572,0.0519386653152821,0.015307903498289597,-0.03267740555432919,0.031797425533607857,0.027508511251040823,0.37158101662640397,0.2931501153828888,0.1,-0.37571835601900583,0.9283429265083468,0.027508511251040823,0.177174296,0.03425181,0.086973141,0.15307903498289596,0.548521718017104,False,estimated,True,False,estimated,2.1693626347709984,1.2557129198395756,1.507789096917138
2021-01-12T22:59:00+00:00,2021-03,FUEL_ANNUAL_LOW_R17,0.05360615655971354,,0.1743986297500019,-0.1784121320249632,HARD_BASE,0.1760563380281743,2.33812949640288,,research_estimated,True,False,2020-11,sa,2020-12,358,2020-12,3,research_estimated,0.0028016130381192266,0.005240282251929176,0.015307903498289597,0.0599664862681892,0.012825071992809751,-0.04253520048962341,0.005107569939522188,0.02957698927122688,0.1,0.6894828170939485,0.3744348690714374,-0.04253520048962341,0.177174296,0.03425181,0.086973141,0.15307903498289596,0.548521718017104,False,estimated,True,False,estimated,2.316059879253187,1.309304713431911,1.6836906374351004
2021-01-12T22:59:00+00:00,2021-04,FUEL_ANNUAL_LOW_R17,0.22194557853358496,,0.1743986297500019,-0.1784121320249632,HARD_BASE,0.5272407732864748,3.0630630630630717,,research_estimated,True,False,2020-11,sa,2020-12,358,2020-12,4,research_estimated,0.2394228425337458,-0.030647296826834744,0.015307903498289597,-0.001433095777254457,-0.0002901392104711869,-0.0004146356838900638,0.43648744374107007,-0.17297823396930412,0.1,-0.01647745224303739,-0.008470770171596389,-0.0004146356838900638,0.177174296,0.03425181,0.086973141,0.15307903498289596,0.548521718017104,False,estimated,True,False,estimated,2.727908275240432,1.53100435659424,2.2095463627818055
2021-01-12T22:59:00+00:00,2021-05,FUEL_ANNUAL_LOW_R17,0.27294598358459293,,0.1743986297500019,-0.1784121320249632,HARD_BASE,0.1748251748251661,2.872531418312392,,research_estimated,True,False,2020-11,sa,2020-12,358,2020-12,5,research_estimated,0.10504290922997651,0.12030172733974655,0.015307903498289597,0.07202487793698999,-0.007074472146811499,-0.03265696227359824,0.19150182350063497,0.6790021467885304,0.1,0.8281278232436148,-0.20654301617378756,-0.03265696227359824,0.177174296,0.03425181,0.086973141,0.15307903498289596,0.548521718017104,False,estimated,True,False,estimated,2.638431752367117,1.8035785190559377,2.3842188962759634
