event,source_quantity_known_from,prior_poze_assumption,annual_mwh,supplier_fixed_czk,commodity_reset_share,distribution_assumption_czk_mwh,previous_bill_czk,current_bill_czk,bill_change_pct,national_candidate_eligible,reason
JAN2026_ILLUSTRATION,2025-12-30T23:59:59Z,2024 capacity schedule carried forward;495volume cap binds every illustrated quantity;2025tariff not certified,1.0,0.0,0.0,1500.0,547.0208333333333,497.1083333333333,-9.124423963133632,False,"Assumed exposure, quantity, distribution and fee; no national CPI weight or baseline subpath"
JAN2026_ILLUSTRATION,2025-12-30T23:59:59Z,2024 capacity schedule carried forward;495volume cap binds every illustrated quantity;2025tariff not certified,1.0,0.0,0.5,1500.0,547.0208333333333,485.00833333333327,-11.336405529953918,False,"Assumed exposure, quantity, distribution and fee; no national CPI weight or baseline subpath"
JAN2026_ILLUSTRATION,2025-12-30T23:59:59Z,2024 capacity schedule carried forward;495volume cap binds every illustrated quantity;2025tariff not certified,1.0,0.0,1.0,1500.0,547.0208333333333,472.9083333333333,-13.548387096774183,False,"Assumed exposure, quantity, distribution and fee; no national CPI weight or baseline subpath"
JAN2026_ILLUSTRATION,2025-12-30T23:59:59Z,2024 capacity schedule carried forward;495volume cap binds every illustrated quantity;2025tariff not certified,1.0,100.0,0.0,1500.0,668.0208333333333,618.1083333333333,-7.471698113207537,False,"Assumed exposure, quantity, distribution and fee; no national CPI weight or baseline subpath"
JAN2026_ILLUSTRATION,2025-12-30T23:59:59Z,2024 capacity schedule carried forward;495volume cap binds every illustrated quantity;2025tariff not certified,1.0,100.0,0.5,1500.0,668.0208333333333,606.0083333333333,-9.28301886792452,False,"Assumed exposure, quantity, distribution and fee; no national CPI weight or baseline subpath"
JAN2026_ILLUSTRATION,2025-12-30T23:59:59Z,2024 capacity schedule carried forward;495volume cap binds every illustrated quantity;2025tariff not certified,1.0,100.0,1.0,1500.0,668.0208333333333,593.9083333333333,-11.094339622641503,False,"Assumed exposure, quantity, distribution and fee; no national CPI weight or baseline subpath"
JAN2026_ILLUSTRATION,2025-12-30T23:59:59Z,2024 capacity schedule carried forward;495volume cap binds every illustrated quantity;2025tariff not certified,1.0,200.0,0.0,1500.0,789.0208333333333,739.1083333333332,-6.325878594249201,False,"Assumed exposure, quantity, distribution and fee; no national CPI weight or baseline subpath"
JAN2026_ILLUSTRATION,2025-12-30T23:59:59Z,2024 capacity schedule carried forward;495volume cap binds every illustrated quantity;2025tariff not certified,1.0,200.0,0.5,1500.0,789.0208333333333,727.0083333333332,-7.8594249201278,False,"Assumed exposure, quantity, distribution and fee; no national CPI weight or baseline subpath"
JAN2026_ILLUSTRATION,2025-12-30T23:59:59Z,2024 capacity schedule carried forward;495volume cap binds every illustrated quantity;2025tariff not certified,1.0,200.0,1.0,1500.0,789.0208333333333,714.9083333333332,-9.392971246006399,False,"Assumed exposure, quantity, distribution and fee; no national CPI weight or baseline subpath"
JAN2026_ILLUSTRATION,2025-12-30T23:59:59Z,2024 capacity schedule carried forward;495volume cap binds every illustrated quantity;2025tariff not certified,3.5,0.0,0.0,1500.0,1914.5729166666667,1739.8791666666666,-9.124423963133644,False,"Assumed exposure, quantity, distribution and fee; no national CPI weight or baseline subpath"
JAN2026_ILLUSTRATION,2025-12-30T23:59:59Z,2024 capacity schedule carried forward;495volume cap binds every illustrated quantity;2025tariff not certified,3.5,0.0,0.5,1500.0,1914.5729166666667,1697.5291666666667,-11.336405529953918,False,"Assumed exposure, quantity, distribution and fee; no national CPI weight or baseline subpath"
JAN2026_ILLUSTRATION,2025-12-30T23:59:59Z,2024 capacity schedule carried forward;495volume cap binds every illustrated quantity;2025tariff not certified,3.5,0.0,1.0,1500.0,1914.5729166666667,1655.1791666666668,-13.548387096774196,False,"Assumed exposure, quantity, distribution and fee; no national CPI weight or baseline subpath"
JAN2026_ILLUSTRATION,2025-12-30T23:59:59Z,2024 capacity schedule carried forward;495volume cap binds every illustrated quantity;2025tariff not certified,3.5,100.0,0.0,1500.0,2035.5729166666667,1860.8791666666666,-8.582043343653256,False,"Assumed exposure, quantity, distribution and fee; no national CPI weight or baseline subpath"
