threshold,clock,report_date,origin,as_of_utc,model,quarter,actual_turn,model_turn,cnb_turn,model_hit,cnb_hit,model_false_call,fully_future,actual_before,actual_centre,actual_after,model_before,model_centre,model_after,cnb_before,cnb_centre,cnb_after
0.25,cutoff,2022-02-10,2021-12,2022-01-11 22:59:00+00:00,FOOD_ASYMMETRIC_R17,2022Q2,0,1,0,False,False,True,True,11.23658150891361,15.77230851609123,17.578003612072624,10.712596586132968,11.721733076091676,11.378409138455265,9.63663198795535,9.50510416,8.17038043
0.25,cutoff,2022-02-10,2021-12,2022-01-11 22:59:00+00:00,FOOD_ASYMMETRIC_R17,2022Q3,1,0,0,False,False,False,True,15.77230851609123,17.578003612072624,15.699043922150208,11.721733076091676,11.378409138455265,11.177529631629328,9.50510416,8.17038043,6.62746481
0.25,cutoff,2022-02-10,2021-12,2022-01-11 22:59:00+00:00,FOOD_HALF_CORRECTION_R17,2022Q2,0,1,0,False,False,True,True,11.23658150891361,15.77230851609123,17.578003612072624,10.673417536670987,11.567919680791332,11.161944627050064,9.63663198795535,9.50510416,8.17038043
0.25,cutoff,2022-02-10,2021-12,2022-01-11 22:59:00+00:00,FOOD_HALF_CORRECTION_R17,2022Q3,1,0,0,False,False,False,True,15.77230851609123,17.578003612072624,15.699043922150208,11.567919680791332,11.161944627050064,10.845767405953003,9.50510416,8.17038043,6.62746481
0.25,cutoff,2022-02-10,2021-12,2022-01-11 22:59:00+00:00,FOOD_OWN_R17,2022Q2,0,1,0,False,False,True,True,11.23658150891361,15.77230851609123,17.578003612072624,10.691768239397076,11.677009665054191,11.322078299666066,9.63663198795535,9.50510416,8.17038043
0.25,cutoff,2022-02-10,2021-12,2022-01-11 22:59:00+00:00,FOOD_OWN_R17,2022Q3,1,0,0,False,False,False,True,15.77230851609123,17.578003612072624,15.699043922150208,11.677009665054191,11.322078299666066,11.110249997771191,9.50510416,8.17038043,6.62746481
0.25,cutoff,2022-02-10,2021-12,2022-01-11 22:59:00+00:00,FOOD_PERSISTENCE_R17,2022Q2,0,1,0,False,False,True,True,11.23658150891361,15.77230851609123,17.578003612072624,10.634290137026598,11.414571612932258,10.946225556713712,9.63663198795535,9.50510416,8.17038043
0.25,cutoff,2022-02-10,2021-12,2022-01-11 22:59:00+00:00,FOOD_PERSISTENCE_R17,2022Q3,1,0,0,False,False,False,True,15.77230851609123,17.578003612072624,15.699043922150208,11.414571612932258,10.946225556713712,10.51556131769569,9.50510416,8.17038043,6.62746481
0.25,cutoff,2022-02-10,2021-12,2022-01-11 22:59:00+00:00,FOOD_SEASONAL_R17,2022Q2,0,1,0,False,False,True,True,11.23658150891361,15.77230851609123,17.578003612072624,10.741622798552802,11.6865630602058,11.379850508628335,9.63663198795535,9.50510416,8.17038043
0.25,cutoff,2022-02-10,2021-12,2022-01-11 22:59:00+00:00,FOOD_SEASONAL_R17,2022Q3,1,0,0,False,False,False,True,15.77230851609123,17.578003612072624,15.699043922150208,11.6865630602058,11.379850508628335,11.110856995188314,9.50510416,8.17038043,6.62746481
0.25,cutoff,2022-02-10,2021-12,2022-01-11 22:59:00+00:00,FOOD_SYMMETRIC_R17,2022Q2,0,1,0,False,False,True,True,11.23658150891361,15.77230851609123,17.578003612072624,10.702804303872206,11.687380282500278,11.319486195503712,9.63663198795535,9.50510416,8.17038043
0.25,cutoff,2022-02-10,2021-12,2022-01-11 22:59:00+00:00,FOOD_SYMMETRIC_R17,2022Q3,1,0,0,False,False,False,True,15.77230851609123,17.578003612072624,15.699043922150208,11.687380282500278,11.319486195503712,11.09673991317994,9.50510416,8.17038043,6.62746481
0.25,cutoff,2022-02-10,2021-12,2022-01-11 22:59:00+00:00,FUEL_ANNUAL_R17,2022Q2,0,1,0,False,False,True,True,11.23658150891361,15.77230851609123,17.578003612072624,10.697587799984648,11.533025246400506,11.20127485516796,9.63663198795535,9.50510416,8.17038043
0.25,cutoff,2022-02-10,2021-12,2022-01-11 22:59:00+00:00,FUEL_ANNUAL_R17,2022Q3,1,0,0,False,False,False,True,15.77230851609123,17.578003612072624,15.699043922150208,11.533025246400506,11.20127485516796,10.892301273519749,9.50510416,8.17038043,6.62746481
0.25,cutoff,2022-02-10,2021-12,2022-01-11 22:59:00+00:00,FUEL_SPOT_ECM_R17,2022Q2,0,1,0,False,False,True,True,11.23658150891361,15.77230851609123,17.578003612072624,10.699578146428545,11.54305571858042,11.220923041869638,9.63663198795535,9.50510416,8.17038043
0.25,cutoff,2022-02-10,2021-12,2022-01-11 22:59:00+00:00,FUEL_SPOT_ECM_R17,2022Q3,1,0,0,False,False,False,True,15.77230851609123,17.578003612072624,15.699043922150208,11.54305571858042,11.220923041869638,10.92219214255781,9.50510416,8.17038043,6.62746481
0.25,cutoff,2022-02-10,2021-12,2022-01-11 22:59:00+00:00,INDEPENDENT_BRIDGE,2022Q2,0,1,0,False,False,True,True,11.23658150891361,15.77230851609123,17.578003612072624,11.177362264313452,12.086840018543764,11.082037364712363,9.63663198795535,9.50510416,8.17038043
0.25,cutoff,2022-02-10,2021-12,2022-01-11 22:59:00+00:00,INDEPENDENT_BRIDGE,2022Q3,1,0,0,False,False,False,True,15.77230851609123,17.578003612072624,15.699043922150208,12.086840018543764,11.082037364712363,10.124566290262727,9.50510416,8.17038043,6.62746481
0.25,cutoff,2022-02-10,2021-12,2022-01-11 22:59:00+00:00,MONTHLY_AR_CORE_R17,2022Q2,0,1,0,False,False,True,True,11.23658150891361,15.77230851609123,17.578003612072624,10.77783537277652,11.716041264935164,11.04067115334234,9.63663198795535,9.50510416,8.17038043
0.25,cutoff,2022-02-10,2021-12,2022-01-11 22:59:00+00:00,MONTHLY_AR_CORE_R17,2022Q3,1,0,0,False,False,False,True,15.77230851609123,17.578003612072624,15.699043922150208,11.716041264935164,11.04067115334234,10.57032329660358,9.50510416,8.17038043,6.62746481
0.25,cutoff,2022-02-10,2021-12,2022-01-11 22:59:00+00:00,MONTHLY_BOTH_CORE_R17,2022Q2,0,1,0,False,False,True,True,11.23658150891361,15.77230851609123,17.578003612072624,10.78495147303348,11.714857323429795,11.127913010236064,9.63663198795535,9.50510416,8.17038043
0.25,cutoff,2022-02-10,2021-12,2022-01-11 22:59:00+00:00,MONTHLY_BOTH_CORE_R17,2022Q3,1,0,0,False,False,False,True,15.77230851609123,17.578003612072624,15.699043922150208,11.714857323429795,11.127913010236064,10.647735551132508,9.50510416,8.17038043,6.62746481
0.25,cutoff,2022-02-10,2021-12,2022-01-11 22:59:00+00:00,MONTHLY_DOMESTIC_CORE_R17,2022Q2,0,1,0,False,False,True,True,11.23658150891361,15.77230851609123,17.578003612072624,10.766577384650866,11.677752394232046,11.094444308356715,9.63663198795535,9.50510416,8.17038043
0.25,cutoff,2022-02-10,2021-12,2022-01-11 22:59:00+00:00,MONTHLY_DOMESTIC_CORE_R17,2022Q3,1,0,0,False,False,False,True,15.77230851609123,17.578003612072624,15.699043922150208,11.677752394232046,11.094444308356715,10.67326420044384,9.50510416,8.17038043,6.62746481
0.25,cutoff,2022-02-10,2021-12,2022-01-11 22:59:00+00:00,MONTHLY_IMPORTED_CORE_R17,2022Q2,0,1,0,False,False,True,True,11.23658150891361,15.77230851609123,17.578003612072624,10.783523452478,11.722254984080203,11.12389463292069,9.63663198795535,9.50510416,8.17038043
0.25,cutoff,2022-02-10,2021-12,2022-01-11 22:59:00+00:00,MONTHLY_IMPORTED_CORE_R17,2022Q3,1,0,0,False,False,False,True,15.77230851609123,17.578003612072624,15.699043922150208,11.722254984080203,11.12389463292069,10.667905855489764,9.50510416,8.17038043,6.62746481
0.25,cutoff,2022-02-10,2021-12,2022-01-11 22:59:00+00:00,MONTHLY_OWN_CORE_R17,2022Q2,0,1,0,False,False,True,True,11.23658150891361,15.77230851609123,17.578003612072624,10.7669497911293,11.681526922689224,11.11524683250209,9.63663198795535,9.50510416,8.17038043
0.25,cutoff,2022-02-10,2021-12,2022-01-11 22:59:00+00:00,MONTHLY_OWN_CORE_R17,2022Q3,1,0,0,False,False,False,True,15.77230851609123,17.578003612072624,15.699043922150208,11.681526922689224,11.11524683250209,10.707905508655154,9.50510416,8.17038043,6.62746481
0.25,cutoff,2022-02-10,2021-12,2022-01-11 22:59:00+00:00,PATH_COMPONENT_HALF_R17,2022Q2,0,1,0,False,False,True,True,11.23658150891361,15.77230851609123,17.578003612072624,10.768399397994765,11.805841103880484,11.548663783286054,9.63663198795535,9.50510416,8.17038043
0.25,cutoff,2022-02-10,2021-12,2022-01-11 22:59:00+00:00,PATH_COMPONENT_HALF_R17,2022Q3,1,0,0,False,False,False,True,15.77230851609123,17.578003612072624,15.699043922150208,11.805841103880484,11.548663783286054,11.43707936443874,9.50510416,8.17038043,6.62746481
0.25,cutoff,2022-02-10,2021-12,2022-01-11 22:59:00+00:00,PATH_COMPONENT_SELECT_R17,2022Q2,0,1,0,False,False,True,True,11.23658150891361,15.77230851609123,17.578003612072624,10.79035743221643,11.766130674099614,11.507533927035754,9.63663198795535,9.50510416,8.17038043
0.25,cutoff,2022-02-10,2021-12,2022-01-11 22:59:00+00:00,PATH_COMPONENT_SELECT_R17,2022Q3,1,0,0,False,False,False,True,15.77230851609123,17.578003612072624,15.699043922150208,11.766130674099614,11.507533927035754,11.23918381980794,9.50510416,8.17038043,6.62746481
0.25,cutoff,2022-02-10,2021-12,2022-01-11 22:59:00+00:00,PATH_FAST_CURRENT_HALF_R17,2022Q2,0,1,0,False,False,True,True,11.23658150891361,15.77230851609123,17.578003612072624,10.55275254024876,11.190434350949522,10.62013978775483,9.63663198795535,9.50510416,8.17038043
0.25,cutoff,2022-02-10,2021-12,2022-01-11 22:59:00+00:00,PATH_FAST_CURRENT_HALF_R17,2022Q3,1,0,0,False,False,False,True,15.77230851609123,17.578003612072624,15.699043922150208,11.190434350949522,10.62013978775483,10.053369785413317,9.50510416,8.17038043,6.62746481
0.25,cutoff,2022-02-10,2021-12,2022-01-11 22:59:00+00:00,PATH_POOL_R17,2022Q2,0,1,0,False,False,True,True,11.23658150891361,15.77230851609123,17.578003612072624,10.67778835510596,11.512165029389484,11.146741227779748,9.63663198795535,9.50510416,8.17038043
0.25,cutoff,2022-02-10,2021-12,2022-01-11 22:59:00+00:00,PATH_POOL_R17,2022Q3,1,0,0,False,False,False,True,15.77230851609123,17.578003612072624,15.699043922150208,11.512165029389484,11.146741227779748,10.79714914944097,9.50510416,8.17038043,6.62746481
