model,frame,n,rmse,mae,consensus_mae,consensus_rmse,closer,direction,material_win,material_loss,alerts,big,alerted_big,false_alarm,directional_big_hit,material_big_hit,median_capture,overshoot_over_2,total_gain
CATEGORY_FULL_CORRECTION,all,90,0.41097687235054264,0.2587360598315013,0.25333333333333335,0.3815174380753199,42,47,11,9,22,23,9,13,7,6,0.18530155017677624,0,-0.48624538483511204
CATEGORY_FULL_CORRECTION,2024+,31,0.2046530758500427,0.16485971374689432,0.18709677419354834,0.2409657986707497,18,18,3,3,4,5,2,2,2,1,0.4624237157404898,0,0.6893488738462751
CATEGORY_FULL_CORRECTION,flash2025+,19,0.17063379352916297,0.14232665198463038,0.15789473684210525,0.19466570535691505,11,11,1,2,2,1,0,2,0,0,0.18530155017677624,0,0.2957936122920226
CATEGORY_FULL_CORRECTION,big,23,0.6910722431509115,0.5047225049497657,0.5782608695652175,0.6950132935857196,13,13,9,2,9,23,9,0,7,6,0.18530155017677624,0,1.6913823861553898
CATEGORY_FULL_CORRECTION,big_ex_jan,19,0.7335155822987504,0.5258666772892852,0.5947368421052632,0.7287335806582179,11,11,8,2,7,19,7,0,5,5,0.18530155017677624,0,1.3085331315035824
CATEGORY_FULL_CORRECTION,alerts,22,0.48727125651440645,0.3471611401349305,0.3272727272727273,0.4,11,16,7,6,22,9,9,13,7,6,0.5703746488273641,0,-0.4375450829684697
CATEGORY_FULL_CORRECTION,big_2024+,5,0.33872898985183747,0.32341878407176167,0.45999999999999996,0.4626013402488151,5,5,2,0,2,5,2,0,2,1,0.4624237157404898,0,0.6829060796411914
CATEGORY_HALF_CORRECTION,all,90,0.4094362218546319,0.25664966324950805,0.25333333333333335,0.3815174380753199,41,46,12,7,23,23,9,14,7,6,0.17700530588630375,0,-0.2984696924557212
CATEGORY_HALF_CORRECTION,2024+,31,0.2005802676046111,0.15982474845922093,0.18709677419354834,0.2409657986707497,18,18,3,1,4,5,2,2,2,1,0.395427646444962,0,0.8454327977641524
CATEGORY_HALF_CORRECTION,flash2025+,19,0.16477774007625637,0.13375458969380924,0.15789473684210525,0.19466570535691505,11,11,1,1,2,1,0,2,0,0,0.17700530588630375,0,0.4586627958176245
CATEGORY_HALF_CORRECTION,big,23,0.6925111930340958,0.5083552083822581,0.5782608695652175,0.6950132935857196,13,13,9,2,9,23,9,0,7,6,0.17700530588630375,0,1.6078302072080657
CATEGORY_HALF_CORRECTION,big_ex_jan,19,0.7356089339665649,0.530972921069341,0.5947368421052632,0.7287335806582179,11,11,8,2,7,19,7,0,5,5,0.17700530588630375,0,1.21151449968252
CATEGORY_HALF_CORRECTION,alerts,23,0.4753038942130647,0.3306551895398383,0.32608695652173914,0.3961773867084421,12,17,8,6,23,9,9,14,7,6,0.5688411716501993,0,-0.10506935941628007
CATEGORY_HALF_CORRECTION,big_2024+,5,0.33819381439594715,0.32587879442277823,0.45999999999999996,0.4626013402488151,5,5,2,0,2,5,2,0,2,1,0.395427646444962,0,0.6706060278861089
CATEGORY_RAW,all,90,0.4089469924635298,0.256504568666051,0.25333333333333335,0.3815174380753199,43,47,12,7,21,23,9,12,7,6,0.1687090615958315,0,-0.2854111799445858
CATEGORY_RAW,2024+,31,0.19779760195832014,0.15646370408853486,0.18709677419354834,0.2409657986707497,19,19,3,1,4,5,2,2,2,1,0.328431577149434,0,0.9496251732554195
CATEGORY_RAW,flash2025+,19,0.1609597107039151,0.12737704784360535,0.15789473684210525,0.19466570535691505,12,12,2,1,2,1,0,2,0,0,0.1687090615958315,0,0.5798360909714981
CATEGORY_RAW,big,23,0.6942075209903464,0.5119879118147503,0.5782608695652175,0.6950132935857196,13,13,8,2,9,23,9,0,7,6,0.1687090615958315,0,1.5242780282607409
CATEGORY_RAW,big_ex_jan,19,0.7379798916287746,0.536079164849397,0.5947368421052632,0.7287335806582179,11,11,7,2,7,19,7,0,5,5,0.1687090615958315,0,1.1144958678614565
CATEGORY_RAW,alerts,21,0.4947428248512673,0.3445027981207057,0.3523809523809524,0.4140393356054126,12,16,9,5,21,9,9,12,7,6,0.5673076944730346,0,0.16544123946517983
CATEGORY_RAW,big_2024+,5,0.33821250466526276,0.32833880477379485,0.45999999999999996,0.4626013402488151,5,5,1,0,2,5,2,0,2,1,0.328431577149434,0,0.6583059761310257
CONSENSUS,all,90,0.3815174380753199,0.25333333333333335,0.25333333333333335,0.3815174380753199,0,0,0,0,0,23,0,0,0,0,0.0,0,0.0
CONSENSUS,2024+,31,0.2409657986707497,0.18709677419354834,0.18709677419354834,0.2409657986707497,0,0,0,0,0,5,0,0,0,0,0.0,0,0.0
CONSENSUS,flash2025+,19,0.19466570535691505,0.15789473684210525,0.15789473684210525,0.19466570535691505,0,0,0,0,0,1,0,0,0,0,0.0,0,0.0
CONSENSUS,big,23,0.6950132935857196,0.5782608695652175,0.5782608695652175,0.6950132935857196,0,0,0,0,0,23,0,0,0,0,0.0,0,0.0
CONSENSUS,big_ex_jan,19,0.7287335806582179,0.5947368421052632,0.5947368421052632,0.7287335806582179,0,0,0,0,0,19,0,0,0,0,0.0,0,0.0
CONSENSUS,alerts,0,,,,,0,0,0,0,0,0,0,0,0,0,,0,0.0
CONSENSUS,big_2024+,5,0.4626013402488151,0.45999999999999996,0.45999999999999996,0.4626013402488151,0,0,0,0,0,5,0,0,0,0,0.0,0,0.0
HARD_BASE,all,90,0.41795154739724044,0.2625157341641442,0.25333333333333335,0.3815174380753199,45,50,12,15,20,23,7,13,6,5,0.23940436866349502,1,-0.8264160747729765
HARD_BASE,2024+,31,0.21897776134072022,0.1690393240182861,0.18709677419354834,0.2409657986707497,19,20,4,2,4,5,2,2,2,1,0.30086717579047284,1,0.5597809554331286
HARD_BASE,flash2025+,19,0.17300164605167864,0.13929634726858153,0.15789473684210525,0.19466570535691505,12,12,2,1,1,1,0,1,0,0,0.21521869774572253,0,0.35336940189695065
HARD_BASE,big,23,0.6985702092561592,0.48458284194899887,0.5782608695652175,0.6950132935857196,16,17,7,3,7,23,7,0,6,5,0.23940436866349502,1,2.154594635173027
HARD_BASE,big_ex_jan,19,0.7365562717606702,0.49869034454316896,0.5947368421052632,0.7287335806582179,15,15,6,3,5,19,5,0,4,4,0.23940436866349502,0,1.8248834536797927
HARD_BASE,alerts,20,0.6999864621564055,0.4090825368404247,0.37,0.6058052492344383,9,14,7,8,20,7,7,13,6,5,0.881312335693171,1,-0.7816507368084931
HARD_BASE,big_2024+,5,0.36416292156104274,0.3400573546583541,0.45999999999999996,0.4626013402488151,4,5,2,0,2,5,2,0,2,1,0.30086717579047284,1,0.5997132267082292
HARD_FULL,all,90,0.4139308470027306,0.2696268338876436,0.25333333333333335,0.3815174380753199,42,47,13,14,23,23,7,16,7,6,0.22050068631427075,1,-1.4664150498879214
HARD_FULL,2024+,31,0.22531658006178432,0.17263970528256042,0.18709677419354834,0.2409657986707497,17,18,4,3,5,5,2,3,2,1,0.41023930216293647,1,0.44816913624062726
