threshold,clock,report_date,quarter,predicted,actual,hit,fully_future
0.25,report,2022-02-10,2022Q2,0,0,False,True
0.25,report,2022-02-10,2022Q3,0,1,False,True
0.25,report,2022-02-10,2022Q4,0,-1,False,True
0.25,report,2022-02-10,2023Q1,0,1,False,True
0.25,report,2022-02-10,2023Q2,0,0,False,True
0.25,report,2022-02-10,2023Q3,0,0,False,True
0.25,cutoff,2022-02-10,2022Q2,0,0,False,True
0.25,cutoff,2022-02-10,2022Q3,0,1,False,True
0.25,cutoff,2022-02-10,2022Q4,0,-1,False,True
0.25,cutoff,2022-02-10,2023Q1,0,1,False,True
0.25,cutoff,2022-02-10,2023Q2,0,0,False,True
0.25,cutoff,2022-02-10,2023Q3,0,0,False,True
0.25,report,2022-05-12,2022Q2,1,0,False,False
0.25,report,2022-05-12,2022Q3,0,1,False,True
0.25,report,2022-05-12,2022Q4,0,-1,False,True
0.25,report,2022-05-12,2023Q1,0,1,False,True
0.25,report,2022-05-12,2023Q2,0,0,False,True
0.25,report,2022-05-12,2023Q3,0,0,False,True
0.25,cutoff,2022-05-12,2022Q2,1,0,False,False
0.25,cutoff,2022-05-12,2022Q3,0,1,False,True
0.25,cutoff,2022-05-12,2022Q4,0,-1,False,True
0.25,cutoff,2022-05-12,2023Q1,0,1,False,True
0.25,cutoff,2022-05-12,2023Q2,0,0,False,True
0.25,cutoff,2022-05-12,2023Q3,0,0,False,True
0.25,report,2022-08-11,2022Q3,0,1,False,False
0.25,report,2022-08-11,2022Q4,0,-1,False,True
0.25,report,2022-08-11,2023Q1,0,1,False,True
0.25,report,2022-08-11,2023Q2,0,0,False,True
0.25,report,2022-08-11,2023Q3,0,0,False,True
0.25,report,2022-08-11,2023Q4,0,0,False,True
0.25,report,2022-08-11,2024Q1,0,-1,False,True
0.25,report,2022-08-11,2024Q2,0,0,False,True
0.25,report,2022-08-11,2024Q3,0,0,False,True
0.25,cutoff,2022-08-11,2022Q3,0,1,False,False
0.25,cutoff,2022-08-11,2022Q4,0,-1,False,True
0.25,cutoff,2022-08-11,2023Q1,0,1,False,True
0.25,cutoff,2022-08-11,2023Q2,0,0,False,True
0.25,cutoff,2022-08-11,2023Q3,0,0,False,True
0.25,cutoff,2022-08-11,2023Q4,0,0,False,True
0.25,cutoff,2022-08-11,2024Q1,0,-1,False,True
0.25,cutoff,2022-08-11,2024Q2,0,0,False,True
0.25,cutoff,2022-08-11,2024Q3,0,0,False,True
0.25,report,2022-11-10,2022Q4,1,-1,False,False
0.25,report,2022-11-10,2023Q1,0,1,False,True
0.25,report,2022-11-10,2023Q2,0,0,False,True
0.25,report,2022-11-10,2023Q3,0,0,False,True
0.25,report,2022-11-10,2023Q4,0,0,False,True
0.25,report,2022-11-10,2024Q1,0,-1,False,True
0.25,report,2022-11-10,2024Q2,0,0,False,True
0.25,report,2022-11-10,2024Q3,0,0,False,True
0.25,cutoff,2022-11-10,2022Q4,1,-1,False,False
0.25,cutoff,2022-11-10,2023Q1,0,1,False,True
0.25,cutoff,2022-11-10,2023Q2,0,0,False,True
0.25,cutoff,2022-11-10,2023Q3,0,0,False,True
0.25,cutoff,2022-11-10,2023Q4,0,0,False,True
0.25,cutoff,2022-11-10,2024Q1,0,-1,False,True
0.25,cutoff,2022-11-10,2024Q2,0,0,False,True
0.25,cutoff,2022-11-10,2024Q3,0,0,False,True
0.25,report,2023-02-09,2023Q1,1,1,True,False
0.25,report,2023-02-09,2023Q2,0,0,False,True
0.25,report,2023-02-09,2023Q3,0,0,False,True
0.25,report,2023-02-09,2023Q4,0,0,False,True
0.25,report,2023-02-09,2024Q1,0,-1,False,True
0.25,report,2023-02-09,2024Q2,0,0,False,True
0.25,report,2023-02-09,2024Q3,0,0,False,True
0.25,cutoff,2023-02-09,2023Q1,1,1,True,False
0.25,cutoff,2023-02-09,2023Q2,0,0,False,True
0.25,cutoff,2023-02-09,2023Q3,0,0,False,True
0.25,cutoff,2023-02-09,2023Q4,0,0,False,True
0.25,cutoff,2023-02-09,2024Q1,0,-1,False,True
0.25,cutoff,2023-02-09,2024Q2,0,0,False,True
0.25,cutoff,2023-02-09,2024Q3,0,0,False,True
0.25,report,2023-05-11,2023Q2,0,0,False,False
0.25,report,2023-05-11,2023Q3,0,0,False,True
0.25,report,2023-05-11,2023Q4,0,0,False,True
0.25,report,2023-05-11,2024Q1,0,-1,False,True
0.25,report,2023-05-11,2024Q2,0,0,False,True
0.25,report,2023-05-11,2024Q3,0,0,False,True
0.25,cutoff,2023-05-11,2023Q2,0,0,False,False
0.25,cutoff,2023-05-11,2023Q3,0,0,False,True
0.25,cutoff,2023-05-11,2023Q4,0,0,False,True
0.25,cutoff,2023-05-11,2024Q1,0,-1,False,True
0.25,cutoff,2023-05-11,2024Q2,0,0,False,True
0.25,cutoff,2023-05-11,2024Q3,0,0,False,True
0.25,report,2023-08-10,2023Q3,0,0,False,False
0.25,report,2023-08-10,2023Q4,0,0,False,True
0.25,report,2023-08-10,2024Q1,0,-1,False,True
0.25,report,2023-08-10,2024Q2,0,0,False,True
0.25,report,2023-08-10,2024Q3,0,0,False,True
0.25,report,2023-08-10,2024Q4,0,0,False,True
0.25,report,2023-08-10,2025Q1,0,0,False,True
0.25,report,2023-08-10,2025Q2,0,0,False,True
0.25,report,2023-08-10,2025Q3,0,0,False,True
0.25,cutoff,2023-08-10,2023Q3,0,0,False,False
0.25,cutoff,2023-08-10,2023Q4,0,0,False,True
0.25,cutoff,2023-08-10,2024Q1,0,-1,False,True
0.25,cutoff,2023-08-10,2024Q2,0,0,False,True
0.25,cutoff,2023-08-10,2024Q3,0,0,False,True
0.25,cutoff,2023-08-10,2024Q4,0,0,False,True
0.25,cutoff,2023-08-10,2025Q1,0,0,False,True
0.25,cutoff,2023-08-10,2025Q2,0,0,False,True
0.25,cutoff,2023-08-10,2025Q3,0,0,False,True
0.25,report,2023-11-09,2023Q4,0,0,False,False
0.25,report,2023-11-09,2024Q1,0,-1,False,True
0.25,report,2023-11-09,2024Q2,0,0,False,True
0.25,report,2023-11-09,2024Q3,-1,0,False,True
0.25,report,2023-11-09,2024Q4,1,0,False,True
0.25,report,2023-11-09,2025Q1,0,0,False,True
0.25,report,2023-11-09,2025Q2,0,0,False,True
0.25,report,2023-11-09,2025Q3,0,0,False,True
0.25,cutoff,2023-11-09,2023Q4,0,0,False,False
0.25,cutoff,2023-11-09,2024Q1,0,-1,False,True
0.25,cutoff,2023-11-09,2024Q2,0,0,False,True
0.25,cutoff,2023-11-09,2024Q3,-1,0,False,True
0.25,cutoff,2023-11-09,2024Q4,1,0,False,True
0.25,cutoff,2023-11-09,2025Q1,0,0,False,True
0.25,cutoff,2023-11-09,2025Q2,0,0,False,True
0.25,cutoff,2023-11-09,2025Q3,0,0,False,True
0.25,report,2024-02-15,2024Q1,0,-1,False,False
0.25,report,2024-02-15,2024Q2,0,0,False,True
0.25,report,2024-02-15,2024Q3,-1,0,False,True
0.25,report,2024-02-15,2024Q4,1,0,False,True
0.25,report,2024-02-15,2025Q1,0,0,False,True
0.25,report,2024-02-15,2025Q2,0,0,False,True
0.25,report,2024-02-15,2025Q3,0,0,False,True
0.25,cutoff,2024-02-15,2024Q1,0,-1,False,False
0.25,cutoff,2024-02-15,2024Q2,0,0,False,True
0.25,cutoff,2024-02-15,2024Q3,-1,0,False,True
0.25,cutoff,2024-02-15,2024Q4,1,0,False,True
0.25,cutoff,2024-02-15,2025Q1,0,0,False,True
0.25,cutoff,2024-02-15,2025Q2,0,0,False,True
0.25,cutoff,2024-02-15,2025Q3,0,0,False,True
0.25,report,2024-05-09,2024Q2,1,0,False,False
0.25,report,2024-05-09,2024Q3,-1,0,False,True
0.25,report,2024-05-09,2024Q4,0,0,False,True
0.25,report,2024-05-09,2025Q1,0,0,False,True
0.25,report,2024-05-09,2025Q2,0,0,False,True
0.25,report,2024-05-09,2025Q3,0,0,False,True
0.25,cutoff,2024-05-09,2024Q2,1,0,False,False
0.25,cutoff,2024-05-09,2024Q3,-1,0,False,True
0.25,cutoff,2024-05-09,2024Q4,0,0,False,True
0.25,cutoff,2024-05-09,2025Q1,0,0,False,True
0.25,cutoff,2024-05-09,2025Q2,0,0,False,True
0.25,cutoff,2024-05-09,2025Q3,0,0,False,True
0.25,report,2024-08-08,2024Q3,-1,0,False,False
0.25,report,2024-08-08,2024Q4,0,0,False,True
0.25,report,2024-08-08,2025Q1,0,0,False,True
0.25,report,2024-08-08,2025Q2,0,0,False,True
0.25,report,2024-08-08,2025Q3,0,0,False,True
0.25,report,2024-08-08,2025Q4,0,0,False,True
0.25,report,2024-08-08,2026Q1,0,-1,False,True
0.25,cutoff,2024-08-08,2024Q3,-1,0,False,False
