threshold,clock,model,frame,n,actual_turns,calls,hits,false_calls,cnb_calls,cnb_hits,correct_model_cnb_not,distinct_actual_turns,distinct_model_hits
0.1,cutoff,FOOD_SEASONAL_R17,unfinished_or_future_quarter,31,20,10,4,6,6,5,2,10,2
0.1,cutoff,FOOD_SEASONAL_R17,fully_future_centre,31,20,10,4,6,6,5,2,10,2
0.1,cutoff,FOOD_SYMMETRIC_R17,unfinished_or_future_quarter,31,20,10,4,6,6,5,2,10,3
0.1,cutoff,FOOD_SYMMETRIC_R17,fully_future_centre,31,20,10,4,6,6,5,2,10,3
0.1,cutoff,FUEL_ANNUAL_R17,unfinished_or_future_quarter,31,20,13,7,6,6,5,4,10,4
0.1,cutoff,FUEL_ANNUAL_R17,fully_future_centre,31,20,13,7,6,6,5,4,10,4
0.1,cutoff,FUEL_SPOT_ECM_R17,unfinished_or_future_quarter,31,20,11,5,6,6,5,3,10,3
0.1,cutoff,FUEL_SPOT_ECM_R17,fully_future_centre,31,20,11,5,6,6,5,3,10,3
0.1,cutoff,INDEPENDENT_BRIDGE,unfinished_or_future_quarter,31,20,10,5,5,6,5,3,10,3
0.1,cutoff,INDEPENDENT_BRIDGE,fully_future_centre,31,20,10,5,5,6,5,3,10,3
0.1,cutoff,MONTHLY_AR_CORE_R17,unfinished_or_future_quarter,31,20,11,4,7,6,5,3,10,3
0.1,cutoff,MONTHLY_AR_CORE_R17,fully_future_centre,31,20,11,4,7,6,5,3,10,3
0.1,cutoff,MONTHLY_BOTH_CORE_R17,unfinished_or_future_quarter,31,20,9,3,6,6,5,2,10,2
0.1,cutoff,MONTHLY_BOTH_CORE_R17,fully_future_centre,31,20,9,3,6,6,5,2,10,2
0.1,cutoff,MONTHLY_DOMESTIC_CORE_R17,unfinished_or_future_quarter,31,20,9,3,6,6,5,2,10,2
0.1,cutoff,MONTHLY_DOMESTIC_CORE_R17,fully_future_centre,31,20,9,3,6,6,5,2,10,2
0.1,cutoff,MONTHLY_IMPORTED_CORE_R17,unfinished_or_future_quarter,31,20,9,3,6,6,5,2,10,2
0.1,cutoff,MONTHLY_IMPORTED_CORE_R17,fully_future_centre,31,20,9,3,6,6,5,2,10,2
0.1,cutoff,MONTHLY_OWN_CORE_R17,unfinished_or_future_quarter,31,20,9,3,6,6,5,2,10,2
0.1,cutoff,MONTHLY_OWN_CORE_R17,fully_future_centre,31,20,9,3,6,6,5,2,10,2
0.1,cutoff,PATH_COMPONENT_HALF_R17,unfinished_or_future_quarter,31,20,11,5,6,6,5,3,10,4
0.1,cutoff,PATH_COMPONENT_HALF_R17,fully_future_centre,31,20,11,5,6,6,5,3,10,4
0.1,cutoff,PATH_COMPONENT_SELECT_R17,unfinished_or_future_quarter,31,20,10,4,6,6,5,2,10,2
0.1,cutoff,PATH_COMPONENT_SELECT_R17,fully_future_centre,31,20,10,4,6,6,5,2,10,2
0.1,cutoff,PATH_FAST_CURRENT_HALF_R17,unfinished_or_future_quarter,31,20,12,5,7,6,5,3,10,3
0.1,cutoff,PATH_FAST_CURRENT_HALF_R17,fully_future_centre,31,20,12,5,7,6,5,3,10,3
0.1,cutoff,PATH_POOL_R17,unfinished_or_future_quarter,31,20,12,5,7,6,5,3,10,3
0.1,cutoff,PATH_POOL_R17,fully_future_centre,31,20,12,5,7,6,5,3,10,3
0.1,cutoff,RF_RESIDUAL_R15,unfinished_or_future_quarter,31,20,8,2,6,6,5,2,10,1
0.1,cutoff,RF_RESIDUAL_R15,fully_future_centre,31,20,8,2,6,6,5,2,10,1
0.1,cutoff,STABLE_LOCAL_CORE_R14B,unfinished_or_future_quarter,31,20,14,6,8,6,5,4,10,3
0.1,cutoff,STABLE_LOCAL_CORE_R14B,fully_future_centre,31,20,14,6,8,6,5,4,10,3
0.1,cutoff,STABLE_PIPELINE_R14B,unfinished_or_future_quarter,31,20,13,8,5,6,5,4,10,5
0.1,cutoff,STABLE_PIPELINE_R14B,fully_future_centre,31,20,13,8,5,6,5,4,10,5
0.1,cutoff,STATE_FAST_R15,unfinished_or_future_quarter,31,20,10,4,6,6,5,2,10,2
0.1,cutoff,STATE_FAST_R15,fully_future_centre,31,20,10,4,6,6,5,2,10,2
0.1,report,COMBO_ALL_R17,unfinished_or_future_quarter,31,20,14,7,7,6,5,4,10,4
0.1,report,COMBO_ALL_R17,fully_future_centre,31,20,14,7,7,6,5,4,10,4
0.1,report,COMBO_CORE_R17,unfinished_or_future_quarter,31,20,14,8,6,6,5,4,10,4
0.1,report,COMBO_CORE_R17,fully_future_centre,31,20,14,8,6,6,5,4,10,4
0.1,report,COMBO_FOOD_FUEL_R17,unfinished_or_future_quarter,31,20,13,7,6,6,5,4,10,4
0.1,report,COMBO_FOOD_FUEL_R17,fully_future_centre,31,20,13,7,6,6,5,4,10,4
0.1,report,CORE_FAST_H0_R17,unfinished_or_future_quarter,31,20,11,6,5,6,5,4,10,5
0.1,report,CORE_FAST_H0_R17,fully_future_centre,31,20,11,6,5,6,5,4,10,5
0.1,report,CORE_NEWS_H0_R17,unfinished_or_future_quarter,31,20,15,9,6,6,5,5,10,5
0.1,report,CORE_NEWS_H0_R17,fully_future_centre,31,20,15,9,6,6,5,5,10,5
0.1,report,CORE_NEWS_R17,unfinished_or_future_quarter,31,20,17,9,8,6,5,5,10,5
0.1,report,CORE_NEWS_R17,fully_future_centre,31,20,17,9,8,6,5,5,10,5
0.1,report,CORE_ROBUST_R17,unfinished_or_future_quarter,31,20,17,9,8,6,5,5,10,5
0.1,report,CORE_ROBUST_R17,fully_future_centre,31,20,17,9,8,6,5,5,10,5
0.1,report,DAMPED_P95_Q001_R16,unfinished_or_future_quarter,31,20,17,9,8,6,5,5,10,5
0.1,report,DAMPED_P95_Q001_R16,fully_future_centre,31,20,17,9,8,6,5,5,10,5
0.1,report,FOOD_ASYMMETRIC_R17,unfinished_or_future_quarter,31,20,11,5,6,6,5,3,10,4
0.1,report,FOOD_ASYMMETRIC_R17,fully_future_centre,31,20,11,5,6,6,5,3,10,4
0.1,report,FOOD_HALF_CORRECTION_R17,unfinished_or_future_quarter,31,20,15,8,7,6,5,4,10,4
0.1,report,FOOD_HALF_CORRECTION_R17,fully_future_centre,31,20,15,8,7,6,5,4,10,4
0.1,report,FOOD_OWN_R17,unfinished_or_future_quarter,31,20,14,7,7,6,5,4,10,4
0.1,report,FOOD_OWN_R17,fully_future_centre,31,20,14,7,7,6,5,4,10,4
0.1,report,FOOD_PERSISTENCE_R17,unfinished_or_future_quarter,31,20,14,7,7,6,5,5,10,5
0.1,report,FOOD_PERSISTENCE_R17,fully_future_centre,31,20,14,7,7,6,5,5,10,5
0.1,report,FOOD_SEASONAL_R17,unfinished_or_future_quarter,31,20,13,6,7,6,5,4,10,3
0.1,report,FOOD_SEASONAL_R17,fully_future_centre,31,20,13,6,7,6,5,4,10,3
0.1,report,FOOD_SYMMETRIC_R17,unfinished_or_future_quarter,31,20,12,6,6,6,5,3,10,4
0.1,report,FOOD_SYMMETRIC_R17,fully_future_centre,31,20,12,6,6,6,5,3,10,4
0.1,report,FUEL_ANNUAL_R17,unfinished_or_future_quarter,31,20,15,9,6,6,5,5,10,5
0.1,report,FUEL_ANNUAL_R17,fully_future_centre,31,20,15,9,6,6,5,5,10,5
0.1,report,FUEL_SPOT_ECM_R17,unfinished_or_future_quarter,31,20,12,6,6,6,5,4,10,3
0.1,report,FUEL_SPOT_ECM_R17,fully_future_centre,31,20,12,6,6,6,5,4,10,3
0.1,report,INDEPENDENT_BRIDGE,unfinished_or_future_quarter,31,20,13,7,6,6,5,4,10,5
0.1,report,INDEPENDENT_BRIDGE,fully_future_centre,31,20,13,7,6,6,5,4,10,5
0.1,report,MONTHLY_AR_CORE_R17,unfinished_or_future_quarter,31,20,10,4,6,6,5,3,10,3
0.1,report,MONTHLY_AR_CORE_R17,fully_future_centre,31,20,10,4,6,6,5,3,10,3
0.1,report,MONTHLY_BOTH_CORE_R17,unfinished_or_future_quarter,31,20,10,4,6,6,5,3,10,3
0.1,report,MONTHLY_BOTH_CORE_R17,fully_future_centre,31,20,10,4,6,6,5,3,10,3
0.1,report,MONTHLY_DOMESTIC_CORE_R17,unfinished_or_future_quarter,31,20,10,4,6,6,5,3,10,3
