period,model,actual,consensus,forecast,error,surprise,deviation,gain,big,alert,directional_big_hit,wrong_way_big_alert,material_big_hit,capture_ratio,survey_median,valid,common_valid,closer,material_win,material_loss,direction,false_alarm,capture,release_kind,release_date
2020-04,HARD_BASE,-0.2,-0.2,-0.31758186237127,-0.11758186237127,0.0,-0.11758186237127,-0.11758186237127,False,False,False,False,False,,,,,,False,False,False,False,,regular,2020-05-13
2020-05,HARD_BASE,0.4,0.1,0.1755417858910625,-0.22445821410893751,0.30000000000000004,0.0755417858910625,0.07554178589106253,False,False,False,False,False,,,,,,False,False,True,False,,regular,2020-06-10
2020-06,HARD_BASE,0.6,0.2,0.3438817354017713,-0.2561182645982287,0.39999999999999997,0.1438817354017713,0.1438817354017713,True,False,False,False,False,0.3597043385044283,,,,,False,False,True,False,0.3597043385044283,regular,2020-07-10
2020-07,HARD_BASE,0.4,0.2,0.4869502977384474,0.08695029773844737,0.2,0.2869502977384474,0.11304970226155264,False,True,False,False,False,,,,,,False,False,True,True,,regular,2020-08-13
2020-08,HARD_BASE,0.0,0.0,0.0331337564864917,0.0331337564864917,0.0,0.0331337564864917,-0.0331337564864917,False,False,False,False,False,,,,,,False,False,False,False,,regular,2020-09-10
2020-09,HARD_BASE,-0.6,-0.3,-0.3793055312609125,0.2206944687390875,-0.3,-0.0793055312609125,0.0793055312609125,False,False,False,False,False,,,,,,False,False,True,False,,regular,2020-10-12
2020-10,HARD_BASE,0.2,0.2,0.1835507038734855,-0.016449296126514523,0.0,-0.016449296126514523,-0.016449296126514523,False,False,False,False,False,,,,,,False,False,False,False,,regular,2020-11-10
2020-11,HARD_BASE,0.0,0.1,0.1331935220806632,0.1331935220806632,-0.1,0.0331935220806632,-0.0331935220806632,False,False,False,False,False,,,,,,False,False,False,False,,regular,2020-12-10
2020-12,HARD_BASE,-0.2,0.1,0.1743986297500019,0.37439862975000193,-0.30000000000000004,0.07439862975000189,-0.07439862975000189,False,False,False,False,False,,,,,,False,False,False,False,,regular,2021-01-13
2021-01,HARD_BASE,1.3,0.9,0.8285790522695597,-0.4714209477304403,0.4,-0.07142094773044028,-0.07142094773044028,True,False,False,False,False,-0.1785523693261007,,,,,False,False,False,False,-0.1785523693261007,regular,2021-02-12
2021-02,HARD_BASE,0.2,0.3,0.4287738547440542,0.2287738547440542,-0.09999999999999998,0.12877385474405423,-0.12877385474405423,False,False,False,False,False,,,,,,False,False,False,False,,regular,2021-03-10
2021-03,HARD_BASE,0.2,0.3,0.1519100744195733,-0.04808992558042671,-0.09999999999999998,-0.1480899255804267,0.051910074419573266,False,False,False,False,False,,,,,,False,False,True,False,,regular,2021-04-13
2021-04,HARD_BASE,0.5,0.2,0.256026468736474,-0.243973531263526,0.3,0.05602646873647399,0.05602646873647399,False,False,False,False,False,,,,,,False,False,True,False,,regular,2021-05-11
2021-05,HARD_BASE,0.2,0.4,0.5680138323904842,0.3680138323904842,-0.2,0.16801383239048417,-0.16801383239048417,False,False,False,False,False,,,,,,False,True,False,False,,regular,2021-06-10
2021-06,HARD_BASE,0.5,0.4,0.3296679179291987,-0.1703320820708013,0.09999999999999998,-0.07033208207080133,-0.07033208207080133,False,False,False,False,False,,,,,,False,False,False,False,,regular,2021-07-13
2021-07,HARD_BASE,1.0,0.5,0.6445519678863136,-0.35544803211368636,0.5,0.14455196788631364,0.14455196788631364,True,False,False,False,False,0.2891039357726273,,,,,False,False,True,False,0.2891039357726273,regular,2021-08-10
2021-08,HARD_BASE,0.7,0.2,0.2245033523586543,-0.4754966476413457,0.49999999999999994,0.02450335235865428,0.02450335235865425,True,False,False,False,False,0.0490067047173086,,,,,False,False,True,False,0.049006704717308565,regular,2021-09-10
2021-09,HARD_BASE,0.2,-0.2,-0.124000097429706,-0.32400009742970604,0.4,0.07599990257029401,0.07599990257029399,True,False,False,False,False,0.1899997564257349,,,,,False,False,True,False,0.18999975642573502,regular,2021-10-11
2021-10,HARD_BASE,1.0,0.7,0.7237052274417968,-0.2762947725582032,0.30000000000000004,0.023705227441796817,0.023705227441796817,False,False,False,False,False,,,,,,False,False,True,False,,regular,2021-11-10
2021-11,HARD_BASE,0.2,0.3,0.6823484514284204,0.48234845142842037,-0.09999999999999998,0.3823484514284204,-0.3823484514284204,False,True,False,False,False,,,,,,False,True,False,True,,regular,2021-12-10
2021-12,HARD_BASE,0.4,0.3,0.7709389674170302,0.37093896741703014,0.10000000000000003,0.4709389674170302,-0.2709389674170301,False,True,False,False,False,,,,,,False,True,True,True,,regular,2022-01-12
2022-01,HARD_BASE,4.4,3.8,4.378137226971534,-0.02186277302846662,0.6000000000000005,0.5781372269715339,0.5781372269715339,True,True,True,False,True,0.9635620449525556,,,,,True,False,True,False,0.9635620449525557,regular,2022-02-14
2022-02,HARD_BASE,1.3,0.6,0.8664254070284128,-0.4335745929715873,0.7000000000000001,0.2664254070284128,0.2664254070284128,True,True,True,False,True,0.3806077243263039,,,,,True,False,True,False,0.3806077243263039,regular,2022-03-10
2022-03,HARD_BASE,1.7,1.4,0.9740717773895649,-0.7259282226104351,0.30000000000000004,-0.42592822261043506,-0.42592822261043506,False,True,False,False,False,,,,,,False,True,False,True,,regular,2022-04-11
2022-04,HARD_BASE,1.8,0.9,0.7418585559133414,-1.0581414440866586,0.9,-0.15814144408665864,-0.15814144408665853,True,False,False,False,False,-0.1757127156518429,,,,,False,True,False,False,-0.17571271565184293,regular,2022-05-10
2022-05,HARD_BASE,1.8,1.4,1.8273429935590184,0.02734299355901837,0.40000000000000013,0.4273429935590185,0.37265700644098176,True,True,True,False,True,1.0683574838975458,,,,,True,False,True,False,1.0683574838975458,regular,2022-06-10
2022-06,HARD_BASE,1.6,1.5,1.3932606931984497,-0.2067393068015504,0.10000000000000009,-0.1067393068015503,-0.1067393068015503,False,False,False,False,False,,,,,,False,False,False,False,,regular,2022-07-13
2022-07,HARD_BASE,1.3,1.6,1.4018402902822626,0.1018402902822626,-0.30000000000000004,-0.19815970971773744,0.19815970971773744,False,False,False,False,False,,,,,,True,False,True,False,,regular,2022-08-10
2022-08,HARD_BASE,0.4,0.8,0.6308526564677204,0.23085265646772035,-0.4,-0.16914734353227967,0.16914734353227967,True,False,False,False,False,0.4228683588306992,,,,,True,False,True,False,0.4228683588306992,regular,2022-09-12
2022-09,HARD_BASE,0.8,0.2,0.1620924446428433,-0.6379075553571567,0.6000000000000001,-0.0379075553571567,-0.03790755535715662,True,False,False,False,False,-0.0631792589285944,,,,,False,False,False,False,-0.0631792589285945,regular,2022-10-11
2022-10,HARD_BASE,-1.4,0.9,1.1729476113272232,2.572947611327223,-2.3,0.2729476113272232,-0.27294761132722334,True,True,False,True,False,-0.118672874490097,,,,,False,True,False,False,-0.11867287449009706,regular,2022-11-10
2022-11,HARD_BASE,1.2,0.7,0.7585158740889214,-0.44148412591107855,0.5,0.05851587408892145,0.05851587408892145,True,False,False,False,False,0.1170317481778429,,,,,False,False,True,False,0.1170317481778429,regular,2022-12-12
2022-12,HARD_BASE,0.0,0.4,0.0474750657227316,0.0474750657227316,-0.4,-0.35252493427726844,0.35252493427726844,True,True,True,False,True,0.8813123356931709,,,,,True,False,True,False,0.881312335693171,regular,2023-01-11
2023-01,HARD_BASE,6.0,5.8,4.873148431243555,-1.1268515687564449,0.20000000000000018,-0.9268515687564447,-0.9268515687564447,False,True,False,False,False,,,,,,False,True,False,True,,regular,2023-02-10
2023-02,HARD_BASE,0.6,0.5,0.5313152061494304,-0.06868479385056958,0.09999999999999998,0.0313152061494304,0.0313152061494304,False,False,False,False,False,,,,,,False,False,True,False,,regular,2023-03-10
2023-03,HARD_BASE,0.1,0.1,0.2926338566146489,0.1926338566146489,0.0,0.1926338566146489,-0.1926338566146489,False,False,False,False,False,,,,,,False,True,False,False,,regular,2023-04-13
2023-04,HARD_BASE,-0.2,0.4,0.5640927888903151,0.7640927888903151,-0.6000000000000001,0.1640927888903151,-0.16409278889031498,True,False,False,False,False,-0.2734879814838584,,,,,False,True,False,False,-0.27348798148385844,regular,2023-05-11
2023-05,HARD_BASE,0.3,0.1,0.2289826804167738,-0.07101731958322618,0.19999999999999998,0.1289826804167738,0.1289826804167738,False,False,False,False,False,,,,,,False,False,True,False,,regular,2023-06-12
2023-06,HARD_BASE,0.3,0.3,0.0350440790407446,-0.2649559209592554,0.0,-0.2649559209592554,-0.2649559209592554,False,True,False,False,False,,,,,,False,True,False,True,,regular,2023-07-13
2023-07,HARD_BASE,0.5,0.4,0.386175143410121,-0.11382485658987901,0.09999999999999998,-0.013824856589879031,-0.013824856589879031,False,False,False,False,False,,,,,,False,False,False,False,,regular,2023-08-10
2023-08,HARD_BASE,0.2,0.1,0.4746143904367312,0.2746143904367312,0.1,0.37461439043673117,-0.1746143904367312,False,True,False,False,False,,,,,,False,True,True,True,,regular,2023-09-11
2023-09,HARD_BASE,-0.7,-0.2,-0.2488983995990439,0.45110160040095604,-0.49999999999999994,-0.04889839959904388,0.04889839959904391,True,False,False,False,False,0.0977967991980879,,,,,False,False,True,False,0.09779679919808777,regular,2023-10-10
2023-10,HARD_BASE,0.1,0.0,0.2905974273835784,0.1905974273835784,0.1,0.2905974273835784,-0.0905974273835784,False,True,False,False,False,,,,,,False,False,True,True,,regular,2023-11-10
2023-11,HARD_BASE,0.1,-0.1,0.0584924929324471,-0.04150750706755291,0.2,0.1584924929324471,0.1584924929324471,False,False,False,False,False,,,,,,True,False,True,False,,regular,2023-12-11
2023-12,HARD_BASE,-0.4,0.0,-0.1330702411008323,0.2669297588991677,-0.4,-0.1330702411008323,0.13307024110083232,True,False,False,False,False,0.3326756027520808,,,,,False,False,True,False,0.3326756027520807,regular,2024-01-11
2024-01,HARD_BASE,1.5,2.0,0.9319165376518568,-0.5680834623481432,-0.5,-1.0680834623481432,-0.06808346234814322,True,True,True,False,False,2.136166924696287,,,,,False,False,True,False,2.1361669246962864,regular,2024-02-15
2024-02,HARD_BASE,0.3,0.4,0.2706200012537311,-0.0293799987462689,-0.10000000000000003,-0.12937999874626893,0.07062000125373114,False,False,False,False,False,,,,,,False,False,True,False,,regular,2024-03-11
2024-03,HARD_BASE,0.1,0.1,0.1782802216315052,0.07828022163150519,0.0,0.07828022163150519,-0.07828022163150519,False,False,False,False,False,,,,,,False,False,False,False,,regular,2024-04-10
2024-04,HARD_BASE,0.7,0.2,0.535513874597449,-0.16448612540255092,0.49999999999999994,0.335513874597449,0.335513874597449,True,True,True,False,True,0.6710277491948982,,,,,True,False,True,False,0.6710277491948982,regular,2024-05-13
2024-05,HARD_BASE,0.0,0.1,0.2079810434726739,0.2079810434726739,-0.1,0.1079810434726739,-0.1079810434726739,False,False,False,False,False,,,,,,False,False,False,False,,regular,2024-06-11
2024-06,HARD_BASE,-0.3,0.2,0.0495664121047636,0.3495664121047636,-0.5,-0.15043358789523642,0.15043358789523642,True,False,False,False,False,0.3008671757904727,,,,,True,False,True,False,0.30086717579047284,regular,2024-07-10
2024-07,HARD_BASE,0.7,0.5,0.2099844490112185,-0.49001555098878147,0.19999999999999996,-0.2900155509887815,-0.2900155509887815,False,True,False,False,False,,,,,,False,True,False,True,,regular,2024-08-12
2024-08,HARD_BASE,0.3,0.0,0.0728154743529428,-0.22718452564705718,0.3,0.0728154743529428,0.0728154743529428,False,False,False,False,False,,,,,,False,False,True,False,,regular,2024-09-10
2024-09,HARD_BASE,-0.4,-0.5,-0.4651739920724355,-0.06517399207243546,0.09999999999999998,0.03482600792756452,0.03482600792756452,False,False,False,False,False,,,,,,False,False,True,False,,regular,2024-10-10
2024-10,HARD_BASE,0.3,0.3,0.2218404811078794,-0.07815951889212058,0.0,-0.07815951889212058,-0.07815951889212058,False,False,False,False,False,,,,,,False,False,False,False,,regular,2024-11-11
2024-11,HARD_BASE,0.1,0.2,0.1310393426229197,0.031039342622919686,-0.1,-0.06896065737708032,0.06896065737708032,False,False,False,False,False,,,,,,False,False,True,False,,regular,2024-12-10
2024-12,HARD_BASE,-0.3,0.1,0.004238252534602,0.304238252534602,-0.4,-0.095761747465398,0.095761747465398,True,False,False,False,False,0.2394043686634948,,,,,False,False,True,False,0.23940436866349502,regular,2025-01-13
2025-01,HARD_BASE,1.3,1.1,1.1241131790061305,-0.17588682099386954,0.19999999999999996,0.024113179006130414,0.024113179006130414,False,False,False,False,False,,,,,,False,False,True,False,,flash,2025-02-06
2025-02,HARD_BASE,0.2,0.2,0.3273352565503001,0.1273352565503001,0.0,0.1273352565503001,-0.1273352565503001,False,False,False,False,False,,,,,,False,False,False,False,,flash,2025-03-05
2025-03,HARD_BASE,0.1,0.0,0.0259612093364776,-0.0740387906635224,0.1,0.0259612093364776,0.02596120933647761,False,False,False,False,False,,,,,,False,False,True,False,,flash,2025-04-04
2025-04,HARD_BASE,-0.1,0.1,0.1887731296337113,0.28877312963371127,-0.2,0.08877312963371128,-0.08877312963371126,False,False,False,False,False,,,,,,False,False,False,False,,flash,2025-05-06
2025-05,HARD_BASE,0.5,0.2,0.2616004842766493,-0.23839951572335072,0.3,0.06160048427664927,0.06160048427664927,False,False,False,False,False,,,,,,False,False,True,False,,flash,2025-06-04
2025-06,HARD_BASE,0.3,0.2,0.2140389694357118,-0.0859610305642882,0.09999999999999998,0.014038969435711784,0.014038969435711784,False,False,False,False,False,,,,,,False,False,True,False,,flash,2025-07-04
2025-07,HARD_BASE,0.5,0.5,0.482699677975129,-0.017300322024870973,0.0,-0.017300322024870973,-0.017300322024870973,False,False,False,False,False,,,,,,False,False,False,False,,flash,2025-08-05
2025-08,HARD_BASE,0.1,0.1,0.1224612747710427,0.02246127477104269,0.0,0.02246127477104269,-0.02246127477104269,False,False,False,False,False,,,,,,False,False,False,False,,flash,2025-09-04
2025-09,HARD_BASE,-0.6,-0.3,-0.4796923876781566,0.1203076123218434,-0.3,-0.1796923876781566,0.1796923876781566,False,False,False,False,False,,,,,,True,False,True,False,,flash,2025-10-06
2025-10,HARD_BASE,0.5,0.3,0.2401825150651718,-0.2598174849348282,0.2,-0.05981748493482819,-0.05981748493482819,False,False,False,False,False,,,,,,False,False,False,False,,flash,2025-11-05
2025-11,HARD_BASE,-0.3,0.1,0.013912520901711,0.313912520901711,-0.4,-0.08608747909828901,0.08608747909828901,True,False,False,False,False,0.2152186977457223,,,,,False,False,True,False,0.21521869774572253,flash,2025-12-04
2025-12,HARD_BASE,-0.3,-0.1,-0.3176359844265689,-0.017635984426568885,-0.19999999999999998,-0.21763598442656887,0.1823640155734311,False,True,False,False,False,,,,,,True,False,True,True,,flash,2026-01-07
2026-01,HARD_BASE,0.9,0.8,0.8514524588474814,-0.04854754115251858,0.09999999999999998,0.0514524588474814,0.0514524588474814,False,False,False,False,False,,,,,,False,False,True,False,,flash,2026-02-05
2026-02,HARD_BASE,-0.1,0.1,0.0758514397150598,0.1758514397150598,-0.2,-0.02414856028494021,0.024148560284940224,False,False,False,False,False,,,,,,False,False,True,False,,flash,2026-03-04
2026-03,HARD_BASE,0.6,0.7,0.5831477425464591,-0.01685225745354091,-0.09999999999999998,-0.11685225745354089,0.08314774254645907,False,False,False,False,False,,,,,,False,False,True,False,,flash,2026-04-07
2026-04,HARD_BASE,0.5,0.4,0.4980319143303553,-0.0019680856696446813,0.09999999999999998,0.0980319143303553,0.0980319143303553,False,False,False,False,False,,,,,,False,False,True,False,,flash,2026-05-06
2026-05,HARD_BASE,0.1,0.3,0.3676493556665585,0.26764935566655845,-0.19999999999999998,0.0676493556665585,-0.06764935566655847,False,False,False,False,False,,,,,,False,False,False,False,,flash,2026-06-04
2026-06,HARD_BASE,-0.3,0.0,-0.058395297574722,0.24160470242527798,-0.3,-0.058395297574722,0.058395297574722005,False,False,False,False,False,,,,,,False,False,True,False,,flash,2026-07-07
2026-07,HARD_BASE,0.6,0.6,0.4476725274894585,-0.15232747251054146,0.0,-0.15232747251054146,-0.15232747251054146,False,False,False,False,False,,,,,,False,True,False,False,,flash,2026-08-05
2019-02,HARD_HALF,0.2,0.1,0.3457208529825975,0.14572085298259752,0.1,0.24572085298259752,-0.04572085298259751,False,True,False,False,False,,,,,,False,False,True,True,,regular,2019-03-11
2019-03,HARD_HALF,0.2,0.1,0.0948136439448493,-0.10518635605515071,0.1,-0.0051863560551507065,-0.0051863560551507065,False,False,False,False,False,,,,,,False,False,False,False,,regular,2019-04-10
2019-04,HARD_HALF,0.1,0.3,0.4331530262959052,0.33315302629590515,-0.19999999999999998,0.1331530262959052,-0.13315302629590517,False,False,False,False,False,,,,,,False,False,False,False,,regular,2019-05-13
2019-05,HARD_HALF,0.7,0.4,0.2416040565389769,-0.4583959434610231,0.29999999999999993,-0.15839594346102312,-0.15839594346102315,False,False,False,False,False,,,,,,False,True,False,False,,regular,2019-06-11
2019-06,HARD_HALF,0.2,0.1,0.0736165511908994,-0.12638344880910063,0.1,-0.02638344880910061,-0.026383448809100624,False,False,False,False,False,,,,,,False,False,False,False,,regular,2019-07-11
2019-07,HARD_HALF,0.4,0.2,0.4401493662832389,0.040149366283238896,0.2,0.2401493662832389,0.15985063371676111,False,True,False,False,False,,,,,,True,False,True,True,,regular,2019-08-12
2019-08,HARD_HALF,0.1,0.0,0.0863283929047251,-0.013671607095274901,0.1,0.0863283929047251,0.0863283929047251,False,False,False,False,False,,,,,,False,False,True,False,,regular,2019-09-10
