threshold,clock,model,quarter,actual_turn,first_model_round,first_cnb_round,status,left_censored,supported_earlier_round,lead_days_between_reports,n_opportunities
0.1,cutoff,CORE_NEWS_H0_R17,2025Q3,1,,,model_missed,False,False,,2
0.1,cutoff,CORE_NEWS_H0_R17,2026Q1,-1,2025-08-14,,model_only_no_cnb_call,False,False,,2
0.1,cutoff,CORE_NEWS_R17,2022Q3,1,,,model_missed,False,False,,2
0.1,cutoff,CORE_NEWS_R17,2022Q4,-1,,,model_missed,False,False,,2
0.1,cutoff,CORE_NEWS_R17,2023Q1,1,,2023-02-09,model_missed,False,False,,2
0.1,cutoff,CORE_NEWS_R17,2024Q1,-1,2023-08-10,,model_only_no_cnb_call,False,False,,2
0.1,cutoff,CORE_NEWS_R17,2024Q2,1,2023-11-09,2024-05-09,earlier_round,False,True,182.0,2
0.1,cutoff,CORE_NEWS_R17,2024Q3,-1,2024-02-15,2023-11-09,later_round,False,False,-98.0,2
0.1,cutoff,CORE_NEWS_R17,2024Q4,1,2024-05-09,2023-11-09,later_round,False,False,-182.0,2
0.1,cutoff,CORE_NEWS_R17,2025Q2,-1,,2024-08-08,model_missed,False,False,,2
0.1,cutoff,CORE_NEWS_R17,2025Q3,1,,,model_missed,False,False,,2
0.1,cutoff,CORE_NEWS_R17,2026Q1,-1,2025-08-14,,model_only_no_cnb_call,False,False,,2
0.1,cutoff,CORE_ROBUST_R17,2022Q3,1,,,model_missed,False,False,,2
0.1,cutoff,CORE_ROBUST_R17,2022Q4,-1,,,model_missed,False,False,,2
0.1,cutoff,CORE_ROBUST_R17,2023Q1,1,,2023-02-09,model_missed,False,False,,2
0.1,cutoff,CORE_ROBUST_R17,2024Q1,-1,2023-08-10,,model_only_no_cnb_call,False,False,,2
0.1,cutoff,CORE_ROBUST_R17,2024Q2,1,2024-02-15,2024-05-09,earlier_round,False,True,84.0,2
0.1,cutoff,CORE_ROBUST_R17,2024Q3,-1,2024-02-15,2023-11-09,later_round,False,False,-98.0,2
0.1,cutoff,CORE_ROBUST_R17,2024Q4,1,2024-05-09,2023-11-09,later_round,False,False,-182.0,2
0.1,cutoff,CORE_ROBUST_R17,2025Q2,-1,,2024-08-08,model_missed,False,False,,2
0.1,cutoff,CORE_ROBUST_R17,2025Q3,1,,,model_missed,False,False,,2
0.1,cutoff,CORE_ROBUST_R17,2026Q1,-1,2025-08-14,,model_only_no_cnb_call,False,False,,2
0.1,cutoff,DAMPED_P95_Q001_R16,2022Q3,1,,,model_missed,False,False,,2
0.1,cutoff,DAMPED_P95_Q001_R16,2022Q4,-1,,,model_missed,False,False,,2
0.1,cutoff,DAMPED_P95_Q001_R16,2023Q1,1,,2023-02-09,model_missed,False,False,,2
0.1,cutoff,DAMPED_P95_Q001_R16,2024Q1,-1,2023-08-10,,model_only_no_cnb_call,False,False,,2
0.1,cutoff,DAMPED_P95_Q001_R16,2024Q2,1,2024-02-15,2024-05-09,earlier_round,False,True,84.0,2
0.1,cutoff,DAMPED_P95_Q001_R16,2024Q3,-1,2024-02-15,2023-11-09,later_round,False,False,-98.0,2
0.1,cutoff,DAMPED_P95_Q001_R16,2024Q4,1,2024-05-09,2023-11-09,later_round,False,False,-182.0,2
0.1,cutoff,DAMPED_P95_Q001_R16,2025Q2,-1,,2024-08-08,model_missed,False,False,,2
0.1,cutoff,DAMPED_P95_Q001_R16,2025Q3,1,,,model_missed,False,False,,2
0.1,cutoff,DAMPED_P95_Q001_R16,2026Q1,-1,2025-08-14,,model_only_no_cnb_call,False,False,,2
0.1,cutoff,FOOD_ASYMMETRIC_R17,2022Q3,1,,,model_missed,False,False,,2
0.1,cutoff,FOOD_ASYMMETRIC_R17,2022Q4,-1,,,model_missed,False,False,,2
0.1,cutoff,FOOD_ASYMMETRIC_R17,2023Q1,1,,2023-02-09,model_missed,False,False,,2
0.1,cutoff,FOOD_ASYMMETRIC_R17,2024Q1,-1,2023-08-10,,model_only_no_cnb_call,False,False,,2
0.1,cutoff,FOOD_ASYMMETRIC_R17,2024Q2,1,,2024-05-09,model_missed,False,False,,2
0.1,cutoff,FOOD_ASYMMETRIC_R17,2024Q3,-1,2024-05-09,2023-11-09,later_round,False,False,-182.0,2
0.1,cutoff,FOOD_ASYMMETRIC_R17,2024Q4,1,2024-08-08,2023-11-09,later_round,False,False,-273.0,2
0.1,cutoff,FOOD_ASYMMETRIC_R17,2025Q2,-1,,2024-08-08,model_missed,False,False,,2
0.1,cutoff,FOOD_ASYMMETRIC_R17,2025Q3,1,,,model_missed,False,False,,2
0.1,cutoff,FOOD_ASYMMETRIC_R17,2026Q1,-1,,,model_missed,False,False,,2
0.1,cutoff,FOOD_HALF_CORRECTION_R17,2022Q3,1,,,model_missed,False,False,,2
0.1,cutoff,FOOD_HALF_CORRECTION_R17,2022Q4,-1,,,model_missed,False,False,,2
0.1,cutoff,FOOD_HALF_CORRECTION_R17,2023Q1,1,,2023-02-09,model_missed,False,False,,2
0.1,cutoff,FOOD_HALF_CORRECTION_R17,2024Q1,-1,2023-08-10,,model_only_no_cnb_call,False,False,,2
0.1,cutoff,FOOD_HALF_CORRECTION_R17,2024Q2,1,2024-02-15,2024-05-09,earlier_round,False,True,84.0,2
0.1,cutoff,FOOD_HALF_CORRECTION_R17,2024Q3,-1,2024-02-15,2023-11-09,later_round,False,False,-98.0,2
0.1,cutoff,FOOD_HALF_CORRECTION_R17,2024Q4,1,2024-05-09,2023-11-09,later_round,False,False,-182.0,2
0.1,cutoff,FOOD_HALF_CORRECTION_R17,2025Q2,-1,,2024-08-08,model_missed,False,False,,2
0.1,cutoff,FOOD_HALF_CORRECTION_R17,2025Q3,1,,,model_missed,False,False,,2
0.1,cutoff,FOOD_HALF_CORRECTION_R17,2026Q1,-1,,,model_missed,False,False,,2
0.1,cutoff,FOOD_OWN_R17,2022Q3,1,,,model_missed,False,False,,2
0.1,cutoff,FOOD_OWN_R17,2022Q4,-1,,,model_missed,False,False,,2
0.1,cutoff,FOOD_OWN_R17,2023Q1,1,,2023-02-09,model_missed,False,False,,2
0.1,cutoff,FOOD_OWN_R17,2024Q1,-1,2023-08-10,,model_only_no_cnb_call,False,False,,2
0.1,cutoff,FOOD_OWN_R17,2024Q2,1,,2024-05-09,model_missed,False,False,,2
0.1,cutoff,FOOD_OWN_R17,2024Q3,-1,2024-05-09,2023-11-09,later_round,False,False,-182.0,2
0.1,cutoff,FOOD_OWN_R17,2024Q4,1,2024-08-08,2023-11-09,later_round,False,False,-273.0,2
0.1,cutoff,FOOD_OWN_R17,2025Q2,-1,,2024-08-08,model_missed,False,False,,2
0.1,cutoff,FOOD_OWN_R17,2025Q3,1,,,model_missed,False,False,,2
0.1,cutoff,FOOD_OWN_R17,2026Q1,-1,,,model_missed,False,False,,2
0.1,cutoff,FOOD_PERSISTENCE_R17,2022Q3,1,,,model_missed,False,False,,2
0.1,cutoff,FOOD_PERSISTENCE_R17,2022Q4,-1,,,model_missed,False,False,,2
0.1,cutoff,FOOD_PERSISTENCE_R17,2023Q1,1,,2023-02-09,model_missed,False,False,,2
0.1,cutoff,FOOD_PERSISTENCE_R17,2024Q1,-1,2023-08-10,,model_only_no_cnb_call,False,False,,2
0.1,cutoff,FOOD_PERSISTENCE_R17,2024Q2,1,2023-11-09,2024-05-09,earlier_round,False,True,182.0,2
0.1,cutoff,FOOD_PERSISTENCE_R17,2024Q3,-1,2024-02-15,2023-11-09,later_round,False,False,-98.0,2
0.1,cutoff,FOOD_PERSISTENCE_R17,2024Q4,1,2024-08-08,2023-11-09,later_round,False,False,-273.0,2
0.1,cutoff,FOOD_PERSISTENCE_R17,2025Q2,-1,,2024-08-08,model_missed,False,False,,2
0.1,cutoff,FOOD_PERSISTENCE_R17,2025Q3,1,,,model_missed,False,False,,2
