origin,band,f_cz,mu_cz,deviation,panel_lambda,panel_n,panel_status,regime_threshold,regime_lambda_small,regime_lambda_large,regime_used,own_lambda,own_n,own_status
2019-02,1,0.30822897193090326,0.06622087519231434,0.24200809673858892,0.4453218103483964,1570,estimated,0.10547112964820182,0.381288068736613,0.4472625079859164,0.4472625079859164,0.9293545235493121,27,estimated
2019-02,2,0.30094416757007925,0.06622087519231434,0.2347232923777649,0.44586347985966157,1544,estimated,0.10017114269352656,0.28077199776206857,0.45076863335805883,0.45076863335805883,0.9628263525139222,26,estimated
2019-02,3,0.2972143477373374,0.06622087519231434,0.23099347254502306,0.6052143737230652,1518,estimated,0.09827220741368152,0.5067673787379363,0.60813009005631,0.60813009005631,1.0,25,estimated
2019-02,4,0.29530467998297355,0.06622087519231434,0.2290838047906592,0.6514097897460159,1492,estimated,0.09698823103840748,0.3644451029297675,0.6596385506556286,0.6596385506556286,1.0,24,estimated
2019-03,1,0.25456632606435364,0.06629976850347905,0.1882665575608746,0.4453218103483964,1570,estimated,0.10547112964820182,0.381288068736613,0.4472625079859164,0.4472625079859164,0.9293545235493121,27,estimated
2019-03,2,0.2526528615831945,0.06629976850347905,0.18635309307971545,0.44586347985966157,1544,estimated,0.10017114269352656,0.28077199776206857,0.45076863335805883,0.45076863335805883,0.9628263525139222,26,estimated
2019-03,3,0.251673167768841,0.06629976850347905,0.18537339926536198,0.6052143737230652,1518,estimated,0.09827220741368152,0.5067673787379363,0.60813009005631,0.60813009005631,1.0,25,estimated
2019-03,4,0.251171564535892,0.06629976850347905,0.18487179603241297,0.6514097897460159,1492,estimated,0.09698823103840748,0.3644451029297675,0.6596385506556286,0.6596385506556286,1.0,24,estimated
2019-04,1,0.17281731892355126,0.06633320260720117,0.10648411631635009,0.4369530471698035,1596,estimated,0.10547112964820182,0.3865119706650158,0.4384709256961849,0.4384709256961849,0.935984614863256,28,estimated
2019-04,2,0.17744854090360843,0.06633320260720117,0.11111533829640725,0.44145769543282043,1570,estimated,0.1000968216335861,0.27601185555492685,0.4463856180076864,0.4463856180076864,0.9275854857507577,27,estimated
