origin,mu_cz,annual_pct
2010-01,,
2010-02,,
2010-03,,
2010-04,,
2010-05,,
2010-06,,
2010-07,,
2010-08,,
2010-09,,
2010-10,,
2010-11,,
2010-12,,
2011-01,,
2011-02,,
2011-03,,
2011-04,,
2011-05,,
2011-06,,
2011-07,,
2011-08,,
2011-09,,
2011-10,,
2011-11,,
2011-12,,
2012-01,-0.033541929361724176,-0.4025031523406901
2012-02,-0.02936900295718441,-0.35242803548621293
2012-03,-0.025196076552644647,-0.30235291863173575
2012-04,-0.025196076552644647,-0.30235291863173575
2012-05,-0.025196076552644647,-0.30235291863173575
2012-06,-0.021039992464751134,-0.2524799095770136
2012-07,-0.016883908376857628,-0.20260690052229152
2012-08,-0.01687540774356975,-0.202504892922837
2012-09,-0.016866940443715214,-0.20240328532458257
2012-10,-0.016866940443715214,-0.20240328532458257
2012-11,-0.016866940443715214,-0.20240328532458257
2012-12,-0.01687542441028642,-0.20250509292343705
2013-01,-0.016883908376857628,-0.20260690052229152
2013-02,-0.021035850783576098,-0.25243020940291316
2013-03,-0.025187793190294572,-0.30225351828353486
2013-04,-0.025191934871469607,-0.3023032184576353
2013-05,-0.025196076552644647,-0.30235291863173575
2013-06,-0.025196076552644647,-0.30235291863173575
2013-07,-0.025196076552644647,-0.30235291863173575
2013-08,-0.02936900295718441,-0.35242803548621293
2013-09,-0.033541929361724176,-0.4025031523406901
2013-10,-0.0335669711286164,-0.40280365354339687
2013-11,-0.03359201289550862,-0.4031041547461035
2013-12,-0.03359201289550862,-0.4031041547461035
2014-01,-0.03359201289550863,-0.40310415474610356
2014-02,-0.03359632184747146,-0.4031558621696575
2014-03,-0.03360063079943429,-0.40320756959321147
2014-04,-0.03359632184747146,-0.4031558621696575
2014-05,-0.03359201289550863,-0.40310415474610356
2014-06,-0.03359201289550862,-0.4031041547461035
2014-07,-0.03359201289550862,-0.4031041547461035
2014-08,-0.0335669711286164,-0.40280365354339687
2014-09,-0.033541929361724176,-0.4025031523406901
2014-10,-0.02936900295718441,-0.35242803548621293
2014-11,-0.025196076552644647,-0.30235291863173575
2014-12,-0.025196076552644647,-0.30235291863173575
2015-01,-0.025196076552644647,-0.30235291863173575
2015-02,-0.025191934871469607,-0.3023032184576353
2015-03,-0.025187793190294572,-0.30225351828353486
2015-04,-0.021085834316860536,-0.2530300118023264
2015-05,-0.0169838754434265,-0.203806505321118
2015-06,-0.016933891910142062,-0.20320670292170473
2015-07,-0.016883908376857628,-0.20260690052229152
2015-08,-0.01687542441028642,-0.20250509292343705
2015-09,-0.016866940443715214,-0.20240328532458257
2015-10,-0.016866940443715214,-0.20240328532458257
2015-11,-0.016866940443715214,-0.20240328532458257
2015-12,-0.016866923776998544,-0.20240308532398255
2016-01,-0.01686690711028187,-0.20240288532338246
2016-02,-0.012777357086666339,-0.15332828503999607
2016-03,-0.008687807063050808,-0.1042536847566097
2016-04,-0.00861694738009333,-0.10340336856111995
2016-05,-0.008546087697135852,-0.10255305236563023
2016-06,-0.008542071632456972,-0.10250485958948366
2016-07,-0.008538055567778093,-0.10245666681333712
2016-08,-0.008538055567778093,-0.10245666681333712
2016-09,-0.008538055567778093,-0.10245666681333712
2016-10,-0.008533746615815263,-0.10240495938978317
2016-11,-0.008529437663852434,-0.10235325196622921
2016-12,-0.004448245691704478,-0.05337894830045374
2017-01,-0.0003670537195565223,-0.0044046446346782675
2017-02,-0.00036284567012227764,-0.004354148041467332
2017-03,-0.000358637620688033,-0.004303651448256396
2017-04,-0.0002960863375560142,-0.0035530360506721703
2017-05,-0.0002335350544239954,-0.0028024206530879447
2017-06,-0.00021688497124015596,-0.0026026196548818714
2017-07,-0.0002002348880563165,-0.002402818656675798
2017-08,0.003885148466809213,0.04662178160171056
2017-09,0.007970531821674743,0.09564638186009691
2017-10,0.008037249773556764,0.09644699728268116
2017-11,0.008103967725438784,0.09724761270526541
2017-12,0.008103967725438784,0.09724761270526541
2018-01,0.008103967725438784,0.09724761270526541
2018-02,0.012197676146846442,0.1463721137621573
2018-03,0.016291384568254103,0.19549661481904923
2018-04,0.01631220161899541,0.1957464194279449
2018-05,0.016333018669736715,0.19599622403684058
2018-06,0.020476786340176797,0.24572143608212155
2018-07,0.024620554010616875,0.2954466481274025
2018-08,0.03712682514593518,0.4455219017512222
2018-09,0.04963309628125349,0.5955971553750419
2018-10,0.04963309628125349,0.5955971553750419
2018-11,0.04963309628125349,0.5955971553750419
2018-12,0.05788753908120156,0.6946504689744187
2019-01,0.06614198188114963,0.7937037825737956
2019-02,0.06622087519231434,0.7946505023077721
2019-03,0.06629976850347905,0.7955972220417485
2019-04,0.06633320260720117,0.7959984312864141
2019-05,0.06636663671092331,0.7963996405310798
2019-06,0.07052291303227924,0.8462749563873508
2019-07,0.07467918935363517,0.8961502722436221
2019-08,0.074695839436819,0.8963500732418279
2019-09,0.07471248952000284,0.8965498742400341
2019-10,0.07885209914135867,0.9462251896963041
2019-11,0.08299170876271451,0.9959005051525742
2019-12,0.08299170876271451,0.9959005051525742
2020-01,0.08299170876271451,0.9959005051525742
2020-02,0.08303345086444769,0.9964014103733723
2020-03,0.08307519296618086,0.9969023155941703
2020-04,0.08307519296618086,0.9969023155941703
2020-05,0.08307519296618086,0.9969023155941703
2020-06,0.0830876431467832,0.9970517177613984
2020-07,0.08310009332738552,0.9972011199286263
2020-08,0.087222826847552,1.046673922170624
2020-09,0.09134556036771847,1.0961467244126217
2020-10,0.09134569435497335,1.0961483322596801
2020-11,0.09134582834222821,1.0961499401067385
2020-12,0.09135417002558659,1.096250040307039
2021-01,0.09136251170894498,1.0963501405073397
2021-02,0.0913834370587443,1.0966012447049316
2021-03,0.09140436240854365,1.0968523489025237
2021-04,0.09537345970682332,1.1444815164818798
2021-05,0.09934255700510301,1.192110684061236
2021-06,0.09950046899502156,1.1940056279402587
2021-07,0.09965838098494008,1.195900571819281
2021-08,0.09965838098494008,1.195900571819281
2021-09,0.09965838098494008,1.195900571819281
2021-10,0.09965838098494008,1.195900571819281
2021-11,0.09965838098494008,1.195900571819281
2021-12,0.09966672266829846,1.1960006720195815
2022-01,0.09967506435165684,1.196100772219882
2022-02,0.09967506435165684,1.196100772219882
2022-03,0.09967506435165684,1.196100772219882
2022-04,0.09967526420575466,1.196103170469056
2022-05,0.09967546405985249,1.1961055687182298
