origin,model,status
2019-02,CORE_PANEL_SHRINK_R25,estimated
2019-02,CORE_PANEL_STATE_R25,estimated
2019-02,CORE_OWN_SHRINK_R25,estimated
2019-02,CORE_PANEL_SHRINK_FOODNORM_R25,estimated
2019-03,CORE_PANEL_SHRINK_R25,estimated
2019-03,CORE_PANEL_STATE_R25,estimated
2019-03,CORE_OWN_SHRINK_R25,estimated
2019-03,CORE_PANEL_SHRINK_FOODNORM_R25,estimated
2019-04,CORE_PANEL_SHRINK_R25,estimated
2019-04,CORE_PANEL_STATE_R25,estimated
2019-04,CORE_OWN_SHRINK_R25,estimated
2019-04,CORE_PANEL_SHRINK_FOODNORM_R25,estimated
2019-05,CORE_PANEL_SHRINK_R25,estimated
2019-05,CORE_PANEL_STATE_R25,estimated
2019-05,CORE_OWN_SHRINK_R25,estimated
2019-05,CORE_PANEL_SHRINK_FOODNORM_R25,estimated
2019-06,CORE_PANEL_SHRINK_R25,estimated
2019-06,CORE_PANEL_STATE_R25,estimated
2019-06,CORE_OWN_SHRINK_R25,estimated
2019-06,CORE_PANEL_SHRINK_FOODNORM_R25,estimated
2019-07,CORE_PANEL_SHRINK_R25,estimated
2019-07,CORE_PANEL_STATE_R25,estimated
2019-07,CORE_OWN_SHRINK_R25,estimated
2019-07,CORE_PANEL_SHRINK_FOODNORM_R25,estimated
2019-08,CORE_PANEL_SHRINK_R25,estimated
2019-08,CORE_PANEL_STATE_R25,estimated
2019-08,CORE_OWN_SHRINK_R25,estimated
2019-08,CORE_PANEL_SHRINK_FOODNORM_R25,estimated
2019-09,CORE_PANEL_SHRINK_R25,estimated
2019-09,CORE_PANEL_STATE_R25,estimated
2019-09,CORE_OWN_SHRINK_R25,estimated
2019-09,CORE_PANEL_SHRINK_FOODNORM_R25,estimated
2019-10,CORE_PANEL_SHRINK_R25,estimated
2019-10,CORE_PANEL_STATE_R25,estimated
2019-10,CORE_OWN_SHRINK_R25,estimated
2019-10,CORE_PANEL_SHRINK_FOODNORM_R25,estimated
2019-11,CORE_PANEL_SHRINK_R25,estimated
2019-11,CORE_PANEL_STATE_R25,estimated
2019-11,CORE_OWN_SHRINK_R25,estimated
2019-11,CORE_PANEL_SHRINK_FOODNORM_R25,estimated
2019-12,CORE_PANEL_SHRINK_R25,estimated
2019-12,CORE_PANEL_STATE_R25,estimated
2019-12,CORE_OWN_SHRINK_R25,estimated
2019-12,CORE_PANEL_SHRINK_FOODNORM_R25,estimated
2020-01,CORE_PANEL_SHRINK_R25,estimated
2020-01,CORE_PANEL_STATE_R25,estimated
2020-01,CORE_OWN_SHRINK_R25,estimated
2020-01,CORE_PANEL_SHRINK_FOODNORM_R25,estimated
2020-02,CORE_PANEL_SHRINK_R25,estimated
2020-02,CORE_PANEL_STATE_R25,estimated
2020-02,CORE_OWN_SHRINK_R25,estimated
2020-02,CORE_PANEL_SHRINK_FOODNORM_R25,estimated
2020-03,CORE_PANEL_SHRINK_R25,estimated
2020-03,CORE_PANEL_STATE_R25,estimated
2020-03,CORE_OWN_SHRINK_R25,estimated
2020-03,CORE_PANEL_SHRINK_FOODNORM_R25,estimated
2020-04,CORE_PANEL_SHRINK_R25,estimated
2020-04,CORE_PANEL_STATE_R25,estimated
2020-04,CORE_OWN_SHRINK_R25,estimated
2020-04,CORE_PANEL_SHRINK_FOODNORM_R25,estimated
2020-05,CORE_PANEL_SHRINK_R25,estimated
2020-05,CORE_PANEL_STATE_R25,estimated
2020-05,CORE_OWN_SHRINK_R25,estimated
2020-05,CORE_PANEL_SHRINK_FOODNORM_R25,estimated
2020-06,CORE_PANEL_SHRINK_R25,estimated
2020-06,CORE_PANEL_STATE_R25,estimated
2020-06,CORE_OWN_SHRINK_R25,estimated
2020-06,CORE_PANEL_SHRINK_FOODNORM_R25,estimated
2020-07,CORE_PANEL_SHRINK_R25,estimated
2020-07,CORE_PANEL_STATE_R25,estimated
2020-07,CORE_OWN_SHRINK_R25,estimated
2020-07,CORE_PANEL_SHRINK_FOODNORM_R25,estimated
2020-08,CORE_PANEL_SHRINK_R25,estimated
2020-08,CORE_PANEL_STATE_R25,estimated
2020-08,CORE_OWN_SHRINK_R25,estimated
2020-08,CORE_PANEL_SHRINK_FOODNORM_R25,estimated
2020-09,CORE_PANEL_SHRINK_R25,estimated
2020-09,CORE_PANEL_STATE_R25,estimated
2020-09,CORE_OWN_SHRINK_R25,estimated
2020-09,CORE_PANEL_SHRINK_FOODNORM_R25,estimated
